訓練日期,20130702 - 20131002
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11704837.390000000596046
真實報酬,1704837.390000000596046

夏普值報酬,0.161783739000000
夏普值風險,0.044479238217041
夏普值,3.637286641703709

預期報酬,27468.641778252276708
風險,122995.021043057960924
趨勢值,0.223331331181578
找到最佳解世代,2409
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](8),DD[7](1),NKE[19](7),
20130808,2816453.600000000093132,2562959.000000000000000,2839239.320000000298023,2649181.299999999813735,10867833.219999998807907
20130809,2776255.439999999944121,2550609.350000000093132,2926209.910000000149012,2659607.949999999720603,10912682.650000000372529
20130812,2855368.839999999850988,2524215.000000000000000,2882994.709999999962747,2667628.449999999720603,10930207.000000000000000
20130813,2990930.719999999739230,2572402.850000000093132,2913785.540000000037253,2639556.699999999720603,11116675.809999998658895
20130814,3045241.000000000000000,2522277.799999999813735,2904062.120000000111759,2580205.000000000000000,11051785.919999999925494
20130815,3041819.879999999888241,2487650.350000000093132,2858145.970000000204891,2546518.899999999906868,10934135.100000001490116
20130816,3068761.200000000186265,2505569.449999999720603,2837618.750000000000000,2552935.299999999813735,10964884.699999999254942
20130819,3101689.479999999981374,2535838.199999999720603,2817631.720000000204891,2594641.899999999906868,11049801.300000000745058
20130820,3061063.680000000167638,2533658.849999999627471,2842480.459999999962747,2592235.750000000000000,11029438.739999998360872
20130821,3069188.839999999850988,2516224.049999999813735,2857065.590000000316650,2572184.500000000000000,11014662.980000000447035
20130822,3072609.959999999962747,2546008.500000000000000,2860846.920000000391155,2601058.299999999813735,11080523.679999999701977
20130823,3060636.039999999571592,2554241.600000000093132,2980228.910000000149012,2574590.649999999906868,11169697.200000001117587
20130826,3072609.959999999962747,2555452.350000000093132,2973206.439999999944121,2563361.950000000186265,11164630.699999999254942
20130827,2984943.759999999776483,2499273.549999999813735,2889476.990000000223517,2519249.199999999720603,10892943.500000000000000
20130828,2999055.879999999888241,2500726.449999999720603,2880833.950000000186265,2541706.600000000093132,10922322.880000000819564
20130829,3003759.919999999925494,2540923.350000000093132,2886235.850000000093132,2545716.849999999627471,10976635.969999998807907
20130830,2976390.959999999962747,2516466.199999999720603,2877052.620000000111759,2519249.199999999720603,10889158.980000000447035
20130903,2984943.759999999776483,2542860.549999999813735,2880293.760000000242144,2578600.899999999906868,10986698.970000000670552
20130904,3046523.919999999925494,2575792.950000000186265,2906222.879999999888241,2612287.000000000000000,11140826.750000000000000
20130905,3025569.560000000055879,2582573.149999999906868,2954839.980000000447035,2621911.599999999627471,11184894.290000000968575
20130906,3043530.439999999944121,2568528.449999999720603,2966183.970000000204891,2605870.600000000093132,11184113.459999999031425
20130909,3092281.400000000372529,2595649.250000000000000,2985630.810000000521541,2622713.649999999906868,11296275.110000001266599
20130910,3021720.799999999813735,2619379.949999999720603,3075842.540000000037253,2679659.199999999720603,11396602.489999998360872
20130911,2857507.039999999571592,2645047.850000000093132,3065578.930000000167638,2710939.149999999906868,11279072.970000000670552
20130912,2887869.479999999981374,2658850.399999999906868,2989412.140000000130385,2730188.349999999627471,11266320.369999999180436
20130913,2839973.799999999813735,2695899.350000000093132,3067199.500000000000000,2723771.950000000186265,11326844.600000001490116
20130916,2749741.759999999776483,2800992.449999999720603,3061797.600000000093132,2735000.649999999906868,11347532.459999999031425
20130917,2781814.759999999776483,2835862.049999999813735,3054775.129999999888241,2739812.949999999720603,11412264.889999998733401
20130918,2838690.879999999888241,2867099.399999999906868,3143366.290000000037253,2786331.850000000093132,11635488.419999999925494
20130919,2885303.640000000130385,2882597.000000000000000,3123919.450000000186265,2787133.899999999906868,11678953.990000000223517
20130920,2855368.839999999850988,2824238.849999999627471,3054234.939999999944121,2782321.599999999627471,11516164.229999998584390
20130923,2997345.320000000298023,2845548.049999999813735,3018582.400000000372529,2766280.600000000093132,11627756.369999999180436
20130924,2987937.240000000223517,2881628.399999999906868,3008858.980000000447035,2784727.750000000000000,11663152.370000001043081
20130925,2941752.120000000111759,2869763.049999999813735,3066119.120000000111759,2763874.450000000186265,11641508.739999998360872
20130926,2970404.000000000000000,2890830.099999999627471,3076382.730000000447035,2820820.000000000000000,11758436.830000000074506
20130927,2949022.000000000000000,2875332.500000000000000,3001836.510000000242144,2953158.250000000000000,11779349.259999999776483
20130930,2912672.600000000093132,2845305.899999999906868,2954299.790000000037253,2913055.750000000000000,11625334.039999999105930
20131001,2981095.000000000000000,2851359.649999999906868,2947277.320000000298023,2904233.200000000186265,11683965.170000001788139
20131002,2990930.719999999739230,2853539.000000000000000,2976987.770000000018626,2883379.899999999906868,11704837.390000000596046
