訓練日期,20111028 - 20120201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11227315.699999999254942
真實報酬,1227315.699999999254942

夏普值報酬,0.114031570000000
夏普值風險,0.050950939207127
夏普值,2.238066103873674

預期報酬,20865.645095713443880
風險,215074.547848848829744
趨勢值,0.097015873353724
找到最佳解世代,1627
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),MCD[15](3),MRK[17](2),
20111123,3257514.700000000651926,3274873.560000000055879,3224521.639999999664724,9756910.900000000372529
20111125,3253054.800000000279397,3283072.139999999664724,3221607.049999999348074,9757734.989999998360872
20111128,3327089.140000000130385,3342244.500000000000000,3328475.349999999627471,9997809.990000000223517
20111129,3475157.820000000298023,3331550.699999999720603,3349849.009999999310821,10156558.529999999329448
20111130,3498349.300000000279397,3404981.459999999962747,3473233.319999999832362,10376565.080000000074506
20111201,3509053.060000000521541,3404268.540000000037253,3466432.609999999869615,10379755.210000000894070
20111202,3562571.859999999869615,3411397.740000000223517,3447002.009999999310821,10420972.609999999403954
20111205,3588439.279999999795109,3398921.639999999664724,3425628.349999999627471,10412990.269999999552965
20111206,3596467.100000000093132,3422448.000000000000000,3439229.769999999552965,10458145.869999999180436
20111207,3633038.279999999795109,3438132.240000000223517,3459631.899999999906868,10530803.419999999925494
20111208,3559895.919999999925494,3454885.859999999869615,3418827.639999999664724,10433610.419999998062849
20111209,3588439.279999999795109,3494452.919999999925494,3466432.609999999869615,10549325.809999998658895
20111212,3572383.640000000130385,3510493.620000000111759,3440201.299999999348074,10523079.559999998658895
20111213,3524216.720000000204891,3493383.540000000037253,3399397.040000000037253,10416998.300000000745058
20111214,3491213.460000000428408,3479481.600000000093132,3454774.250000000000000,10425470.310000000521541
20111215,3516188.900000000372529,3498373.979999999981374,3532496.649999999906868,10547060.530000001192093
20111216,3605386.900000000372529,3475204.080000000074506,3521809.819999999832362,10602401.800000000745058
20111219,3585763.340000000316650,3466292.580000000074506,3543183.479999999515712,10595240.399999998509884
20111220,3741859.840000000316650,3522613.259999999776483,3601475.279999999795109,10865949.379999998956919
20111221,3746319.740000000223517,3536158.740000000223517,3626735.059999999590218,10909214.539999999105930
20111222,3739183.900000000372529,3514771.139999999664724,3649080.250000000000000,10903036.289999999105930
20111223,3754347.560000000521541,3570022.440000000409782,3682112.269999999552965,11006483.269999999552965
20111227,3765943.300000000279397,3584280.839999999850988,3667539.319999999832362,11017764.460000000894070
20111228,3704396.680000000167638,3549704.220000000204891,3636450.359999999869615,10890552.259999999776483
20111229,3747211.720000000204891,3593548.800000000279397,3665596.259999999310821,11006357.779999999329448
20111230,3749887.660000000149012,3576438.720000000204891,3662681.669999999925494,10989009.050000000745058
20120103,3758807.460000000428408,3523326.180000000167638,3720973.469999999739230,11003108.109999999403954
20120104,3812326.260000000242144,3542931.479999999981374,3724859.590000000316650,11080118.330000000074506
20120105,3843545.560000000521541,3558615.720000000204891,3763720.790000000037253,11165883.070000000298023
20120106,3853357.340000000316650,3586063.139999999664724,3737489.479999999515712,11176910.960000000894070
20120109,3856033.279999999795109,3551842.979999999981374,3729717.239999999757856,11137594.500000000000000
20120110,3882792.680000000167638,3553981.740000000223517,3742347.130000000353903,11179122.550000000745058
20120111,3876548.820000000298023,3562180.320000000298023,3731660.299999999348074,11170390.439999999478459
20120112,3870304.960000000428408,3584993.759999999776483,3751090.899999999906868,11206390.620000001043081
20120113,3881008.720000000204891,3577151.639999999664724,3722916.529999999795109,11181077.889999998733401
20120117,3901524.260000000242144,3584280.839999999850988,3771493.029999999795109,11257299.129999998956919
20120118,4003209.980000000447035,3620283.300000000279397,3776350.679999999701977,11399844.960000000894070
20120119,4050484.919999999925494,3609589.500000000000000,3814240.349999999627471,11474315.769999999552965
20120120,3970206.720000000204891,3626699.580000000074506,3808411.169999999925494,11405318.470000000670552
20120123,4003209.980000000447035,3598539.240000000223517,3766635.380000000353903,11368385.600000001490116
20120124,4010345.820000000298023,3520118.040000000037253,3767606.910000000149012,11298071.769999999552965
20120125,4037105.220000000204891,3537228.120000000111759,3757891.609999999869615,11332225.949999999254942
20120126,4009453.840000000316650,3535445.820000000298023,3767606.910000000149012,11312507.570000000298023
20120127,4002318.000000000000000,3517979.279999999795109,3742347.130000000353903,11262645.410000000149012
20120130,3993398.200000000651926,3517979.279999999795109,3778293.739999999757856,11289672.220000000670552
20120131,3959502.960000000428408,3530811.839999999850988,3718058.880000000353903,11208374.680000001564622
20120201,3966638.800000000279397,3507641.940000000409782,3753033.959999999962747,11227315.699999999254942
