訓練日期,20130416 - 20130717
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11701745.609999999403954
真實報酬,1701745.609999999403954

夏普值報酬,0.161474561000000
夏普值風險,0.051023166500320
夏普值,3.164730299500063

預期報酬,28122.063189985598001
風險,167303.637345656752586
趨勢值,0.168089968850373
找到最佳解世代,1922
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](4),UNH[23](14),V[25](2),
20130524,2881169.530000000260770,2794534.719999999739230,2519077.770000000018626,2796994.370000000111759,10991776.390000000596046
20130528,2884338.740000000223517,2837289.759999999776483,2571034.250000000000000,2790794.069999999832362,11083456.820000000298023
20130529,2854951.520000000484288,2864605.479999999981374,2571440.160000000149012,2761652.660000000149012,11052649.820000000298023
20130530,2896727.470000000670552,2894296.479999999981374,2624614.370000000111759,2806294.819999999832362,11221933.140000000596046
20130531,2852934.750000000000000,2864605.479999999981374,2542214.640000000130385,2761652.660000000149012,11021407.530000001192093
20130603,2902489.669999999925494,2895484.119999999646097,2549115.109999999869615,2793274.189999999944121,11140363.089999997988343
20130604,2869933.240000000223517,2893108.839999999850988,2531255.069999999832362,2793274.189999999944121,11087571.339999999850988
20130605,2837664.919999999925494,2888358.279999999795109,2506494.560000000055879,2747391.970000000204891,10979909.730000000447035
20130606,2874254.890000000596046,2915674.000000000000000,2513395.030000000260770,2780253.560000000055879,11083577.480000000447035
20130607,2952908.919999999925494,2908548.159999999683350,2539779.180000000167638,2789554.010000000242144,11190790.269999999552965
20130610,2945706.169999999925494,2893108.839999999850988,2584835.189999999944121,2826135.779999999795109,11249785.979999998584390
20130611,2931588.780000000260770,2858667.279999999795109,2594982.939999999944121,2785213.800000000279397,11170452.800000000745058
20130612,2906523.209999999962747,2849166.159999999683350,2590923.839999999850988,2777153.410000000149012,11123766.619999999180436
20130613,2943401.290000000037253,2891921.200000000186265,2603912.960000000428408,2824895.720000000204891,11264131.170000001788139
20130614,2933893.660000000149012,2861042.559999999590218,2589706.109999999869615,2804434.729999999981374,11189077.060000000521541
20130617,2968466.860000000335276,2933488.599999999627471,2612842.980000000447035,2826755.810000000055879,11341554.250000001862645
20130618,2998718.410000000149012,2947740.279999999795109,2666017.190000000409782,2852177.040000000037253,11464652.919999998062849
20130619,2945994.280000000260770,2931113.319999999832362,2648968.970000000204891,2831096.020000000018626,11357172.589999999850988
20130620,2870797.570000000298023,2902609.959999999962747,2589706.109999999869615,2766612.899999999906868,11129726.540000000968575
20130621,2880593.310000000521541,2907360.520000000018626,2593765.209999999962747,2782733.680000000167638,11164452.720000000670552
20130624,2819225.879999999888241,2857479.639999999664724,2624208.460000000428408,2763512.750000000000000,11064426.730000000447035
20130625,2842850.900000000372529,2851541.439999999944121,2586864.739999999757856,2797614.399999999906868,11078871.480000000447035
20130626,2902777.780000000260770,2896671.759999999776483,2629485.290000000037253,2831096.020000000018626,11260030.849999999627471
20130627,2971924.180000000633299,2925175.119999999646097,2682659.500000000000000,2856517.250000000000000,11436276.050000000745058
20130628,2951468.370000000111759,2890733.559999999590218,2657898.990000000223517,2832956.109999999869615,11333057.029999999329448
20130701,2974517.169999999925494,2890733.559999999590218,2663987.639999999664724,2871397.970000000204891,11400636.339999999850988
20130702,2923521.700000000186265,2888358.279999999795109,2649374.879999999888241,2871397.970000000204891,11332652.830000000074506
20130703,2964433.320000000298023,2920424.559999999590218,2660334.450000000186265,2899299.319999999832362,11444491.650000000372529
20130705,3002175.730000000447035,2918049.279999999795109,2685906.780000000260770,2957582.140000000130385,11563713.929999999701977
20130708,3007073.600000000558794,2925175.119999999646097,2742328.270000000018626,2916040.129999999888241,11590617.120000001043081
20130709,3016005.010000000242144,2988120.040000000037253,2758970.580000000074506,2901779.439999999944121,11664875.070000000298023
20130710,3039630.030000000260770,3017811.040000000037253,2747605.100000000093132,2894339.080000000074506,11699385.250000000000000
20130711,3079389.209999999962747,3072442.479999999981374,2774801.069999999832362,2944561.510000000242144,11871194.269999999552965
20130712,2935046.100000000558794,3080755.959999999962747,2760188.310000000055879,2956342.080000000074506,11732332.450000001117587
20130715,3044239.790000000037253,3079568.319999999832362,2744763.730000000447035,2948901.720000000204891,11817473.560000000521541
20130716,3003040.060000000521541,3053440.239999999757856,2715944.120000000111759,2935881.090000000316650,11708305.510000001639128
20130717,3019174.220000000670552,3054627.879999999888241,2688342.240000000223517,2939601.270000000018626,11701745.609999999403954
