訓練日期,20120222 - 20120523
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10610833.220000002533197
真實報酬,610833.220000002533197

夏普值報酬,0.052383322000000
夏普值風險,0.018560617311560
夏普值,2.822283392879040

預期報酬,9653.537042652014861
風險,83300.746356961913989
趨勢值,0.115887761692848
找到最佳解世代,3544
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
KO[14](1),PFE[20](2),V[25](6),VZ[26](11),WMT[28](17),
20120416,2105200.820000000298023,2071630.000000000000000,2116286.319999999832362,1944921.339999999850988,2016979.939999999944121,10255018.419999999925494
20120417,2149373.540000000037253,2102732.500000000000000,2138002.439999999944121,1961029.250000000000000,2059929.199999999953434,10411066.929999999701977
20120418,2155766.959999999962747,2115927.500000000000000,2133098.799999999813735,1956872.369999999646097,2066255.060000000055879,10427920.689999999478459
20120419,2145305.000000000000000,2105560.000000000000000,2122591.000000000000000,1982333.259999999776483,2055933.919999999925494,10411723.179999999701977
20120420,2154604.520000000484288,2126295.000000000000000,2119088.399999999906868,2012470.639999999664724,2079239.719999999972060,10491698.279999999329448
20120423,2141817.680000000633299,2109330.000000000000000,2068650.959999999962747,2004156.879999999888241,1982354.179999999934807,10306309.700000001117587
20120424,2154023.300000000745058,2132892.500000000000000,2082661.359999999869615,2052480.609999999869615,1923423.800000000046566,10345481.570000000298023
20120425,2177853.320000000298023,2156455.000000000000000,2133098.799999999813735,2051441.389999999664724,1909773.260000000009313,10428621.769999999552965
20120426,2199939.680000000633299,2173420.000000000000000,2157617.000000000000000,2085735.649999999906868,1962710.719999999972060,10579423.050000000745058
20120427,2227257.020000000484288,2175305.000000000000000,2163221.159999999683350,2090412.139999999664724,1965374.239999999990687,10621569.560000000521541
20120430,2217957.500000000000000,2158340.000000000000000,2154114.399999999906868,2098206.290000000037253,1961378.959999999729916,10589997.150000000372529
20120501,2235975.320000000298023,2147030.000000000000000,2155515.439999999944121,2107559.270000000018626,1966706.000000000000000,10612786.029999999329448
20120502,2242368.740000000223517,2135720.000000000000000,2140104.000000000000000,2109637.709999999962747,1964708.359999999869615,10592538.809999998658895
20120503,2250505.820000000298023,2130065.000000000000000,2038528.600000000093132,2111716.149999999906868,1964042.479999999981374,10494858.050000000745058
20120504,2237718.980000000447035,2109330.000000000000000,2063046.799999999813735,2091970.969999999739230,1954387.219999999972060,10456453.970000000670552
20120507,2245856.060000000521541,2115927.500000000000000,2075656.159999999916181,2106000.439999999944121,1970701.279999999795109,10514141.439999999478459
20120508,2241787.520000000484288,2113100.000000000000000,2069351.479999999748543,2107039.659999999683350,1966040.119999999878928,10497318.779999999329448
20120509,2231325.560000000521541,2115927.500000000000000,2056742.119999999878928,2091451.359999999869615,1965374.239999999990687,10460820.780000001192093
20120510,2249924.600000000558794,2151742.500000000000000,2069351.479999999748543,2107039.659999999683350,1970701.279999999795109,10548759.519999999552965
20120511,2251668.260000000707805,2134777.500000000000000,2065148.359999999869615,2138735.869999999646097,1978358.899999999906868,10568688.890000000596046
20120514,2234231.660000000149012,2129122.500000000000000,2044132.759999999776483,2124706.399999999906868,1966706.000000000000000,10498899.320000000298023
20120515,2224932.140000000596046,2101790.000000000000000,2042031.199999999720603,2133020.159999999683350,1976028.320000000065193,10477801.820000000298023
20120516,2218538.720000000670552,2133835.000000000000000,2058143.159999999916181,2124186.790000000037253,1970701.279999999795109,10505404.950000001117587
20120517,2183084.300000000745058,2126295.000000000000000,2014010.399999999906868,2149647.679999999701977,2053603.339999999850988,10526640.720000000670552
20120518,2152279.640000000596046,2127237.500000000000000,1972679.719999999972060,2157961.439999999944121,2078573.839999999850988,10488732.140000000596046
20120521,2165647.700000000186265,2124410.000000000000000,2035726.519999999785796,2148088.850000000093132,2098883.179999999701977,10572756.250000000000000
20120522,2156348.180000000633299,2108387.500000000000000,2073554.600000000093132,2150686.899999999906868,2121856.040000000037253,10610833.220000002533197
20120523,2156348.180000000633299,2108387.500000000000000,2073554.600000000093132,2150686.899999999906868,2121856.040000000037253,10610833.220000002533197
