訓練日期,20110913 - 20111213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11616923.390000000596046
真實報酬,1616923.390000000596046

夏普值報酬,0.152992339000000
夏普值風險,0.043689899949132
夏普值,3.501778195375305

預期報酬,27340.618487802283198
風險,189716.123111513908952
趨勢值,0.144113310136175
找到最佳解世代,1576
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),IBM[10](6),MCD[15](2),WMT[28](3),
20111129,3010814.189999999944121,2785059.840000000316650,2710866.350000000093132,2806343.049999999813735,11313083.429999999701977
20111130,3030906.729999999981374,2893727.360000000335276,2770616.650000000372529,2841560.439999999478459,11536811.179999999701977
20111201,3040180.210000000428408,2916045.760000000242144,2770036.550000000279397,2827569.969999999739230,11553832.490000002086163
20111202,3086547.609999999869615,2919278.080000000074506,2775837.550000000279397,2802483.609999999869615,11584146.849999999627471
20111205,3108958.520000000018626,2937440.640000000596046,2765685.800000000279397,2814544.359999999869615,11626629.320000000298023
20111206,3115913.629999999888241,2969763.840000000316650,2784829.100000000558794,2835771.279999999795109,11706277.849999999627471
20111207,3147598.020000000018626,2986848.960000000428408,2797591.300000000279397,2822745.669999999459833,11754783.950000001117587
20111208,3084229.239999999757856,2948830.720000000670552,2811223.650000000372529,2797176.879999999422580,11641460.490000000223517
20111209,3108958.520000000018626,2994698.880000000353903,2843419.200000000186265,2813579.500000000000000,11760656.100000001490116
20111212,3095048.299999999813735,2958065.920000000391155,2856471.450000000186265,2802483.609999999869615,11712069.280000001192093
20111213,3053317.640000000130385,2942212.160000000614673,2842549.050000000279397,2778844.540000000037253,11616923.390000000596046
