訓練日期,20120911 - 20121213
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10928945.910000000149012
真實報酬,928945.910000000149012

夏普值報酬,0.084194591000000
夏普值風險,0.029454792320218
夏普值,2.858434379189601

預期報酬,17739.668596807772701
風險,126202.239303739217576
趨勢值,0.140565402758921
找到最佳解世代,1970
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](6),HD[9](2),V[25](1),
20121009,3312699.199999999720603,3545664.450000000186265,3542637.319999999366701,10401001.969999998807907
20121010,3298630.700000000186265,3475275.120000000111759,3559215.879999999888241,10333122.699999999254942
20121011,3321609.250000000000000,3432808.830000000074506,3601698.439999999478459,10356117.519999999552965
20121012,3369442.149999999441206,3464803.980000000447035,3603770.759999999776483,10438017.890000000596046
20121015,3388200.149999999906868,3528212.549999999813735,3623457.799999999813735,10539871.500000000000000
20121016,3445881.000000000000000,3540428.879999999888241,3656614.919999999925494,10642925.800000000745058
20121017,3452915.249999999534339,3571260.570000000298023,3692880.520000000018626,10717057.339999999850988
20121018,3482459.100000000093132,3595111.500000000000000,3675265.799999999813735,10752837.399999998509884
20121019,3470735.350000000093132,3600347.070000000298023,3625530.120000000111759,10696613.539999999105930
20121022,3456197.899999999906868,3609073.020000000018626,3600662.279999999795109,10665934.199999999254942
20121023,3414930.299999999813735,3592202.850000000093132,3539528.839999999385327,10546662.990000000223517
20121024,3409771.849999999627471,3564861.540000000037253,3535384.199999999720603,10510018.589999999850988
20121025,3354904.700000000186265,3518323.140000000130385,3563360.520000000018626,10436589.359999999403954
20121026,3334739.850000000093132,3492727.020000000018626,3583047.559999999590218,10410515.429999999701977
20121031,3303320.199999999720603,3570678.840000000316650,3594445.319999999366701,10468445.359999999403954
20121101,3319733.450000000186265,3621871.080000000074506,3727073.799999999813735,10668679.330000000074506
20121102,3285031.149999999906868,3607909.560000000055879,3714639.879999999888241,10607581.589999999850988
20121105,3301913.349999999627471,3628851.840000000316650,3665940.359999999869615,10596706.549999998882413
20121106,3377414.299999999813735,3642813.359999999869615,3727073.799999999813735,10747302.460000000894070
20121107,3287844.850000000093132,3606164.370000000111759,3692880.520000000018626,10586890.740000000223517
20121108,3328643.500000000000000,3540428.879999999888241,3680446.600000000093132,10549519.980000000447035
20121109,3435095.149999999906868,3546246.180000000167638,3702205.959999999497086,10683548.289999999105930
20121112,3455728.949999999720603,3557880.779999999795109,3710495.240000000223517,10724105.969999998807907
20121113,3440253.600000000093132,3687024.840000000316650,3689772.039999999571592,10817051.480000000447035
20121114,3343180.950000000186265,3575914.410000000149012,3625530.120000000111759,10544626.480000000447035
20121115,3331457.200000000186265,3563116.350000000093132,3626566.279999999795109,10521140.830000000074506
20121116,3318795.549999999813735,3613726.859999999869615,3697025.159999999683350,10629548.570000000298023
20121119,3374600.599999999627471,3684116.189999999944121,3772664.839999999385327,10831382.629999998956919
20121120,3401799.700000000186265,3712620.959999999962747,3791315.720000000204891,10905737.380000000819564
20121121,3430405.650000000372529,3728327.670000000391155,3799605.000000000000000,10958339.320000000298023
20121123,3458073.699999999720603,3770793.959999999497086,3836906.759999999776483,11065775.419999998062849
20121126,3482928.049999999813735,3762068.010000000242144,3814111.240000000223517,11059108.300000000745058
20121127,3493244.949999999720603,3732399.779999999795109,3802713.479999999981374,11028359.209999999031425
20121128,3474486.950000000186265,3771375.689999999944121,3815147.399999999906868,11061011.040000000968575
20121129,3475893.800000000279397,3737053.619999999646097,3838979.079999999608845,11051927.500000000000000
20121130,3483397.000000000000000,3785337.209999999497086,3878353.159999999683350,11147088.369999999180436
20121203,3471204.299999999813735,3780101.640000000130385,3850376.839999999385327,11101683.779999999329448
20121204,3472611.149999999906868,3737053.619999999646097,3823436.679999999701977,11033102.449999999254942
20121205,3464170.050000000279397,3724255.560000000055879,3835870.600000000093132,11024297.210000000894070
20121206,3469328.500000000000000,3742870.920000000391155,3846232.199999999720603,11058432.619999999180436
20121207,3500279.199999999720603,3749269.950000000186265,3848304.520000000018626,11097854.669999999925494
20121210,3542015.750000000000000,3667246.020000000018626,3851413.000000000000000,11060675.769999999552965
20121211,3555615.299999999813735,3658520.070000000298023,3857629.959999999497086,11071766.330000000074506
20121212,3539202.049999999813735,3660846.990000000223517,3830689.799999999813735,11030739.839999999850988
20121213,3485272.799999999813735,3630597.029999999795109,3813075.079999999608845,10928945.910000000149012
