訓練日期,20170622 - 20170922
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10943944.339999999850988
真實報酬,943944.339999999850988

夏普值報酬,0.085694434000000
夏普值風險,0.026379837464409
夏普值,3.248482259059318

預期報酬,15247.506246837134313
風險,52525.364185249498405
趨勢值,0.290288444132655
找到最佳解世代,2007
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,5
AXP[1](5),CAT[3](1),MCD[15](8),UNH[23](3),V[25](2),
20170720,2076386.780000000027940,2074416.649999999906868,2006244.320000000298023,2071162.700000000186265,2075523.349999999860302,10303733.800000000745058
20170721,2082225.260000000242144,2060306.480000000214204,2002471.709999999962747,2074190.900000000139698,2107044.299999999813735,10326238.650000000372529
20170724,2067872.330000000074506,2091039.590000000316650,1975543.080000000074506,2064565.550000000046566,2123333.649999999906868,10322354.199999999254942
20170725,2077846.399999999906868,2213972.030000000260770,2069468.060000000055879,2059266.200000000186265,2115294.749999999534339,10535847.440000001341105
20170726,2075170.429999999934807,2194256.450000000186265,2036165.020000000018626,2063051.450000000186265,2133488.049999999813735,10502131.400000000372529
20170727,2039896.280000000027940,2210686.100000000093132,2041888.979999999981374,2043368.150000000372529,2106409.649999999441206,10442249.160000000149012
20170728,2063006.929999999934807,2205467.270000000018626,2027579.080000000074506,2067377.450000000186265,2097524.549999999813735,10460955.280000001192093
20170731,2073467.540000000270084,2202567.920000000391155,2018342.689999999944121,2074515.350000000325963,2106198.100000000093132,10475091.600000001490116
20170801,2073710.810000000055879,2186138.270000000018626,2004032.790000000037253,2079057.650000000139698,2133911.149999999906868,10476850.669999999925494
20170802,2075170.429999999934807,2185944.979999999981374,2037205.740000000223517,2087385.200000000186265,2142584.699999999720603,10528291.050000000745058
20170803,2081008.910000000149012,2195029.610000000335276,2012878.910000000149012,2106527.750000000465661,2127987.750000000000000,10523432.930000001564622
20170804,2091469.520000000018626,2210299.520000000018626,2001170.810000000055879,2107717.399999999906868,2134334.250000000000000,10544991.500000000000000
20170807,2088550.280000000027940,2217257.959999999962747,2016131.160000000149012,2106635.900000000372529,2147027.249999999534339,10575602.550000000745058
20170808,2090739.709999999962747,2211459.260000000242144,2015480.709999999962747,2107933.700000000186265,2142584.699999999720603,10568198.080000000074506
20170809,2084657.959999999962747,2210106.229999999981374,2015480.709999999962747,2107176.650000000372529,2136026.649999999906868,10553448.200000001117587
20170810,2057168.450000000186265,2187104.720000000204891,2037596.010000000242144,2082734.750000000000000,2104717.249999999534339,10469321.179999999701977
20170811,2050600.160000000149012,2181306.020000000018626,2046442.130000000353903,2087601.500000000232831,2117410.250000000000000,10483360.060000000521541
20170814,2079306.020000000018626,2197928.959999999962747,2045921.770000000018626,2095063.850000000325963,2155066.149999999906868,10573286.750000000000000
20170815,2111417.660000000149012,2196769.220000000204891,2050605.010000000242144,2103607.700000000186265,2171143.949999999720603,10633543.539999999105930
20170816,2126013.859999999869615,2205853.850000000093132,2067256.530000000260770,2095712.750000000232831,2185740.899999999441206,10680577.890000000596046
20170817,2094388.760000000242144,2186911.430000000167638,2054117.439999999944121,2084140.699999999953434,2161201.099999999627471,10580759.429999999701977
20170818,2077116.589999999850988,2201988.050000000279397,2052426.270000000018626,2063808.500000000000000,2168605.350000000093132,10563944.759999999776483
20170821,2075170.429999999934807,2195802.770000000018626,2060231.670000000391155,2076894.650000000139698,2183625.399999999906868,10591724.920000001788139
20170822,2075170.429999999934807,2238713.149999999906868,2076883.189999999944121,2106744.050000000279397,2201607.149999999441206,10699117.969999998807907
20170823,2074683.890000000130385,2218031.120000000111759,2066085.720000000204891,2100795.800000000279397,2182779.200000000186265,10642375.730000000447035
20170824,2076630.050000000046566,2218610.990000000223517,2060882.120000000111759,2106311.450000000186265,2183625.399999999906868,10646060.009999999776483
20170825,2079306.020000000018626,2229628.520000000018626,2066215.810000000055879,2102093.600000000558794,2186375.549999999813735,10663619.500000000000000
20170828,2077846.399999999906868,2224216.399999999906868,2077273.459999999962747,2109988.550000000279397,2195472.199999999720603,10684797.009999999776483
20170829,2078089.670000000158325,2242385.660000000149012,2073500.850000000093132,2127725.149999999906868,2195260.649999999906868,10716961.980000000447035
20170830,2084657.959999999962747,2272152.319999999832362,2075452.200000000186265,2118532.399999999906868,2194414.449999999720603,10745209.329999998211861
20170831,2094632.030000000027940,2270992.580000000074506,2081176.160000000149012,2151193.700000000186265,2189971.899999999906868,10787966.370000001043081
20170901,2095605.110000000102445,2286262.490000000223517,2079094.720000000204891,2160386.450000000186265,2198010.799999999813735,10819359.570000000298023
20170905,2075413.700000000186265,2286649.069999999832362,2069858.330000000074506,2155627.850000000093132,2179182.850000000093132,10766731.799999998882413
20170906,2073467.540000000270084,2261134.790000000037253,2058410.410000000149012,2145569.899999999906868,2182779.200000000186265,10721361.839999999850988
20170907,2053519.399999999906868,2276404.700000000186265,2080265.530000000260770,2143298.750000000000000,2211973.100000000093132,10765461.479999998584390
20170908,2049627.080000000074506,2277371.149999999906868,2077793.820000000298023,2138756.450000000186265,2209222.950000000186265,10752771.449999999254942
20170911,2084657.959999999962747,2297666.600000000093132,2101470.200000000186265,2158547.900000000372529,2245609.549999999813735,10887952.210000000894070
20170912,2105579.180000000167638,2337677.629999999888241,2033823.400000000372529,2135728.250000000000000,2246878.849999999627471,10859687.310000000521541
20170913,2107768.609999999869615,2312356.640000000130385,2042539.430000000167638,2145029.150000000372529,2238839.949999999720603,10846533.779999999329448
20170914,2096821.459999999962747,2328786.290000000037253,2042539.430000000167638,2138540.149999999906868,2244128.699999999720603,10850816.029999999329448
20170915,2116283.060000000055879,2345989.100000000093132,2041498.709999999962747,2143406.900000000372529,2227627.799999999813735,10874805.570000000298023
20170918,2137690.820000000298023,2393538.439999999944121,2038376.550000000279397,2143515.050000000279397,2217684.949999999720603,10930805.810000000521541
20170919,2165180.330000000074506,2411127.830000000074506,2048133.300000000279397,2105229.950000000186265,2229954.849999999627471,10959626.259999999776483
20170920,2151313.940000000409782,2413254.020000000018626,2080005.350000000093132,2117126.450000000186265,2229954.849999999627471,10991654.610000001266599
20170921,2151070.669999999925494,2412094.280000000260770,2068947.700000000186265,2111286.350000000093132,2227839.350000000093132,10971238.349999999627471
20170922,2150584.130000000353903,2405135.840000000316650,2067386.620000000111759,2087709.650000000139698,2233128.100000000093132,10943944.339999999850988
