訓練日期,20121126 - 20130228
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344665.039999999105930
真實報酬,1344665.039999999105930

夏普值報酬,0.125766504000000
夏普值風險,0.039055810544601
夏普值,3.220173957377638

預期報酬,22064.723100731327577
風險,69627.047901526369969
趨勢值,0.316898730676295
找到最佳解世代,2301
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](9),MMM[16](3),NKE[19](6),VZ[26](23),WBA[27](4),
20130204,2130821.600000000093132,2232384.969999999739230,2218269.919999999925494,2034734.280000000260770,2418251.719999999739230,11034462.489999998360872
20130205,2146635.199999999720603,2248335.129999999888241,2228191.280000000260770,2036562.400000000372529,2498033.839999999850988,11157757.850000001490116
20130206,2167624.159999999683350,2274918.729999999515712,2238939.419999999925494,2045245.970000000204891,2504682.349999999627471,11231410.629999998956919
20130207,2158136.000000000000000,2264506.820000000298023,2260435.700000000186265,2031992.100000000325963,2496825.019999999552965,11211895.640000000596046
20130208,2170211.839999999850988,2274254.139999999664724,2257128.580000000074506,2026964.770000000251457,2502264.709999999962747,11230824.039999999105930
20130211,2168199.199999999720603,2273368.019999999552965,2282758.759999999776483,2025593.680000000167638,2507099.989999999292195,11257019.649999998509884
20130212,2179412.479999999981374,2291976.540000000037253,2277798.080000000074506,2031078.040000000037253,2535507.259999999776483,11315772.400000000372529
20130213,2175387.199999999720603,2278684.740000000223517,2255475.020000000484288,2034734.280000000260770,2507099.989999999292195,11251381.230000000447035
20130214,2179700.000000000000000,2276912.500000000000000,2257955.359999999403954,2026050.710000000195578,2530067.569999999366701,11270686.140000000596046
20130215,2189763.199999999720603,2286881.349999999627471,2272010.620000000111759,2029249.920000000158325,2487154.459999999962747,11265059.550000000745058
20130219,2212764.799999999813735,2307926.700000000186265,2252167.899999999441206,2033820.220000000204891,2520397.009999999776483,11327076.629999998956919
20130220,2203851.680000000167638,2285109.110000000335276,2233151.959999999962747,2053015.480000000214204,2514352.910000000149012,11289481.140000000596046
20130221,2210177.120000000111759,2275583.320000000298023,2254648.240000000223517,2062156.080000000074506,2515561.729999999515712,11318126.490000002086163
20130222,2192350.879999999888241,2293748.780000000260770,2252167.899999999441206,2074952.920000000158325,2527045.519999999552965,11340266.000000000000000
20130225,2172799.519999999552965,2254094.910000000149012,2233978.740000000223517,2089577.880000000121072,2456329.549999999813735,11206780.600000001490116
20130226,2177974.879999999888241,2266500.589999999850988,2243900.099999999627471,2107859.080000000074506,2466000.109999999403954,11262234.759999997913837
20130227,2194363.519999999552965,2294413.370000000111759,2246380.440000000409782,2118370.770000000484288,2488363.280000000260770,11341891.380000002682209
20130228,2188325.600000000093132,2303939.160000000149012,2251341.120000000111759,2126597.310000000055879,2474461.849999999627471,11344665.039999999105930
