訓練日期,20170307 - 20170607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10709296.500000000000000
真實報酬,709296.500000000000000

夏普值報酬,0.062229650000000
夏普值風險,0.022914576836524
夏普值,2.715723290198886

預期報酬,11371.146893930499573
風險,50284.306597873190185
趨勢值,0.226137092530007
找到最佳解世代,1933
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),DIS[6](16),KO[14](6),WMT[28](1),
20170524,2751174.000000000000000,2433136.560000000055879,2668916.650000000372529,2795859.250000000000000,10649086.460000000894070
20170525,2760682.729999999981374,2423197.399999999906868,2691438.869999999646097,2801583.250000000000000,10676902.250000000000000
20170526,2756018.070000000298023,2448948.859999999869615,2690253.490000000223517,2795143.750000000000000,10690364.169999999925494
20170530,2757094.529999999795109,2447367.630000000353903,2692624.250000000000000,2795859.250000000000000,10692945.660000000149012
20170531,2740768.219999999739230,2438332.030000000260770,2694995.009999999776483,2811958.000000000000000,10686053.259999999776483
20170601,2748303.440000000409782,2444431.060000000055879,2713961.089999999850988,2855245.750000000000000,10761941.339999999850988
20170602,2789029.509999999776483,2421164.390000000130385,2719887.990000000223517,2848448.500000000000000,10778530.390000000596046
20170605,2761759.190000000409782,2406255.649999999906868,2725814.890000000130385,2871344.500000000000000,10765174.230000000447035
20170606,2771088.509999999776483,2383214.870000000111759,2725222.199999999720603,2823763.750000000465661,10703289.330000000074506
20170607,2787594.229999999981374,2392702.250000000000000,2697365.770000000018626,2831634.250000000000000,10709296.500000000000000
