訓練日期,20160427 - 20160728
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10877602.560000000521541
真實報酬,877602.560000000521541

夏普值報酬,0.079060256000000
夏普值風險,0.032224448880244
夏普值,2.453424612281612

預期報酬,15329.163964234245213
風險,115539.095759526942857
趨勢值,0.132675124930344
找到最佳解世代,1310
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](2),PG[21](1),VZ[26](6),
20160715,3708521.040000000502914,3604019.919999999925494,3690192.000000000465661,11002733.960000000894070
20160718,3695409.630000000353903,3600667.760000000242144,3696139.649999999906868,10992218.040000000968575
20160719,3695409.630000000353903,3610724.239999999757856,3680940.100000000093132,10987074.970000000670552
20160720,3699443.910000000149012,3575107.539999999571592,3675653.299999999813735,10950205.750000000000000
20160721,3702469.620000000577420,3572593.419999999925494,3659132.049999999813735,10934196.089999999850988
20160722,3705495.330000000540167,3591868.339999999850988,3707374.100000000093132,11004738.769999999552965
20160725,3709529.610000000335276,3595220.500000000000000,3692174.549999999813735,10996925.660000000149012
20160726,3714572.460000000428408,3573012.439999999944121,3622124.450000000186265,10909710.350000001490116
20160727,3716589.600000000558794,3539071.819999999832362,3655827.800000000279397,10911490.220000000670552
20160728,3698435.340000000316650,3553737.520000000018626,3625428.700000000186265,10877602.560000000521541
