訓練日期,20131010 - 20140113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11301996.389999998733401
真實報酬,1301996.389999998733401

夏普值報酬,0.121499639000000
夏普值風險,0.036525959702784
夏普值,3.326391421023765

預期報酬,22638.544842150218756
風險,96864.350784412643407
趨勢值,0.233713896380062
找到最佳解世代,1861
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](12),GS[8](2),MRK[17](26),XOM[29](1),
20131112,2671917.479999999981374,2636780.149999999906868,2516923.839999999850988,2720463.560000000055879,10546085.029999999329448
20131113,2675154.419999999459833,2637589.500000000000000,2503702.089999999850988,2718115.080000000074506,10534561.089999999850988
20131114,2713638.040000000037253,2641798.120000000111759,2529087.849999999627471,2736609.359999999869615,10621133.369999999180436
20131115,2697453.339999999850988,2661222.520000000484288,2542309.599999999627471,2796789.160000000149012,10697774.620000001043081
20131118,2664724.279999999795109,2681941.880000000353903,2539136.379999999888241,2802073.240000000223517,10687875.780000001192093
20131119,2669399.859999999869615,2696833.919999999925494,2542309.599999999627471,2801192.560000000055879,10709735.939999999478459
20131120,2646021.959999999497086,2670934.720000000204891,2545482.819999999832362,2779469.120000000111759,10641908.620000001043081
20131121,2677672.040000000037253,2704441.810000000055879,2571397.449999999720603,2779762.680000000167638,10733273.979999998584390
20131122,2670838.500000000000000,2721114.419999999925494,2588321.289999999571592,2789156.600000000093132,10769430.809999998658895
20131125,2690979.459999999497086,2743452.479999999981374,2626399.929999999701977,2791505.080000000074506,10852336.949999999254942
20131126,2740612.540000000037253,2720143.200000000186265,2622168.969999999739230,2767433.160000000149012,10850357.870000001043081
20131127,2804991.679999999701977,2723056.860000000335276,2635390.719999999739230,2753635.839999999850988,10917075.099999999627471
20131129,2857142.379999999888241,2734711.500000000000000,2635390.719999999739230,2744241.919999999925494,10971486.519999999552965
20131202,2832325.839999999850988,2747337.360000000335276,2653901.169999999925494,2745416.160000000149012,10978980.530000001192093
20131203,2909652.740000000223517,2720305.070000000298023,2631688.629999999888241,2770955.879999999888241,11032602.320000000298023
20131204,2902819.199999999720603,2730826.620000000111759,2607889.479999999981374,2779175.560000000055879,11020710.860000001266599
20131205,2917924.919999999459833,2679999.440000000409782,2581445.979999999981374,2763323.319999999832362,10942693.660000000149012
20131206,2877283.339999999850988,2706707.990000000223517,2612120.439999999944121,2807944.440000000409782,11004056.210000000894070
20131209,2910372.060000000055879,2714154.009999999776483,2621111.229999999981374,2813522.080000000074506,11059159.380000000819564
20131210,2905696.479999999981374,2747499.229999999981374,2614235.919999999925494,2809705.799999999813735,11077137.429999999701977
20131211,2884116.879999999888241,2713020.919999999925494,2588850.160000000149012,2767139.600000000093132,10953127.560000000521541
20131212,2880160.619999999646097,2724837.430000000633299,2555531.349999999627471,2799431.200000000186265,10959960.600000001490116
20131213,2848510.540000000037253,2725808.649999999906868,2558704.569999999832362,2797963.399999999906868,10930987.160000000149012
20131216,2864335.580000000074506,2767247.370000000111759,2543367.339999999850988,2854033.359999999869615,11028983.650000000372529
20131217,2851387.819999999832362,2759801.350000000558794,2533318.809999999590218,2840236.040000000037253,10984744.019999999552965
20131218,2829808.220000000204891,2830214.800000000279397,2586205.809999999590218,2922139.280000000260770,11168368.109999999403954
20131219,2797438.819999999832362,2829081.710000000428408,2580388.239999999757856,2918910.120000000111759,11125818.890000000596046
20131220,2820816.720000000204891,2835394.640000000130385,2608418.349999999627471,2896893.120000000111759,11161522.830000000074506
20131223,2929074.379999999888241,2856599.610000000335276,2610533.829999999608845,2891902.600000000093132,11288110.419999999925494
20131224,2916845.939999999478459,2851581.640000000130385,2613178.179999999701977,2912745.359999999869615,11294351.119999999180436
20131226,2897424.299999999813735,2856275.870000000111759,2629573.149999999906868,2962063.440000000409782,11345336.760000001639128
20131227,2877643.000000000000000,2854657.169999999925494,2633275.239999999757856,2979970.600000000093132,11345546.009999999776483
20131230,2849229.859999999869615,2844621.229999999981374,2641208.289999999571592,2944743.399999999906868,11279802.779999999329448
20131231,2882678.240000000223517,2869387.339999999850988,2647025.859999999403954,2970870.240000000223517,11369961.679999999701977
20140102,2842036.659999999683350,2863398.149999999906868,2617409.139999999664724,2928304.040000000037253,11251147.989999998360872
20140103,2779455.819999999832362,2883793.770000000484288,2630102.019999999552965,2921258.600000000093132,11214610.209999999031425
20140106,2794561.540000000037253,2903541.910000000149012,2630630.889999999664724,2925662.000000000000000,11254396.339999999850988
20140107,2774780.240000000223517,2886059.950000000186265,2650199.079999999608845,2967053.959999999962747,11278093.230000000447035
20140108,2792403.580000000074506,2888488.000000000000000,2633275.239999999757856,2957366.479999999981374,11271533.300000000745058
20140109,2756797.240000000223517,2871653.520000000484288,2618995.750000000000000,2928597.600000000093132,11176044.110000001266599
20140110,2738094.919999999459833,2887678.649999999906868,2638035.069999999832362,2950908.160000000149012,11214716.799999998882413
20140113,2752481.319999999832362,2847049.280000000260770,2809388.949999999720603,2893076.839999999850988,11301996.389999998733401
