訓練日期,20160419 - 20160720
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11129404.910000000149012
真實報酬,1129404.910000000149012

夏普值報酬,0.104240491000000
夏普值風險,0.028279226401897
夏普值,3.686115366755777

預期報酬,17007.051682485449419
風險,112183.874606193014188
趨勢值,0.151599788670043
找到最佳解世代,2198
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](2),UNH[23](3),XOM[29](1),
20160620,3526525.020000000018626,3612649.799999999813735,3540840.060000000055879,10680015.880000000819564
20160621,3552079.520000000018626,3604043.399999999441206,3556772.250000000000000,10712896.169999999925494
20160622,3523458.479999999981374,3596480.199999999720603,3542783.010000000242144,10662722.689999999478459
20160623,3535724.640000000596046,3630123.399999999441206,3567264.179999999701977,10733113.219999998807907
20160624,3472349.479999999981374,3580571.399999999441206,3473613.990000000223517,10526535.869999999180436
20160627,3454972.419999999925494,3575877.000000000000000,3453018.719999999739230,10483869.140000000596046
20160628,3520391.939999999944121,3617605.000000000000000,3532679.669999999925494,10670677.609999999403954
20160629,3578656.199999999720603,3664809.799999999813735,3592911.119999999646097,10836378.119999999180436
20160630,3599099.800000000279397,3682544.199999999254942,3642650.639999999664724,10924295.640000000596046
20160701,3635898.280000000260770,3673677.000000000000000,3646536.540000000037253,10956112.820000000298023
20160705,3660430.600000000093132,3691933.000000000000000,3614672.159999999683350,10967036.759999999776483
20160706,3665541.500000000000000,3713318.599999999627471,3656251.290000000037253,11035112.390000000596046
20160707,3656341.880000000353903,3672112.200000000186265,3612340.619999999646097,10940795.699999999254942
20160708,3692118.179999999701977,3684369.799999999813735,3634878.840000000316650,11011367.820000000298023
20160711,3695184.719999999739230,3659593.799999999348074,3648479.490000000223517,11003259.009999999776483
20160712,3704384.340000000316650,3647597.000000000000000,3689670.030000000260770,11041652.370000001043081
20160713,3711539.600000000093132,3689846.599999999627471,3686949.899999999906868,11088337.099999999627471
20160714,3773892.580000000074506,3673155.399999999906868,3689670.030000000260770,11136719.010000001639128
20160715,3758559.880000000353903,3685934.600000000093132,3696276.060000000055879,11140771.540000000968575
20160718,3745271.540000000037253,3670808.199999999720603,3684618.359999999869615,11100699.099999999627471
20160719,3745271.540000000037253,3718795.399999999906868,3671017.709999999962747,11135085.649999998509884
20160720,3749360.259999999776483,3730009.799999999813735,3650033.850000000093132,11129404.910000000149012
