訓練日期,20110214 - 20110517
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11015521.419999999925494
真實報酬,1015521.419999999925494

夏普值報酬,0.092852142000000
夏普值風險,0.030966425271167
夏普值,2.998477905890374

預期報酬,16667.263578924881585
風險,110117.706435302752652
趨勢值,0.151358615416835
找到最佳解世代,2194
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](4),MCD[15](12),PFE[20](1),UNH[23](3),
20110418,2708656.000000000000000,2528237.239999999757856,2708442.620000000111759,2569018.299999999813735,10514354.160000000149012
20110419,2731984.000000000000000,2515103.639999999664724,2725702.200000000186265,2593204.199999999720603,10565994.039999999105930
20110420,2794451.200000000186265,2574204.839999999850988,2707114.960000000428408,2609721.399999999906868,10685492.400000000372529
20110421,2802745.600000000093132,2525282.179999999701977,2627455.359999999869615,2820315.699999999720603,10775798.839999997988343
20110425,2784342.399999999906868,2532505.659999999683350,2673923.460000000428408,2814416.699999999720603,10805188.219999998807907
20110426,2818816.000000000000000,2526267.199999999720603,2680561.760000000242144,2793180.299999999813735,10818825.259999997913837
20110427,2824518.399999999906868,2556802.819999999832362,2738978.800000000279397,2843911.699999999720603,10964211.719999998807907
20110428,2820371.200000000186265,2562056.259999999776483,2765532.000000000000000,2896412.799999999813735,11044372.259999999776483
20110429,2836700.799999999813735,2571249.779999999795109,2784119.240000000223517,2904081.499999999534339,11096151.320000000298023
20110502,2804041.600000000093132,2582085.000000000000000,2790757.540000000037253,2942425.000000000000000,11119309.140000000596046
20110503,2751942.399999999906868,2591935.199999999720603,2713753.260000000242144,2930627.000000000000000,10988257.859999999403954
20110504,2713321.600000000093132,2596203.619999999646097,2740306.460000000428408,2923548.199999999720603,10973379.879999998956919
20110505,2659926.399999999906868,2580771.639999999664724,2707114.960000000428408,2924727.999999999534339,10872541.000000000000000
20110506,2666665.600000000093132,2584055.040000000037253,2728357.520000000484288,2956582.599999999627471,10935660.760000001639128
20110509,2698028.800000000279397,2604083.779999999795109,2734995.820000000298023,2977229.099999999627471,11014337.500000000000000
20110510,2705027.200000000186265,2617217.379999999422580,2769514.979999999981374,2979588.699999999720603,11071348.259999999776483
20110511,2650595.200000000186265,2610650.580000000074506,2736323.479999999981374,2950683.600000000093132,10948252.859999999403954
20110512,2663555.200000000186265,2648409.679999999701977,2773497.960000000428408,2954222.999999999534339,11039685.839999999850988
20110513,2653964.799999999813735,2651036.399999999441206,2777480.940000000409782,2946554.299999999813735,11029036.439999999478459
20110516,2634784.000000000000000,2664170.000000000000000,2785446.900000000372529,2959532.100000000093132,11043933.000000000000000
20110517,2602643.199999999720603,2657274.859999999869615,2806689.460000000428408,2948913.899999999906868,11015521.419999999925494
