訓練日期,20120423 - 20120724
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11141180.289999999105930
真實報酬,1141180.289999999105930

夏普值報酬,0.105418029000000
夏普值風險,0.041495144365052
夏普值,2.540490715554290

預期報酬,20528.900241285431548
風險,108789.187714283310925
趨勢值,0.188703497770396
找到最佳解世代,2321
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),KO[14](5),VZ[26](1),WMT[28](3),
20120620,2817586.779999999795109,2547881.689999999944121,2794988.929999999701977,2742994.239999999757856,10903451.639999998733401
20120621,2798106.549999999813735,2518208.530000000260770,2796925.399999999906868,2710168.000000000000000,10823408.480000000447035
20120622,2802238.719999999739230,2526975.600000000093132,2836945.780000000260770,2694155.200000000186265,10860315.300000000745058
20120625,2756784.850000000093132,2521580.479999999981374,2817581.080000000074506,2729383.360000000335276,10825329.769999999552965
20120626,2792203.449999999720603,2531696.330000000074506,2829845.390000000130385,2745396.160000000149012,10899141.330000000074506
20120627,2825851.119999999646097,2574182.899999999906868,2825972.450000000186265,2745796.480000000447035,10971802.949999999254942
20120628,2822899.569999999832362,2581601.189999999944121,2838236.759999999776483,2734187.200000000186265,10976924.719999998807907
20120629,2863040.649999999906868,2636901.169999999925494,2868574.790000000037253,2791032.640000000130385,11159549.250000000000000
20120702,2876027.469999999739230,2661179.209999999962747,2900203.799999999813735,2776220.799999999813735,11213631.280000001192093
20120703,2868353.439999999944121,2669271.890000000130385,2901494.780000000260770,2832265.600000000093132,11271385.709999999031425
20120705,2840018.560000000055879,2645668.239999999757856,2897621.839999999850988,2845476.160000000149012,11228784.800000000745058
20120706,2835886.389999999664724,2635552.390000000130385,2867283.810000000055879,2856685.120000000111759,11195407.710000000894070
20120709,2833525.149999999906868,2629482.880000000353903,2887939.490000000223517,2872697.920000000391155,11223645.440000001341105
20120710,2795745.310000000055879,2629482.880000000353903,2885357.530000000260770,2886709.120000000111759,11197294.839999999850988
20120711,2790432.520000000018626,2611948.739999999757856,2898267.330000000074506,2892713.920000000391155,11193362.509999999776483
20120712,2798696.859999999869615,2584298.750000000000000,2883421.060000000055879,2894715.520000000018626,11161132.189999999478459
20120713,2844741.039999999571592,2605879.229999999981374,2918277.520000000018626,2929543.360000000335276,11298441.149999998509884
20120716,2825260.810000000055879,2578903.630000000353903,2922150.459999999962747,2921536.960000000428408,11247851.860000001266599
20120717,2913217.000000000000000,2620041.419999999925494,2947324.569999999832362,2926340.799999999813735,11406923.789999999105930
20120718,2913217.000000000000000,2611274.350000000093132,2962170.839999999850988,2916332.799999999813735,11402994.989999998360872
20120719,2891965.839999999850988,2615320.689999999944121,2875029.689999999944121,2863490.560000000055879,11245806.779999999329448
20120720,2868353.439999999944121,2597786.550000000279397,2871802.240000000223517,2892313.600000000093132,11230255.830000000074506
20120723,2832344.529999999795109,2592391.429999999701977,2862765.379999999888241,2876300.799999999813735,11163802.139999998733401
20120724,2842970.109999999869615,2584973.140000000130385,2825326.959999999962747,2887910.080000000074506,11141180.289999999105930
