訓練日期,20100730 - 20101029
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11201631.080000000074506
真實報酬,1201631.080000000074506

夏普值報酬,0.111463108000000
夏普值風險,0.033219301924574
夏普值,3.355371773105926

預期報酬,20572.749386430361483
風險,99536.738633927117917
趨勢值,0.206684985551839
找到最佳解世代,1541
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),MCD[15](2),VZ[26](3),
20100914,3490908.600000000093132,3552413.640000000130385,3567635.600000000093132,10610958.839999999850988
20100915,3479999.520000000018626,3589407.520000000018626,3599953.200000000186265,10669361.240000000223517
20100916,3486060.120000000111759,3593731.479999999981374,3626499.800000000279397,10706292.400000000372529
20100917,3488484.360000000335276,3570670.359999999869615,3656509.000000000000000,10715664.720000000670552
20100920,3513938.879999999888241,3608625.120000000111759,3703831.200000000186265,10826396.199999999254942
20100921,3522423.719999999739230,3627842.720000000670552,3730377.799999999813735,10880645.240000000223517
20100922,3529696.439999999944121,3609586.000000000000000,3738457.200000000186265,10877740.640000000596046
20100923,3507878.280000000260770,3586044.440000000409782,3713064.800000000279397,10806988.520000001415610
20100924,3552726.719999999739230,3608144.680000000167638,3767312.200000000186265,10928184.600000001490116
20100927,3551514.600000000093132,3591809.720000000670552,3792704.599999999627471,10936029.919999999925494
20100928,3581817.600000000093132,3585564.000000000000000,3776545.799999999813735,10943928.399999998509884
20100929,3561211.560000000055879,3576916.080000000540167,3769620.599999999627471,10907749.240000000223517
20100930,3546666.120000000111759,3579798.720000000670552,3761541.200000000186265,10888007.040000000968575
20101001,3583029.719999999739230,3599496.760000000242144,3796167.200000000186265,10978694.679999999701977
20101004,3568484.280000000260770,3600938.080000000540167,3812326.000000000000000,10981749.360000001266599
20101005,3615756.959999999962747,3642736.359999999869615,3874652.799999999813735,11133147.120000001043081
20101006,3621817.560000000055879,3622557.880000000353903,3837718.399999999906868,11082094.839999999850988
20101007,3602423.639999999664724,3644658.120000000111759,3800784.000000000000000,11047866.759999999776483
20101008,3601211.520000000018626,3656188.680000000167638,3789241.999999999534339,11046643.199999999254942
20101011,3609696.360000000335276,3631686.240000000223517,3812326.000000000000000,11053709.600000001490116
20101012,3612120.600000000093132,3631205.800000000279397,3755770.199999999720603,10999097.599999999627471
20101013,3632726.639999999664724,3639373.280000000260770,3717681.600000000093132,10989782.519999999552965
20101014,3631514.520000000018626,3701350.040000000502914,3744228.199999999720603,11077093.759999999776483
20101015,3632726.639999999664724,3722489.400000000372529,3743074.000000000000000,11098291.039999999105930
20101018,3636363.000000000000000,3714802.359999999869615,3761541.200000000186265,11112707.559999998658895
20101019,3656969.040000000037253,3698947.839999999850988,3711910.599999999627471,11067828.480000000447035
20101020,3706665.959999999962747,3719126.320000000298023,3767312.200000000186265,11193105.480000000447035
20101021,3726059.879999999888241,3768611.640000000130385,3753461.800000000279397,11248134.320000000298023
20101022,3734544.719999999739230,3773896.479999999981374,3703831.200000000186265,11212273.399999998509884
20101025,3698181.120000000111759,3781103.080000000540167,3733840.399999999906868,11213125.600000001490116
20101026,3711514.439999999944121,3783985.720000000670552,3751153.399999999906868,11246654.560000000521541
20101027,3709090.200000000186265,3722489.400000000372529,3752307.599999999627471,11183888.199999999254942
20101028,3710302.319999999832362,3722489.400000000372529,3740765.599999999627471,11173558.320000000298023
20101029,3716362.919999999925494,3736422.160000000149012,3748844.999999999534339,11201631.080000000074506
