訓練日期,20160222 - 20160523
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11018681.269999999552965
真實報酬,1018681.269999999552965

夏普值報酬,0.093168127000000
夏普值風險,0.033093341041425
夏普值,2.815313415571290

預期報酬,18818.974365771628072
風險,84630.837917405209737
趨勢值,0.222365450099145
找到最佳解世代,1943
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
IBM[10](14),JNJ[12](1),PFE[20](6),XOM[29](11),
20160318,2763177.849999999627471,2580163.339999999850988,2496609.040000000037253,2551515.100000000093132,10391465.330000000074506
20160321,2792106.749999999534339,2574883.119999999646097,2549168.920000000391155,2533939.360000000335276,10450098.149999998509884
20160322,2782150.699999999720603,2577283.219999999739230,2575448.860000000335276,2549090.860000000335276,10483973.640000000596046
20160323,2731431.199999999720603,2604164.339999999850988,2559341.800000000279397,2537878.750000000000000,10432816.089999999850988
20160324,2779332.949999999720603,2599604.149999999906868,2550016.660000000149012,2544848.439999999944121,10473802.199999999254942
20160328,2787786.199999999720603,2597684.069999999832362,2524584.460000000428408,2552121.160000000149012,10462175.890000000596046
20160329,2805256.250000000000000,2619524.979999999981374,2547473.440000000409782,2561515.089999999850988,10533769.760000001639128
20160330,2787974.049999999813735,2615684.819999999832362,2549168.920000000391155,2561212.060000000055879,10514039.849999999627471
20160331,2845080.449999999720603,2596964.040000000037253,2512716.100000000093132,2533030.270000000018626,10487790.859999999403954
20160401,2865180.399999999906868,2620725.029999999795109,2546625.700000000186265,2513939.379999999888241,10546470.509999999776483
20160404,2856727.149999999441206,2606324.429999999701977,2604272.020000000018626,2519999.979999999981374,10587323.580000000074506
20160405,2817842.199999999720603,2614964.790000000037253,2658527.380000000353903,2491212.129999999888241,10582546.500000000000000
20160406,2818217.899999999906868,2626245.259999999776483,2791622.560000000055879,2524545.430000000167638,10760631.150000000372529
20160407,2784968.449999999720603,2622645.109999999869615,2777210.979999999981374,2496060.610000000335276,10680885.149999998509884
20160408,2805631.949999999720603,2618564.939999999944121,2755169.740000000223517,2521515.129999999888241,10700881.759999999776483
20160411,2803753.449999999720603,2615444.810000000055879,2703457.600000000093132,2524848.459999999962747,10647504.320000000298023
20160412,2810891.749999999534339,2630565.439999999944121,2709391.780000000260770,2556060.549999999813735,10706909.519999999552965
20160413,2840947.749999999534339,2637045.709999999962747,2758560.700000000186265,2570605.989999999757856,10807160.149999998509884
20160414,2839632.799999999813735,2636325.679999999701977,2767885.840000000316650,2588787.790000000037253,10832632.109999999403954
20160415,2850152.399999999906868,2644486.020000000018626,2755169.740000000223517,2574848.410000000149012,10824656.570000000298023
20160418,2865368.249999999534339,2662486.770000000018626,2764494.880000000353903,2599393.839999999850988,10891743.740000000223517
20160419,2705132.199999999720603,2704488.520000000018626,2788231.600000000093132,2612424.129999999888241,10810276.449999999254942
20160420,2744768.549999999813735,2726089.419999999925494,2817054.759999999776483,2630302.899999999906868,10918215.629999998956919
20160421,2804692.699999999720603,2725849.409999999683350,2817902.500000000465661,2629999.870000000111759,10978444.480000000447035
20160422,2789664.699999999720603,2719849.159999999683350,2820445.720000000670552,2652424.089999999850988,10982383.669999999925494
20160425,2795488.049999999813735,2724409.350000000093132,2815359.280000000260770,2646363.489999999757856,10981620.169999999925494
20160426,2800560.000000000000000,2710008.750000000000000,2801795.439999999944121,2655454.389999999664724,10967818.579999998211861
20160427,2826671.149999999906868,2706648.609999999869615,2797556.740000000223517,2680605.879999999888241,11011482.379999998956919
20160428,2762802.149999999441206,2699688.319999999832362,2789927.080000000074506,2667575.589999999850988,10919993.139999998733401
20160429,2741575.099999999627471,2690087.919999999925494,2772972.280000000260770,2678787.700000000186265,10883423.000000000000000
20160502,2728989.149999999906868,2706168.589999999850988,2780601.939999999944121,2700908.889999999664724,10916668.570000000298023
20160503,2707574.249999999534339,2704728.529999999795109,2856898.540000000502914,2669999.830000000074506,10939201.150000000372529
20160504,2709828.449999999720603,2693448.060000000055879,2831466.340000000316650,2664848.319999999832362,10899591.169999999925494
20160505,2751531.149999999906868,2709288.719999999739230,2845877.920000000391155,2667878.620000000111759,10974576.410000000149012
20160506,2766934.849999999627471,2705928.579999999608845,2846725.660000000149012,2682121.030000000260770,11001710.120000001043081
20160509,2767874.099999999627471,2729449.560000000055879,2867071.420000000391155,2683939.209999999962747,11048334.289999999105930
20160510,2817278.649999999906868,2752250.509999999776483,2865375.939999999944121,2726969.469999999739230,11161874.570000000298023
20160511,2798117.949999999720603,2745050.209999999962747,2811120.580000000074506,2691211.930000000167638,11045500.669999999925494
20160512,2796051.599999999627471,2741690.069999999832362,2813663.799999999813735,2717272.510000000242144,11068677.980000000447035
20160513,2775012.399999999906868,2725609.399999999906868,2813663.799999999813735,2686666.479999999981374,11000952.080000000074506
20160516,2807698.299999999813735,2746730.279999999795109,2829770.860000000335276,2714242.209999999962747,11098441.650000000372529
20160517,2780272.199999999720603,2732089.669999999925494,2800099.960000000428408,2713030.089999999850988,11025491.919999999925494
20160518,2767874.099999999627471,2726329.429999999701977,2811968.320000000298023,2707575.549999999813735,11013747.399999998509884
20160519,2722602.250000000000000,2708568.689999999944121,2829770.860000000335276,2730605.830000000074506,10991547.629999998956919
20160520,2766183.449999999720603,2703528.479999999981374,2860289.500000000465661,2719393.719999999739230,11049395.149999998509884
20160523,2757166.649999999906868,2692008.000000000000000,2854355.320000000298023,2715151.299999999813735,11018681.269999999552965
