訓練日期,20161205 - 20170309
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11879768.699999999254942
真實報酬,1879768.699999999254942

夏普值報酬,0.179276870000000
夏普值風險,0.049500623782532
夏普值,3.621709309919154

預期報酬,29936.643704799014813
風險,111000.214053481206065
趨勢值,0.269698972745901
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](8),DIS[6](10),V[25](1),
20170117,2729744.699999999720603,2588996.399999999906868,2740348.600000000093132,2682908.640000000130385,10741998.339999999850988
20170118,2729517.229999999515712,2599669.399999999906868,2745170.799999999813735,2693803.919999999925494,10768161.349999997764826
20170119,2724740.359999999869615,2610835.000000000000000,2722836.399999999906868,2698426.160000000149012,10756837.919999999925494
20170120,2729744.699999999720603,2619537.600000000093132,2732480.799999999813735,2702057.919999999925494,10783821.019999999552965
20170123,2731564.459999999497086,2591787.800000000279397,2718775.600000000093132,2712292.880000000353903,10754420.740000000223517
20170124,2729062.289999999571592,2636286.000000000000000,2738572.000000000000000,2747950.160000000149012,10851870.449999999254942
20170125,2772509.059999999590218,2748106.200000000186265,2742125.200000000186265,2770070.880000000353903,11032811.339999999850988
20170126,2773873.879999999888241,2777005.399999999906868,2742632.800000000279397,2748280.319999999832362,11041792.400000000372529
20170127,2774101.349999999627471,2753689.000000000000000,2774104.000000000000000,2765778.799999999813735,11067673.149999998509884
20170130,2766822.309999999590218,2718714.399999999906868,2815727.199999999720603,2763467.680000000167638,11064731.589999997988343
20170131,2760453.149999999441206,2683411.399999999906868,2808367.000000000000000,2730781.839999999850988,10983013.389999998733401
20170201,2928780.949999999720603,2692442.399999999906868,2824864.000000000000000,2721867.520000000018626,11167954.869999999180436
20170202,2923776.609999999869615,2664364.199999999720603,2807351.799999999813735,2717245.279999999795109,11112737.889999998733401
20170203,2936287.459999999962747,2666663.000000000000000,2799484.000000000000000,2842045.759999999776483,11244480.220000000670552
20170206,2963811.329999999608845,2692606.599999999627471,2780956.599999999627471,2833791.759999999776483,11271166.289999999105930
20170207,2992017.609999999869615,2733985.000000000000000,2766490.000000000000000,2832140.959999999962747,11324633.570000000298023
20170208,3003618.579999999608845,2689815.200000000186265,2766490.000000000000000,2809359.919999999925494,11269283.699999999254942
20170209,3012262.439999999478459,2697532.600000000093132,2778926.199999999720603,2825537.759999999776483,11314258.999999998137355
20170210,3005438.339999999850988,2729551.599999999627471,2773088.800000000279397,2836102.880000000353903,11344181.620000001043081
20170213,3032052.329999999608845,2759107.600000000093132,2782987.000000000000000,2853931.520000000018626,11428078.449999999254942
20170214,3071404.640000000130385,2766825.000000000000000,2800245.399999999906868,2867468.079999999608845,11505943.120000001043081
20170215,3082550.669999999459833,2779961.000000000000000,2796438.400000000372529,2890249.120000000111759,11549199.190000001341105
20170216,3078911.149999999441206,2804755.200000000186265,2809889.799999999813735,2885957.040000000037253,11579513.189999997615814
20170217,3087327.539999999571592,2835953.200000000186265,2793392.800000000279397,2887607.839999999850988,11604281.380000000819564
20170221,3109619.599999999627471,2882750.200000000186265,2792123.800000000279397,2902795.200000000186265,11687288.800000000745058
20170222,3118945.870000000111759,2879466.200000000186265,2794915.600000000093132,2898833.279999999795109,11692160.949999999254942
20170223,3105752.609999999869615,2904096.200000000186265,2785017.399999999906868,2911379.360000000335276,11706245.570000000298023
20170224,3108709.719999999739230,2913619.799999999813735,2799991.599999999627471,2919633.360000000335276,11741954.480000000447035
20170227,3114851.409999999683350,2946295.600000000093132,2797707.399999999906868,2905436.479999999981374,11764290.890000000596046
20170228,3116216.229999999981374,2959431.599999999627471,2794154.200000000186265,2903455.520000000018626,11773257.550000000745058
20170301,3179907.829999999608845,3019857.199999999720603,2818265.200000000186265,2938122.319999999832362,11956152.550000000745058
20170302,3161027.819999999832362,3004750.800000000279397,2806844.200000000186265,2922934.959999999962747,11895557.780000001192093
20170303,3179680.359999999869615,2991450.600000000093132,2823341.199999999720603,2931519.120000000111759,11925991.280000001192093
20170306,3169671.679999999701977,2970925.600000000093132,2808874.600000000093132,2936471.520000000018626,11885943.399999998509884
20170307,3173766.140000000130385,2988823.400000000372529,2813696.799999999813735,2940433.439999999944121,11916719.779999999329448
20170308,3161937.699999999720603,2984225.800000000279397,2813189.200000000186265,2937131.839999999850988,11896484.539999999105930
20170309,3154658.659999999683350,2965014.399999999906868,2818011.399999999906868,2942084.239999999757856,11879768.699999999254942
