訓練日期,20131127 - 20140304
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11920320.859999999403954
真實報酬,1920320.859999999403954

夏普值報酬,0.183332086000000
夏普值風險,0.049997669470299
夏普值,3.666812632314964

預期報酬,26772.895025463087222
風險,139792.741748480359092
趨勢值,0.191518491522498
找到最佳解世代,1908
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](1),DD[7](2),MRK[17](4),
20140218,3815391.600000000093132,4020024.960000000428408,3744114.409999999683350,11579531.970000000670552
20140219,3801562.049999999813735,3990457.379999999422580,3700414.259999999776483,11492434.689999999478459
20140220,3829616.279999999795109,4050799.379999999422580,3752182.130000000353903,11632598.789999999105930
20140221,3852533.819999999832362,4035713.879999999422580,3766972.950000000186265,11655221.649999998509884
20140224,3845421.479999999515712,4034507.040000000037253,3777057.600000000093132,11656987.119999999180436
20140225,3809464.649999999906868,4058040.419999999925494,3758905.229999999981374,11626411.300000000745058
20140226,3840679.919999999925494,4109934.540000000037253,3783108.390000000130385,11733723.849999999627471
20140227,3820923.419999999925494,4168466.279999999795109,3809328.479999999981374,11798719.179999999701977
20140228,3831591.929999999701977,4185965.460000000428408,3831514.709999999962747,11849073.100000001490116
20140303,3805513.350000000093132,4162432.080000000074506,3793193.040000000037253,11761139.469999998807907
20140304,3833567.579999999608845,4250531.399999999441206,3836220.880000000353903,11920320.859999999403954
