代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12422907.896500001000
真實報酬,2422907.896500000700

夏普值報酬,0.233590789650
夏普值風險,0.056693352432
夏普值,4.120250075721

預期報酬,7812.315715635063
風險,208785.981244076650
起點值,0.037417817370
找到最佳解世代,4139
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,1
2412(24),
FS( 206 ),11785749.852249999000,11785749.852249999000
FS( 207 ),11679750.982000001000,11679750.982000001000
FS( 208 ),11732168.005749999000,11732168.005749999000
FS( 209 ),11785749.852249999000,11785749.852249999000
FS( 210 ),11838166.876000000000,11838166.876000000000
FS( 211 ),11785749.852249999000,11785749.852249999000
FS( 212 ),11891748.722499998000,11891748.722499998000
FS( 213 ),11945330.569000002000,11945330.569000002000
FS( 214 ),11785749.852249999000,11785749.852249999000
FS( 215 ),11785749.852249999000,11785749.852249999000
FS( 216 ),11838166.876000000000,11838166.876000000000
FS( 217 ),11679750.982000001000,11679750.982000001000
FS( 218 ),11732168.005749999000,11732168.005749999000
FS( 219 ),11732168.005749999000,11732168.005749999000
FS( 220 ),11785749.852249999000,11785749.852249999000
FS( 221 ),11785749.852249999000,11785749.852249999000
FS( 222 ),11732168.005749999000,11732168.005749999000
FS( 223 ),11785749.852249999000,11785749.852249999000
FS( 224 ),11732168.005749999000,11732168.005749999000
FS( 225 ),11732168.005749999000,11732168.005749999000
FS( 226 ),11785749.852249999000,11785749.852249999000
FS( 227 ),11838166.876000000000,11838166.876000000000
FS( 228 ),11945330.569000002000,11945330.569000002000
FS( 229 ),11945330.569000002000,11945330.569000002000
FS( 230 ),11945330.569000002000,11945330.569000002000
FS( 231 ),11997747.592750000000,11997747.592750000000
FS( 232 ),12051329.439250000000,12051329.439250000000
FS( 233 ),11945330.569000002000,11945330.569000002000
FS( 234 ),11945330.569000002000,11945330.569000002000
FS( 235 ),11997747.592750000000,11997747.592750000000
FS( 236 ),11945330.569000002000,11945330.569000002000
FS( 237 ),11997747.592750000000,11997747.592750000000
FS( 238 ),12051329.439250000000,12051329.439250000000
FS( 239 ),12051329.439250000000,12051329.439250000000
FS( 240 ),12103746.463000001000,12103746.463000001000
FS( 241 ),12051329.439250000000,12051329.439250000000
FS( 242 ),11997747.592750000000,11997747.592750000000
FS( 243 ),11945330.569000002000,11945330.569000002000
FS( 244 ),11997747.592750000000,11997747.592750000000
FS( 245 ),12157328.309500000000,12157328.309500000000
FS( 246 ),12422907.896500001000,12422907.896500001000
