代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11481813.780499998000
真實報酬,1481813.780499998500

夏普值報酬,0.139481378050
夏普值風險,0.053132414856
夏普值,2.625165417886

預期報酬,7692.237211150302
風險,194346.014239742010
起點值,0.039580113033
找到最佳解世代,4810
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,6
1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
Stock#,1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
張數,32,72,13,27,34,53,
FS( 135 ),2110409.543999999800,1795285.594000000000,1782089.197500000000,1785217.694500000000,1919628.210000000200,1630637.606999999800,11023271.846999999000
FS( 136 ),2131754.671999999800,1806037.804000000200,1830494.054000000000,1787099.331250000000,1945353.868000000500,1623250.440499999800,11123994.169749999000
FS( 137 ),2126975.912000000000,1806037.804000000200,1837353.565750000300,1787099.331250000000,1914550.777500000100,1645411.939999999900,11117433.330499999000
FS( 138 ),2081736.984000000200,1803170.548000000000,1816645.605749999900,1773927.874000000100,1904057.417000000100,1638024.773499999900,11017567.202249998000
FS( 139 ),2098303.352000000000,1811055.501999999900,1840848.034000000200,1783336.057750000200,1916920.246000000000,1629054.642749999900,11079521.834500000000
FS( 140 ),2119967.064000000200,1823958.154000000300,1937657.747000000200,1779572.784250000300,1919628.210000000200,1630637.606999999800,11211425.566250000000
FS( 141 ),2124745.824000000000,1833993.550000000000,1972343.579999999800,1772046.237250000200,1916920.246000000000,1629054.642749999900,11249108.080000000000
FS( 142 ),2117418.392000000000,1821090.898000000000,1896241.827000000000,1770164.600500000200,1906765.381000000500,1640135.392499999800,11151820.491000002000
FS( 143 ),2076958.223999999900,1821090.898000000000,1930798.235250000100,1773927.874000000100,1901687.948499999700,1636441.809249999700,11140908.988999998000
FS( 144 ),2050515.752000000100,1816073.200000000000,1951506.195249999900,1770164.600500000200,1883747.687000000200,1623250.440499999800,11095261.875250002000
FS( 145 ),2050515.752000000100,1806037.804000000200,1968849.111750000200,1773927.874000000100,1901687.948499999700,1640135.392499999800,11141157.882750001000
FS( 146 ),2024391.864000000100,1800303.292000000100,1951506.195249999900,1773927.874000000100,1883747.687000000200,1624833.404750000000,11058714.317000002000
FS( 147 ),2003046.736000000000,1803170.548000000000,1930798.235250000100,1785217.694500000000,1904057.417000000100,1636441.809249999700,11062736.439999999000
FS( 148 ),2046055.575999999900,1803170.548000000000,1923809.298749999800,1788980.968000000100,1896610.516000000100,1645411.939999999900,11104042.846750000000
FS( 149 ),2033949.383999999800,1806037.804000000200,1941152.215250000100,1802152.425250000300,1893902.552000000100,1647522.558999999900,11124720.939500000000
FS( 150 ),2026940.536000000100,1808188.245999999800,1910090.275249999900,1820968.792749999800,1924705.642500000100,1653326.761249999700,11144224.253750000000
