代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12812254.669999999925494
真實報酬,2812254.669999999925494

夏普值報酬,0.272525467000000
夏普值風險,0.095365404458591
夏普值,2.857697385620940

二次趨勢線,92.107350839721931 x^2 + -11021.236669489160704 x + 10000000.000000000000000
二次加權預期報酬,20111.047914336864778
風險,157885.767995204514591
二次加權趨勢值,0.127377205492947
一次趨勢線,6490.605282174182321 x + 10000000.000000000000000
一次預期報酬,6490.605282174182321
一次風險,680966.208768157870509
一次趨勢值,0.009531464555217
找到最佳解世代,3805
找到最佳解實驗#,4
找到最佳解次數,35

stock[index](rank)
投資組合檔數,3
AAPL[0](4),BA[2](1),DIS[6](9),
FS( 13 ),3239993.600000000093132,3483505.880000000353903,3453449.220000000204891,10176949.700000001117587
FS( 14 ),3246660.700000000186265,3428109.939999999944121,3474646.200000000186265,10149417.839999999850988
FS( 15 ),3211506.900000000372529,3432573.120000000577420,3462533.640000000130385,10106614.660000002011657
FS( 16 ),3202718.450000000651926,3440711.860000000335276,3491469.200000000186265,10134900.510000001639128
FS( 17 ),3184535.450000000186265,3432835.660000000149012,3518386.000000000000000,10135758.109999999403954
FS( 18 ),3162412.800000000279397,3498208.120000000577420,3529152.720000000204891,10189774.640000000596046
FS( 19 ),2964521.149999999906868,3599023.480000000447035,3542274.660000000149012,10105820.290000000968575
FS( 20 ),2873909.200000000186265,3539164.360000000335276,3500217.160000000149012,9913291.720000000670552
FS( 21 ),2840876.750000000000000,3539164.360000000335276,3474309.740000000223517,9854351.850000001490116
FS( 22 ),2837846.250000000465661,3518423.699999999720603,3511320.340000000316650,9867591.290000000968575
FS( 23 ),2884515.950000000651926,3478517.620000000577420,3491805.660000000149012,9854840.230000000447035
FS( 24 ),2854514.000000000000000,3436511.219999999739230,3488104.600000000093132,9779130.820000000298023
FS( 25 ),2825724.250000000000000,3467753.480000000447035,3530498.560000000521541,9823977.290000000968575
FS( 26 ),2809965.650000000372529,3498733.199999999720603,3551022.620000000577420,9859722.470000000670552
FS( 27 ),2812087.000000000465661,3468278.560000000055879,3544293.420000000391155,9824659.980000000447035
FS( 28 ),2831179.150000000372529,3537064.040000000037253,3586687.379999999888241,9954931.570000000298023
FS( 29 ),2803601.600000000558794,3491907.160000000149012,3441673.120000000577420,9737182.880000000819564
FS( 30 ),2737839.750000000465661,3529187.839999999850988,3422158.439999999944121,9689187.029999999329448
FS( 31 ),2743294.650000000372529,3468803.640000000130385,3382119.700000000186265,9594218.990000002086163
FS( 32 ),2845119.450000000186265,3521836.719999999739230,3376736.340000000316650,9743693.509999999776483
FS( 33 ),2833300.500000000000000,3480355.400000000372529,3362605.020000000018626,9676261.919999999925494
FS( 34 ),2865726.850000000558794,3439136.620000000577420,3330977.780000000260770,9635842.250000000000000
FS( 35 ),2854817.050000000279397,3362737.480000000447035,3311126.640000000130385,9528682.170000001788139
FS( 36 ),2885728.150000000372529,3344622.220000000204891,3357221.660000000149012,9587573.030000001192093
FS( 37 ),2922397.200000000651926,3349610.479999999981374,3337034.060000000521541,9609042.740000002086163
FS( 38 ),2966945.550000000279397,3347510.160000000149012,3348137.240000000223517,9662593.950000001117587
FS( 39 ),3019070.150000000372529,3383215.600000000558794,3359913.340000000316650,9762200.090000001713634
FS( 40 ),3043011.100000000093132,3395029.900000000372529,3358231.040000000502914,9796273.040000000968575
FS( 41 ),3041192.800000000279397,3392667.040000000037253,3374381.120000000577420,9808241.960000000894070
FS( 42 ),3026343.350000000093132,3312067.260000000242144,3338379.900000000372529,9676791.510000001639128
FS( 43 ),2983916.350000000093132,3318893.300000000279397,3314827.700000000186265,9617638.350000001490116
FS( 44 ),2961490.650000000372529,3330445.060000000055879,3321556.900000000372529,9613493.610000001266599
FS( 45 ),2967551.650000000372529,3344359.680000000167638,3322566.280000000260770,9634478.609999999403954
FS( 46 ),2989068.200000000186265,3463027.760000000242144,3323575.660000000149012,9775672.620000001043081
FS( 47 ),3001190.200000000186265,3463815.380000000353903,3309107.879999999888241,9774114.460000000894070
FS( 48 ),2998462.750000000000000,3491907.160000000149012,3298677.620000000577420,9789048.530000001192093
FS( 49 ),3019979.300000000279397,3494532.560000000055879,3291948.420000000391155,9806461.280000001192093
FS( 50 ),2995129.200000000186265,3443074.719999999739230,3275125.420000000391155,9713330.339999999850988
FS( 51 ),2949974.750000000465661,3411044.839999999850988,3282864.000000000000000,9643884.589999999850988
FS( 52 ),2953611.350000000093132,3426272.160000000149012,3310790.180000000633299,9690674.690000001341105
FS( 53 ),2943913.750000000465661,3417345.800000000279397,3306416.200000000186265,9667676.750000000000000
FS( 54 ),2956338.800000000279397,3396605.140000000130385,3310117.260000000242144,9663062.200000001117587
FS( 55 ),2889061.700000000186265,3408419.439999999944121,3330977.780000000260770,9628459.920000001788139
FS( 56 ),2882091.550000000279397,3485343.660000000149012,3350156.000000000000000,9717592.210000000894070
FS( 57 ),2906638.600000000093132,3453051.240000000223517,3324921.500000000000000,9684612.339999999850988
FS( 58 ),2895728.800000000279397,3459614.740000000223517,3323912.120000000577420,9679256.660000002011657
FS( 59 ),2912396.550000000279397,3506346.860000000335276,3331650.700000000186265,9750395.109999999403954
FS( 60 ),2830573.050000000279397,3321781.240000000223517,3220618.900000000372529,9372974.190000001341105
FS( 61 ),2789358.250000000465661,3221490.960000000428408,3175533.260000000242144,9186383.470000000670552
FS( 62 ),2836331.000000000465661,3252733.220000000204891,3231722.080000000074506,9320787.300000000745058
FS( 63 ),2860878.050000000279397,3334120.620000000111759,3263012.860000000335276,9458012.530000001192093
FS( 64 ),2897244.050000000279397,3409732.140000000130385,3291275.500000000000000,9598252.690000001341105
FS( 65 ),2906032.500000000465661,3405006.419999999925494,3298341.160000000149012,9609381.080000000074506
FS( 66 ),2878758.000000000000000,3333595.540000000037253,3285892.140000000130385,9498246.679999999701977
FS( 67 ),2895122.700000000186265,3333333.000000000000000,3312472.480000000447035,9540929.179999999701977
FS( 68 ),2907547.750000000000000,3338846.340000000316650,3311126.640000000130385,9557521.730000000447035
FS( 69 ),2929973.450000000651926,3415508.020000000018626,3351838.300000000279397,9697320.770000001415610
FS( 70 ),2939064.950000000186265,3466703.319999999832362,3363950.860000000335276,9769720.129999998956919
FS( 71 ),2952399.150000000372529,3434410.900000000372529,3371352.980000000447035,9758164.030000001192093
FS( 72 ),2935731.400000000372529,3416033.100000000558794,3360586.260000000242144,9712351.760000001639128
FS( 73 ),2993917.000000000465661,3453838.860000000335276,3363614.400000000372529,9811371.260000001639128
FS( 74 ),2993613.950000000186265,3475892.219999999739230,3357894.580000000074506,9827401.750000000000000
FS( 75 ),3025434.200000000186265,3503196.380000000353903,3369670.680000000633299,9898302.260000001639128
FS( 76 ),3026646.400000000372529,3535488.800000000279397,3346791.400000000372529,9908927.600000001490116
FS( 77 ),3029373.850000000093132,3537064.040000000037253,3304733.900000000372529,9871172.790000000968575
FS( 78 ),3013312.200000000651926,3505821.780000000260770,3297668.240000000223517,9816803.220000000670552
FS( 79 ),2989977.350000000093132,3504246.540000000037253,3287574.439999999944121,9781799.330000000074506
FS( 80 ),2949974.750000000465661,3490331.919999999925494,3276807.720000000204891,9717115.390000000596046
FS( 81 ),2929670.400000000372529,3540477.060000000055879,3253255.520000000018626,9723403.980000000447035
FS( 82 ),3119985.800000000279397,3569619.000000000465661,3241142.960000000428408,9930748.760000001639128
FS( 83 ),3162109.750000000465661,3492169.699999999720603,3227011.640000000130385,9881292.089999999850988
FS( 84 ),3158170.100000000093132,3509234.800000000279397,3228357.480000000447035,9895763.380000000819564
FS( 85 ),3213931.300000000279397,3497420.500000000465661,3214562.620000000577420,9925915.420000001788139
FS( 86 ),3166352.450000000186265,3455151.560000000055879,3196730.240000000223517,9818235.250000000000000
FS( 87 ),3206052.000000000465661,3462240.140000000130385,3233067.920000000391155,9901361.060000000521541
FS( 88 ),3208476.400000000372529,3444912.500000000465661,3201777.140000000130385,9855167.040000000968575
FS( 89 ),3257267.450000000186265,3458564.580000000074506,3224319.960000000428408,9940152.990000000223517
FS( 90 ),3284238.900000000372529,3470641.419999999925494,3221628.280000000260770,9976509.600000001490116
FS( 91 ),3297573.100000000558794,3481930.640000000130385,3252582.600000000093132,10032087.339999999850988
FS( 92 ),3273026.050000000279397,3473004.280000000260770,3292621.340000000316650,10038652.669999999925494
FS( 93 ),3270904.700000000651926,3491907.160000000149012,3289593.200000000186265,10052406.060000002384186
FS( 94 ),3278480.950000000651926,3494532.560000000055879,3258302.420000000391155,10031316.930000001564622
FS( 95 ),3317877.450000000186265,3535488.800000000279397,3267050.379999999888241,10120417.629999998956919
FS( 96 ),3314846.950000000186265,3544415.160000000149012,3259648.260000000242144,10118911.370000001043081
FS( 97 ),3309998.150000000372529,3537064.040000000037253,3259311.800000000279397,10106374.990000000223517
FS( 98 ),3305755.450000000186265,3544415.160000000149012,3251909.680000000633299,10102081.290000000968575
FS( 99 ),3314240.850000000093132,3529712.919999999925494,3243161.720000000204891,10087116.490000000223517
FS( 100 ),3288481.600000000558794,3544152.620000000577420,3225665.800000000279397,10058301.020000001415610
FS( 101 ),3298785.300000000279397,3521836.719999999739230,3229030.400000000372529,10049653.419999999925494
FS( 102 ),3273935.200000000186265,3499520.819999999832362,3223983.500000000000000,9997440.519999999552965
FS( 103 ),3259994.899999999906868,3491382.080000000074506,3214899.080000000074506,9966277.060000000521541
FS( 104 ),3240902.750000000000000,3471691.580000000074506,3203459.439999999944121,9916054.769999999552965
FS( 105 ),3237266.149999999906868,3489281.760000000242144,3192019.800000000279397,9918568.710000000894070
FS( 106 ),3212416.050000000279397,3434410.900000000372529,3191683.340000000316650,9838511.290000000968575
FS( 107 ),3215446.550000000279397,3398705.459999999962747,3178224.939999999944121,9792377.949999999254942
FS( 108 ),3234538.700000000186265,3410519.760000000242144,3171495.740000000223517,9816555.200000001117587
FS( 109 ),3264843.700000000186265,3443599.800000000279397,3176879.100000000093132,9885323.599999999627471
FS( 110 ),3263934.550000000279397,3491644.620000000577420,3156018.580000000074506,9911598.750000000000000
FS( 111 ),3283935.850000000093132,3482455.719999999739230,3152990.439999999944121,9919383.009999999776483
FS( 112 ),3197869.650000000372529,3489281.760000000242144,3165775.920000000391155,9852928.330000000074506
FS( 113 ),3125440.700000000186265,3374551.780000000260770,3109587.100000000093132,9609580.580000000074506
FS( 114 ),3195445.250000000000000,3416295.640000000130385,3150635.220000000204891,9762377.110000001266599
FS( 115 ),3271510.800000000279397,3380590.199999999720603,3119007.980000000447035,9771109.980000000447035
FS( 116 ),3387275.900000000372529,3351973.340000000316650,3104203.740000000223517,9843453.980000000447035
FS( 117 ),3502434.899999999906868,3354598.740000000223517,3112278.780000000260770,9969313.420000001788139
FS( 118 ),3482736.650000000372529,3326506.960000000428408,3114297.540000000502914,9923542.150000002235174
FS( 119 ),3442127.950000000186265,3346985.080000000074506,3116652.760000000242144,9905766.790000000968575
FS( 120 ),3441824.899999999906868,3355123.820000000298023,3127419.480000000447035,9924369.200000001117587
FS( 121 ),3441218.800000000279397,3427847.400000000372529,3108577.720000000204891,9977644.920000001788139
FS( 122 ),3473645.150000000372529,3462240.140000000130385,3142896.640000000130385,10078782.930000001564622
FS( 123 ),3415762.600000000093132,3459877.280000000260770,3138186.200000000186265,10013827.080000001937151
FS( 124 ),3420914.450000000186265,3428109.939999999944121,3094109.939999999944121,9943135.330000000074506
FS( 125 ),3427278.500000000465661,3447800.439999999944121,3086034.900000000372529,9961114.839999999850988
FS( 126 ),3453340.800000000279397,3471691.580000000074506,3102184.980000000447035,10027218.360000001266599
FS( 127 ),3399700.950000000651926,3440186.780000000260770,3088726.580000000074506,9928615.310000000521541
FS( 128 ),3426066.300000000279397,3458827.120000000577420,3124391.340000000316650,10009285.760000001639128
FS( 129 ),3410004.650000000372529,3475629.680000000167638,3111942.320000000298023,9997577.650000000372529
FS( 130 ),3424551.050000000279397,3472216.660000000149012,3115306.920000000391155,10012075.630000000819564
FS( 131 ),3426066.300000000279397,3535488.800000000279397,3110596.480000000447035,10072152.580000001937151
FS( 132 ),3451522.500000000465661,3529187.839999999850988,3123381.960000000428408,10104093.300000000745058
FS( 133 ),3456674.350000000558794,3514223.060000000055879,3111942.320000000298023,10082840.730000000447035
FS( 134 ),3516981.300000000279397,3566468.520000000018626,3111942.320000000298023,10195393.140000000596046
FS( 135 ),3524557.550000000279397,3511335.120000000577420,3090745.340000000316650,10126639.010000001639128
FS( 136 ),3556074.750000000465661,3496107.800000000279397,3075604.640000000130385,10127788.190000001341105
FS( 137 ),3545164.950000000186265,3501883.680000000167638,3065847.300000000279397,10112896.930000001564622
FS( 138 ),3564863.200000000186265,3505034.160000000149012,3071903.580000000074506,10141801.940000001341105
FS( 139 ),3562438.800000000279397,3518161.160000000149012,3056089.960000000428408,10136690.920000001788139
FS( 140 ),3560014.400000000372529,3547040.560000000055879,3067529.600000000093132,10174585.560000000521541
FS( 141 ),3549407.650000000372529,3575394.880000000353903,3093100.560000000521541,10217904.090000001713634
FS( 142 ),3547589.350000000558794,3566468.520000000018626,3096465.160000000149012,10210524.030000001192093
FS( 143 ),3533649.050000000279397,3560955.180000000167638,3130111.160000000149012,10224716.390000000596046
FS( 144 ),3565469.300000000279397,3608737.459999999962747,3141550.800000000279397,10315758.560000000521541
FS( 145 ),3583652.300000000279397,3649956.240000000223517,3120690.280000000260770,10354299.820000000298023
FS( 146 ),3503041.000000000465661,3821132.319999999832362,3145588.320000000298023,10469762.640000000596046
FS( 147 ),3469402.450000000186265,3762585.900000000372529,3163420.700000000186265,10395410.050000000745058
FS( 148 ),3446370.650000000372529,3754709.699999999720603,3157700.879999999888241,10358782.230000000447035
FS( 149 ),3440915.750000000465661,3739482.380000000353903,3118671.520000000018626,10299070.650000000372529
FS( 150 ),3378790.500000000000000,3738957.300000000279397,3108577.720000000204891,10226326.520000001415610
FS( 151 ),3381821.000000000465661,3695375.660000000149012,3092427.640000000130385,10169625.300000000745058
FS( 152 ),3328484.200000000186265,3676210.240000000223517,3141550.800000000279397,10146246.240000000223517
FS( 153 ),3298482.250000000465661,3663608.319999999832362,3110596.480000000447035,10072688.050000000745058
FS( 154 ),3346061.100000000093132,3755234.780000000260770,3177215.560000000521541,10278512.440000001341105
FS( 155 ),3365759.350000000558794,3733443.959999999962747,3175533.260000000242144,10274737.570000000298023
FS( 156 ),3360304.450000000186265,3809318.020000000018626,3184281.220000000204891,10353904.690000001341105
FS( 157 ),3266662.000000000465661,3877578.419999999925494,3195047.939999999944121,10339289.359999999403954
FS( 158 ),3286057.200000000651926,3899369.240000000223517,3286565.060000000521541,10471992.500000001862645
FS( 159 ),3203627.600000000093132,3937962.620000000577420,3294640.100000000093132,10436231.320000000298023
FS( 160 ),3246054.600000000093132,3888605.100000000558794,3287237.980000000447035,10421898.680000001564622
FS( 161 ),3333333.000000000000000,3844760.919999999925494,3335015.300000000279397,10513110.220000000670552
FS( 162 ),3332120.800000000279397,3815618.980000000447035,3343426.800000000279397,10491167.580000001937151
FS( 163 ),3335454.350000000558794,3842398.060000000055879,3305406.820000000298023,10483260.230000000447035
FS( 164 ),3386063.700000000186265,3859988.240000000223517,3284882.760000000242144,10530935.700000001117587
FS( 165 ),3388185.050000000279397,3925623.240000000223517,3287574.439999999944121,10601383.730000000447035
FS( 166 ),3370911.200000000186265,3931399.120000000577420,3306079.740000000223517,10608391.060000000521541
FS( 167 ),3387882.000000000465661,3939275.319999999832362,3324921.500000000000000,10652079.820000000298023
FS( 168 ),3381214.899999999906868,3932186.740000000223517,3329968.400000000372529,10643371.040000000968575
FS( 169 ),3377881.350000000093132,3981281.719999999739230,3353520.600000000093132,10712684.669999999925494
FS( 170 ),3349394.650000000372529,3952927.400000000372529,3335015.300000000279397,10637338.350000001490116
FS( 171 ),3318180.500000000000000,4000972.219999999739230,3328959.020000000018626,10648112.740000000223517
FS( 172 ),3330605.550000000279397,3997296.660000000149012,3314154.780000000260770,10642057.990000002086163
FS( 173 ),3306664.600000000093132,3994933.800000000279397,3363277.939999999944121,10664877.339999999850988
FS( 174 ),3332120.800000000279397,3997034.120000000577420,3386830.140000000130385,10715986.060000000521541
FS( 175 ),3364850.200000000186265,4046916.719999999739230,3431579.320000000298023,10843347.240000000223517
FS( 176 ),3397882.650000000372529,4079734.219999999739230,3478347.260000000242144,10955965.130000000819564
FS( 177 ),3453340.800000000279397,4108613.620000000577420,3528143.340000000316650,11090098.760000001639128
FS( 178 ),3433642.550000000279397,4126203.800000000279397,3501226.540000000502914,11061073.890000000596046
FS( 179 ),3490919.000000000000000,4113076.800000000279397,3494160.879999999888241,11098157.679999999701977
FS( 180 ),3490919.000000000000000,4055580.540000000037253,3500890.080000000074506,11047390.620000001043081
FS( 181 ),3510011.149999999906868,4037202.740000000223517,3512329.720000000204891,11059544.610000001266599
FS( 182 ),3514556.900000000372529,4056368.160000000149012,3496179.640000000130385,11067105.700000001117587
FS( 183 ),3534861.250000000465661,4100474.880000000353903,3542947.580000000074506,11178284.710000000894070
FS( 184 ),3544255.800000000279397,4105988.219999999739230,3548330.939999999944121,11198575.959999999031425
FS( 185 ),3547589.350000000558794,4134605.080000000074506,3551695.540000000502914,11233890.970000000670552
FS( 186 ),3524254.500000000465661,4134080.000000000465661,3546985.100000000093132,11205320.600000001490116
FS( 187 ),3531224.650000000372529,4143268.900000000372529,3537900.680000000633299,11212395.230000000447035
FS( 188 ),3553650.350000000558794,4134605.080000000074506,3538573.600000000093132,11226830.030000001192093
FS( 189 ),3538497.850000000558794,4098374.560000000055879,3509301.580000000074506,11146174.990000000223517
FS( 190 ),3537588.700000000186265,4087610.419999999925494,3518049.540000000502914,11143249.660000000149012
FS( 191 ),3510011.149999999906868,4087347.880000000353903,3506609.900000000372529,11103969.929999999701977
FS( 192 ),3520011.800000000279397,4121215.540000000037253,3569191.460000000428408,11210419.800000000745058
FS( 193 ),3516072.150000000372529,4164534.640000000130385,3614950.020000000018626,11295557.810000000521541
FS( 194 ),3533952.100000000093132,4166897.500000000465661,3612931.260000000242144,11313781.860000001266599
FS( 195 ),3573348.600000000093132,4177136.560000000055879,3666764.860000000335276,11417251.019999999552965
FS( 196 ),3606078.000000000000000,4156658.439999999944121,3645904.340000000316650,11408641.779999999329448
FS( 197 ),3609714.600000000093132,4176348.939999999944121,3646577.260000000242144,11432641.800000000745058
FS( 198 ),3629109.800000000279397,4185012.760000000242144,3682242.020000000018626,11496365.580000000074506
FS( 199 ),3613957.300000000279397,4155870.819999999832362,3617978.160000000149012,11387807.280000001192093
FS( 200 ),3607593.250000000465661,4170047.980000000447035,3635810.540000000502914,11413452.770000001415610
FS( 201 ),3636686.050000000279397,4139593.339999999850988,3632782.400000000372529,11409062.790000000968575
FS( 202 ),3636383.000000000000000,4156658.439999999944121,3639175.140000000130385,11432217.580000000074506
FS( 203 ),3630018.950000000186265,4174511.160000000149012,3609566.660000000149012,11414097.769999999552965
FS( 204 ),3636686.050000000279397,4188425.780000000260770,3622352.140000000130385,11447464.970000000670552
FS( 205 ),3639110.450000000186265,4144056.520000000018626,3604183.300000000279397,11387351.270000001415610
FS( 206 ),3635776.900000000372529,4215204.860000000335276,3630427.180000000633299,11481409.940000001341105
FS( 207 ),3693659.450000000186265,4393994.600000000558794,3635137.620000000577420,11722792.670000001788139
FS( 208 ),3695477.750000000000000,4440201.640000000596046,3635810.540000000502914,11771490.930000001564622
FS( 209 ),3695780.800000000279397,4402920.959999999962747,3677531.580000000074506,11776234.339999999850988
FS( 210 ),3686083.200000000186265,4346999.940000000409782,3732711.020000000018626,11765795.160000000149012
FS( 211 ),3677597.800000000279397,4290553.839999999850988,3722953.680000000633299,11691106.320000000298023
FS( 212 ),3901854.800000000279397,4304993.540000000037253,3744823.580000000074506,11951672.919999999925494
FS( 213 ),3895187.700000000186265,4260099.200000000186265,3721607.840000000316650,11876895.740000000223517
FS( 214 ),3911855.450000000651926,4263774.760000000707805,3711177.580000000074506,11886808.790000000968575
FS( 215 ),3948524.500000000000000,4305256.080000000074506,3686616.000000000000000,11940397.580000000074506
FS( 216 ),3986102.700000000186265,4371416.160000000149012,3667437.780000000260770,12024957.640000000596046
FS( 217 ),4001558.250000000000000,4300792.900000000372529,3667437.780000000260770,11969789.929999999701977
FS( 218 ),4013074.149999999906868,4313132.280000000260770,3683924.320000000298023,12010131.750000000000000
FS( 219 ),4003982.650000000372529,4364327.580000000074506,3676185.740000000223517,12044496.970000000670552
FS( 220 ),4039439.500000000000000,4411584.780000000260770,3689307.680000000633299,12140332.960000000894070
FS( 221 ),4091867.150000000372529,4423924.160000000149012,3712186.960000000428408,12227979.270000001415610
FS( 222 ),4106716.600000000093132,4444927.360000000335276,3707140.060000000521541,12258785.020000001415610
FS( 223 ),4101867.800000000279397,4484570.900000000372529,3724972.439999999944121,12311412.140000000596046
FS( 224 ),4113080.650000000372529,4534453.500000000000000,3703102.540000000502914,12350637.690000001341105
FS( 225 ),4142779.549999999813735,4609277.400000000372529,3701420.240000000223517,12453478.189999999478459
FS( 226 ),4155204.600000000558794,4604026.600000000558794,3705121.300000000279397,12464353.500000001862645
FS( 227 ),4137627.700000000186265,4643407.600000000558794,3691999.360000000335276,12473035.660000000149012
FS( 228 ),4141567.350000000093132,4658634.919999999925494,3711850.500000000000000,12512053.769999999552965
FS( 229 ),4149749.700000000651926,4710880.379999999888241,3708822.360000000335276,12569453.440000001341105
FS( 230 ),4151568.000000000465661,4731883.580000000074506,3704111.920000000391155,12587564.500000000000000
FS( 231 ),4236422.000000000000000,4828498.299999999813735,3736075.620000000577420,12800996.920000001788139
FS( 232 ),4211268.849999999627471,4804344.620000000111759,3720934.920000000391155,12736549.389999998733401
FS( 233 ),4236118.950000001117587,4783078.879999999888241,3742804.820000000298023,12762003.650000002235174
FS( 234 ),4222784.750000000000000,4750261.379999999888241,3723626.600000000093132,12696673.729999998584390
FS( 235 ),4228239.650000000372529,4778878.240000000223517,3730019.340000000316650,12737138.230000000447035
FS( 236 ),4212481.050000000745058,4771527.120000000111759,3729346.420000000391155,12713355.590000001713634
FS( 237 ),4202783.450000001117587,4740809.940000000409782,3735739.160000000149012,12679333.550000000745058
FS( 238 ),4216723.750000000000000,4691714.959999999962747,3732038.100000000093132,12640477.810000000521541
FS( 239 ),4218542.050000000745058,4700903.860000000335276,3752225.700000000186265,12671672.609999999403954
FS( 240 ),4212178.000000000000000,4692502.580000000074506,3778806.040000000502914,12683487.620000001043081
FS( 241 ),4256726.349999999627471,4691977.500000000000000,3764001.800000000279397,12712706.650000000372529
FS( 242 ),4263696.500000000000000,4678325.419999999925494,3758618.439999999944121,12700641.359999999403954
FS( 243 ),4242483.000000000000000,4728470.559999999590218,3760300.740000000223517,12731255.299999998882413
FS( 244 ),4287031.349999999627471,4709830.219999999739230,3792264.439999999944121,12789127.009999999776483
FS( 245 ),4237937.250000000000000,4619779.000000000000000,3759964.280000000260770,12617681.530000001192093
FS( 246 ),4285819.150000000372529,4646558.080000000074506,3771067.460000000428408,12703445.690000001341105
FS( 247 ),4270666.650000000372529,4653909.200000000186265,3776450.820000000298023,12701027.670000001788139
FS( 248 ),4262181.250000000000000,4616103.440000000409782,3773086.220000000204891,12651371.910000002011657
FS( 249 ),4269454.449999999254942,4623454.559999999590218,3781161.260000000242144,12674071.269999997690320
FS( 250 ),4357945.050000000745058,4656534.600000000558794,3803704.080000000074506,12818184.730000002309680
FS( 251 ),4367642.650000000372529,4663623.179999999701977,3786208.160000000149012,12817474.990000000223517
FS( 252 ),4361884.700000001117587,4672812.080000000074506,3808078.060000000521541,12842775.840000001713634
FS( 253 ),4353702.349999999627471,4643407.600000000558794,3815143.720000000204891,12812254.669999999925494
