代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11765682.910000000149012
真實報酬,1765682.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30709.874887142657826
風險,110482.780382708457182
起點值,0.277960735426505
找到最佳解世代,2109
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),DIS[6](7),V[25](1),
FS( 27 ),3626204.279999999795109,3651366.599999999627471,3593176.079999999608845,10870747.959999999031425
FS( 28 ),3645688.439999999944121,3687078.000000000000000,3614829.669999999459833,10947597.109999999403954
FS( 29 ),3630466.439999999944121,3622730.100000000093132,3595827.540000000037253,10849025.080000000074506
FS( 30 ),3624073.200000000186265,3640585.799999999813735,3586989.339999999850988,10851649.339999999850988
FS( 31 ),3653299.439999999944121,3637553.699999999720603,3590966.529999999795109,10881820.669999999925494
FS( 32 ),3652995.000000000000000,3643954.799999999813735,3605549.559999999590218,10902500.359999999403954
FS( 33 ),3646601.759999999776483,3614307.600000000093132,3611736.299999999813735,10872646.660000000149012
FS( 34 ),3653299.439999999944121,3627109.799999999813735,3616597.309999999590218,10897007.550000000745058
FS( 35 ),3655734.959999999962747,3608917.200000000186265,3630296.520000000018626,10894949.679999999701977
FS( 36 ),3652386.120000000111759,3635195.399999999906868,3678022.799999999813735,10965605.320000000298023
FS( 37 ),3710534.159999999683350,3639912.000000000000000,3707630.770000000018626,11058077.929999999701977
FS( 38 ),3712360.799999999813735,3640585.799999999813735,3678464.709999999497086,11031412.309999998658895
FS( 39 ),3712665.240000000223517,3682361.399999999906868,3701885.939999999478459,11096913.580000000074506
FS( 40 ),3702923.159999999683350,3737613.000000000000000,3698792.569999999832362,11139329.730000000447035
FS( 41 ),3694398.839999999850988,3727842.899999999906868,3655043.479999999515712,11077286.219999998807907
FS( 42 ),3919684.439999999944121,3749741.399999999906868,3643111.909999999683350,11312538.750000000000000
FS( 43 ),3912986.759999999776483,3726495.299999999813735,3636925.169999999459833,11276408.229999998584390
FS( 44 ),3929730.960000000428408,3716051.399999999906868,3803967.149999999441206,11449750.509999999776483
FS( 45 ),3966568.199999999720603,3691457.699999999720603,3792919.399999999441206,11450946.299999998882413
FS( 46 ),4004318.759999999776483,3672254.399999999906868,3790709.849999999627471,11467284.009999999776483
FS( 47 ),4019845.199999999720603,3672254.399999999906868,3760218.059999999590218,11452318.660000000149012
FS( 48 ),4031413.919999999459833,3688762.499999999534339,3781871.649999999441206,11502049.069999998435378
FS( 49 ),4022280.720000000204891,3681013.800000000279397,3796012.770000000018626,11499308.290000000968575
FS( 50 ),4057900.199999999720603,3694152.899999999906868,3819875.909999999683350,11571930.009999999776483
FS( 51 ),4110568.320000000298023,3717062.099999999627471,3837994.219999999273568,11665625.639999998733401
FS( 52 ),4125485.879999999888241,3712008.600000000093132,3868486.009999999776483,11705981.490000000223517
FS( 53 ),4120614.839999999850988,3729864.299999999813735,3862741.179999999701977,11713221.320000000298023
FS( 54 ),4131879.120000000111759,3707965.799999999813735,3864950.729999999515712,11704796.649999998509884
FS( 55 ),4161714.239999999757856,3706281.300000000279397,3885278.589999999850988,11753275.129999998956919
FS( 56 ),4174196.280000000260770,3709987.200000000186265,3879975.669999999459833,11764160.150000000372529
FS( 57 ),4156538.759999999776483,3696848.100000000093132,3896768.250000000000000,11750156.109999999403954
FS( 58 ),4160496.479999999981374,3716725.199999999720603,3907816.000000000000000,11785038.679999999701977
FS( 59 ),4168716.360000000335276,3713693.100000000093132,3888813.869999999646097,11771224.330000000074506
FS( 60 ),4170543.000000000000000,3708976.500000000000000,3886162.409999999683350,11765682.910000000149012
