代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11112980.559999998658895
真實報酬,1112980.559999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16130.727223616082483
風險,106351.540345260131289
起點值,0.151673658616031
找到最佳解世代,2196
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](5),KO[14](7),VZ[26](1),
FS( 21 ),3342608.359999999869615,3526809.299999999813735,3494990.600000000093132,10364409.259999999776483
FS( 22 ),3338290.520000000018626,3526168.649999999906868,3508261.000000000000000,10372721.169999999925494
FS( 23 ),3289674.839999999850988,3542825.549999999813735,3501022.600000000093132,10333523.990000000223517
FS( 24 ),3345486.919999999925494,3572936.100000000093132,3509467.400000000372529,10427891.419999999925494
FS( 25 ),3410894.200000000186265,3531293.849999999627471,3534198.600000000558794,10476387.650000000372529
FS( 26 ),3410574.359999999869615,3538340.999999999534339,3562549.000000000465661,10511465.359999999403954
FS( 27 ),3425127.079999999608845,3492854.850000000093132,3538421.000000000000000,10456403.929999999701977
FS( 28 ),3465586.839999999850988,3485167.049999999813735,3601757.000000000465661,10552511.890000000596046
FS( 29 ),3575771.720000000204891,3508871.100000000093132,3627091.400000000372529,10711735.220000000670552
FS( 30 ),3567775.720000000204891,3530653.199999999720603,3645187.400000000372529,10743617.320000000298023
FS( 31 ),3498370.439999999944121,3476197.949999999720603,3616837.000000000465661,10591406.390000000596046
FS( 32 ),3516761.240000000223517,3456978.449999999720603,3589089.800000000279397,10562830.490000000223517
FS( 33 ),3529554.839999999850988,3474916.649999999906868,3611408.200000000186265,10615880.690000001341105
FS( 34 ),3562658.280000000260770,3474275.999999999534339,3615027.400000000372529,10651962.679999999701977
FS( 35 ),3533712.760000000242144,3492854.850000000093132,3618043.399999999906868,10644612.009999999776483
FS( 36 ),3482058.599999999627471,3453775.199999999720603,3636742.600000000093132,10572577.399999998509884
FS( 37 ),3497890.679999999701977,3468510.149999999906868,3631917.000000000465661,10598318.830000000074506
FS( 38 ),3481259.000000000000000,3478760.549999999813735,3650013.000000000000000,10610033.550000000745058
FS( 39 ),3534832.200000000186265,3470432.100000000093132,3635536.200000000651926,10640801.500000001862645
FS( 40 ),3516601.319999999832362,3484526.399999999906868,3645790.600000000093132,10646919.320000000298023
FS( 41 ),3499489.879999999888241,3479401.200000000186265,3637345.800000000279397,10616237.880000000819564
FS( 42 ),3581848.679999999701977,3487729.649999999441206,3640965.000000000465661,10710544.330000000074506
FS( 43 ),3591763.720000000204891,3501183.299999999813735,3610201.800000000279397,10703149.820000000298023
FS( 44 ),3501728.760000000242144,3400601.249999999534339,3553501.000000000000000,10455832.009999999776483
FS( 45 ),3531473.879999999888241,3449290.649999999906868,3559533.000000000000000,10540298.529999999329448
FS( 46 ),3630464.359999999869615,3494136.149999999906868,3613217.800000000279397,10737819.310000000521541
FS( 47 ),3631263.959999999962747,3451212.599999999627471,3634329.800000000279397,10716807.359999999403954
FS( 48 ),3588725.240000000223517,3432633.749999999534339,3602360.200000000186265,10623720.190000001341105
FS( 49 ),3630784.200000000186265,3448649.999999999534339,3572200.200000000186265,10651635.399999998509884
FS( 50 ),3679719.720000000204891,3437758.949999999720603,3608995.400000000372529,10726475.070000000298023
FS( 51 ),3777590.760000000242144,3414695.549999999813735,3615027.400000000372529,10807314.710000000894070
FS( 52 ),3772153.479999999981374,3414695.549999999813735,3595121.800000000279397,10781971.830000000074506
FS( 53 ),3763357.879999999888241,3428149.199999999720603,3652425.800000000279397,10843933.880000000819564
FS( 54 ),3748165.479999999981374,3426867.899999999906868,3636742.600000000093132,10811776.980000000447035
FS( 55 ),3762718.200000000186265,3446087.399999999906868,3643981.000000000000000,10852787.599999999627471
FS( 56 ),3780789.159999999683350,3509511.750000000000000,3682585.800000000279397,10972887.710000000894070
FS( 57 ),3846356.359999999869615,3474275.999999999534339,3664489.800000000279397,10985123.160000000149012
FS( 58 ),3837560.760000000242144,3449931.299999999813735,3665696.200000000651926,10953189.260000001639128
FS( 59 ),3889055.000000000000000,3500542.649999999906868,3672331.400000000372529,11061930.050000000745058
FS( 60 ),3895451.800000000279397,3498620.699999999720603,3654235.400000000372529,11048308.900000000372529
FS( 61 ),3943427.800000000279397,3443524.799999999813735,3641568.200000000186265,11028521.800000000745058
FS( 62 ),3982928.040000000037253,3431993.099999999627471,3630107.400000000372529,11045029.539999999105930
FS( 63 ),3890814.119999999646097,3421742.699999999720603,3630710.600000000093132,10943268.419999999925494
FS( 64 ),3890334.359999999869615,3455697.149999999441206,3668712.200000000186265,11014744.710000000894070
FS( 65 ),3978290.359999999869615,3487089.000000000000000,3647600.200000000186265,11112980.559999998658895
