代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11299344.649999998509884
真實報酬,1299344.649999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20383.653657891656621
風險,65778.018702849090914
起點值,0.309885491534405
找到最佳解世代,3221
找到最佳解實驗#,6
找到最佳解次數,24

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MMM[16](10),VZ[26](2),
FS( 19 ),3420057.549999999813735,3413416.239999999757856,3480698.849999999627471,10314173.639999998733401
FS( 20 ),3446569.199999999720603,3405867.409999999683350,3494911.799999999813735,10347349.410000000149012
FS( 21 ),3469036.699999999720603,3389785.119999999646097,3524085.749999999534339,10382908.569999998435378
FS( 22 ),3489706.799999999348074,3428185.689999999944121,3567472.649999999441206,10485366.139999998733401
FS( 23 ),3477574.349999999627471,3435078.099999999627471,3536802.599999999627471,10449456.049999998882413
FS( 24 ),3493750.949999999720603,3431139.580000000074506,3551763.599999999627471,10476655.129999998956919
FS( 25 ),3513522.349999999627471,3469540.149999999441206,3587670.000000000000000,10570733.500000000000000
FS( 26 ),3524756.099999999627471,3472822.250000000000000,3576449.250000000000000,10574028.599999999627471
FS( 27 ),3530148.299999999813735,3450503.969999999739230,3617591.999999999534339,10598245.269999999552965
FS( 28 ),3529698.949999999720603,3449191.129999999888241,3586173.899999999441206,10565064.980000000447035
FS( 29 ),3554413.199999999254942,3479714.659999999683350,3626568.599999999627471,10660697.459999999031425
FS( 30 ),3558457.349999999627471,3492186.640000000130385,3592158.299999999813735,10642803.289999999105930
FS( 31 ),3541382.049999999813735,3459693.849999999627471,3646765.949999999720603,10647842.849999999627471
FS( 32 ),3543628.799999999813735,3452145.020000000018626,3661726.949999999720603,10657501.769999999552965
FS( 33 ),3570140.449999999720603,3467899.099999999627471,3635545.199999999720603,10673585.749999998137355
FS( 34 ),3550369.049999999813735,3444267.979999999515712,3650506.199999999720603,10645144.229999998584390
FS( 35 ),3583171.599999999627471,3492843.059999999590218,3666963.299999999813735,10742978.959999999031425
FS( 36 ),3580475.500000000000000,3451816.809999999590218,3677435.999999999534339,10709729.309999998658895
FS( 37 ),3633049.449999999254942,3481355.709999999497086,3701373.599999999627471,10815779.759999997913837
FS( 38 ),3651922.149999999441206,3455755.330000000074506,3660978.899999999441206,10768657.379999998956919
FS( 39 ),3663605.250000000000000,3489232.750000000000000,3676687.949999999720603,10829526.949999999254942
FS( 40 ),3681579.250000000000000,3467570.890000000130385,3681924.299999999813735,10831075.440000001341105
FS( 41 ),3715729.849999999627471,3496125.159999999683350,3702869.699999999720603,10914725.709999999031425
FS( 42 ),3687870.149999999441206,3468555.520000000018626,3664719.149999999906868,10821145.820000000298023
FS( 43 ),3703148.049999999348074,3473150.459999999497086,3687908.699999999720603,10864208.209999999031425
FS( 44 ),3686522.100000000093132,3471837.619999999646097,3707358.000000000000000,10865718.719999998807907
FS( 45 ),3644732.549999999813735,3470852.989999999757856,3697633.349999999627471,10813219.889999998733401
FS( 46 ),3663155.899999999441206,3477417.189999999944121,3692396.999999999534339,10832971.089999999850988
FS( 47 ),3685623.399999999441206,3534525.729999999515712,3729799.499999999534339,10949949.629999998956919
FS( 48 ),3699103.899999999441206,3552905.489999999757856,3778422.749999999534339,11030433.139999998733401
FS( 49 ),3717976.599999999627471,3534197.520000000018626,3804604.499999999534339,11056779.619999999180436
FS( 50 ),3671693.549999999348074,3471181.199999999720603,3788147.399999999906868,10931023.149999998509884
FS( 51 ),3749431.099999999627471,3483981.390000000130385,3774682.500000000000000,11008095.990000000223517
FS( 52 ),3770101.200000000186265,3461991.319999999832362,3705861.899999999441206,10937955.419999998062849
FS( 53 ),3737748.000000000000000,3445580.819999999832362,3808344.749999999534339,10991674.570000000298023
FS( 54 ),3796612.849999999627471,3469540.149999999441206,3908583.449999999720603,11174737.449999999254942
FS( 55 ),3811890.749999999534339,3472494.039999999571592,3904095.149999999441206,11188480.939999997615814
FS( 56 ),3839750.449999999720603,3524679.429999999701977,3913819.799999999813735,11278250.679999999701977
FS( 57 ),3792119.349999999627471,3540433.509999999776483,3874921.199999999720603,11207475.059999998658895
FS( 58 ),3829415.399999999441206,3442298.719999999739230,3981144.299999999813735,11252859.419999998062849
FS( 59 ),3824921.899999999906868,3406523.830000000074506,4011814.350000000093132,11243261.080000000074506
FS( 60 ),3845591.999999999534339,3407836.669999999925494,3999097.500000000000000,11252527.169999999925494
FS( 61 ),3829864.750000000000000,3436719.149999999441206,4032759.749999999534339,11299344.649999998509884
