代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10862755.539999999105930
真實報酬,862755.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17089.634608872042008
風險,113166.128630876846728
起點值,0.151013689481370
找到最佳解世代,1636
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](16),CAT[3](2),MRK[17](6),PG[21](1),VZ[26](13),
FS( 40 ),2091200.880000000353903,2327383.419999999925494,2080596.350000000093132,2065286.839999999850988,2193927.620000000111759,10758395.109999999403954
FS( 41 ),2119434.560000000521541,2294728.100000000093132,2074560.500000000000000,2073845.040000000037253,2175684.939999999944121,10738253.139999998733401
FS( 42 ),2116794.000000000000000,2290300.260000000242144,2082726.649999999906868,2092917.600000000093132,2197496.839999999850988,10780235.349999999627471
FS( 43 ),2154168.080000000074506,2267884.320000000298023,2082726.649999999906868,2112968.239999999757856,2161408.060000000055879,10779155.350000001490116
FS( 44 ),2122278.240000000223517,2248235.779999999795109,2071010.000000000000000,2121526.439999999944121,2141579.060000000055879,10704629.519999999552965
FS( 45 ),2148886.959999999962747,2270098.240000000223517,2046866.600000000093132,2102209.359999999869615,2137613.259999999776483,10705674.419999999925494
FS( 46 ),2150511.919999999925494,2262903.000000000000000,2053612.550000000279397,2104165.520000000018626,2138803.000000000000000,10709995.990000000223517
FS( 47 ),2183214.240000000223517,2284765.459999999962747,2267352.649999999906868,2097563.479999999981374,2127302.180000000167638,10960198.009999999776483
FS( 48 ),2201291.919999999925494,2309118.580000000074506,2231847.649999999906868,2097074.439999999944121,2125319.280000000260770,10964651.870000001043081
FS( 49 ),2210229.200000000186265,2292237.439999999944121,2218710.800000000279397,2102698.399999999906868,2128095.339999999850988,10951971.180000001564622
FS( 50 ),2193776.480000000447035,2287256.120000000111759,2224036.550000000279397,2110523.040000000037253,2134044.040000000037253,10949636.230000000447035
FS( 51 ),2192354.640000000596046,2303583.779999999795109,2259186.500000000000000,2120792.879999999888241,2136026.939999999944121,11011944.740000000223517
FS( 52 ),2197432.640000000596046,2296942.020000000018626,2249245.100000000093132,2128373.000000000000000,2127698.759999999776483,10999691.519999999552965
FS( 53 ),2223838.240000000223517,2328767.120000000111759,2248179.950000000186265,2127883.959999999962747,2126112.439999999944121,11054781.709999999031425
FS( 54 ),2221807.040000000037253,2332641.479999999981374,2238238.550000000279397,2117125.080000000074506,2092403.139999999897555,11002215.290000000968575
FS( 55 ),2218557.120000000111759,2335962.359999999869615,2247114.800000000279397,2126416.839999999850988,2108662.919999999925494,11036714.040000000968575
FS( 56 ),2215713.440000000409782,2307458.139999999664724,2259186.500000000000000,2138153.799999999813735,2096765.520000000018626,11017277.399999998509884
FS( 57 ),2221400.799999999813735,2320188.180000000167638,2249600.149999999906868,2134975.040000000037253,2080109.160000000149012,11006273.330000001937151
FS( 58 ),2204135.600000000558794,2313269.680000000167638,2256346.100000000093132,2123727.119999999646097,2084074.959999999962747,10981553.460000000894070
FS( 59 ),2211041.679999999701977,2324892.760000000242144,2257411.250000000000000,2137175.720000000204891,2087247.600000000093132,11017769.009999999776483
FS( 60 ),2194385.839999999850988,2301093.120000000111759,2227232.000000000000000,2134975.040000000037253,2083281.800000000046566,10940967.800000000745058
FS( 61 ),2185042.320000000298023,2292514.180000000167638,2212674.950000000186265,2149401.720000000204891,2092006.560000000055879,10931639.730000000447035
FS( 62 ),2172245.759999999776483,2287532.859999999869615,2231492.600000000093132,2141577.080000000074506,2065039.120000000111759,10897887.419999998062849
FS( 63 ),2169808.320000000298023,2299709.419999999925494,2237173.399999999906868,2159182.520000000018626,2082092.060000000055879,10947965.720000000670552
FS( 64 ),2153152.480000000447035,2282551.540000000037253,2226521.899999999906868,2140599.000000000000000,2072970.720000000204891,10875795.640000000596046
FS( 65 ),2155183.679999999701977,2267884.320000000298023,2229362.300000000279397,2134975.040000000037253,2075350.199999999953434,10862755.539999999105930
