代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12867033.330000001937151
真實報酬,2867033.330000001937151

夏普值報酬,0.278003333000000
夏普值風險,0.091227287327737
夏普值,3.047370377256348

二次趨勢線,50.976237840351665 x^2 + 601.167370623402235 x + 10000000.000000000000000
二次加權預期報酬,17763.167443541795365
風險,292105.031443329935428
二次加權趨勢值,0.060810891739083
一次趨勢線,10254.754557998041491 x + 10000000.000000000000000
一次預期報酬,10254.754557998041491
一次風險,466496.109448722680099
一次趨勢值,0.021982508214520
找到最佳解世代,2043
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MRK[17](1),MSFT[18](3),PFE[20](4),
FS( 13 ),2548831.540000000502914,2493675.500000000000000,2476557.099999999627471,2507799.109999999869615,10026863.250000000000000
FS( 14 ),2546285.110000000335276,2443983.000000000000000,2480464.249999999534339,2506381.090000000316650,9977113.449999999254942
FS( 15 ),2593618.750000000000000,2451662.750000000000000,2516229.699999999720603,2519852.280000000260770,10081363.480000000447035
FS( 16 ),2620880.530000000726432,2456180.250000000000000,2497896.149999999441206,2512053.170000000391155,10087010.100000001490116
FS( 17 ),2621030.320000000298023,2455276.750000000000000,2502404.399999999906868,2516307.230000000447035,10095018.700000001117587
FS( 18 ),2607848.800000000279397,2464311.750000000000000,2520737.949999999720603,2516307.230000000447035,10109205.730000000447035
FS( 19 ),2592570.220000000204891,2481478.250000000000000,2551093.499999999534339,2541831.590000000316650,10166973.560000000521541
FS( 20 ),2538795.610000000335276,2500903.500000000000000,2504808.799999999813735,2567355.950000000186265,10111863.859999999403954
FS( 21 ),2574295.840000000316650,2496837.750000000000000,2529754.449999999720603,2570901.000000000000000,10171789.039999999105930
FS( 22 ),2562312.640000000596046,2523942.750000000000000,2532459.399999999906868,2577282.090000000316650,10195996.880000000819564
FS( 23 ),2543588.890000000596046,2539754.000000000000000,2436884.499999999534339,2556720.800000000279397,10076948.190000001341105
FS( 24 ),2541192.250000000000000,2519425.250000000000000,2452212.549999999813735,2526233.370000000577420,10039063.419999999925494
FS( 25 ),2531755.480000000447035,2455276.750000000000000,2487977.999999999534339,2521270.300000000279397,9996280.530000001192093
FS( 26 ),2536398.970000000204891,2474250.250000000000000,2479262.049999999348074,2517016.240000000223517,10006927.509999999776483
FS( 27 ),2537147.920000000391155,2510390.250000000000000,2529453.899999999441206,2534032.480000000447035,10111024.550000000745058
FS( 28 ),2586578.620000000111759,2545175.000000000000000,2561612.749999999534339,2567355.950000000186265,10260722.320000000298023
FS( 29 ),2572048.990000000223517,2578152.750000000000000,2572131.999999999534339,2593589.320000000298023,10315923.060000000521541
FS( 30 ),2580587.020000000484288,2570924.750000000000000,2565219.349999999627471,2597843.380000000353903,10314574.500000000000000
FS( 31 ),2579838.070000000298023,2530267.250000000000000,2545383.049999999348074,2585081.200000000186265,10240569.570000000298023
FS( 32 ),2606051.320000000298023,2540657.500000000000000,2610301.849999999627471,2637547.940000000409782,10394558.609999999403954
FS( 33 ),2642749.870000000111759,2539754.000000000000000,2596175.999999999534339,2632584.870000000577420,10411264.740000000223517
FS( 34 ),2614589.350000000093132,2540205.750000000000000,2579645.749999999534339,2619113.680000000167638,10353554.529999999329448
FS( 35 ),2611743.340000000316650,2534784.750000000000000,2570328.699999999720603,2585081.200000000186265,10301937.989999998360872
FS( 36 ),2621629.480000000447035,2556920.500000000000000,2569727.599999999627471,2569482.980000000447035,10317760.560000000521541
FS( 37 ),2621629.480000000447035,2546078.500000000000000,2570028.149999999906868,2562392.880000000353903,10300129.010000001639128
FS( 38 ),2555122.720000000204891,2545175.000000000000000,2566722.099999999627471,2567355.950000000186265,10234375.769999999552965
FS( 39 ),2555572.090000000316650,2545175.000000000000000,2576039.149999999441206,2575864.070000000298023,10252650.309999998658895
FS( 40 ),2562762.010000000707805,2556920.500000000000000,2576339.699999999720603,2578700.109999999869615,10274722.320000000298023
FS( 41 ),2535050.860000000335276,2542012.750000000000000,2570929.799999999813735,2568064.959999999962747,10216058.370000001043081
FS( 42 ),2580437.230000000447035,2539754.000000000000000,2583252.349999999627471,2583663.180000000167638,10287106.759999999776483
FS( 43 ),2579987.860000000335276,2536140.000000000000000,2595274.349999999627471,2602806.450000000186265,10314208.660000000149012
FS( 44 ),2591971.060000000521541,2577249.250000000000000,2618116.149999999441206,2608478.530000000260770,10395814.990000000223517
FS( 45 ),2621479.690000000409782,2574538.750000000000000,2650575.549999999348074,2613441.600000000093132,10460035.589999999850988
FS( 46 ),2611743.340000000316650,2559631.000000000000000,2653280.499999999534339,2584372.190000000409782,10409027.030000001192093
FS( 47 ),2611443.760000000707805,2565955.500000000000000,2651477.199999999720603,2581536.149999999906868,10410412.610000001266599
FS( 48 ),2610844.600000000093132,2588543.000000000000000,2639455.199999999254942,2585790.209999999962747,10424633.009999997913837
FS( 49 ),2625673.810000000521541,2602095.500000000000000,2647269.499999999534339,2592171.300000000279397,10467210.110000001266599
FS( 50 ),2652785.800000000279397,2649981.000000000000000,2692953.099999999627471,2590753.280000000260770,10586473.179999999701977
FS( 51 ),2639304.700000000186265,2804027.750000000000000,2655384.349999999627471,2595007.340000000316650,10693724.140000000596046
FS( 52 ),2682893.590000000316650,2802220.750000000000000,2709182.799999999813735,2636129.920000000391155,10830427.060000000521541
FS( 53 ),2685290.230000000447035,2761563.250000000000000,2707980.599999999627471,2622658.730000000447035,10777492.810000000521541
FS( 54 ),2673307.030000000726432,2768339.500000000000000,2704975.099999999627471,2619113.680000000167638,10765735.310000000521541
FS( 55 ),2651437.690000000409782,2766984.250000000000000,2753363.649999999441206,2618404.670000000391155,10790190.259999999776483
FS( 56 ),2652036.850000000093132,2787313.000000000000000,2762079.599999999627471,2610605.560000000055879,10812035.009999999776483
FS( 57 ),2609796.070000000298023,2763822.000000000000000,2759675.199999999254942,2618404.670000000391155,10751697.939999999478459
FS( 58 ),2563211.380000000819564,2769243.000000000000000,2775003.249999999534339,2639674.970000000204891,10747132.600000001490116
FS( 59 ),2569202.980000000447035,2802672.500000000000000,2826998.399999999906868,2765878.750000000000000,10964752.630000000819564
FS( 60 ),2516027.530000000726432,2784150.750000000000000,2822790.699999999720603,2766587.760000000242144,10889556.740000000223517
FS( 61 ),2501198.320000000298023,2739879.250000000000000,2787325.799999999348074,2680088.540000000037253,10708491.910000000149012
FS( 62 ),2508088.660000000614673,2676634.250000000000000,2855550.649999999906868,2626203.780000000260770,10666477.339999999850988
FS( 63 ),2513331.310000000521541,2704191.000000000000000,2833009.399999999906868,2611314.570000000298023,10661846.280000001192093
FS( 64 ),2404284.190000000409782,2645463.500000000000000,2758472.999999999534339,2595716.350000000093132,10403937.039999999105930
FS( 65 ),2344218.400000000372529,2547885.500000000000000,2644865.099999999627471,2458168.410000000149012,9995137.410000000149012
FS( 66 ),2442181.060000000521541,2505421.000000000000000,2744948.249999999534339,2501418.020000000484288,10193968.330000001937151
FS( 67 ),2389904.350000000093132,2524394.500000000000000,2693253.649999999441206,2480147.720000000204891,10087700.219999998807907
FS( 68 ),2324146.540000000502914,2472443.250000000000000,2555000.649999999906868,2384431.370000000577420,9736021.810000002384186
FS( 69 ),2343020.080000000540167,2478767.750000000000000,2650275.000000000000000,2422008.899999999906868,9894071.730000000447035
FS( 70 ),2437387.780000000726432,2504065.750000000000000,2678827.249999999534339,2457459.399999999906868,10077740.180000001564622
FS( 71 ),2461803.550000000279397,2480123.000000000000000,2699865.749999999534339,2477311.680000000167638,10119103.980000000447035
FS( 72 ),2507189.920000000391155,2480123.000000000000000,2729319.649999999906868,2495036.930000000167638,10211669.500000000000000
FS( 73 ),2591371.900000000372529,2529363.750000000000000,2784921.399999999441206,2531905.450000000186265,10437562.500000000000000
FS( 74 ),2582983.660000000614673,2542916.250000000000000,2765085.099999999627471,2570901.000000000000000,10461886.009999999776483
FS( 75 ),2574295.840000000316650,2483737.000000000000000,2786724.699999999720603,2553175.750000000000000,10397933.289999999105930
FS( 76 ),2562612.220000000204891,2464311.750000000000000,2749757.049999999348074,2535450.500000000000000,10312131.519999999552965
FS( 77 ),2584032.190000000409782,2465215.250000000000000,2756970.249999999534339,2534032.480000000447035,10340250.169999999925494
FS( 78 ),2628969.190000000409782,2478767.750000000000000,2826998.399999999906868,2570901.000000000000000,10505636.339999999850988
FS( 79 ),2680946.320000000298023,2532526.000000000000000,2867873.199999999720603,2629748.830000000540167,10711094.349999999627471
FS( 80 ),2672258.500000000000000,2471991.500000000000000,2831206.099999999627471,2609187.540000000037253,10584643.640000000596046
FS( 81 ),2668214.170000000391155,2449404.000000000000000,2818282.449999999720603,2574446.050000000279397,10510346.669999999925494
FS( 82 ),2621479.690000000409782,2425913.000000000000000,2790631.849999999627471,2526233.370000000577420,10364257.910000000149012
FS( 83 ),2639604.280000000726432,2455728.500000000000000,2796642.849999999627471,2548921.690000000409782,10440897.320000000298023
FS( 84 ),2648741.470000000204891,2457535.500000000000000,2814375.299999999813735,2560974.859999999869615,10481627.130000000819564
FS( 85 ),2646494.620000000111759,2453018.000000000000000,2804757.699999999254942,2543958.620000000577420,10448228.939999999478459
FS( 86 ),2621929.060000000521541,2460697.750000000000000,2820987.399999999441206,2547503.670000000391155,10451117.880000000819564
FS( 87 ),2650538.950000000186265,2473798.500000000000000,2838118.750000000000000,2587917.240000000223517,10550373.440000001341105
FS( 88 ),2696075.110000000335276,2490965.000000000000000,2901534.799999999813735,2607060.510000000242144,10695635.419999999925494
FS( 89 ),2722138.570000000298023,2500903.500000000000000,2908447.449999999720603,2595716.350000000093132,10727205.869999999180436
FS( 90 ),2695925.320000000298023,2501355.250000000000000,2837517.649999999441206,2605642.490000000223517,10640440.710000000894070
FS( 91 ),2673007.450000000186265,2475605.500000000000000,2820686.849999999627471,2577282.090000000316650,10546581.890000000596046
FS( 92 ),2676153.040000000502914,2495934.250000000000000,2830605.000000000000000,2593589.320000000298023,10596281.610000001266599
FS( 93 ),2666716.270000000484288,2514907.750000000000000,2843228.099999999627471,2607769.520000000484288,10632621.640000000596046
FS( 94 ),2625973.390000000596046,2467925.750000000000000,2791834.049999999813735,2575864.070000000298023,10461597.260000001639128
FS( 95 ),2625074.650000000372529,2468377.500000000000000,2799047.249999999534339,2575864.070000000298023,10468363.470000000670552
FS( 96 ),2565608.020000000484288,2470636.250000000000000,2779511.499999999534339,2571610.010000000242144,10387365.779999999329448
FS( 97 ),2529358.840000000316650,2444886.500000000000000,2698663.549999999813735,2524106.340000000316650,10197015.230000000447035
FS( 98 ),2470790.950000000186265,2412812.250000000000000,2620220.000000000000000,2445406.230000000447035,9949229.429999999701977
FS( 99 ),2588076.520000000484288,2441272.500000000000000,2818582.999999999534339,2484401.780000000260770,10332333.800000000745058
FS( 100 ),2521719.550000000279397,2428171.750000000000000,2689045.949999999720603,2482274.750000000000000,10121212.000000000000000
FS( 101 ),2493858.610000000335276,2488706.250000000000000,2686641.549999999813735,2502836.040000000037253,10172042.449999999254942
FS( 102 ),2513331.310000000521541,2460697.750000000000000,2743144.949999999720603,2516307.230000000447035,10233481.240000000223517
FS( 103 ),2496854.410000000614673,2406487.750000000000000,2660493.699999999720603,2485110.790000000037253,10048946.649999998509884
FS( 104 ),2522468.500000000000000,2443531.250000000000000,2696259.149999999441206,2529778.420000000391155,10192037.320000000298023
FS( 105 ),2570700.880000000819564,2463860.000000000000000,2775003.249999999534339,2561683.870000000577420,10371248.000000001862645
FS( 106 ),2588525.890000000596046,2463408.250000000000000,2776505.999999999534339,2533323.470000000204891,10361763.610000001266599
FS( 107 ),2522318.710000000428408,2410553.500000000000000,2711887.749999999534339,2493618.910000000149012,10138378.870000001043081
FS( 108 ),2547333.640000000596046,2537043.500000000000000,2728117.449999999720603,2514180.200000000186265,10326674.789999999105930
FS( 109 ),2595266.440000000409782,2551951.250000000000000,2791533.499999999534339,2548921.690000000409782,10487672.879999998956919
FS( 110 ),2583133.450000000186265,2538850.500000000000000,2760877.399999999441206,2537577.530000000260770,10420438.879999998956919
FS( 111 ),2608597.750000000000000,2563245.000000000000000,2812571.999999999534339,2575155.060000000055879,10559569.810000000521541
FS( 112 ),2617435.360000000335276,2582670.250000000000000,2797544.499999999534339,2575155.060000000055879,10572805.169999999925494
FS( 113 ),2633762.470000000204891,2649529.250000000000000,2830304.449999999720603,2590044.270000000484288,10703640.440000001341105
FS( 114 ),2670011.650000000372529,2677537.750000000000000,2887408.949999999254942,2575864.070000000298023,10810822.419999999925494
FS( 115 ),2664020.050000000279397,2661726.500000000000000,2898529.299999999348074,2587208.230000000447035,10811484.080000000074506
FS( 116 ),2588525.890000000596046,2649077.500000000000000,2888611.149999999441206,2590044.270000000484288,10716258.810000000521541
FS( 117 ),2482474.570000000298023,2657660.750000000000000,2855250.099999999627471,2597134.370000000577420,10592519.790000000968575
FS( 118 ),2475284.650000000372529,2721809.250000000000000,2865769.349999999627471,2609187.540000000037253,10672050.789999999105930
FS( 119 ),2440832.950000000186265,2714581.250000000000000,2798746.699999999720603,2627621.800000000279397,10581782.700000001117587
FS( 120 ),2451468.040000000502914,2693800.750000000000000,2774402.149999999906868,2600679.420000000391155,10520350.360000001266599
FS( 121 ),2460006.070000000298023,2683862.250000000000000,2833009.399999999906868,2612732.590000000316650,10589610.310000000521541
FS( 122 ),2431545.970000000204891,2686572.750000000000000,2879895.199999999254942,2623367.740000000223517,10621381.660000000149012
FS( 123 ),2475584.230000000447035,2659467.750000000000000,2810768.699999999720603,2595716.350000000093132,10541537.029999999329448
FS( 124 ),2533103.590000000316650,2619262.000000000000000,2855250.099999999627471,2509926.140000000130385,10517541.830000000074506
FS( 125 ),2644996.720000000204891,2588543.000000000000000,2810468.149999999906868,2473766.630000000353903,10517774.500000001862645
FS( 126 ),2649790.000000000000000,2598933.250000000000000,2827298.949999999254942,2464549.500000000000000,10540571.699999999254942
FS( 127 ),2753744.260000000707805,2608871.750000000000000,2860058.899999999441206,2470221.580000000540167,10692896.490000000223517
FS( 128 ),2773666.330000000540167,2592157.000000000000000,2891917.199999999720603,2476602.670000000391155,10734343.199999999254942
FS( 129 ),2786997.640000000596046,2564148.500000000000000,2879594.649999999906868,2480147.720000000204891,10710888.510000001639128
FS( 130 ),2806620.130000000819564,2617906.750000000000000,2913556.799999999348074,2493618.910000000149012,10831702.589999999850988
FS( 131 ),2846763.850000000093132,2622876.000000000000000,2942710.149999999441206,2484401.780000000260770,10896751.780000001192093
FS( 132 ),2825044.300000000279397,2696511.250000000000000,2936398.599999999627471,2517016.240000000223517,10974970.390000000596046
FS( 133 ),2818453.540000000502914,2696059.500000000000000,2946316.749999999534339,2542540.600000000093132,11003370.390000000596046
FS( 134 ),2792839.450000000186265,2674375.500000000000000,2924977.699999999254942,2530487.430000000167638,10922680.079999998211861
FS( 135 ),2818902.910000000614673,2699221.750000000000000,2919868.349999999627471,2529778.420000000391155,10967771.429999999701977
FS( 136 ),2801077.900000000372529,2668502.750000000000000,2890715.000000000000000,2531905.450000000186265,10892201.100000001490116
FS( 137 ),2790892.180000000633299,2671665.000000000000000,2896124.899999999441206,2526942.380000000353903,10885624.460000000894070
FS( 138 ),2810664.460000000428408,2645915.250000000000000,2933393.099999999627471,2538286.540000000037253,10928259.350000001490116
FS( 139 ),2803624.330000000540167,2640494.250000000000000,2930387.599999999627471,2532614.459999999962747,10907120.640000000596046
FS( 140 ),2821599.130000000819564,2673020.250000000000000,2965251.399999999441206,2550339.709999999962747,11010210.490000002086163
FS( 141 ),2818453.540000000502914,2671213.250000000000000,2954732.149999999906868,2544667.630000000353903,10989066.570000002160668
FS( 142 ),2824894.510000000707805,2669406.250000000000000,2956234.899999999441206,2529778.420000000391155,10980314.080000000074506
FS( 143 ),2814708.790000000502914,2638235.500000000000000,2945715.649999999906868,2531196.440000000409782,10929856.380000002682209
FS( 144 ),2808717.190000000409782,2697866.500000000000000,2973967.349999999627471,2556011.790000000037253,11036562.829999998211861
FS( 145 ),2799280.420000000391155,2689283.250000000000000,2970661.299999999813735,2547503.670000000391155,11006728.639999998733401
FS( 146 ),2849759.650000000372529,2735813.500000000000000,3029268.549999999813735,2570191.990000000223517,11185033.689999999478459
FS( 147 ),2873576.260000000707805,2801769.000000000000000,3055716.949999999720603,2584372.190000000409782,11315434.400000002235174
FS( 148 ),2895745.180000000633299,2773308.750000000000000,3071345.549999999348074,2583663.180000000167638,11324062.660000000149012
FS( 149 ),2905781.110000000335276,2797703.250000000000000,3080362.049999999348074,2579409.120000000577420,11363255.530000001192093
FS( 150 ),2897992.030000000726432,2800413.750000000000000,3031973.499999999534339,2587208.230000000447035,11317587.510000001639128
FS( 151 ),2871628.990000000223517,2827067.000000000000000,3054514.749999999534339,2599970.410000000149012,11353181.150000000372529
FS( 152 ),2864588.860000000335276,2815773.250000000000000,3037082.849999999627471,2573737.040000000037253,11291182.000000000000000
FS( 153 ),2880316.810000000521541,2820742.500000000000000,3044897.149999999906868,2573737.040000000037253,11319693.500000000000000
FS( 154 ),2856649.990000000223517,2827518.750000000000000,3031071.849999999627471,2568064.959999999962747,11283305.550000000745058
FS( 155 ),2858147.890000000596046,2780988.500000000000000,3048203.199999999720603,2563810.899999999906868,11251150.490000000223517
FS( 156 ),2828789.050000000279397,2802220.750000000000000,3009432.249999999534339,2577991.100000000093132,11218433.150000000372529
FS( 157 ),2827291.150000000372529,2755238.750000000000000,3031372.399999999441206,2563810.899999999906868,11177713.200000001117587
FS( 158 ),2781605.200000000186265,2757045.750000000000000,3031372.399999999441206,2568064.959999999962747,11138088.309999998658895
FS( 159 ),2793738.190000000409782,2768339.500000000000000,3061727.949999999720603,2585081.200000000186265,11208886.839999999850988
FS( 160 ),2778160.030000000726432,2763822.000000000000000,3039787.799999999813735,2573737.040000000037253,11155506.870000001043081
FS( 161 ),2770071.370000000111759,2776922.750000000000000,3017847.649999999441206,2588626.250000000000000,11153468.019999999552965
FS( 162 ),2728879.120000000111759,2759304.500000000000000,2957136.549999999813735,2579409.120000000577420,11024729.290000000968575
FS( 163 ),2762731.660000000614673,2743041.500000000000000,2977874.499999999534339,2579409.120000000577420,11063056.780000001192093
FS( 164 ),2758687.330000000540167,2705094.500000000000000,2931589.799999999813735,2567355.950000000186265,10962727.579999998211861
FS( 165 ),2778759.190000000409782,2724068.000000000000000,2964349.749999999534339,2577991.100000000093132,11045168.039999999105930
FS( 166 ),2772917.380000000819564,2742138.000000000000000,2963748.649999999441206,2572319.020000000484288,11051123.050000000745058
FS( 167 ),2803923.910000000614673,2731296.000000000000000,3005825.649999999906868,2575864.070000000298023,11116909.630000000819564
FS( 168 ),2755092.370000000111759,2742589.750000000000000,2976972.849999999627471,2577282.090000000316650,11051937.059999998658895
FS( 169 ),2777261.290000000502914,2784602.500000000000000,2998311.899999999906868,2614150.609999999869615,11174326.300000000745058
FS( 170 ),2815757.320000000298023,2809900.500000000000000,3040388.899999999441206,2631166.850000000093132,11297213.569999998435378
FS( 171 ),2854852.510000000707805,2801769.000000000000000,3061126.849999999627471,2634711.899999999906868,11352460.259999999776483
FS( 172 ),2851407.340000000316650,2814418.000000000000000,3069241.699999999720603,2653855.170000000391155,11388922.209999999031425
FS( 173 ),2814409.210000000428408,2796348.000000000000000,3065033.999999999534339,2638256.950000000186265,11314048.160000000149012
FS( 174 ),2861593.060000000521541,2830681.000000000000000,3131455.549999999348074,2660236.260000000242144,11483965.869999999180436
FS( 175 ),2866086.760000000707805,2841071.250000000000000,3168723.750000000000000,2660945.270000000484288,11536827.030000001192093
FS( 176 ),2859795.580000000540167,2827518.750000000000000,3153095.149999999441206,2650310.120000000577420,11490719.600000001490116
FS( 177 ),2867884.240000000223517,2824808.250000000000000,3184352.349999999627471,2669453.390000000130385,11546498.230000000447035
FS( 178 ),2852156.290000000502914,2843330.000000000000000,3159406.699999999720603,2670162.399999999906868,11525055.390000000596046
FS( 179 ),2874325.210000000428408,2823904.750000000000000,3137767.099999999627471,2648892.100000000093132,11484889.160000000149012
FS( 180 ),2867734.450000000186265,2824356.500000000000000,3193969.949999999720603,2646765.070000000298023,11532825.970000000670552
FS( 181 ),2867734.450000000186265,2832036.250000000000000,3245063.449999999720603,2638256.950000000186265,11583091.100000001490116
FS( 182 ),2891101.690000000409782,2865014.000000000000000,3235746.399999999441206,2672998.440000000409782,11664860.530000001192093
FS( 183 ),2918363.470000000204891,2913351.250000000000000,3331020.749999999534339,2693559.730000000447035,11856295.200000001117587
FS( 184 ),2909226.280000000726432,2891667.250000000000000,3294654.199999999720603,2705612.899999999906868,11801160.630000000819564
FS( 185 ),2860844.110000000335276,2868176.250000000000000,3236347.500000000000000,2723338.149999999906868,11688706.009999999776483
FS( 186 ),2844816.580000000540167,2927807.250000000000000,3166920.449999999720603,2736100.330000000540167,11675644.609999999403954
FS( 187 ),2850508.600000000093132,2975692.750000000000000,3188259.499999999534339,2831107.670000000391155,11845568.519999999552965
FS( 188 ),3018423.190000000409782,2958526.250000000000000,3194270.499999999534339,2855214.010000000242144,12026433.949999999254942
FS( 189 ),3106649.500000000000000,2946329.000000000000000,3233041.449999999254942,2811255.390000000130385,12097275.339999999850988
FS( 190 ),3115636.900000000372529,2978403.250000000465661,3247167.299999999813735,2874357.280000000260770,12215564.730000000447035
FS( 191 ),3131814.220000000204891,2991504.000000000000000,3249872.249999999534339,2909807.780000000260770,12282998.250000000000000
FS( 192 ),3102455.380000000819564,3007767.000000000000000,3272413.499999999534339,2895627.580000000540167,12278263.460000000894070
FS( 193 ),3104552.440000000409782,3012736.250000000000000,3290747.049999999348074,2936041.149999999906868,12344076.890000000596046
FS( 194 ),3128968.210000000428408,2981565.500000000000000,3296156.949999999720603,2906971.740000000223517,12313662.400000000372529
FS( 195 ),3108746.560000000521541,2984727.749999999534339,3276020.099999999627471,2902008.670000000391155,12271503.080000000074506
FS( 196 ),3128818.420000000391155,3014091.500000000000000,3252276.649999999441206,2893500.550000000279397,12288687.120000001043081
FS( 197 ),3141999.940000000409782,3002345.999999999534339,3292850.899999999906868,2886410.450000000186265,12323607.289999999105930
FS( 198 ),3149339.650000000372529,3043455.250000000000000,3235746.399999999441206,2918315.899999999906868,12346857.200000001117587
FS( 199 ),3195474.970000000204891,3110314.249999999534339,3235145.299999999813735,2936750.160000000149012,12477684.679999999701977
FS( 200 ),3259285.510000000707805,3119801.000000000000000,3233341.999999999534339,2984253.830000000540167,12596682.339999999850988
FS( 201 ),3227530.030000000726432,3169945.250000000000000,3212002.949999999720603,3001270.070000000298023,12610748.300000000745058
FS( 202 ),3221238.850000000093132,3124770.250000000000000,3185253.999999999534339,2989216.899999999906868,12520480.000000000000000
FS( 203 ),3221388.640000000596046,3118897.500000000465661,3217713.399999999906868,2982835.810000000055879,12540835.350000001490116
FS( 204 ),3227979.400000000372529,3115735.250000000000000,3232740.899999999906868,2992052.940000000409782,12568508.490000002086163
FS( 205 ),3238015.330000000540167,3118897.500000000465661,3257987.099999999627471,3006233.140000000130385,12621133.070000000298023
FS( 206 ),3264677.950000000186265,3116638.750000000000000,3294053.099999999627471,2948094.320000000298023,12623464.120000001043081
FS( 207 ),3291040.990000000223517,3100375.750000000000000,3313889.399999999906868,2942422.240000000223517,12647728.380000000819564
FS( 208 ),3340172.110000000335276,3108507.250000000000000,3366786.199999999720603,2942422.240000000223517,12757887.800000000745058
FS( 209 ),3370879.060000000521541,3096310.000000000465661,3364682.349999999627471,2942422.240000000223517,12774293.650000000372529
FS( 210 ),3409824.460000000428408,3098568.750000000000000,3376103.249999999534339,2943840.260000000242144,12828336.720000000670552
FS( 211 ),3420759.130000000819564,3069656.750000000000000,3357469.149999999441206,2933205.109999999869615,12781090.140000000596046
FS( 212 ),3398440.420000000391155,3099924.000000000000000,3260692.049999999348074,2967237.590000000316650,12726294.059999998658895
FS( 213 ),3341969.590000000316650,3134257.000000000000000,3268205.799999999348074,2962274.520000000484288,12706706.910000000149012
FS( 214 ),3315007.390000000596046,3147357.750000000000000,3252276.649999999441206,2992052.940000000409782,12706694.730000000447035
FS( 215 ),3270519.760000000707805,3142388.500000000000000,3287440.999999999534339,2982126.800000000279397,12682476.060000000521541
FS( 216 ),3353203.840000000316650,3120704.500000000000000,3343343.299999999348074,2999852.050000000279397,12817103.689999999478459
FS( 217 ),3311562.220000000204891,3155941.000000000000000,3357469.149999999441206,3006942.149999999906868,12831914.520000001415610
FS( 218 ),3391550.080000000540167,3199760.750000000000000,3393535.149999999441206,3038138.590000000316650,13022984.570000000298023
FS( 219 ),3353054.050000000279397,3161362.000000000000000,3407360.449999999720603,3045937.700000000186265,12967714.199999999254942
FS( 220 ),3263779.210000000428408,3181239.000000000000000,3370392.799999999813735,3049482.750000000000000,12864893.760000001639128
FS( 221 ),3269171.650000000372529,3181239.000000000000000,3402551.649999999441206,3084933.250000000000000,12937895.550000000745058
FS( 222 ),3271118.920000000391155,3161362.000000000000000,3357168.599999999627471,3067208.000000000000000,12856857.519999999552965
FS( 223 ),3295984.060000000521541,3197502.000000000000000,3413371.449999999254942,3101949.490000000223517,13008807.000000000000000
FS( 224 ),3260483.830000000540167,3211957.999999999534339,3434109.399999999906868,3123928.800000000279397,13030480.030000001192093
FS( 225 ),3307368.100000000093132,3197502.000000000000000,3446431.949999999720603,3114711.670000000391155,13066013.719999998807907
