代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13829987.509999999776483
真實報酬,3829987.509999999776483

夏普值報酬,0.374298751000000
夏普值風險,0.103551435538989
夏普值,3.614616726960493

二次趨勢線,29.701901491627652 x^2 + 7866.252245054414743 x + 10000000.000000000000000
二次加權預期報酬,17826.289878580213554
風險,293466.499153026554268
二次加權趨勢值,0.060743866608382
一次趨勢線,13468.751270347935133 x + 10000000.000000000000000
一次預期報酬,13468.751270347935133
一次風險,361010.397168343246449
一次趨勢值,0.037308485783215
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
FS( 59 ),5509306.230000000447035,4712835.360000000335276,10222141.589999999850988
FS( 60 ),5505581.870000000111759,4686787.239999999292195,10192369.109999999403954
FS( 61 ),5501857.510000000707805,4721094.519999999552965,10222952.030000001192093
FS( 62 ),5437612.299999999813735,4704576.199999999254942,10142188.500000000000000
FS( 63 ),5560516.179999999701977,4757943.080000000074506,10318459.259999999776483
FS( 64 ),5542825.470000000670552,4648668.040000000037253,10191493.510000001639128
FS( 65 ),5638727.740000000223517,4666457.000000000000000,10305184.740000000223517
FS( 66 ),5774666.880000000819564,4712835.360000000335276,10487502.240000002086163
FS( 67 ),5716008.209999999962747,4699493.639999999664724,10415501.849999999627471
FS( 68 ),5766287.070000000298023,4723635.799999998882413,10489922.869999999180436
FS( 69 ),5771873.610000000335276,4813215.919999999925494,10585089.530000001192093
FS( 70 ),5826807.919999999925494,4903431.360000000335276,10730239.280000001192093
FS( 71 ),5803530.669999999925494,4925667.559999999590218,10729198.230000000447035
FS( 72 ),5813772.660000000149012,4907243.279999999329448,10721015.939999999478459
FS( 73 ),5827739.010000000707805,4858323.639999999664724,10686062.650000000372529
FS( 74 ),5731836.740000000223517,4827828.279999999329448,10559665.019999999552965
FS( 75 ),5775597.970000000670552,4916137.759999999776483,10691735.730000000447035
FS( 76 ),5678764.610000000335276,4818298.479999999515712,10497063.089999999850988
FS( 77 ),5682488.970000000670552,4849429.159999999217689,10531918.129999998956919
FS( 78 ),5705766.220000000670552,4818933.799999998882413,10524700.019999999552965
FS( 79 ),5696455.320000000298023,4856417.679999999701977,10552873.000000000000000
FS( 80 ),5723456.929999999701977,4919314.360000000335276,10642771.289999999105930
FS( 81 ),5687144.419999999925494,4942185.879999999888241,10629330.300000000745058
FS( 82 ),5653625.179999999701977,4955527.599999999627471,10609152.779999999329448
FS( 83 ),5575413.620000000111759,4935832.679999999701977,10511246.300000000745058
FS( 84 ),5614519.400000000372529,4958704.199999999254942,10573223.599999999627471
FS( 85 ),5651763.000000000000000,4959339.519999999552965,10611102.519999999552965
FS( 86 ),5629416.839999999850988,4963786.759999999776483,10593203.599999999627471
FS( 87 ),5652694.089999999850988,4949174.400000000372529,10601868.490000000223517
FS( 88 ),5739285.459999999962747,5032401.319999999366701,10771686.779999999329448
FS( 89 ),5791426.500000000000000,5038754.519999999552965,10830181.019999999552965
FS( 90 ),5774666.880000000819564,4946633.119999999180436,10721300.000000000000000
FS( 91 ),5800737.400000000372529,5071155.839999998919666,10871893.239999998360872
FS( 92 ),5763493.799999999813735,5029224.719999999739230,10792718.519999999552965
FS( 93 ),5834256.639999999664724,5012071.080000000074506,10846327.719999998807907
FS( 94 ),5855671.709999999962747,5038754.519999999552965,10894426.230000000447035
FS( 95 ),5827739.010000000707805,5052731.559999999590218,10880470.570000000298023
FS( 96 ),5822152.470000000670552,5084497.559999999590218,10906650.030000001192093
FS( 97 ),5860327.160000000149012,5064802.639999999664724,10925129.800000000745058
FS( 98 ),5820290.290000000037253,5001905.959999999962747,10822196.250000000000000
FS( 99 ),5821221.380000000819564,4998729.360000000335276,10819950.740000002086163
FS( 100 ),5837049.910000000149012,4987928.919999999925494,10824978.830000000074506
FS( 101 ),5905019.480000000447035,5018424.279999999329448,10923443.759999999776483
FS( 102 ),6004646.109999999403954,5048919.639999999664724,11053565.750000000000000
FS( 103 ),5959953.790000000968575,5088309.479999999515712,11048263.269999999552965
FS( 104 ),5911537.110000000335276,5119440.159999999217689,11030977.269999999552965
FS( 105 ),6034440.990000000223517,5095298.000000000000000,11129738.990000000223517
FS( 106 ),6133136.530000000260770,5138499.759999999776483,11271636.289999999105930
FS( 107 ),6097755.109999999403954,5123887.400000000372529,11221642.509999999776483
FS( 108 ),6072615.679999999701977,5209655.599999999627471,11282271.279999999329448
FS( 109 ),6138723.070000001229346,5230621.159999999217689,11369344.230000000447035
FS( 110 ),6165724.679999999701977,5242692.239999999292195,11408416.919999998062849
FS( 111 ),6199243.919999999925494,5250316.080000000074506,11449560.000000000000000
FS( 112 ),6209485.910000000149012,5231891.799999998882413,11441377.709999999031425
FS( 113 ),6145240.700000000186265,5171536.400000000372529,11316777.100000001490116
FS( 114 ),6151758.329999999143183,5173442.360000000335276,11325200.689999999478459
FS( 115 ),6212279.179999999701977,5179160.239999999292195,11391439.419999998062849
FS( 116 ),6188070.839999999850988,5165818.519999999552965,11353889.359999999403954
FS( 117 ),6272800.030000000260770,5228715.199999999254942,11501515.230000000447035
FS( 118 ),6410601.349999999627471,5317024.679999999701977,11727626.029999999329448
FS( 119 ),6430154.240000000223517,5317024.679999999701977,11747178.919999999925494
FS( 120 ),6533505.230000000447035,5313848.080000000074506,11847353.310000000521541
FS( 121 ),6440396.230000000447035,5330366.400000000372529,11770762.630000000819564
FS( 122 ),6428292.060000000521541,5297965.080000000074506,11726257.140000000596046
FS( 123 ),6421774.429999999701977,5288435.279999999329448,11710209.709999999031425
FS( 124 ),6428292.060000000521541,5296059.119999999180436,11724351.179999999701977
FS( 125 ),6423636.609999999403954,5301141.679999999701977,11724778.289999999105930
FS( 126 ),6390117.370000000111759,5303682.959999999962747,11693800.330000000074506
FS( 127 ),6406876.990000000223517,5304318.279999999329448,11711195.269999999552965
FS( 128 ),6381737.560000000521541,5299235.719999999739230,11680973.280000001192093
FS( 129 ),6386393.010000000707805,5270011.000000000000000,11656404.010000001639128
FS( 130 ),6326803.250000000000000,5254128.000000000000000,11580931.250000000000000
FS( 131 ),6389186.280000000260770,5291611.879999999888241,11680798.160000000149012
FS( 132 ),6459949.120000000111759,5250951.400000000372529,11710900.519999999552965
FS( 133 ),6486950.730000000447035,5203937.719999999739230,11690888.449999999254942
FS( 134 ),6476708.740000000223517,5233797.759999999776483,11710506.500000000000000
FS( 135 ),6432016.419999999925494,5210290.919999999925494,11642307.339999999850988
FS( 136 ),6504641.440000000409782,5280176.119999999180436,11784817.559999998658895
FS( 137 ),6594957.169999999925494,5301777.000000000000000,11896734.169999999925494
FS( 138 ),6515814.520000000484288,5311942.119999999180436,11827756.640000000596046
FS( 139 ),6556782.480000000447035,5352602.599999999627471,11909385.080000000074506
FS( 140 ),6556782.480000000447035,5336719.599999999627471,11893502.080000000074506
FS( 141 ),6515814.520000000484288,5336719.599999999627471,11852534.120000001043081
FS( 142 ),6590301.720000000670552,5423123.119999999180436,12013424.839999999850988
FS( 143 ),6620096.599999999627471,5452347.839999998919666,12072444.439999997615814
FS( 144 ),6590301.720000000670552,5353873.239999999292195,11944174.960000000894070
FS( 145 ),6578197.550000000745058,5280811.439999999478459,11859008.990000000223517
FS( 146 ),6548402.669999999925494,5289705.919999999925494,11838108.589999999850988
FS( 147 ),6584715.179999999701977,5264293.119999999180436,11849008.299999998882413
FS( 148 ),6605199.160000000149012,5287799.959999999962747,11892999.120000001043081
FS( 149 ),6660133.470000000670552,5315754.040000000037253,11975887.510000001639128
FS( 150 ),6680617.450000000186265,5359591.119999999180436,12040208.570000000298023
FS( 151 ),6645236.030000000260770,5275093.559999999590218,11920329.589999999850988
FS( 152 ),6631269.679999999701977,5204573.040000000037253,11835842.719999998807907
FS( 153 ),6613578.970000000670552,5219185.400000000372529,11832764.370000001043081
FS( 154 ),6653615.839999999850988,5235068.400000000372529,11888684.240000000223517
FS( 155 ),6735551.760000000707805,5222362.000000000000000,11957913.760000001639128
FS( 156 ),6559575.750000000000000,5174077.679999999701977,11733653.429999999701977
FS( 157 ),6365909.030000000260770,5010800.439999999478459,11376709.469999998807907
FS( 158 ),6499985.990000000223517,5022871.519999999552965,11522857.509999999776483
FS( 159 ),6467397.839999999850988,5090850.759999999776483,11558248.599999999627471
FS( 160 ),6631269.679999999701977,5146758.919999999925494,11778028.599999999627471
FS( 161 ),6687135.079999999143183,5200761.119999999180436,11887896.199999999254942
FS( 162 ),6723447.589999999850988,5097839.279999999329448,11821286.869999999180436
FS( 163 ),6736482.849999999627471,5546375.199999999254942,12282858.049999998882413
FS( 164 ),6756966.829999999143183,5501902.799999998882413,12258869.629999998956919
FS( 165 ),6713205.599999999627471,5537480.719999999739230,12250686.320000000298023
FS( 166 ),6567955.560000000521541,5683604.319999999366701,12251559.879999998956919
FS( 167 ),6513952.339999999850988,5654379.599999999627471,12168331.939999999478459
FS( 168 ),6554920.300000000745058,5581953.119999999180436,12136873.419999999925494
FS( 169 ),6652684.750000000000000,5606095.279999999329448,12258780.029999999329448
FS( 170 ),6784899.530000000260770,5666450.679999999701977,12451350.210000000894070
FS( 171 ),6853800.190000000409782,5634049.360000000335276,12487849.550000000745058
FS( 172 ),6808176.780000000260770,5691863.479999999515712,12500040.259999999776483
FS( 173 ),6729034.129999999888241,5705840.519999999552965,12434874.649999998509884
FS( 174 ),6808176.780000000260770,5794150.000000000000000,12602326.780000001192093
FS( 175 ),6825867.490000000223517,5813844.919999999925494,12639712.410000000149012
FS( 176 ),6990670.419999999925494,5799867.879999999888241,12790538.300000000745058
FS( 177 ),7027914.020000000484288,5804315.119999999180436,12832229.140000000596046
FS( 178 ),6970186.440000000409782,5871023.719999999739230,12841210.160000000149012
FS( 179 ),6954357.910000000149012,5889448.000000000000000,12843805.910000000149012
FS( 180 ),6946909.190000000409782,5938367.639999999664724,12885276.830000000074506
FS( 181 ),6898492.510000000707805,5939638.279999999329448,12838130.789999999105930
FS( 182 ),6968324.260000000707805,5961239.159999999217689,12929563.419999999925494
FS( 183 ),7081917.240000000223517,5960603.839999998919666,13042521.079999998211861
FS( 184 ),7108918.849999999627471,5926931.879999999888241,13035850.730000000447035
FS( 185 ),6962737.720000000670552,5851328.799999998882413,12814066.519999999552965
FS( 186 ),6963668.810000000521541,5807491.719999999739230,12771160.530000001192093
FS( 187 ),6952495.730000000447035,5815750.879999999888241,12768246.609999999403954
FS( 188 ),7024189.660000000149012,5841163.679999999701977,12865353.339999999850988
FS( 189 ),7107987.760000000707805,5890718.639999999664724,12998706.400000000372529
FS( 190 ),7190854.770000000484288,5909142.919999999925494,13099997.690000001341105
FS( 191 ),7254168.889999999664724,5897071.839999998919666,13151240.729999998584390
FS( 192 ),7387314.760000000707805,6004440.919999999925494,13391755.679999999701977
FS( 193 ),7376141.679999999701977,5928837.839999998919666,13304979.519999999552965
FS( 194 ),7282101.589999999850988,5928202.519999999552965,13210304.109999999403954
FS( 195 ),7296999.030000000260770,5943450.199999999254942,13240449.230000000447035
FS( 196 ),7143369.179999999701977,5873565.000000000000000,13016934.179999999701977
FS( 197 ),7208545.480000000447035,5910413.559999999590218,13118959.039999999105930
FS( 198 ),7179681.690000000409782,5966321.719999999739230,13146003.410000000149012
FS( 199 ),7263479.790000000968575,5973945.559999999590218,13237425.350000001490116
FS( 200 ),7356588.790000000968575,6130234.279999999329448,13486823.070000000298023
FS( 201 ),7121023.020000000484288,6139764.080000000074506,13260787.100000001490116
FS( 202 ),7004636.770000000484288,5893895.239999999292195,12898532.009999999776483
FS( 203 ),6920838.669999999925494,5876106.279999999329448,12796944.949999999254942
FS( 204 ),6868697.629999999888241,5829727.919999999925494,12698425.550000000745058
FS( 205 ),6842627.109999999403954,5780172.959999999962747,12622800.070000000298023
FS( 206 ),6787692.800000000745058,5779537.639999999664724,12567230.440000001341105
FS( 207 ),6624752.050000000745058,5550187.119999999180436,12174939.169999999925494
FS( 208 ),6890112.700000000186265,5723629.479999999515712,12613742.179999999701977
FS( 209 ),7018603.120000000111759,5846246.239999999292195,12864849.359999999403954
FS( 210 ),7017672.030000000260770,5792879.360000000335276,12810551.390000000596046
FS( 211 ),7114505.389999999664724,5839893.040000000037253,12954398.429999999701977
FS( 212 ),7038156.010000000707805,5799232.559999999590218,12837388.570000000298023
FS( 213 ),6893837.060000000521541,5758572.080000000074506,12652409.140000000596046
FS( 214 ),7101470.129999999888241,5876106.279999999329448,12977576.410000000149012
FS( 215 ),7023258.570000001229346,5852599.439999999478459,12875858.010000001639128
FS( 216 ),7075399.609999999403954,5874200.319999999366701,12949599.929999999701977
FS( 217 ),7021396.389999999664724,5778267.000000000000000,12799663.390000000596046
FS( 218 ),6934805.020000000484288,5792244.040000000037253,12727049.060000000521541
FS( 219 ),6973910.800000000745058,5830363.239999999292195,12804274.039999999105930
FS( 220 ),6831454.030000000260770,5790973.400000000372529,12622427.429999999701977
FS( 221 ),6936667.200000000186265,5845610.919999999925494,12782278.120000001043081
FS( 222 ),6946909.190000000409782,5804950.439999999478459,12751859.629999998956919
FS( 223 ),7039087.099999999627471,5758572.080000000074506,12797659.179999999701977
FS( 224 ),7064226.530000000260770,5808127.040000000037253,12872353.570000000298023
FS( 225 ),7060502.169999999925494,5745865.679999999701977,12806367.849999999627471
FS( 226 ),7024189.660000000149012,6025406.479999999515712,13049596.140000000596046
FS( 227 ),6812832.230000000447035,5991099.199999999254942,12803931.429999999701977
FS( 228 ),6792348.250000000000000,5946626.799999998882413,12738975.049999998882413
FS( 229 ),6789554.980000000447035,5941544.239999999292195,12731099.219999998807907
FS( 230 ),6818418.770000000484288,5942814.879999999888241,12761233.650000000372529
FS( 231 ),6831454.030000000260770,6005076.239999999292195,12836530.269999999552965
FS( 232 ),6930149.570000001229346,6128963.639999999664724,13059113.210000000894070
FS( 233 ),7118229.750000000000000,6192495.639999999664724,13310725.390000000596046
FS( 234 ),7157335.530000000260770,6228073.559999999590218,13385409.089999999850988
FS( 235 ),7183406.050000000745058,6190589.679999999701977,13373995.730000000447035
FS( 236 ),7205752.209999999962747,6221085.040000000037253,13426837.250000000000000
FS( 237 ),7152680.079999999143183,6171530.080000000074506,13324210.160000000149012
FS( 238 ),7217856.379999999888241,6207743.319999999366701,13425599.699999999254942
FS( 239 ),7142438.089999999850988,6243321.239999999292195,13385759.329999998211861
FS( 240 ),7310965.379999999888241,6306217.919999999925494,13617183.300000000745058
FS( 241 ),7357519.879999999888241,6304947.279999999329448,13662467.160000000149012
FS( 242 ),7350071.160000000149012,6255392.319999999366701,13605463.480000000447035
FS( 243 ),7431075.990000000223517,6256662.959999999962747,13687738.949999999254942
FS( 244 ),7378003.859999999403954,6352596.279999999329448,13730600.139999998733401
FS( 245 ),7395694.570000001229346,6307488.559999999590218,13703183.130000000819564
FS( 246 ),7432938.169999999925494,6339254.559999999590218,13772192.730000000447035
FS( 247 ),7520460.629999999888241,6369114.599999999627471,13889575.230000000447035
FS( 248 ),7484148.120000000111759,6325912.839999998919666,13810060.959999999031425
FS( 249 ),7517667.359999999403954,6342431.159999999217689,13860098.519999999552965
FS( 250 ),7506494.280000000260770,6283981.719999999739230,13790476.000000000000000
FS( 251 ),7568877.310000000521541,6261110.199999999254942,13829987.509999999776483
