代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13778877.160000000149012
真實報酬,3778877.160000000149012

夏普值報酬,0.369187716000000
夏普值風險,0.095099617198086
夏普值,3.882115689603734

二次趨勢線,-6.108591073255744 x^2 + 17650.347884682007134 x + 10000000.000000000000000
二次加權預期報酬,15601.933678116914962
風險,164220.489223834680161
二次加權趨勢值,0.095006011441430
一次趨勢線,16498.119447607656184 x + 10000000.000000000000000
一次預期報酬,16498.119447607656184
一次風險,169818.032845564623130
一次趨勢值,0.097151752208856
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),HD[9](3),KO[14](11),TRV[22](5),WMT[28](2),
FS( 28 ),2176188.080000000074506,2263925.060000000055879,2015512.899999999674037,1985468.780000000027940,2074337.120000000111759,10515431.940000001341105
FS( 29 ),2181545.149999999441206,2253795.739999999757856,1995823.449999999953434,1978734.799999999813735,2066156.480000000214204,10476055.619999999180436
FS( 30 ),2162497.790000000037253,2223407.779999999795109,1983293.799999999813735,1982279.000000000000000,2048728.160000000149012,10400206.530000001192093
FS( 31 ),2092855.879999999655411,2202586.399999999906868,1976730.649999999906868,1983696.679999999934807,2050506.560000000055879,10306376.169999999925494
FS( 32 ),2094641.569999999832362,2218343.120000000111759,1995823.449999999953434,2013467.959999999962747,2061176.960000000195578,10383453.060000000521541
FS( 33 ),2102379.559999999590218,2274617.120000000111759,2011932.999999999767169,2030125.699999999953434,2072558.720000000204891,10491614.099999999627471
FS( 34 ),2068451.449999999953434,2262236.840000000316650,2010143.049999999580905,2009923.760000000009313,2055130.400000000139698,10405885.500000000000000
FS( 35 ),2152974.110000000335276,2360716.340000000316650,2040572.199999999953434,2060960.239999999990687,2105281.280000000260770,10720504.170000001788139
FS( 36 ),2158926.410000000149012,2363530.040000000037253,2075177.899999999674037,2094275.719999999972060,2112394.879999999888241,10804304.949999999254942
FS( 37 ),2199402.049999999813735,2359028.120000000111759,2064438.199999999720603,2097819.919999999925494,2105281.280000000260770,10825969.570000000298023
FS( 38 ),2244044.299999999813735,2368594.700000000186265,2086514.249999999767169,2103490.640000000130385,2133735.680000000633299,10936379.570000000298023
FS( 39 ),2238687.229999999515712,2375910.319999999832362,2084724.299999999580905,2109870.200000000186265,2128044.799999999813735,10937236.849999997764826
FS( 40 ),2216663.719999999739230,2337081.260000000242144,2073984.599999999627471,2086124.059999999823049,2124488.000000000000000,10838341.640000000596046
FS( 41 ),2244639.530000000260770,2364092.779999999795109,2093077.399999999674037,2115186.500000000000000,2133735.680000000633299,10950731.890000000596046
FS( 42 ),2232139.700000000186265,2365781.000000000000000,2087707.549999999813735,2097111.080000000074506,2125555.040000000037253,10908294.370000001043081
FS( 43 ),2280353.330000000074506,2371408.399999999906868,2092480.749999999767169,2090731.520000000018626,2145828.799999999813735,10980802.800000000745058
FS( 44 ),2312495.750000000000000,2405172.800000000279397,2079354.449999999720603,2082225.439999999944121,2123776.640000000596046,11003025.080000000074506
FS( 45 ),2351185.700000000186265,2424868.700000000186265,2069808.049999999580905,2102781.799999999813735,2113461.919999999925494,11062106.169999999925494
FS( 46 ),2375590.129999999888241,2431058.840000000316650,2056681.749999999767169,2103490.640000000130385,2098523.360000000335276,11065344.720000002533197
FS( 47 ),2366066.450000000186265,2432747.060000000055879,2056681.749999999767169,2115540.919999999925494,2104925.599999999627471,11075961.779999999329448
FS( 48 ),2358923.690000000409782,2449629.260000000242144,2068614.749999999767169,2130072.140000000130385,2099946.080000000074506,11107185.920000001788139
FS( 49 ),2303567.299999999813735,2445690.080000000074506,2030429.149999999674037,2122983.739999999757856,2112750.559999999590218,11015420.829999998211861
FS( 50 ),2305352.990000000223517,2441750.899999999906868,2015512.899999999674037,2119439.540000000037253,2116307.360000000335276,10998363.690000001341105
FS( 51 ),2285710.399999999441206,2448503.779999999795109,1998210.049999999813735,2104199.479999999981374,2117730.080000000074506,10954353.789999999105930
FS( 52 ),2290472.240000000223517,2461446.800000000279397,2008949.749999999767169,2115540.919999999925494,2128756.160000000149012,11005165.870000001043081
FS( 53 ),2322614.660000000149012,2525599.160000000149012,2016706.199999999487773,2122629.319999999832362,2134447.040000000037253,11121996.379999998956919
FS( 54 ),2347614.319999999366701,2555424.379999999888241,2012529.649999999441206,2137160.540000000037253,2155787.839999999850988,11208516.729999998584390
FS( 55 ),2339876.330000000074506,2504777.779999999795109,2031622.449999999487773,2182880.720000000204891,2170015.040000000037253,11229172.320000000298023
FS( 56 ),2336304.950000000186265,2525599.160000000149012,2044748.750000000000000,2136806.120000000111759,2166458.240000000223517,11209917.220000000670552
FS( 57 ),2336304.950000000186265,2530101.080000000074506,2025655.949999999953434,2055643.939999999944121,2183530.879999999888241,11131236.800000000745058
FS( 58 ),2354757.080000000074506,2546983.279999999795109,2041765.499999999767169,2096402.239999999990687,2186376.320000000298023,11226284.419999999925494
FS( 59 ),2342257.250000000000000,2529538.340000000316650,2029235.849999999627471,2080453.340000000083819,2168592.320000000298023,11150077.099999999627471
FS( 60 ),2336304.950000000186265,2525036.419999999925494,2011932.999999999767169,2057416.039999999804422,2159344.640000000596046,11090035.050000000745058
FS( 61 ),2320828.969999999739230,2519409.020000000018626,2012529.649999999441206,2059542.559999999823049,2180329.759999999776483,11092639.959999999031425
FS( 62 ),2315471.899999999441206,2498024.899999999906868,2014916.250000000000000,2066276.539999999804422,2182463.839999999850988,11077153.429999997839332
FS( 63 ),2341066.790000000037253,2502526.819999999832362,2023865.999999999767169,2100655.280000000260770,2211629.599999999627471,11179744.490000000223517
FS( 64 ),2316067.129999999888241,2501964.080000000074506,2023865.999999999767169,2104908.319999999832362,2203093.280000000260770,11149898.809999998658895
FS( 65 ),2380947.200000000186265,2541918.620000000111759,2031025.799999999580905,2130780.979999999981374,2206294.400000000372529,11290967.000000000000000
FS( 66 ),2408327.780000000260770,2543606.840000000316650,2029832.500000000000000,2102781.799999999813735,2200959.200000000186265,11285508.120000001043081
FS( 67 ),2439279.740000000223517,2558238.080000000074506,2045345.399999999674037,2117313.020000000018626,2194201.280000000260770,11354377.519999999552965
FS( 68 ),2456541.410000000149012,2541918.620000000111759,2038782.249999999767169,2121211.640000000130385,2191711.519999999552965,11350165.439999999478459
FS( 69 ),2472017.389999999664724,2547546.020000000018626,2028042.549999999813735,2122629.319999999832362,2203804.640000000596046,11374039.919999999925494
FS( 70 ),2467255.549999999813735,2550922.459999999962747,2026849.249999999767169,2104553.899999999906868,2201670.559999999590218,11351251.719999998807907
FS( 71 ),2487493.370000000111759,2584686.859999999869615,2041765.499999999767169,2090731.520000000018626,2197758.080000000074506,11402435.330000000074506
FS( 72 ),2476184.000000000000000,2592002.479999999981374,2055488.449999999953434,2096756.659999999916181,2213052.320000000298023,11433483.910000000149012
FS( 73 ),2455350.950000000186265,2572306.580000000074506,2040572.199999999953434,2101364.120000000111759,2196691.040000000037253,11366284.890000000596046
FS( 74 ),2472612.620000000111759,2584686.859999999869615,2054295.149999999674037,2106680.419999999925494,2206650.080000000074506,11424925.130000000819564
FS( 75 ),2485112.450000000186265,2628580.580000000074506,2060261.649999999674037,2121211.640000000130385,2222300.000000000000000,11517466.320000000298023
FS( 76 ),2474398.309999999590218,2640398.120000000111759,2053101.849999999627471,2100655.280000000260770,2136581.120000000111759,11405134.679999999701977
FS( 77 ),2456541.410000000149012,2620702.220000000204891,2066228.149999999906868,2088959.419999999925494,2084296.160000000149012,11316727.360000001266599
FS( 78 ),2469041.240000000223517,2642086.340000000316650,2063841.549999999813735,2089668.260000000009313,2082162.080000000074506,11346799.470000000670552
FS( 79 ),2458922.330000000074506,2643774.560000000055879,2058471.699999999720603,2076909.139999999897555,2091054.080000000074506,11329131.810000000521541
FS( 80 ),2478564.919999999925494,2640960.859999999869615,2053698.499999999767169,2076909.139999999897555,2079316.640000000130385,11329450.060000000521541
FS( 81 ),2495826.589999999850988,2657843.060000000055879,2053698.499999999767169,2069820.739999999990687,2096033.600000000093132,11373222.490000000223517
FS( 82 ),2499397.969999999739230,2676976.220000000204891,2084127.649999999674037,2054580.679999999934807,2101368.799999999813735,11416451.320000000298023
FS( 83 ),2523207.169999999925494,2670786.080000000074506,2076371.199999999487773,2070529.580000000074506,2092121.120000000111759,11433015.149999998509884
FS( 84 ),2521421.479999999515712,2667972.379999999888241,2063841.549999999813735,2055998.359999999869615,2098879.040000000037253,11408112.809999998658895
FS( 85 ),2541659.299999999813735,2666846.899999999906868,2065631.499999999534339,2073364.939999999944121,2112750.559999999590218,11460253.199999999254942
FS( 86 ),2499993.200000000186265,2610572.899999999906868,2051311.899999999906868,2019847.520000000018626,2097456.320000000298023,11279181.839999999850988
FS( 87 ),2485112.450000000186265,2666846.899999999906868,2052505.199999999720603,2015594.479999999748543,2129111.839999999850988,11349170.869999999180436
FS( 88 ),2501183.660000000149012,2691044.720000000204891,2066824.799999999813735,2023746.139999999897555,2125910.720000000670552,11408710.040000000968575
FS( 89 ),2514278.719999999739230,2706801.439999999944121,2073984.599999999627471,2041821.559999999823049,2136936.799999999813735,11473823.120000001043081
FS( 90 ),2520231.020000000484288,2734375.700000000186265,2093077.399999999674037,2041821.559999999823049,2158277.599999999627471,11547783.279999999329448
FS( 91 ),2619634.429999999701977,2765326.399999999906868,2096060.649999999906868,2070175.159999999916181,2169659.360000000335276,11720856.000000000000000
FS( 92 ),2588087.240000000223517,2783896.819999999832362,2094867.349999999627471,2089313.840000000083819,2172504.799999999813735,11728670.050000000745058
FS( 93 ),2587492.009999999776483,2768702.840000000316650,2098447.250000000000000,2093921.299999999813735,2177840.000000000000000,11726403.399999998509884
FS( 94 ),2570825.569999999366701,2760261.739999999757856,2093077.399999999674037,2098174.339999999850988,2163968.480000000447035,11686307.529999997466803
FS( 95 ),2585706.319999999366701,2747881.459999999962747,2100237.199999999720603,2095338.979999999748543,2160411.680000000633299,11689575.640000000596046
FS( 96 ),2573801.719999999739230,2778832.160000000149012,2106203.699999999720603,2096756.659999999916181,2155432.160000000149012,11711026.400000000372529
FS( 97 ),2575587.410000000149012,2801904.500000000000000,2121716.599999999627471,2073719.359999999869615,2154009.440000000409782,11726937.309999998658895
FS( 98 ),2576777.870000000111759,2795714.359999999869615,2130666.349999999627471,2054580.679999999934807,2157210.559999999590218,11714949.820000000298023
FS( 99 ),2598206.149999999441206,2787836.000000000000000,2132456.299999999813735,2062732.340000000083819,2160767.360000000335276,11741998.149999998509884
FS( 100 ),2641657.940000000409782,2821037.660000000149012,2144985.949999999720603,2085769.639999999897555,2176772.959999999962747,11870224.150000002235174
FS( 101 ),2627967.649999999441206,2815973.000000000000000,2144389.299999999813735,2072656.099999999860302,2172860.480000000447035,11833846.529999999329448
FS( 102 ),2589872.929999999701977,2808657.379999999888241,2167658.649999999441206,2082934.280000000027940,2176417.280000000260770,11825540.519999999552965
FS( 103 ),2560111.429999999701977,2808657.379999999888241,2202264.349999999627471,2078681.239999999990687,2163257.120000000111759,11812971.519999999552965
FS( 104 ),2605944.139999999664724,2831166.979999999981374,2208230.849999999627471,2098174.339999999850988,2176772.959999999962747,11920289.269999999552965
FS( 105 ),2609515.520000000484288,2813159.300000000279397,2211810.749999999534339,2102781.799999999813735,2182463.839999999850988,11919731.210000000894070
FS( 106 ),2576777.870000000111759,2813722.040000000037253,2200474.399999999906868,2101009.700000000186265,2157210.559999999590218,11849194.570000000298023
FS( 107 ),2555349.589999999850988,2805280.939999999944121,2191524.649999999441206,2098883.179999999701977,2143339.040000000037253,11794377.399999998509884
FS( 108 ),2564278.040000000037253,2848611.919999999925494,2192121.299999999813735,2086832.900000000139698,2157921.919999999925494,11849766.080000000074506
FS( 109 ),2506540.729999999515712,2846360.959999999962747,2174221.799999999813735,2057416.039999999804422,2138715.200000000186265,11723254.730000000447035
FS( 110 ),2439874.969999999739230,2777706.680000000167638,2148565.849999999627471,2046783.439999999944121,2131601.599999999627471,11544532.539999999105930
FS( 111 ),2462493.709999999962747,2799653.540000000037253,2151549.099999999627471,2061669.080000000074506,2126977.759999999776483,11602343.189999999478459
FS( 112 ),2508921.649999999441206,2849174.660000000149012,2154532.349999999627471,2094630.139999999897555,2139070.879999999888241,11746329.679999999701977
FS( 113 ),2491064.750000000000000,2867745.080000000074506,2146179.249999999534339,2059896.979999999748543,2125910.720000000670552,11690796.780000001192093
FS( 114 ),2479755.379999999888241,2908825.100000000093132,2161095.499999999534339,2096756.659999999916181,2154720.799999999813735,11801153.440000001341105
FS( 115 ),2540468.839999999850988,2927958.260000000242144,2206440.899999999441206,2126173.520000000018626,2200603.519999999552965,12001645.039999999105930
FS( 116 ),2529159.469999999739230,2915577.979999999981374,2213004.049999999813735,2107743.679999999701977,2207361.440000000409782,11972846.620000001043081
FS( 117 ),2504755.040000000037253,2901509.479999999981374,2202264.349999999627471,2186779.339999999850988,2196335.360000000335276,11991643.570000000298023
FS( 118 ),2520826.250000000000000,2895882.080000000074506,2211810.749999999534339,2223993.439999999944121,2221232.959999999962747,12073745.480000000447035
FS( 119 ),2500588.429999999701977,2875623.439999999944121,2198684.449999999720603,2229664.159999999683350,2117730.080000000074506,11922290.559999998658895
FS( 120 ),2510707.339999999850988,2882939.060000000055879,2211214.099999999627471,2245967.479999999981374,2054774.720000000204891,11905602.700000001117587
FS( 121 ),2541659.299999999813735,2921205.379999999888241,2235676.749999999534339,2260498.700000000186265,2040191.840000000083819,11999231.969999998807907
FS( 122 ),2580944.479999999515712,2918954.419999999925494,2258349.449999999720603,2295586.279999999795109,2096744.960000000195578,12150579.589999999850988
FS( 123 ),2580349.250000000000000,2923456.340000000316650,2286391.999999999534339,2268650.360000000335276,2099590.400000000372529,12158438.349999999627471
FS( 124 ),2566063.729999999515712,2914452.500000000000000,2276845.599999999627471,2279637.379999999888241,2095322.239999999990687,12132321.449999999254942
FS( 125 ),2606539.370000000111759,2944277.720000000204891,2295341.749999999534339,2289561.139999999664724,2101013.120000000111759,12236733.100000001490116
FS( 126 ),2591658.620000000111759,2966224.580000000074506,2301904.899999999441206,2294523.019999999552965,2098879.040000000037253,12253190.160000000149012
FS( 127 ),2607729.830000000074506,2952718.819999999832362,2310257.999999999534339,2294877.439999999944121,2098167.680000000633299,12263751.769999999552965
FS( 128 ),2555349.589999999850988,2924019.080000000074506,2297131.699999999720603,2286016.939999999944121,2087852.960000000195578,12150370.269999999552965
FS( 129 ),2608325.059999999590218,2891942.899999999906868,2305484.799999999813735,2289206.720000000204891,2105281.280000000260770,12200240.759999997913837
FS( 130 ),2636896.099999999627471,2848611.919999999925494,2301308.249999999534339,2282118.319999999832362,2100301.759999999776483,12169236.349999999627471
FS( 131 ),2679752.660000000149012,2819912.180000000167638,2290568.549999999813735,2265460.580000000074506,2099590.400000000372529,12155284.369999999180436
FS( 132 ),2695228.639999999664724,2848611.919999999925494,2309661.349999999627471,2290978.819999999832362,2105281.280000000260770,12249762.009999997913837
FS( 133 ),2711895.080000000074506,2832855.200000000186265,2311451.299999999813735,2290269.979999999981374,2113461.919999999925494,12259933.480000000447035
FS( 134 ),2688681.110000000335276,2806969.160000000149012,2293551.799999999813735,2285308.100000000093132,2101013.120000000111759,12175523.289999999105930
FS( 135 ),2679157.429999999701977,2738877.620000000111759,2284005.399999999906868,2273612.240000000223517,2110972.160000000149012,12086624.849999999627471
FS( 136 ),2683324.040000000037253,2744505.020000000018626,2277442.250000000000000,2254473.560000000055879,2105281.280000000260770,12065026.150000002235174
FS( 137 ),2638681.790000000037253,2646025.520000000018626,2241046.599999999627471,2222221.339999999850988,2193845.599999999627471,11941820.849999999627471
FS( 138 ),2607729.830000000074506,2647713.739999999757856,2209424.149999999906868,2203791.500000000000000,2220521.599999999627471,11889180.820000000298023
FS( 139 ),2642253.169999999925494,2679227.180000000167638,2223147.099999999627471,2222221.339999999850988,2242218.080000000074506,12009066.869999999180436
FS( 140 ),2642253.169999999925494,2715805.279999999795109,2213600.699999999720603,2226474.379999999888241,2266760.000000000000000,12064893.529999997466803
FS( 141 ),2642253.169999999925494,2715805.279999999795109,2213600.699999999720603,2226474.379999999888241,2266760.000000000000000,12064893.529999997466803
FS( 142 ),2645229.319999999366701,2797402.580000000074506,2254172.899999999906868,2239587.919999999925494,2314421.120000000111759,12250813.839999999850988
FS( 143 ),2648800.700000000186265,2782208.600000000093132,2244626.499999999534339,2218677.140000000130385,2322957.440000000409782,12217270.380000002682209
FS( 144 ),2707133.240000000223517,2801341.760000000242144,2251189.649999999441206,2228600.899999999906868,2336117.600000000558794,12324383.149999998509884
FS( 145 ),2690466.799999999813735,2797402.580000000074506,2239256.649999999906868,2193513.319999999832362,2327581.280000000260770,12248220.629999998956919
FS( 146 ),2720823.530000000260770,2776581.200000000186265,2229710.249999999534339,2214778.520000000018626,2341097.120000000111759,12282990.620000001043081
FS( 147 ),2642848.399999999441206,2698923.080000000074506,2180784.949999999720603,2147084.299999999813735,2331493.759999999776483,12001134.490000000223517
FS( 148 ),2643443.629999999888241,2743942.279999999795109,2196894.499999999534339,2139995.899999999906868,2347143.679999999701977,12071419.990000000223517
FS( 149 ),2669038.520000000484288,2752946.120000000111759,2184961.499999999534339,2154881.540000000037253,2329715.360000000335276,12091543.039999999105930
FS( 150 ),2710109.389999999664724,2847486.439999999944121,2226130.349999999627471,2184652.819999999832362,2345009.600000000558794,12313388.600000001490116
FS( 151 ),2716061.690000000409782,2883501.800000000279397,2215987.299999999813735,2194222.159999999683350,2342875.520000000484288,12352648.469999998807907
FS( 152 ),2752370.719999999739230,2945965.939999999944121,2244626.499999999534339,2202373.819999999832362,2426460.320000000298023,12571797.300000000745058
FS( 153 ),2726180.599999999627471,2889691.939999999944121,2227323.649999999441206,2181817.459999999962747,2401918.400000000372529,12426932.049999998882413
FS( 154 ),2760703.940000000409782,2939775.800000000279397,2243433.199999999720603,2195285.419999999925494,2408676.320000000298023,12547874.679999999701977
FS( 155 ),2751775.490000000223517,2868307.819999999832362,2228516.949999999720603,2185007.239999999757856,2385557.120000000111759,12419164.620000001043081
FS( 156 ),2808322.339999999850988,2935273.879999999888241,2259542.749999999534339,2237106.979999999981374,2405475.200000000186265,12645721.149999998509884
FS( 157 ),2802965.270000000484288,2918954.419999999925494,2270282.449999999720603,2247385.159999999683350,2409743.360000000335276,12649330.660000000149012
FS( 158 ),2803560.500000000000000,2944277.720000000204891,2266702.549999999813735,2235334.879999999888241,2422903.520000000484288,12672779.170000001788139
FS( 159 ),2827964.929999999701977,2980855.819999999832362,2259542.749999999534339,2248802.839999999850988,2411877.440000000409782,12729043.780000001192093
FS( 160 ),2841059.990000000223517,2972977.459999999962747,2254172.899999999906868,2262979.640000000130385,2437130.719999999739230,12768320.710000000894070
FS( 161 ),2821417.399999999441206,2884627.279999999795109,2227920.299999999813735,2217968.299999999813735,2407964.959999999962747,12559898.239999998360872
FS( 162 ),2825584.009999999776483,2927395.520000000018626,2235676.749999999534339,2245258.640000000130385,2393737.759999999776483,12627652.679999999701977
FS( 163 ),2779751.299999999813735,2899258.520000000018626,2230903.549999999813735,2202728.239999999757856,2425037.600000000558794,12537679.210000000894070
FS( 164 ),2815465.099999999627471,2919517.160000000149012,2239853.299999999813735,2202728.239999999757856,2439264.799999999813735,12616828.599999997764826
FS( 165 ),2849393.209999999962747,2900946.739999999757856,2277442.250000000000000,2226828.799999999813735,2439620.480000000447035,12694231.480000000447035
FS( 166 ),2846417.059999999590218,2908825.100000000093132,2284005.399999999906868,2227537.640000000130385,2429305.759999999776483,12696090.960000000894070
FS( 167 ),2886892.700000000186265,2981981.300000000279397,2332930.699999999720603,2262625.220000000204891,2479812.320000000298023,12944242.240000000223517
FS( 168 ),2899987.759999999776483,2983106.779999999795109,2354410.099999999627471,2265460.580000000074506,2466652.160000000149012,12969617.379999998956919
FS( 169 ),2892249.770000000484288,2906574.140000000130385,2361569.899999999441206,2272903.399999999906868,2516447.360000000335276,12949744.570000000298023
FS( 170 ),2863678.729999999515712,2932460.180000000167638,2340687.149999999441206,2266878.259999999776483,2528184.799999999813735,12931889.120000001043081
FS( 171 ),2859512.120000000111759,2934711.140000000130385,2331737.399999999441206,2242068.859999999869615,2538143.839999999850988,12906173.359999999403954
FS( 172 ),2857131.200000000186265,2933022.919999999925494,2326367.549999999813735,2235334.879999999888241,2552371.040000000037253,12904227.589999999850988
FS( 173 ),2819036.479999999515712,2938650.319999999832362,2326367.549999999813735,2240296.759999999776483,2564819.839999999850988,12889170.949999999254942
FS( 174 ),2813679.410000000149012,2907699.620000000111759,2310854.649999999441206,2216196.200000000186265,2570155.040000000037253,12818584.919999998062849
FS( 175 ),2822012.629999999888241,2900946.739999999757856,2286391.999999999534339,2205918.020000000018626,2571933.440000000409782,12787202.829999998211861
FS( 176 ),2868440.569999999366701,2931334.700000000186265,2305484.799999999813735,2237461.399999999906868,2602877.600000000558794,12945599.070000000298023
FS( 177 ),2848797.979999999515712,2895319.340000000316650,2281618.799999999813735,2216905.040000000037253,2595764.000000000000000,12838405.160000000149012
FS( 178 ),2937487.250000000000000,2854239.319999999832362,2318014.449999999720603,2243840.959999999962747,2600032.160000000149012,12953614.140000000596046
FS( 179 ),2937487.250000000000000,2864931.379999999888241,2310257.999999999534339,2268295.939999999944121,2591140.160000000149012,12972112.729999998584390
FS( 180 ),2916058.969999999739230,2867745.080000000074506,2313837.899999999906868,2257308.919999999925494,2544190.400000000372529,12899141.269999999552965
FS( 181 ),2892249.770000000484288,2853113.840000000316650,2298325.000000000000000,2222575.759999999776483,2569799.360000000335276,12836063.730000000447035
FS( 182 ),2855940.740000000223517,2867745.080000000074506,2293551.799999999813735,2188197.020000000018626,2555572.160000000149012,12761006.800000000745058
FS( 183 ),2866654.879999999888241,2879562.620000000111759,2286988.649999999441206,2158071.319999999832362,2565886.879999999888241,12757164.349999997764826
FS( 184 ),2874988.099999999627471,2873935.220000000204891,2297728.349999999627471,2161261.099999999627471,2563752.799999999813735,12771665.570000000298023
FS( 185 ),2958915.530000000260770,2977479.379999999888241,2352023.500000000000000,2183589.560000000055879,2620305.919999999925494,13092313.890000000596046
FS( 186 ),2972605.819999999366701,3022498.580000000074506,2387225.849999999627471,2222930.179999999701977,2650538.719999999739230,13255799.149999998509884
FS( 187 ),2964272.599999999627471,2996612.540000000037253,2420041.599999999627471,2240296.759999999776483,2666900.000000000000000,13288123.500000000000000
FS( 188 ),2924987.419999999925494,2936399.359999999869615,2410495.199999999720603,2220449.239999999757856,2647337.600000000558794,13139668.820000000298023
FS( 189 ),2924987.419999999925494,2908262.359999999869615,2417058.349999999627471,2245258.640000000130385,2618527.520000000484288,13114094.289999999105930
FS( 190 ),2915463.740000000223517,2891942.899999999906868,2379469.399999999906868,2228246.479999999981374,2633821.759999999776483,13048944.280000001192093
FS( 191 ),2962486.910000000149012,2942589.500000000000000,2411688.500000000000000,2258017.759999999776483,2651605.759999999776483,13226388.429999999701977
FS( 192 ),2955344.149999999441206,2926270.040000000037253,2405721.999999999534339,2251283.780000000260770,2642002.400000000372529,13180622.369999999180436
