代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10818631.099999999627471
真實報酬,818631.099999999627471

夏普值報酬,0.073163110000000
夏普值風險,0.066164873945346
夏普值,1.105769657483737

二次趨勢線,91.399889355875487 x^2 + -17473.876298886203585 x + 10000000.000000000000000
二次加權預期報酬,13175.553265117374394
風險,323297.909052401606459
二次加權趨勢值,0.040753598758914
一次趨勢線,-233.640310204793224 x + 10000000.000000000000000
一次預期報酬,-233.640310204793224
一次風險,723274.112311769858934
一次趨勢值,-168985987.963618367910385
找到最佳解世代,1819
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](3),PG[21](1),
FS( 89 ),4913032.859999999403954,4495050.530000001192093,9408083.390000000596046
FS( 90 ),4842644.740000000223517,4515434.880000000819564,9358079.620000001043081
FS( 91 ),4849625.379999998956919,4498544.990000000223517,9348170.369999999180436
FS( 92 ),4845262.480000000447035,4453699.419999999925494,9298961.900000000372529
FS( 93 ),4858932.900000000372529,4425743.740000000223517,9284676.640000000596046
FS( 94 ),4841772.160000000149012,4506698.730000000447035,9348470.890000000596046
FS( 95 ),4836536.679999999701977,4417007.590000000782311,9253544.269999999552965
FS( 96 ),4798434.019999999552965,4445545.680000000633299,9243979.699999999254942
FS( 97 ),4728336.759999999776483,4417590.000000000000000,9145926.759999999776483
FS( 98 ),4669292.179999999701977,4451952.190000000409782,9121244.370000001043081
FS( 99 ),4786217.900000000372529,4509610.780000001192093,9295828.680000001564622
FS( 100 ),4648350.259999999776483,4530577.540000000968575,9178927.800000000745058
FS( 101 ),4680344.859999999403954,4542808.150000000372529,9223153.009999999776483
FS( 102 ),4578834.719999998807907,4524753.440000000409782,9103588.160000000149012
FS( 103 ),4546840.119999999180436,4545720.200000000186265,9092560.320000000298023
FS( 104 ),4557601.939999999478459,4546302.610000000335276,9103904.550000000745058
FS( 105 ),4562837.419999999925494,4550379.480000000447035,9113216.900000000372529
FS( 106 ),4551493.879999998956919,4536984.050000000745058,9088477.929999999701977
FS( 107 ),4575926.119999999180436,4613279.759999999776483,9189205.879999998956919
FS( 108 ),4637006.719999998807907,4619103.860000000335276,9256110.579999998211861
FS( 109 ),4652131.439999999478459,4534654.410000000149012,9186785.849999999627471
FS( 110 ),4671909.919999999925494,4648806.769999999552965,9320716.689999999478459
FS( 111 ),4613737.919999999925494,4610367.709999999962747,9224105.629999998956919
FS( 112 ),4628280.919999999925494,4594642.640000000596046,9222923.560000000521541
FS( 113 ),4610538.459999999031425,4619103.860000000335276,9229642.320000000298023
FS( 114 ),4618391.679999999701977,4631916.880000000819564,9250308.560000000521541
FS( 115 ),4646605.099999999627471,4661037.380000000819564,9307642.480000000447035
FS( 116 ),4593668.580000000074506,4642982.669999999925494,9236651.250000000000000
FS( 117 ),4578543.859999999403954,4585324.080000001005828,9163867.940000001341105
FS( 118 ),4594832.019999999552965,4582412.030000001192093,9177244.050000000745058
FS( 119 ),4617519.099999999627471,4572511.060000000521541,9190030.160000000149012
FS( 120 ),4593959.439999999478459,4600466.740000000223517,9194426.179999999701977
FS( 121 ),4621591.139999999664724,4628422.419999999925494,9250013.559999998658895
FS( 122 ),4541604.639999999664724,4664531.840000000782311,9206136.480000000447035
FS( 123 ),4580579.879999998956919,4693069.930000000633299,9273649.809999998658895
FS( 124 ),4614319.639999999664724,4670938.350000000558794,9285257.990000000223517
FS( 125 ),4582325.039999999105930,4710542.230000000447035,9292867.269999999552965
FS( 126 ),4564291.719999998807907,4697146.800000000745058,9261438.519999999552965
FS( 127 ),4520371.859999999403954,4775772.150000000372529,9296144.009999999776483
FS( 128 ),4543640.660000000149012,4794991.680000000633299,9338632.339999999850988
FS( 129 ),4558474.519999999552965,4806057.469999999739230,9364531.989999998360872
FS( 130 ),4538696.039999999105930,4813046.390000000596046,9351742.429999999701977
FS( 131 ),4622463.719999998807907,4796156.500000000000000,9418620.219999998807907
FS( 132 ),4633516.400000000372529,4740827.550000000745058,9374343.950000001117587
FS( 133 ),4615483.080000000074506,4742574.780000001192093,9358057.860000001266599
FS( 134 ),4599776.639999999664724,4747816.469999999739230,9347593.109999999403954
FS( 135 ),4671328.199999999254942,4735585.860000000335276,9406914.059999998658895
FS( 136 ),4650386.279999999329448,4793244.450000000186265,9443630.730000000447035
FS( 137 ),4704195.379999998956919,4874199.440000000409782,9578394.820000000298023
FS( 138 ),4687325.500000000000000,4874199.440000000409782,9561524.940000001341105
FS( 139 ),4702741.080000000074506,4871287.390000000596046,9574028.470000000670552
FS( 140 ),4684126.039999999105930,4886430.050000000745058,9570556.089999999850988
FS( 141 ),4669873.900000000372529,4856727.140000000596046,9526601.040000000968575
FS( 142 ),4626244.900000000372529,4847990.990000000223517,9474235.890000000596046
FS( 143 ),4635843.279999999329448,4854979.910000000149012,9490823.189999999478459
FS( 144 ),4667837.879999998956919,4859639.190000000409782,9527477.070000000298023
FS( 145 ),4701577.639999999664724,4861968.830000001005828,9563546.470000000670552
FS( 146 ),4744334.059999999590218,4862551.240000000223517,9606885.300000000745058
FS( 147 ),4735317.400000000372529,4857891.959999999962747,9593209.359999999403954
FS( 148 ),4718738.379999998956919,4831101.100000000558794,9549839.480000000447035
FS( 149 ),4703904.519999999552965,4816540.850000000558794,9520445.370000001043081
FS( 150 ),4748115.240000000223517,4850903.040000000968575,9599018.280000001192093
FS( 151 ),4762658.240000000223517,4813628.800000000745058,9576287.040000000968575
FS( 152 ),4767312.000000000000000,4770530.459999999962747,9537842.460000000894070
FS( 153 ),4801342.619999999180436,4797903.730000000447035,9599246.349999999627471
FS( 154 ),4788253.919999999925494,4776354.560000000521541,9564608.480000000447035
FS( 155 ),4791744.240000000223517,4840419.660000000149012,9632163.900000000372529
FS( 156 ),4723683.000000000000000,4860221.600000000558794,9583904.600000001490116
FS( 157 ),4678308.839999999850988,4869540.160000000149012,9547849.000000000000000
FS( 158 ),4599776.639999999664724,4906814.400000000372529,9506591.039999999105930
FS( 159 ),4589014.820000000298023,4892254.150000000372529,9481268.970000000670552
FS( 160 ),4630026.080000000074506,4892254.150000000372529,9522280.230000000447035
FS( 161 ),4676854.539999999105930,4971461.910000000149012,9648316.449999999254942
FS( 162 ),4808032.400000000372529,4998252.769999999552965,9806285.169999999925494
FS( 163 ),4750151.259999999776483,4907979.219999999739230,9658130.480000000447035
FS( 164 ),4840317.859999999403954,4841002.070000000298023,9681319.929999999701977
FS( 165 ),4821411.959999999031425,4849155.810000000521541,9670567.769999999552965
FS( 166 ),4843808.179999999701977,4825859.410000000149012,9669667.589999999850988
FS( 167 ),4865913.539999999105930,4847408.580000001005828,9713322.120000001043081
FS( 168 ),4847880.219999998807907,4873034.620000000111759,9720914.839999999850988
FS( 169 ),4804542.080000000074506,4913220.910000000149012,9717762.990000000223517
FS( 170 ),4789417.359999999403954,4835760.380000000819564,9625177.740000000223517
FS( 171 ),4822575.400000000372529,4771112.870000000111759,9593688.269999999552965
FS( 172 ),4844971.619999999180436,4784508.300000000745058,9629479.919999999925494
FS( 173 ),4879874.820000000298023,4799068.550000000745058,9678943.370000001043081
FS( 174 ),4939791.980000000447035,4787420.350000000558794,9727212.330000001937151
FS( 175 ),4897326.419999999925494,4743157.190000000409782,9640483.609999999403954
FS( 176 ),4740262.019999999552965,4593477.820000000298023,9333739.839999999850988
FS( 177 ),4764985.119999999180436,4604543.610000000335276,9369528.730000000447035
FS( 178 ),4760622.219999998807907,4666861.480000000447035,9427483.699999999254942
FS( 179 ),4772256.619999999180436,4718113.560000000521541,9490370.179999999701977
FS( 180 ),4850788.820000000298023,4767618.410000000149012,9618407.230000000447035
FS( 181 ),4851952.259999999776483,4673267.990000000223517,9525220.250000000000000
FS( 182 ),4871730.740000000223517,5084449.450000000186265,9956180.190000001341105
FS( 183 ),4846716.779999999329448,5043680.750000000000000,9890397.529999999329448
FS( 184 ),5152701.500000000000000,5076295.709999999962747,10228997.210000000894070
FS( 185 ),5158518.699999999254942,5210250.009999999776483,10368768.709999999031425
FS( 186 ),5099183.259999999776483,5183459.150000000372529,10282642.410000000149012
FS( 187 ),5041883.839999999850988,5117064.410000000149012,10158948.250000000000000
FS( 188 ),5038684.379999998956919,5139195.990000000223517,10177880.369999999180436
FS( 189 ),5191676.740000000223517,5194524.940000000409782,10386201.679999999701977
FS( 190 ),5145430.000000000000000,5164822.030000001192093,10310252.030000001192093
FS( 191 ),5086676.279999999329448,5217821.340000000782311,10304497.620000001043081
FS( 192 ),5141067.099999999627471,5230634.360000000335276,10371701.460000000894070
FS( 193 ),5246940.139999999664724,5311589.350000000558794,10558529.490000000223517
FS( 194 ),5314419.660000000149012,5329644.060000000521541,10644063.720000000670552
FS( 195 ),5359212.099999999627471,5316831.040000000968575,10676043.140000000596046
FS( 196 ),5394987.879999998956919,5320907.910000000149012,10715895.789999999105930
FS( 197 ),5408367.439999999478459,5382060.959999999962747,10790428.399999998509884
FS( 198 ),5362702.419999999925494,5398950.850000000558794,10761653.269999999552965
FS( 199 ),5352231.459999999031425,5443796.419999999925494,10796027.879999998956919
FS( 200 ),5347577.699999999254942,5444961.240000000223517,10792538.939999999478459
FS( 201 ),5339142.759999999776483,5464763.180000000633299,10803905.940000001341105
FS( 202 ),5456359.339999999850988,5464180.769999999552965,10920540.109999999403954
FS( 203 ),5431054.519999999552965,5433313.040000000968575,10864367.560000000521541
FS( 204 ),5343505.660000000149012,5364006.250000000000000,10707511.910000000149012
FS( 205 ),5314710.519999999552965,5323819.959999999962747,10638530.480000000447035
FS( 206 ),5291732.580000000074506,5331391.290000000968575,10623123.870000001043081
FS( 207 ),5348741.139999999664724,5354687.690000000409782,10703428.830000000074506
FS( 208 ),5370264.779999999329448,5400115.669999999925494,10770380.449999999254942
FS( 209 ),5463921.699999999254942,5417005.560000000521541,10880927.259999999776483
FS( 210 ),5504932.959999999031425,5405939.769999999552965,10910872.729999998584390
FS( 211 ),5483118.459999999031425,5504367.060000000521541,10987485.519999999552965
FS( 212 ),5391788.419999999925494,5435060.269999999552965,10826848.689999999478459
FS( 213 ),5382190.039999999105930,5434477.860000000335276,10816667.899999998509884
FS( 214 ),5394115.299999998882413,5448455.700000000186265,10842571.000000000000000
FS( 215 ),5321691.160000000149012,5384390.600000000558794,10706081.760000001639128
FS( 216 ),5370846.500000000000000,5418170.380000000819564,10789016.880000000819564
FS( 217 ),5340015.339999999850988,5469422.459999999962747,10809437.800000000745058
FS( 218 ),5336815.879999998956919,5476411.380000000819564,10813227.259999999776483
FS( 219 ),5422619.580000000074506,5619684.240000000223517,11042303.820000000298023
FS( 220 ),5331289.539999999105930,5628420.390000000596046,10959709.929999999701977
FS( 221 ),5258574.539999999105930,5403027.719999999739230,10661602.259999997913837
FS( 222 ),5227161.660000000149012,5386720.240000000223517,10613881.900000000372529
FS( 223 ),5211164.359999999403954,5344204.310000000521541,10555368.669999999925494
FS( 224 ),5051773.080000000074506,5298776.330000001005828,10350549.410000000149012
FS( 225 ),5065443.500000000000000,5298193.919999999925494,10363637.419999999925494
FS( 226 ),4952880.679999999701977,5087943.910000000149012,10040824.589999999850988
FS( 227 ),5061953.179999999701977,5246941.840000000782311,10308895.019999999552965
FS( 228 ),5110817.660000000149012,5359346.969999999739230,10470164.629999998956919
FS( 229 ),5106454.759999999776483,5310424.530000001192093,10416879.290000000968575
FS( 230 ),5164917.619999999180436,5353522.870000000111759,10518440.489999998360872
FS( 231 ),5120997.759999999776483,5316248.630000000819564,10437246.390000000596046
FS( 232 ),5087258.000000000000000,5278974.390000000596046,10366232.390000000596046
FS( 233 ),5185568.679999999701977,5386720.240000000223517,10572288.919999999925494
FS( 234 ),5241995.519999999552965,5365171.070000000298023,10607166.589999999850988
FS( 235 ),5253048.199999999254942,5384973.009999999776483,10638021.209999999031425
FS( 236 ),5244031.539999999105930,5297029.100000000558794,10541060.640000000596046
FS( 237 ),5280679.900000000372529,5309842.120000000111759,10590522.019999999552965
FS( 238 ),5304530.419999999925494,5344786.719999999739230,10649317.140000000596046
FS( 239 ),5271081.519999999552965,5308677.300000000745058,10579758.820000000298023
FS( 240 ),5265264.320000000298023,5358764.560000000521541,10624028.880000000819564
FS( 241 ),5216690.699999999254942,5321490.320000000298023,10538181.019999999552965
FS( 242 ),5267882.059999999590218,5278974.390000000596046,10546856.449999999254942
FS( 243 ),5310347.619999999180436,5324402.370000000111759,10634749.989999998360872
FS( 244 ),5368519.619999999180436,5267326.190000000409782,10635845.809999998658895
FS( 245 ),5412730.339999999850988,5523586.590000000782311,10936316.929999999701977
FS( 246 ),5449960.419999999925494,5492136.450000000186265,10942096.870000001043081
FS( 247 ),5351940.599999999627471,5451367.750000000000000,10803308.349999999627471
FS( 248 ),5340306.199999999254942,5446708.469999999739230,10787014.669999998062849
FS( 249 ),5298713.219999998807907,5447873.290000000968575,10746586.509999999776483
FS( 250 ),5287078.820000000298023,5504949.469999999739230,10792028.289999999105930
FS( 251 ),5200111.679999999701977,5618519.419999999925494,10818631.099999999627471
