代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12260938.320000000298023
真實報酬,2260938.320000000298023

夏普值報酬,0.217393832000000
夏普值風險,0.073867649799623
夏普值,2.943018122137556

二次趨勢線,63.771834508476857 x^2 + -6676.487867443194773 x + 10000000.000000000000000
二次加權預期報酬,14793.363083744025062
風險,157409.660934244340751
二次加權趨勢值,0.093980020006039
一次趨勢線,5400.255937276960140 x + 10000000.000000000000000
一次預期報酬,5400.255937276960140
一次風險,481477.460371827473864
一次趨勢值,0.011216009848325
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,4
CSCO[4](14),HD[9](1),NKE[19](2),PG[21](4),
FS( 41 ),2451136.520000000018626,2499390.399999999906868,2473159.900000000372529,2405017.600000000093132,9828704.419999999925494
FS( 42 ),2479545.520000000018626,2525908.000000000000000,2512141.950000000651926,2435126.399999999906868,9952721.870000001043081
FS( 43 ),2485227.320000000298023,2527127.199999999720603,2473798.950000000651926,2415571.199999999720603,9901724.669999999925494
FS( 44 ),2479545.520000000018626,2511887.199999999720603,2499360.950000000186265,2423020.799999999813735,9913814.469999998807907
FS( 45 ),2469318.280000000260770,2516154.399999999906868,2538982.050000000279397,2432953.599999999627471,9957408.330000000074506
FS( 46 ),2464772.840000000316650,2504876.800000000279397,2523644.850000000558794,2437609.600000000093132,9930904.090000001713634
FS( 47 ),2455681.959999999962747,2477749.600000000093132,2517893.400000000372529,2450646.399999999906868,9901971.360000001266599
FS( 48 ),2479545.520000000018626,2455499.200000000186265,2523644.850000000558794,2459647.999999999534339,9918337.570000000298023
FS( 49 ),2445454.719999999739230,2401854.399999999906868,2509585.750000000465661,2458096.000000000000000,9814990.869999999180436
FS( 50 ),2426136.600000000093132,2419532.799999999813735,2502556.200000000186265,2451577.600000000093132,9799803.200000001117587
FS( 51 ),2444318.360000000335276,2425628.799999999813735,2523644.850000000558794,2478272.000000000000000,9871864.010000001639128
FS( 52 ),2457954.679999999701977,2432943.999999999534339,2544733.500000000465661,2476099.199999999720603,9911731.379999998956919
FS( 53 ),2457954.679999999701977,2430810.399999999906868,2529396.300000000279397,2445369.600000000093132,9863530.980000000447035
FS( 54 ),2480681.879999999888241,2441173.600000000093132,2533230.600000000558794,2431091.199999999720603,9886177.280000001192093
FS( 55 ),2459091.040000000037253,2451232.000000000000000,2402864.400000000372529,2417433.599999999627471,9730621.039999999105930
FS( 56 ),2451136.520000000018626,2428067.199999999720603,2392000.550000000279397,2461510.399999999906868,9732714.669999999925494
FS( 57 ),2538636.239999999757856,2422276.000000000000000,2353657.550000000279397,2477340.799999999813735,9791910.589999999850988
FS( 58 ),2536363.520000000018626,2403988.000000000000000,2339598.450000000186265,2467718.399999999906868,9747668.369999999180436
FS( 59 ),2502272.719999999739230,2398196.800000000279397,2342793.700000000186265,2472374.399999999906868,9715637.619999999180436
FS( 60 ),2537499.879999999888241,2399416.000000000000000,2349823.250000000465661,2475788.800000000279397,9762527.930000001564622
FS( 61 ),2547727.120000000111759,2411912.799999999813735,2360048.050000000279397,2501862.399999999906868,9821550.370000001043081
FS( 62 ),2624999.600000000093132,2419532.799999999813735,2377302.400000000372529,2493792.000000000000000,9915626.800000000745058
FS( 63 ),2612499.639999999664724,2436906.399999999906868,2381775.750000000465661,2487273.599999999627471,9918455.389999998733401
FS( 64 ),2623863.239999999757856,2420142.399999999906868,2363882.350000000558794,2486342.399999999906868,9894230.390000000596046
FS( 65 ),2580681.560000000055879,2399416.000000000000000,2327456.500000000465661,2476099.199999999720603,9783653.259999999776483
FS( 66 ),2596590.600000000093132,2350952.799999999813735,2263551.500000000465661,2498447.999999999534339,9709542.900000000372529
FS( 67 ),2606817.840000000316650,2350343.199999999720603,2330012.700000000651926,2525142.399999999906868,9812316.140000000596046
FS( 68 ),2627272.320000000298023,2370155.200000000186265,2350462.300000000279397,2529487.999999999534339,9877377.820000000298023
FS( 69 ),2573863.399999999906868,2340284.799999999813735,2315314.550000000279397,2517072.000000000000000,9746534.750000000000000
FS( 70 ),2552272.560000000055879,2307366.399999999906868,2276971.550000000745058,2506828.800000000279397,9643439.310000000521541
FS( 71 ),2596590.600000000093132,2315596.000000000000000,2312758.350000000093132,2508380.799999999813735,9733325.750000000000000
FS( 72 ),2601136.040000000037253,2313157.600000000093132,2309563.100000000558794,2509312.000000000000000,9733168.740000002086163
FS( 73 ),2617045.080000000074506,2334188.799999999813735,2335764.150000000372529,2534454.399999999906868,9821452.429999999701977
FS( 74 ),2637499.560000000055879,2349733.600000000093132,2365799.500000000465661,2537868.800000000279397,9890901.460000000894070
FS( 75 ),2659090.399999999906868,2376251.199999999720603,2361326.150000000372529,2531660.799999999813735,9928328.550000000745058
FS( 76 ),2672726.719999999739230,2428372.000000000000000,2375385.250000000465661,2522038.399999999906868,9998522.370000001043081
FS( 77 ),2670454.000000000000000,2393320.000000000000000,2367716.650000000372529,2494412.799999999813735,9925903.449999999254942
FS( 78 ),2651135.879999999888241,2431420.000000000000000,2345349.900000000372529,2518934.399999999906868,9946840.179999999701977
FS( 79 ),2613636.000000000000000,2419532.799999999813735,2322983.150000000372529,2527004.799999999813735,9883156.750000000000000
FS( 80 ),2615908.719999999739230,2443612.000000000000000,2290391.600000000558794,2574496.000000000000000,9924408.320000000298023
FS( 81 ),2631817.760000000242144,2423800.000000000000000,2315953.600000000558794,2558976.000000000000000,9930547.359999999403954
FS( 82 ),2626135.959999999962747,2423495.200000000186265,2331290.800000000279397,2562390.399999999906868,9943312.360000001266599
FS( 83 ),2614772.360000000335276,2418008.799999999813735,2330012.700000000651926,2555872.000000000000000,9918665.860000001266599
FS( 84 ),2606817.840000000316650,2420142.399999999906868,2331929.850000000558794,2542835.200000000186265,9901725.290000000968575
FS( 85 ),2609090.560000000055879,2398501.599999999627471,2342154.650000000372529,2536006.399999999906868,9885753.210000000894070
FS( 86 ),2581817.919999999925494,2359792.000000000000000,2308924.050000000745058,2518313.599999999627471,9768847.570000000298023
FS( 87 ),2598863.320000000298023,2349428.799999999813735,2306367.850000000558794,2548112.000000000000000,9802771.970000000670552
FS( 88 ),2615908.719999999739230,2348514.399999999906868,2334486.050000000279397,2550284.799999999813735,9849193.969999998807907
FS( 89 ),2615908.719999999739230,2368631.199999999720603,2347267.050000000279397,2557424.000000000000000,9889230.970000000670552
FS( 90 ),2635226.840000000316650,2385700.000000000000000,2384971.000000000465661,2536937.600000000093132,9942835.439999999478459
FS( 91 ),2597726.959999999962747,2355220.000000000000000,2383692.900000000372529,2533212.799999999813735,9869852.660000000149012
FS( 92 ),2592045.159999999683350,2325959.200000000186265,2351101.350000000093132,2519555.200000000186265,9788660.910000000149012
FS( 93 ),2747726.479999999981374,2323825.599999999627471,2330651.750000000465661,2499689.600000000093132,9901893.429999999701977
FS( 94 ),2769317.320000000298023,2357963.199999999720603,2362604.250000000465661,2493481.599999999627471,9983366.369999999180436
FS( 95 ),2767044.600000000093132,2331750.399999999906868,2379858.600000000558794,2481065.600000000093132,9959719.200000001117587
FS( 96 ),2740908.320000000298023,2376251.199999999720603,2340876.550000000745058,2490377.600000000093132,9948413.669999999925494
FS( 97 ),2781817.280000000260770,2379908.799999999813735,2370911.900000000372529,2498447.999999999534339,10031085.980000000447035
FS( 98 ),2770453.679999999701977,2401244.799999999813735,2392639.600000000093132,2503414.399999999906868,10067752.480000000447035
FS( 99 ),2786362.719999999739230,2413436.800000000279397,2423314.000000000465661,2499379.199999999720603,10122492.719999998807907
FS( 100 ),2807953.560000000055879,2428981.599999999627471,2448236.950000000651926,2485721.599999999627471,10170893.710000000894070
FS( 101 ),2820453.520000000018626,2428676.800000000279397,2437373.100000000558794,2486342.399999999906868,10172845.820000000298023
FS( 102 ),2804544.479999999981374,2435382.399999999906868,2440568.350000000093132,2495654.399999999906868,10176149.630000000819564
FS( 103 ),2797726.320000000298023,2445440.799999999813735,2457822.700000000651926,2507760.000000000000000,10208749.820000000298023
FS( 104 ),2815908.080000000074506,2464033.600000000093132,2451432.200000000186265,2494412.799999999813735,10225786.679999999701977
FS( 105 ),2804544.479999999981374,2458852.000000000000000,2414367.300000000279397,2481065.600000000093132,10158829.380000000819564
FS( 106 ),2784090.000000000000000,2454889.600000000093132,2432899.750000000465661,2478892.799999999813735,10150772.149999998509884
FS( 107 ),2806817.199999999720603,2450012.799999999813735,2424592.100000000093132,2486652.799999999813735,10168074.899999998509884
FS( 108 ),2821589.879999999888241,2457937.600000000093132,2436095.000000000000000,2484169.600000000093132,10199792.080000000074506
FS( 109 ),2818180.800000000279397,2457023.199999999720603,2450154.100000000558794,2486032.000000000000000,10211390.100000001490116
FS( 110 ),2840908.000000000000000,2460985.599999999627471,2438651.200000000186265,2487894.399999999906868,10228439.199999999254942
FS( 111 ),2845453.439999999944121,2432639.200000000186265,2400947.250000000465661,2485100.799999999813735,10164140.690000001341105
FS( 112 ),2802271.760000000242144,2390576.800000000279397,2389444.350000000558794,2475788.800000000279397,10058081.710000000894070
FS( 113 ),2806817.199999999720603,2379603.999999999534339,2384331.950000000651926,2472064.000000000000000,10042817.150000000372529
FS( 114 ),2787499.080000000074506,2404902.399999999906868,2382414.800000000279397,2473616.000000000000000,10048432.280000001192093
FS( 115 ),2784090.000000000000000,2439040.000000000000000,2399669.150000000372529,2470201.599999999627471,10093000.750000000000000
FS( 116 ),2798862.679999999701977,2460071.199999999720603,2434816.900000000372529,2476720.000000000000000,10170470.779999999329448
FS( 117 ),2807953.560000000055879,2451841.599999999627471,2416923.500000000465661,2490687.999999999534339,10167406.660000000149012
FS( 118 ),2821589.879999999888241,2443612.000000000000000,2399669.150000000372529,2481065.600000000093132,10145936.630000000819564
FS( 119 ),2806817.199999999720603,2457937.600000000093132,2411172.050000000279397,2468339.199999999720603,10144266.049999998882413
FS( 120 ),2787499.080000000074506,2451536.800000000279397,2395834.850000000558794,2452508.800000000279397,10087379.530000001192093
FS( 121 ),2809089.919999999925494,2454584.799999999813735,2443763.600000000558794,2462131.199999999720603,10169569.519999999552965
FS( 122 ),2801135.399999999906868,2461290.399999999906868,2455905.550000000279397,2440403.200000000186265,10158734.550000000745058
FS( 123 ),2806817.199999999720603,2472872.799999999813735,2482106.600000000558794,2452819.199999999720603,10214615.800000000745058
FS( 124 ),2823862.600000000093132,2467691.199999999720603,2478272.300000000279397,2439472.000000000000000,10209298.099999999627471
FS( 125 ),2849998.879999999888241,2493903.999999999534339,2492331.400000000372529,2460889.600000000093132,10297123.879999998956919
FS( 126 ),2844317.080000000074506,2498780.799999999813735,2485940.900000000372529,2469580.799999999813735,10298619.580000000074506
FS( 127 ),2862498.840000000316650,2500914.399999999906868,2507029.550000000279397,2482617.600000000093132,10353060.390000000596046
FS( 128 ),2867044.280000000260770,2481712.000000000000000,2513420.050000000279397,2489136.000000000000000,10351312.330000000074506
FS( 129 ),2848862.520000000018626,2461595.200000000186265,2482106.600000000558794,2500620.799999999813735,10293185.120000001043081
FS( 130 ),2890907.840000000316650,2460680.799999999813735,2514698.150000000372529,2535075.200000000186265,10401361.990000002086163
FS( 131 ),2890907.840000000316650,2420142.399999999906868,2476355.150000000372529,2533212.799999999813735,10320618.190000001341105
FS( 132 ),2899998.719999999739230,2426543.199999999720603,2469964.650000000372529,2519244.799999999813735,10315751.370000001043081
FS( 133 ),2890907.840000000316650,2421971.199999999720603,2491053.300000000279397,2524211.199999999720603,10328143.539999999105930
FS( 134 ),2917044.120000000111759,2434163.199999999720603,2493609.500000000465661,2522348.800000000279397,10367165.620000001043081
FS( 135 ),2952271.280000000260770,2428067.199999999720603,2457822.700000000651926,2512416.000000000000000,10350577.180000001564622
FS( 136 ),2912498.679999999701977,2424714.399999999906868,2445680.750000000465661,2495654.399999999906868,10278548.230000000447035
FS( 137 ),2944316.760000000242144,2440868.799999999813735,2476994.200000000186265,2500310.399999999906868,10362490.160000000149012
FS( 138 ),2937498.600000000093132,2429591.199999999720603,2454627.450000000186265,2491929.600000000093132,10313646.849999999627471
FS( 139 ),2948862.199999999720603,2454889.600000000093132,2461657.000000000465661,2486342.399999999906868,10351751.200000001117587
FS( 140 ),2918180.479999999981374,2469520.000000000000000,2472520.850000000093132,2482927.999999999534339,10343149.330000000074506
FS( 141 ),2935225.879999999888241,2475006.399999999906868,2511502.900000000372529,2491308.800000000279397,10413043.980000000447035
FS( 142 ),2951134.919999999925494,2469824.799999999813735,2483384.700000000186265,2469580.799999999813735,10373925.219999998807907
FS( 143 ),2945453.120000000111759,2471043.999999999534339,2505112.400000000372529,2460268.800000000279397,10381878.320000000298023
FS( 144 ),2921589.560000000055879,2468300.799999999813735,2495526.650000000372529,2441334.399999999906868,10326751.410000000149012
FS( 145 ),2912498.679999999701977,2492075.200000000186265,2544094.450000000651926,2426124.799999999813735,10374793.129999998956919
FS( 146 ),2867044.280000000260770,2464338.399999999906868,2464852.250000000465661,2400051.199999999720603,10196286.129999998956919
FS( 147 ),2840908.000000000000000,2430810.399999999906868,2453349.350000000558794,2472374.399999999906868,10197442.150000000372529
FS( 148 ),2860226.120000000111759,2439344.799999999813735,2465491.300000000279397,2459027.199999999720603,10224089.419999999925494
FS( 149 ),2837498.919999999925494,2439344.799999999813735,2457822.700000000651926,2464924.799999999813735,10199591.219999998807907
FS( 150 ),2832953.479999999981374,2454280.000000000000000,2464852.250000000465661,2517072.000000000000000,10269157.730000000447035
FS( 151 ),2824998.959999999962747,2452756.000000000000000,2439290.250000000465661,2487584.000000000000000,10204629.210000000894070
FS( 152 ),2844317.080000000074506,2512496.800000000279397,2462296.050000000279397,2512726.399999999906868,10331836.330000001937151
FS( 153 ),2867044.280000000260770,2526212.799999999813735,2462296.050000000279397,2529177.600000000093132,10384730.730000000447035
FS( 154 ),2857953.399999999906868,2527432.000000000000000,2452071.250000000000000,2527315.200000000186265,10364771.850000001490116
FS( 155 ),2863635.199999999720603,2533528.000000000000000,2468686.550000000745058,2529177.600000000093132,10395027.349999999627471
FS( 156 ),2788635.439999999944121,2556083.199999999720603,2469964.650000000372529,2543766.399999999906868,10358449.689999999478459
FS( 157 ),2776135.479999999981374,2550901.599999999627471,2464852.250000000465661,2538489.600000000093132,10330378.929999999701977
FS( 158 ),2798862.679999999701977,2547853.600000000093132,2510224.800000000279397,2558976.000000000000000,10415917.080000000074506
FS( 159 ),2799999.040000000037253,2689280.799999999813735,2508946.700000000186265,2566736.000000000000000,10564962.539999999105930
FS( 160 ),2807953.560000000055879,2766090.399999999906868,2521727.700000000651926,2570460.799999999813735,10666232.460000000894070
FS( 161 ),2828408.040000000037253,2778282.399999999906868,2522366.750000000465661,2585049.600000000093132,10714106.789999999105930
FS( 162 ),2801135.399999999906868,2774624.799999999813735,2533869.650000000372529,2588464.000000000000000,10698093.849999999627471
FS( 163 ),2806817.199999999720603,2779806.399999999906868,2556875.450000000186265,2593120.000000000000000,10736619.050000000745058
FS( 164 ),2819317.159999999683350,2792912.799999999813735,2539621.100000000558794,2588153.599999999627471,10740004.660000000149012
FS( 165 ),2818180.800000000279397,2800228.000000000000000,2547289.700000000186265,2585980.799999999813735,10751679.300000000745058
FS( 166 ),2823862.600000000093132,2819735.200000000186265,2518532.450000000186265,2577289.600000000093132,10739419.850000001490116
FS( 167 ),2839771.639999999664724,2849910.399999999906868,2510224.800000000279397,2579772.799999999813735,10779679.640000000596046
FS( 168 ),2827271.679999999701977,2778282.399999999906868,2533230.600000000558794,2575737.600000000093132,10714522.280000001192093
FS( 169 ),2845453.439999999944121,2712750.399999999906868,2518532.450000000186265,2573254.399999999906868,10649990.689999999478459
FS( 170 ),2830680.760000000242144,2741096.800000000279397,2553680.200000000651926,2598086.399999999906868,10723544.160000002011657
FS( 171 ),2840908.000000000000000,2792303.199999999720603,2621419.500000000465661,2600259.199999999720603,10854889.899999998509884
FS( 172 ),2835226.199999999720603,2768223.999999999534339,2632922.400000000372529,2586291.199999999720603,10822663.799999998882413
FS( 173 ),2824998.959999999962747,2710616.800000000279397,2615029.000000000465661,2576047.999999999534339,10726692.759999999776483
FS( 174 ),2832953.479999999981374,2720370.399999999906868,2635478.600000000558794,2596224.000000000000000,10785026.480000000447035
FS( 175 ),2861362.479999999981374,2719456.000000000000000,2614389.950000000186265,2591567.999999999534339,10786776.429999999701977
FS( 176 ),2859089.760000000242144,2707873.600000000093132,2615029.000000000465661,2584428.800000000279397,10766421.160000002011657
FS( 177 ),2847726.159999999683350,2724332.799999999813735,2607999.450000000651926,2603363.200000000186265,10783421.609999999403954
FS( 178 ),2865907.919999999925494,2751460.000000000000000,2594579.400000000372529,2609881.599999999627471,10821828.919999999925494
FS( 179 ),2864771.560000000055879,2780416.000000000000000,2604804.200000000186265,2612364.799999999813735,10862356.560000000521541
FS( 180 ),2865907.919999999925494,2806933.600000000093132,2619502.350000000558794,2613296.000000000000000,10905639.870000001043081
FS( 181 ),2863635.199999999720603,2814553.600000000093132,2614389.950000000186265,2621987.199999999720603,10914565.949999999254942
FS( 182 ),2837498.919999999925494,2800837.600000000093132,2578603.150000000372529,2632540.799999999813735,10849480.469999998807907
FS( 183 ),2806817.199999999720603,2788645.599999999627471,2560070.700000000651926,2621056.000000000000000,10776589.500000000000000
FS( 184 ),2838635.280000000260770,2835280.000000000000000,2583076.500000000465661,2645887.999999999534339,10902879.780000001192093
FS( 185 ),2788635.439999999944121,2801142.399999999906868,2548567.800000000745058,2617641.599999999627471,10755987.240000000223517
FS( 186 ),2840908.000000000000000,2829793.600000000093132,2859785.150000000372529,2625401.599999999627471,11155888.349999999627471
FS( 187 ),2854544.320000000298023,2831012.799999999813735,2847643.200000000651926,2621056.000000000000000,11154256.320000000298023
FS( 188 ),2860226.120000000111759,2796265.599999999627471,2850199.400000000372529,2599327.999999999534339,11106019.120000001043081
FS( 189 ),2844317.080000000074506,2774320.000000000000000,2802270.650000000372529,2580704.000000000000000,11001611.730000000447035
FS( 190 ),2847726.159999999683350,2811505.599999999627471,2853394.650000000372529,2577910.399999999906868,11090536.810000000521541
FS( 191 ),2876135.159999999683350,2851129.600000000093132,2885347.150000000372529,2600880.000000000000000,11213491.910000000149012
FS( 192 ),2842044.360000000335276,2842595.200000000186265,2850838.450000000186265,2594051.199999999720603,11129529.210000000894070
FS( 193 ),2799999.040000000037253,2818516.000000000000000,2814412.600000000093132,2581324.799999999813735,11014252.440000001341105
FS( 194 ),2802271.760000000242144,2867893.600000000093132,2838696.500000000465661,2612985.600000000093132,11121847.460000000894070
FS( 195 ),2748862.840000000316650,2836803.999999999534339,2787572.500000000000000,2596844.799999999813735,10970084.140000000596046
FS( 196 ),2652272.239999999757856,2820954.399999999906868,2786294.400000000372529,2628816.000000000000000,10888337.039999999105930
FS( 197 ),2605681.479999999981374,2761518.399999999906868,2728779.900000000372529,2587843.200000000186265,10683822.980000000447035
FS( 198 ),2620454.159999999683350,2746278.399999999906868,2719194.150000000372529,2593430.399999999906868,10679357.109999999403954
FS( 199 ),2609090.560000000055879,2677698.399999999906868,2721750.350000000558794,2574806.399999999906868,10583345.710000000894070
FS( 200 ),2593181.520000000018626,2709092.799999999813735,2781182.000000000465661,2552767.999999999534339,10636224.320000000298023
FS( 201 ),2642045.000000000000000,2750545.599999999627471,2785655.350000000558794,2584739.199999999720603,10762985.150000000372529
FS( 202 ),2605681.479999999981374,2799618.399999999906868,2840613.650000000372529,2612985.600000000093132,10858899.130000000819564
FS( 203 ),2671590.360000000335276,2871246.399999999906868,2896211.000000000465661,2626332.799999999813735,11065380.559999998658895
FS( 204 ),2643181.360000000335276,2845033.600000000093132,2871288.050000000279397,2614537.600000000093132,10974040.610000001266599
FS( 205 ),2678408.520000000018626,2889534.399999999906868,2887903.350000000093132,2583497.600000000093132,11039343.869999999180436
FS( 206 ),2702272.080000000074506,2895325.599999999627471,2904518.650000000372529,2643404.799999999813735,11145521.129999998956919
FS( 207 ),2699999.360000000335276,2909956.000000000000000,2928163.500000000465661,2667926.399999999906868,11206045.260000001639128
FS( 208 ),2735226.520000000018626,2944093.600000000093132,2954364.550000000279397,2684067.199999999720603,11317751.869999999180436
FS( 209 ),2738635.600000000093132,2938912.000000000000000,2938388.300000000279397,2686240.000000000000000,11302175.900000000372529
FS( 210 ),2736362.879999999888241,2972440.000000000000000,2971618.900000000372529,2698656.000000000000000,11379077.780000001192093
FS( 211 ),2780680.919999999925494,2972440.000000000000000,2970979.850000000558794,2708899.199999999720603,11432999.969999998807907
FS( 212 ),2793180.879999999888241,2928853.600000000093132,2986317.050000000279397,2712313.599999999627471,11420665.130000000819564
FS( 213 ),2827271.679999999701977,2924891.199999999720603,3002293.300000000279397,2751424.000000000000000,11505880.179999999701977
FS( 214 ),2857953.399999999906868,2919404.799999999813735,3025299.100000000558794,2762598.399999999906868,11565255.700000001117587
FS( 215 ),2870453.360000000335276,2965429.600000000093132,3022742.900000000372529,2759494.399999999906868,11618120.260000001639128
FS( 216 ),2878407.879999999888241,2976402.399999999906868,2996541.850000000558794,2766633.599999999627471,11617985.729999998584390
FS( 217 ),2857953.399999999906868,2991947.199999999720603,3034245.800000000279397,2776566.399999999906868,11660712.800000000745058
FS( 218 ),2857953.399999999906868,2991337.600000000093132,3031689.600000000093132,2783395.200000000186265,11664375.800000000745058
FS( 219 ),2853407.959999999962747,3002005.599999999627471,3061724.950000000186265,2777497.600000000093132,11694636.109999999403954
FS( 220 ),2918180.479999999981374,3017550.399999999906868,3071310.700000000651926,2750182.399999999906868,11757223.980000000447035
FS( 221 ),2990907.520000000018626,2994385.599999999627471,3051500.150000000372529,2734972.799999999813735,11771766.070000000298023
FS( 222 ),3007952.919999999925494,2987984.799999999813735,3069393.550000000279397,2726592.000000000000000,11791923.269999999552965
FS( 223 ),3022725.600000000093132,2925500.799999999813735,3082813.600000000558794,2730006.399999999906868,11761046.400000000372529
FS( 224 ),3021589.239999999757856,2947446.399999999906868,3098150.800000000279397,2754217.600000000093132,11821404.039999999105930
FS( 225 ),3046589.159999999683350,2973963.999999999534339,3109014.650000000372529,2746147.199999999720603,11875715.009999997913837
