代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15245253.459999999031425
真實報酬,5245253.459999999031425

夏普值報酬,0.515825346000000
夏普值風險,0.160976405523765
夏普值,3.204353733217424

二次趨勢線,100.462447178255616 x^2 + 214.554862086024173 x + 10000000.000000000000000
二次加權預期報酬,33769.012219623407873
風險,328016.471970307466108
二次加權趨勢值,0.102949135501586
一次趨勢線,19088.861929258309829 x + 10000000.000000000000000
一次預期報酬,19088.861929258309829
一次風險,778032.060826659086160
一次趨勢值,0.024534801186697
找到最佳解世代,1797
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](6),
FS( 16 ),3462774.339999999850988,3317450.600000000558794,3398782.220000000204891,10179008.160000000149012
FS( 17 ),3428810.140000000130385,3315465.300000000279397,3404313.140000000130385,10148589.580000000074506
FS( 18 ),3457302.330000000074506,3350208.050000000279397,3450404.140000000130385,10257915.520000001415610
FS( 19 ),3487681.419999999925494,3381972.850000000093132,3332411.180000000167638,10202066.449999999254942
FS( 20 ),3441641.059999999590218,3372046.350000000093132,3347160.300000000745058,10160848.710000000894070
FS( 21 ),3461453.509999999776483,3398847.900000000372529,3408000.420000000391155,10268302.830000000074506
FS( 22 ),3460510.059999999590218,3399840.550000000279397,3408922.240000000223517,10269273.849999999627471
FS( 23 ),3454471.979999999981374,3392892.000000000465661,3396938.580000000540167,10244303.560000000521541
FS( 24 ),3491077.839999999850988,3413737.650000000372529,3394173.120000000577420,10298989.610000001266599
FS( 25 ),3510135.530000000260770,3403811.150000000372529,3368362.160000000149012,10282309.839999999850988
FS( 26 ),3526928.939999999944121,3365097.800000000279397,3352691.220000000204891,10244718.960000000894070
FS( 27 ),3456547.569999999832362,3349215.400000000372529,3319505.700000000186265,10125269.670000001788139
FS( 28 ),3470888.009999999776483,3338296.250000000465661,3290007.459999999962747,10099192.719999998807907
FS( 29 ),3457868.399999999906868,3320428.550000000745058,3275258.340000000316650,10053556.290000000968575
FS( 30 ),3441641.059999999590218,3397855.250000000000000,3284476.540000000502914,10123973.849999999627471
FS( 31 ),3447490.449999999720603,3404803.799999999813735,3301991.120000000577420,10154286.370000001043081
FS( 32 ),3373523.969999999739230,3357156.600000000093132,3230089.160000000149012,9960770.730000000447035
FS( 33 ),3347484.750000000000000,3114950.000000000000000,3246681.920000000391155,9709117.669999999925494
FS( 34 ),3410884.589999999850988,3098074.950000000186265,3263274.680000000167638,9772235.220000000670552
FS( 35 ),3465793.379999999888241,3135795.650000000372529,3297382.020000000484288,9898972.050000000745058
FS( 36 ),3462396.959999999962747,3152670.700000000651926,3305678.400000000372529,9920747.060000000521541
FS( 37 ),3495606.399999999906868,3125869.149999999906868,3329645.720000000204891,9951122.269999999552965
FS( 38 ),3529947.979999999981374,3120905.900000000372529,3342551.200000000186265,9993406.080000001937151
FS( 39 ),3520890.859999999869615,3126861.800000000279397,3342551.200000000186265,9990304.859999999403954
FS( 40 ),3526362.869999999646097,3144729.500000000465661,3335176.640000000130385,10006270.009999999776483
FS( 41 ),3540514.619999999646097,3129839.750000000465661,3328723.900000000372529,9999079.269999999552965
FS( 42 ),3534665.229999999981374,3158626.600000000093132,3329645.720000000204891,10022938.550000000745058
FS( 43 ),3589574.019999999552965,3174509.000000000465661,3348082.120000000577420,10112166.140000000596046
FS( 44 ),3565421.699999999720603,3152670.700000000651926,3349925.760000000707805,10068019.160000000149012
FS( 45 ),3523909.899999999906868,3132817.700000000186265,3330567.540000000502914,9987296.140000000596046
FS( 46 ),3549383.049999999813735,3137780.950000000186265,3342551.200000000186265,10029716.199999999254942
FS( 47 ),3583913.319999999832362,3137780.950000000186265,3362831.240000000223517,10084526.509999999776483
FS( 48 ),3585800.219999999739230,3113957.350000000558794,3291851.100000000558794,9991609.670000001788139
FS( 49 ),3585234.149999999906868,3102045.550000000279397,3293694.740000000223517,9980975.440000001341105
FS( 50 ),3605801.359999999869615,3146714.800000000279397,3307522.040000000502914,10060039.200000001117587
FS( 51 ),3630142.369999999646097,3136788.300000000279397,3275258.340000000316650,10042190.009999999776483
FS( 52 ),3688070.199999999720603,3134803.000000000000000,3254978.300000000745058,10077852.500000000000000
FS( 53 ),3706750.509999999776483,3139766.250000000000000,3245760.100000000558794,10092277.859999999403954
FS( 54 ),3756564.669999999925494,3175501.649999999906868,3273414.700000000186265,10205482.019999999552965
FS( 55 ),3742412.919999999925494,3161604.550000000279397,3213496.400000000372529,10117514.870000001043081
FS( 56 ),3758262.879999999888241,3160611.900000000372529,3187685.440000000409782,10106561.220000000670552
FS( 57 ),3763357.509999999776483,3161604.550000000279397,3167405.400000000372529,10092368.460000000894070
FS( 58 ),3816002.019999999552965,3185428.150000000838190,3151734.459999999962747,10153165.629999998956919
FS( 59 ),3773546.769999999552965,3200317.900000000372529,3140672.620000000577420,10114538.290000000968575
FS( 60 ),3752979.559999999590218,3152670.700000000651926,3101956.180000000167638,10007607.439999999478459
FS( 61 ),3766753.930000000167638,3184435.500000000000000,3152656.280000000726432,10103846.710000000894070
FS( 62 ),3725996.890000000130385,3117927.950000000186265,3091816.160000000149012,9935742.000000000000000
FS( 63 ),3731468.899999999906868,3107008.800000000279397,3110252.560000000521541,9948731.260000001639128
FS( 64 ),3747318.859999999869615,3109986.750000000000000,3084441.600000000558794,9941748.210000000894070
FS( 65 ),3808077.040000000037253,3088148.450000000186265,3165561.760000000707805,10061788.250000000000000
FS( 66 ),3801850.269999999552965,3049435.100000000093132,3100112.540000000502914,9951398.910000000149012
FS( 67 ),3818643.680000000167638,3067302.800000000279397,3123158.040000000502914,10009105.520000001415610
FS( 68 ),3848645.390000000130385,3075244.000000000465661,3101956.180000000167638,10025846.570000000298023
FS( 69 ),3892232.780000000260770,3086163.150000000372529,3126845.320000000298023,10105242.250000000000000
FS( 70 ),3895440.509999999776483,3093111.700000000186265,3157265.380000000353903,10145818.589999999850988
FS( 71 ),3891478.019999999552965,3104030.850000000093132,3156343.560000000521541,10151853.429999999701977
FS( 72 ),3934499.339999999850988,3118920.600000000558794,3196903.640000000130385,10250324.580000000074506
FS( 73 ),3943745.149999999906868,3126861.800000000279397,3177545.420000000391155,10248153.370000001043081
FS( 74 ),3929404.709999999962747,3127854.450000000651926,3183076.340000000316650,10240336.500000000000000
FS( 75 ),3979218.869999999646097,3166567.800000000279397,3185841.800000000745058,10331629.470000000670552
FS( 76 ),3967897.469999999739230,3162597.200000000186265,3203356.380000000353903,10333852.050000000745058
FS( 77 ),4002993.809999999590218,3160611.900000000372529,3201512.740000000223517,10365119.449999999254942
FS( 78 ),4003748.569999999832362,3162597.200000000186265,3180310.880000000353903,10346657.650000000372529
FS( 79 ),4009031.890000000130385,3188406.100000000093132,3195981.820000000298023,10393420.810000000521541
FS( 80 ),4405092.199999999254942,3142744.200000000186265,3203356.380000000353903,10751193.779999999329448
FS( 81 ),4547553.150000000372529,3133810.350000000093132,3223636.420000000391155,10905000.919999999925494
FS( 82 ),4552647.779999999329448,3128847.100000000093132,3254978.300000000745058,10936474.179999999701977
FS( 83 ),4575101.890000000596046,3121898.550000000279397,3269727.420000000391155,10966728.860000001266599
FS( 84 ),4518117.509999999776483,3141751.550000000279397,3350847.580000000540167,11010717.640000000596046
FS( 85 ),4490002.699999999254942,3128847.100000000093132,3377580.360000000335276,10996431.160000000149012
FS( 86 ),4495663.400000000372529,3132817.700000000186265,3363753.060000000521541,10992235.160000000149012
FS( 87 ),4485474.140000000596046,3156641.300000000279397,3346238.479999999981374,10988354.920000001788139
FS( 88 ),4533024.019999999552965,3160611.900000000372529,3358222.140000000130385,11051859.060000000521541
FS( 89 ),4519249.650000000372529,3143736.850000000558794,3356378.500000000000000,11019366.000000000000000
FS( 90 ),4421319.539999999105930,3138773.600000000558794,3372971.260000000707805,10933065.400000000372529
FS( 91 ),4394336.869999999180436,3077229.300000000279397,3331489.360000000335276,10803056.530000001192093
FS( 92 ),4432074.869999999180436,3123883.850000000093132,3306600.220000000204891,10862559.939999999478459
FS( 93 ),4474907.500000000000000,3160611.900000000372529,3349925.760000000707805,10985446.160000000149012
FS( 94 ),4513022.879999998956919,3185428.150000000838190,3318583.880000000353903,11017035.910000000149012
FS( 95 ),4483209.859999999403954,3210244.400000000838190,3301069.300000000745058,10994524.560000000521541
FS( 96 ),4445471.859999999403954,3081199.900000000372529,3242072.820000000298023,10768745.580000000074506
FS( 97 ),4448868.279999999329448,3014692.350000000558794,3227323.700000000186265,10690885.330000000074506
FS( 98 ),4447170.070000000298023,3045464.500000000465661,3219027.320000000298023,10711662.890000000596046
FS( 99 ),4523966.900000000372529,3104030.850000000093132,3194138.180000000167638,10822136.929999999701977
FS( 100 ),4492644.359999999403954,3069288.100000000558794,3195060.000000000000000,10756993.460000000894070
FS( 101 ),4504909.210000000894070,3101052.899999999906868,3199669.100000000558794,10805632.210000000894070
FS( 102 ),4451132.560000000521541,3120905.900000000372529,3195981.820000000298023,10768021.280000001192093
FS( 103 ),4475473.570000000298023,3130832.400000000372529,3194138.180000000167638,10800445.150000000372529
FS( 104 ),4537929.960000000894070,3124876.500000000465661,3201512.740000000223517,10864320.200000001117587
FS( 105 ),4537363.890000000596046,3175501.649999999906868,3216261.860000000335276,10929128.400000002235174
FS( 106 ),4522268.689999999478459,3197339.950000000186265,3232854.620000000577420,10952464.259999999776483
FS( 107 ),4534910.919999999925494,3206273.799999999813735,3234698.260000000707805,10975883.980000000447035
FS( 108 ),4472077.150000000372529,3138773.600000000558794,3228245.520000000484288,10839097.270000001415610
FS( 109 ),4427168.929999999701977,3163589.850000000558794,3296460.200000000186265,10887219.980000000447035
FS( 110 ),4459057.539999999105930,3152670.700000000651926,3276180.160000000149012,10887909.400000000372529
FS( 111 ),4505663.970000000670552,3124876.500000000465661,3243916.459999999962747,10874457.929999999701977
FS( 112 ),4539816.859999999403954,3195354.649999999906868,3297382.020000000484288,11032554.530000001192093
FS( 113 ),4539628.169999999925494,3217192.949999999720603,3326880.260000000707805,11083702.379999998956919
FS( 114 ),4565101.320000000298023,3194362.000000000465661,3349003.940000000409782,11108468.260000001639128
FS( 115 ),4627369.019999999552965,3195354.649999999906868,3362831.240000000223517,11185555.910000000149012
FS( 116 ),4698505.150000000372529,3220170.899999999906868,3410765.880000000353903,11329442.930000001564622
FS( 117 ),4775490.669999999925494,3228112.100000000558794,3410765.880000000353903,11414369.650000000372529
FS( 118 ),4763791.890000000596046,3225134.150000000372529,3431967.740000000223517,11420894.780000001192093
FS( 119 ),4820398.890000000596046,3236053.300000000279397,3417218.620000000577420,11473671.810000002384186
FS( 120 ),4831342.910000000149012,3245979.800000000745058,3429202.280000000726432,11506525.990000002086163
FS( 121 ),4839079.199999999254942,3312487.350000000093132,3427358.640000000130385,11578926.189999999478459
FS( 122 ),4798888.230000000447035,3347230.100000000093132,3425515.000000000000000,11571634.330000000074506
FS( 123 ),4787189.449999999254942,3351200.700000000186265,3454091.420000000391155,11592482.570000000298023
FS( 124 ),4817002.470000000670552,3323406.500000000000000,3460544.160000000149012,11600954.130000000819564
FS( 125 ),4797944.779999999329448,3310502.050000000279397,3487276.940000000409782,11595724.769999999552965
FS( 126 ),4796812.640000000596046,3338296.250000000465661,3510322.440000000409782,11645432.330000001937151
FS( 127 ),4830399.460000000894070,3350208.050000000279397,3598817.160000000149012,11779425.670000001788139
FS( 128 ),4820398.890000000596046,3360134.550000000279397,3630159.040000000502914,11810693.480000002309680
FS( 129 ),4826059.589999999850988,3319435.899999999906868,3626471.760000000707805,11771968.250000000000000
FS( 130 ),4885119.560000000521541,3334325.650000000838190,3643986.340000000316650,11863432.550000000745058
FS( 131 ),4879270.169999999925494,3350208.050000000279397,3653204.540000000502914,11882683.760000001639128
FS( 132 ),4875685.060000000521541,3351200.700000000186265,3674406.400000000372529,11901293.160000000149012
FS( 133 ),4923612.320000000298023,3330355.049999999813735,3655048.180000000167638,11909016.550000000745058
FS( 134 ),4933235.509999999776483,3334325.650000000838190,3622784.479999999981374,11890346.640000000596046
FS( 135 ),4942103.939999999478459,3301568.200000000186265,3612644.459999999962747,11856317.599999999627471
FS( 136 ),4920027.210000000894070,3322413.850000000093132,3656891.820000000298023,11899333.880000000819564
FS( 137 ),4901346.900000000372529,3329362.400000000372529,3665188.200000000186265,11895898.500000000000000
FS( 138 ),4880024.929999999701977,3335318.300000000279397,3667953.660000000149012,11883297.890000000596046
FS( 139 ),4906818.910000000149012,3330355.049999999813735,3710357.380000000353903,11947532.339999999850988
FS( 140 ),4887949.910000000149012,3350208.050000000279397,3695608.260000000707805,11933767.220000002533197
FS( 141 ),4995691.900000000372529,3399840.550000000279397,3726950.140000000130385,12122483.590000001713634
FS( 142 ),4949840.230000000447035,3409767.050000000279397,3763822.940000000409782,12123431.220000002533197
FS( 143 ),5019278.150000000372529,3432598.000000000000000,3774884.780000000726432,12226761.930000001564622
FS( 144 ),4876251.130000000819564,3404803.799999999813735,3759213.840000000316650,12040269.770000001415610
FS( 145 ),4892289.779999999329448,3401825.850000000558794,3811757.580000000540167,12105874.210000000894070
FS( 146 ),4839267.889999998733401,3417708.250000000465661,4092912.680000000167638,12349889.819999998435378
FS( 147 ),4891912.400000000372529,3378994.900000000372529,4090147.220000000204891,12361055.520000001415610
FS( 148 ),4867948.769999999552965,3389914.050000000279397,4193391.060000000521541,12451254.880000000819564
FS( 149 ),4877760.650000000372529,3436568.600000000093132,4305853.099999999627471,12620183.349999999627471
FS( 150 ),4955689.619999999180436,3395869.950000000186265,4341804.080000000074506,12693364.649999998509884
FS( 151 ),4939084.900000000372529,3421678.850000000093132,4271745.759999999776483,12632510.509999999776483
FS( 152 ),4982860.980000000447035,3415722.949999999720603,4304931.280000001192093,12703516.210000000894070
FS( 153 ),5021731.119999999180436,3414730.300000000279397,4312305.839999999850988,12748768.259999999776483
FS( 154 ),5011164.480000000447035,3424656.800000000279397,4304931.280000001192093,12740753.560000002384186
FS( 155 ),4957010.449999999254942,3379987.549999999813735,4268058.480000000447035,12605057.480000000447035
FS( 156 ),4922102.800000000745058,3374031.650000000372529,4201687.439999999478459,12497822.890000000596046
FS( 157 ),4951727.130000000819564,3370061.050000000745058,4217358.380000000819564,12539147.560000002384186
FS( 158 ),4939273.589999999850988,3378994.900000000372529,4227498.400000000372529,12545767.890000000596046
FS( 159 ),4960029.490000000223517,3385943.450000000186265,4190625.600000000558794,12536599.540000000968575
FS( 160 ),4975879.449999999254942,3561642.500000000465661,4208140.179999999701977,12745663.129999998956919
FS( 161 ),4948708.089999999850988,3563627.800000000279397,4114114.540000000502914,12626451.430000001564622
FS( 162 ),4993427.619999999180436,3623186.800000000279397,4113192.720000000204891,12729808.140000000596046
FS( 163 ),5037958.460000000894070,3638076.550000000279397,4142690.959999999962747,12818726.970000002533197
FS( 164 ),5003239.500000000000000,3618223.550000000745058,4115958.180000000167638,12737422.230000000447035
FS( 165 ),5017013.869999999180436,3622194.150000000372529,4125176.380000000353903,12764385.400000000372529
FS( 166 ),5011353.169999999925494,3659914.850000000093132,4101209.060000000521541,12772478.080000000074506
FS( 167 ),5056827.460000000894070,3745282.750000000000000,4123332.740000000223517,12925443.950000001117587
FS( 168 ),5081545.849999999627471,3720466.500000000000000,4051430.780000000726432,12853444.130000000819564
FS( 169 ),5223063.349999999627471,3702598.799999999813735,4133472.760000000707805,13059135.910000000149012
FS( 170 ),5120793.369999999180436,3732378.300000000279397,4118723.640000000130385,12971896.310000000521541
FS( 171 ),5245140.080000000074506,3744290.100000000093132,4101209.060000000521541,13090640.240000000223517
FS( 172 ),5199288.410000000149012,3703591.450000000651926,4004417.959999999962747,12907298.820000000298023
FS( 173 ),5250800.779999999329448,3713517.949999999720603,4005339.780000000726432,12969659.509999999776483
FS( 174 ),5320616.080000000074506,3712525.300000000279397,3971232.440000000409782,13004374.820000000298023
FS( 175 ),5394771.250000000000000,3733370.950000000186265,3996121.580000000540167,13124264.779999999329448
FS( 176 ),5343070.189999999478459,3768113.700000000186265,4024698.000000000000000,13135882.890000000596046
FS( 177 ),5471002.009999999776483,3763150.449999999720603,3994277.940000000409782,13228431.399999998509884
FS( 178 ),5506853.109999999403954,3786974.050000000279397,3995199.760000000707805,13289027.920000001788139
FS( 179 ),5545345.869999999180436,3762157.800000000279397,3987825.200000000186265,13295329.870000001043081
FS( 180 ),5546478.009999999776483,3790944.649999999906868,4107661.800000000745058,13445085.460000000894070
FS( 181 ),5587989.810000000521541,3819731.500000000000000,4264371.199999999254942,13672093.509999999776483
FS( 182 ),5608934.400000000372529,3801863.799999999813735,4336273.160000000149012,13747072.359999999403954
FS( 183 ),5621199.250000000000000,3845540.400000000372529,4384207.800000000745058,13850948.450000001117587
FS( 184 ),5567045.219999998807907,3824694.750000000465661,4310462.199999999254942,13702203.169999998062849
FS( 185 ),5568366.050000000745058,3826680.049999999813735,4304931.280000001192093,13699978.380000002682209
FS( 186 ),5573271.990000000223517,3819731.500000000000000,4247778.439999999478459,13640782.929999999701977
FS( 187 ),5578177.929999999701977,3827672.700000000651926,4250543.900000000372529,13656395.530000001192093
FS( 188 ),5591952.300000000745058,3830650.650000000838190,4260683.919999999925494,13683287.870000001043081
FS( 189 ),5564780.939999999478459,3801863.799999999813735,4255153.000000000000000,13621798.739999998360872
FS( 190 ),5601198.109999999403954,3857452.200000000186265,4318758.580000000074506,13777409.889999998733401
FS( 191 ),5619312.349999999627471,3888224.350000000558794,4172189.200000000186265,13679726.899999998509884
FS( 192 ),5597990.380000000819564,3870356.650000000372529,4095678.140000000130385,13564026.170000001788139
FS( 193 ),5827626.109999999403954,3923959.750000000465661,4124254.560000000521541,13875841.419999999925494
FS( 194 ),5852344.500000000000000,3964658.399999999906868,4124254.560000000521541,13941258.460000000894070
FS( 195 ),6008579.820000000298023,3939842.149999999906868,4021010.720000000204891,13969433.690000001341105
FS( 196 ),6043110.089999999850988,3961680.449999999720603,3917766.880000000353903,13922558.419999999925494
FS( 197 ),6191420.429999999701977,3980540.800000000279397,4001652.500000000000000,14173614.730000000447035
FS( 198 ),6344070.639999998733401,4056974.850000000093132,3985981.560000000521541,14387028.049999998882413
FS( 199 ),6324258.189999999478459,4024217.400000000372529,3976763.360000000335276,14325239.949999999254942
FS( 200 ),6623331.839999999850988,4089732.300000000745058,4091990.860000000335276,14805056.000000000000000
FS( 201 ),6418603.189999999478459,4099658.799999999813735,4100287.240000000223517,14618550.229999998584390
FS( 202 ),6372751.519999999552965,4098666.150000000372529,4131629.120000000577420,14603047.790000000968575
FS( 203 ),6377846.150000000372529,4135394.199999999720603,4217358.380000000819564,14730599.730000000447035
FS( 204 ),6332371.859999999403954,4179070.800000000279397,4245934.800000000745058,14757378.460000000894070
FS( 205 ),6315389.759999999776483,4186019.350000000558794,4195234.699999999254942,14696644.809999998658895
FS( 206 ),6474266.740000000223517,4159217.800000000279397,4175876.479999999981374,14809362.020000001415610
FS( 207 ),6476342.330000000074506,4224732.700000001117587,4616506.439999999478459,15317582.470000000670552
FS( 208 ),6431056.730000000447035,4253519.550000000745058,4607288.240000000223517,15291865.520000001415610
FS( 209 ),6372374.139999998733401,4193960.550000000279397,4497591.660000000149012,15063927.349999999627471
FS( 210 ),6686731.679999999701977,4123482.400000000372529,4437673.360000001266599,15247888.440000001341105
FS( 211 ),6735225.009999999776483,4139364.800000000745058,4392504.179999999701977,15267094.990000000223517
FS( 212 ),6583706.939999999478459,4062930.750000000465661,4254231.179999999701977,14900869.869999999180436
FS( 213 ),6205760.869999999180436,3849511.000000000465661,4103974.520000000484288,14159247.390000000596046
FS( 214 ),6432754.939999999478459,3987489.350000000558794,4139925.500000000000000,14560170.789999999105930
FS( 215 ),6568800.429999999701977,4004364.400000000838190,4166658.280000000726432,14739824.110000001266599
FS( 216 ),6220478.689999999478459,3848518.350000000558794,3940812.380000000353903,14009810.419999999925494
FS( 217 ),6280293.419999999925494,3923959.750000000465661,4051430.780000000726432,14255684.950000001117587
FS( 218 ),6487286.349999999627471,4030173.300000000279397,4132550.940000000409782,14650011.589999999850988
FS( 219 ),6475210.189999999478459,4092710.250000000000000,4098443.600000000558794,14666365.039999999105930
FS( 220 ),6507098.800000000745058,4178078.150000000838190,4183251.040000000502914,14868428.990000002086163
FS( 221 ),6726167.889999998733401,4375615.500000000000000,4233029.320000000298023,15334813.709999999031425
FS( 222 ),6699373.910000000149012,4400431.750000000000000,4199843.800000000745058,15299650.460000000894070
FS( 223 ),6667485.300000000745058,4373630.200000001117587,4269902.120000001043081,15311018.620000002905726
FS( 224 ),6648993.679999999701977,4299181.450000001117587,4234872.960000000894070,15183049.090000001713634
FS( 225 ),6715978.630000000819564,4262453.400000000372529,4221967.480000000447035,15200400.510000001639128
FS( 226 ),6729941.689999999478459,4367674.300000000745058,4399878.740000000223517,15497495.730000000447035
FS( 227 ),6858628.269999999552965,4502674.700000001117587,4527089.900000000372529,15888393.870000001043081
FS( 228 ),6880516.310000000521541,4470909.900000000372529,4600835.500000000000000,15952262.710000000894070
FS( 229 ),6834664.639999998733401,4445101.000000000000000,4543682.660000000149012,15823449.299999998882413
FS( 230 ),6598424.759999999776483,4347821.300000000745058,4410018.759999999776483,15356265.820000000298023
FS( 231 ),6503702.380000000819564,4373630.200000001117587,4515106.240000000223517,15392439.820000002160668
FS( 232 ),6656163.900000000372529,4419292.100000001490116,4586086.380000000819564,15661543.380000002682209
FS( 233 ),6583895.630000000819564,4396461.150000000372529,4674581.099999999627471,15654938.880000000819564
FS( 234 ),6548421.910000000149012,4387527.300000000745058,4730812.120000001043081,15666762.330000001937151
FS( 235 ),6580310.519999999552965,4401424.400000000372529,4677346.560000000521541,15659082.480000000447035
FS( 236 ),6689562.029999999329448,4503667.349999999627471,4811010.460000000894070,16004240.839999999850988
FS( 237 ),6494645.259999999776483,4521535.050000000745058,4749248.520000001415610,15765429.830000001937151
FS( 238 ),6390488.380000000819564,4482821.699999999254942,4773215.839999999850988,15646526.919999999925494
FS( 239 ),6231800.089999999850988,4494733.500000000000000,4780590.400000000372529,15507124.990000000223517
FS( 240 ),6226516.769999999552965,4499696.750000000000000,4690252.040000000968575,15416466.560000000521541
FS( 241 ),6235762.580000000074506,4467931.949999999254942,4716984.820000000298023,15420680.349999999627471
FS( 242 ),6260103.589999999850988,4394475.850000001490116,4685642.939999999478459,15340223.380000000819564
FS( 243 ),6370864.619999999180436,4404402.349999999627471,4752013.980000000447035,15527281.949999999254942
FS( 244 ),6360864.050000000745058,4398446.450000001117587,4752935.800000000745058,15512247.300000002607703
FS( 245 ),6030845.240000000223517,4275357.849999999627471,4685642.939999999478459,14991847.029999999329448
FS( 246 ),6057073.150000000372529,4210835.599999999627471,4550135.400000000372529,14818045.150000000372529
FS( 247 ),6207459.080000000074506,4373630.200000001117587,4837743.240000000223517,15418833.520000001415610
FS( 248 ),6059337.429999999701977,4236644.500000000000000,4718828.460000000894070,15014811.390000000596046
FS( 249 ),6038581.529999999329448,4135394.199999999720603,4572259.080000000074506,14746235.809999998658895
FS( 250 ),6186891.869999999180436,4257490.150000000372529,4800870.439999999478459,15245253.459999999031425
