代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11246729.439999999478459
真實報酬,1246729.439999999478459

夏普值報酬,0.115972944000000
夏普值風險,0.055278050736831
夏普值,2.097992647246673

二次趨勢線,76.394985339876413 x^2 + -14910.499693471276260 x + 10000000.000000000000000
二次加權預期報酬,10911.005351406955015
風險,252452.126375433872454
二次加權趨勢值,0.043220096847910
一次趨勢線,-385.959610893934723 x + 10000000.000000000000000
一次預期報酬,-385.959610893934723
一次風險,604635.994034880888648
一次趨勢值,-233365072.990170061588287
找到最佳解世代,2897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),JPM[13](1),MSFT[18](3),PG[21](15),
FS( 14 ),2272374.160000000149012,2381307.040000000502914,2450652.430000000167638,2572094.799999999813735,9676428.429999999701977
FS( 15 ),2301636.640000000130385,2423459.680000000167638,2482343.529999999795109,2599089.200000000186265,9806529.050000000745058
FS( 16 ),2331417.040000000502914,2428636.320000000298023,2505885.490000000223517,2620487.200000000186265,9886426.050000000745058
FS( 17 ),2368966.239999999757856,2467461.120000000111759,2527163.799999999813735,2631021.600000000093132,9994612.759999999776483
FS( 18 ),2362751.200000000186265,2462654.239999999757856,2520372.850000000093132,2626742.000000000465661,9972520.289999999105930
FS( 19 ),2351745.400000000372529,2454519.520000000018626,2533049.290000000037253,2631021.600000000093132,9970335.810000000521541
FS( 20 ),2376476.080000000074506,2480032.959999999962747,2560213.089999999850988,2645506.400000000372529,10062228.530000001192093
FS( 21 ),2356795.120000000111759,2462284.480000000447035,2549347.569999999832362,2635959.600000000093132,10004386.769999999552965
FS( 22 ),2333747.680000000167638,2441577.920000000391155,2511770.979999999981374,2614232.399999999906868,9901328.980000000447035
FS( 23 ),2293738.359999999869615,2352465.760000000242144,2480985.339999999850988,2579995.600000000558794,9707185.060000000521541
FS( 24 ),2254246.959999999962747,2356533.120000000111759,2492303.589999999850988,2588225.600000000558794,9691309.269999999552965
FS( 25 ),2199217.959999999962747,2322515.200000000186265,2447030.589999999850988,2563206.400000000372529,9531970.150000000372529
FS( 26 ),2131629.400000000372529,2228596.160000000149012,2361917.350000000093132,2540820.800000000279397,9262963.710000000894070
FS( 27 ),2122824.760000000242144,2178678.560000000055879,2369161.029999999795109,2500987.600000000093132,9171651.949999999254942
FS( 28 ),2146001.680000000167638,2175350.720000000204891,2367802.839999999850988,2524031.600000000093132,9213186.839999999850988
FS( 29 ),2145742.720000000204891,2180157.600000000093132,2389533.879999999888241,2518764.400000000372529,9234198.600000001490116
FS( 30 ),2058732.160000000149012,2120256.480000000447035,2337922.660000000149012,2497037.200000000186265,9013948.500000000000000
FS( 31 ),2089807.359999999869615,2152055.840000000316650,2404473.969999999739230,2506913.200000000186265,9153250.370000001043081
FS( 32 ),2014967.920000000391155,2109163.680000000167638,2308495.209999999962747,2468396.800000000279397,8901023.610000001266599
FS( 33 ),2030635.000000000000000,2108054.399999999906868,2289027.819999999832362,2526006.800000000279397,8953724.019999999552965
FS( 34 ),1990884.640000000130385,2052590.400000000139698,2299440.609999999869615,2496378.800000000279397,8839294.450000001117587
FS( 35 ),1963693.840000000316650,2042976.640000000130385,2285405.979999999981374,2525677.600000000093132,8817754.060000000521541
FS( 36 ),2031152.920000000391155,2105835.840000000316650,2367350.109999999869615,2546746.400000000372529,9051085.270000001415610
FS( 37 ),1956831.400000000139698,2058136.800000000046566,2344713.609999999869615,2529957.200000000186265,8889639.010000001639128
FS( 38 ),1999948.239999999990687,2110642.720000000204891,2361917.350000000093132,2594480.400000000372529,9066988.710000000894070
FS( 39 ),1990496.200000000186265,2109163.680000000167638,2318908.000000000000000,2594151.200000000186265,9012719.080000001937151
FS( 40 ),2033742.520000000251457,2118037.920000000391155,2356937.319999999832362,2627729.600000000093132,9136447.359999999403954
FS( 41 ),2092008.520000000251457,2200124.640000000130385,2494114.510000000242144,2689290.000000000000000,9475537.669999999925494
FS( 42 ),2067277.840000000316650,2176460.000000000000000,2476910.770000000018626,2670525.600000000558794,9391174.210000000894070
FS( 43 ),1964341.239999999990687,2108793.920000000391155,2399493.939999999944121,2640897.600000000093132,9113526.699999999254942
FS( 44 ),1977030.280000000260770,2122844.799999999813735,2361464.619999999646097,2669867.200000000186265,9131206.899999998509884
FS( 45 ),2026362.160000000149012,2159451.040000000037253,2354220.939999999944121,2656699.200000000186265,9196733.339999999850988
FS( 46 ),2026103.200000000186265,2135416.640000000130385,2270918.619999999646097,2673159.200000000186265,9105597.660000000149012
FS( 47 ),1932618.640000000130385,2090675.680000000167638,2236963.869999999646097,2719905.600000000558794,8980163.789999999105930
FS( 48 ),1919670.640000000130385,2078103.840000000316650,2231078.379999999888241,2720564.000000000000000,8949416.859999999403954
FS( 49 ),1906463.679999999934807,2052960.160000000149012,2250545.770000000018626,2686985.600000000558794,8896955.210000000894070
FS( 50 ),1821783.760000000009313,1962368.960000000195578,2249640.310000000055879,2630363.200000000186265,8664156.230000000447035
FS( 51 ),1892220.880000000121072,2125802.880000000353903,2286311.439999999944121,2666246.000000000000000,8970581.200000001117587
FS( 52 ),1929640.600000000325963,2157602.240000000223517,2313022.510000000242144,2682047.600000000093132,9082312.950000001117587
FS( 53 ),1954500.760000000009313,2173132.160000000149012,2373235.600000000093132,2714309.200000000186265,9215177.719999998807907
FS( 54 ),1912937.679999999934807,2137635.200000000186265,2362822.810000000055879,2698836.800000000279397,9112232.490000000223517
FS( 55 ),1902320.320000000065193,2138004.959999999962747,2346071.799999999813735,2692582.000000000465661,9078979.080000000074506
FS( 56 ),1926662.560000000055879,2165736.959999999962747,2383648.389999999664724,2703774.799999999813735,9179822.710000000894070
FS( 57 ),1876424.320000000065193,2075145.760000000009313,2317097.080000000074506,2693240.400000000372529,8961907.560000000521541
FS( 58 ),1884840.520000000251457,2075885.280000000260770,2325246.219999999739230,2685010.400000000372529,8970982.420000001788139
FS( 59 ),1919670.640000000130385,2108054.399999999906868,2358748.240000000223517,2710688.000000000465661,9097161.280000001192093
FS( 60 ),1945566.640000000130385,2127651.680000000167638,2322529.839999999850988,2669867.200000000186265,9065615.359999999403954
FS( 61 ),1936244.080000000074506,2081801.439999999944121,2303515.180000000167638,2643202.000000000465661,8964762.700000001117587
FS( 62 ),2002537.840000000316650,2189031.840000000316650,2380479.279999999795109,2674146.800000000279397,9246195.760000001639128
FS( 63 ),1996711.239999999990687,2209738.399999999906868,2397230.290000000037253,2717601.200000000186265,9321281.129999998956919
FS( 64 ),2011342.480000000214204,2217133.600000000093132,2370066.490000000223517,2727148.000000000465661,9325690.570000000298023
FS( 65 ),2030893.960000000195578,2220461.439999999944121,2355579.129999999888241,2748546.000000000000000,9355480.530000001192093
FS( 66 ),2011601.439999999944121,2216394.080000000074506,2310306.129999999888241,2735707.200000000186265,9274008.849999999627471
FS( 67 ),1963046.439999999944121,2173501.920000000391155,2338375.389999999664724,2734390.400000000372529,9209314.150000000372529
FS( 68 ),1941164.320000000065193,2186073.760000000242144,2392250.260000000242144,2731098.399999999906868,9250586.740000000223517
FS( 69 ),1955536.600000000325963,2167216.000000000000000,2356484.589999999850988,2708712.800000000279397,9187949.990000000223517
FS( 70 ),1993344.760000000009313,2194208.480000000447035,2402663.049999999813735,2691265.200000000186265,9281481.490000000223517
FS( 71 ),1987518.160000000149012,2186073.760000000242144,2407190.350000000093132,2672171.600000000093132,9252953.870000001043081
FS( 72 ),1968614.080000000074506,2189031.840000000316650,2426205.010000000242144,2676780.400000000372529,9260631.330000001937151
FS( 73 ),1949321.560000000055879,2178678.560000000055879,2460612.490000000223517,2677768.000000000465661,9266380.610000001266599
FS( 74 ),1980008.320000000065193,2172392.640000000130385,2474647.119999999646097,2724185.200000000186265,9351233.280000001192093
FS( 75 ),2040734.439999999944121,2236361.120000000111759,2421677.709999999962747,2737353.200000000186265,9436126.470000000670552
FS( 76 ),2023772.560000000055879,2235621.600000000093132,2438428.719999999739230,2742949.600000000093132,9440772.480000000447035
FS( 77 ),1996711.239999999990687,2227486.880000000353903,2447936.049999999813735,2723856.000000000000000,9395990.169999999925494
FS( 78 ),1995157.480000000214204,2216394.080000000074506,2443408.750000000000000,2726489.600000000093132,9381449.910000000149012
FS( 79 ),1981173.640000000130385,2199385.120000000111759,2454274.270000000018626,2728794.000000000000000,9363627.030000001192093
FS( 80 ),1992049.960000000195578,2196427.040000000037253,2423941.359999999869615,2719905.600000000558794,9332323.960000000894070
FS( 81 ),2007458.080000000074506,2182745.920000000391155,2476910.770000000018626,2725831.200000000186265,9392945.970000000670552
FS( 82 ),2026491.640000000130385,2207889.600000000093132,2492303.589999999850988,2721880.800000000279397,9448565.630000000819564
FS( 83 ),2032706.679999999934807,2189771.359999999869615,2500452.729999999981374,2709700.400000000372529,9432631.169999999925494
FS( 84 ),2069479.000000000000000,2213805.760000000242144,2515845.549999999813735,2749862.800000000279397,9548993.109999999403954
FS( 85 ),2042935.600000000325963,2189031.840000000316650,2509507.330000000074506,2739328.399999999906868,9480803.169999999925494
FS( 86 ),2011601.439999999944121,2157972.000000000000000,2470119.819999999832362,2737682.399999999906868,9377375.660000000149012
FS( 87 ),2009529.760000000009313,2174611.200000000186265,2495472.699999999720603,2759080.400000000372529,9438694.060000000521541
FS( 88 ),1947638.320000000065193,2119516.959999999962747,2465592.520000000018626,2740316.000000000000000,9273063.800000000745058
FS( 89 ),1945955.080000000074506,2135046.880000000353903,2463781.600000000093132,2738999.200000000186265,9283782.760000001639128
FS( 90 ),1970815.239999999990687,2152055.840000000316650,2458801.569999999832362,2723526.800000000279397,9305199.450000001117587
FS( 91 ),1998135.520000000251457,2191989.920000000391155,2474194.389999999664724,2726818.800000000279397,9391138.630000000819564
FS( 92 ),2069867.439999999944121,2284799.680000000167638,2505885.490000000223517,2714638.399999999906868,9575191.009999999776483
FS( 93 ),2083592.320000000065193,2314380.480000000447035,2506338.219999999739230,2699824.400000000372529,9604135.420000001788139
FS( 94 ),2052646.600000000325963,2287757.760000000242144,2519467.389999999664724,2709371.200000000186265,9569242.949999999254942
FS( 95 ),2059120.600000000325963,2302548.160000000149012,2556138.520000000018626,2726818.800000000279397,9644626.080000001937151
FS( 96 ),2106121.840000000316650,2341372.959999999962747,2552969.410000000149012,2741632.800000000279397,9742097.010000001639128
FS( 97 ),2162186.680000000167638,2375390.879999999888241,2516751.010000000242144,2684681.200000000186265,9739009.769999999552965
FS( 98 ),2140693.000000000000000,2351726.240000000223517,2525352.879999999888241,2659991.200000000186265,9677763.320000000298023
FS( 99 ),2159208.640000000130385,2365407.359999999869615,2344260.879999999888241,2664929.200000000186265,9533806.080000000074506
FS( 100 ),2137714.959999999962747,2351726.240000000223517,2359200.969999999739230,2680072.399999999906868,9528714.570000000298023
FS( 101 ),2147425.959999999962747,2363928.320000000298023,2328868.060000000055879,2618841.200000000186265,9459063.539999999105930
FS( 102 ),2161409.799999999813735,2370584.000000000000000,2306231.560000000055879,2630034.000000000000000,9468259.359999999403954
FS( 103 ),2127356.560000000055879,2351726.240000000223517,2259147.639999999664724,2625754.400000000372529,9363984.839999999850988
FS( 104 ),2125025.920000000391155,2336935.840000000316650,2257789.449999999720603,2637605.600000000558794,9357356.810000002384186
FS( 105 ),2151828.280000000260770,2358751.680000000167638,2291291.469999999739230,2665587.600000000093132,9467459.030000001192093
FS( 106 ),2112466.359999999869615,2313271.200000000186265,2253714.879999999888241,2669867.200000000186265,9349319.640000000596046
FS( 107 ),2072716.000000000000000,2313271.200000000186265,2257789.449999999720603,2686327.200000000186265,9330103.850000001490116
FS( 108 ),2065724.080000000074506,2264462.880000000353903,2260958.560000000055879,2676451.200000000186265,9267596.720000002533197
FS( 109 ),2056919.439999999944121,2277774.240000000223517,2281331.410000000149012,2703774.799999999813735,9319799.890000000596046
FS( 110 ),2039569.120000000111759,2263353.600000000093132,2266844.049999999813735,2703445.600000000558794,9273212.370000001043081
FS( 111 ),2090195.800000000046566,2294043.680000000167638,2309853.399999999906868,2715296.800000000279397,9409389.680000001564622
FS( 112 ),2064299.800000000046566,2285539.200000000186265,2311211.589999999850988,2704433.200000000186265,9365483.789999999105930
FS( 113 ),2046820.000000000000000,2284060.160000000149012,2332037.169999999925494,2712992.399999999906868,9375909.730000000447035
FS( 114 ),2011471.960000000195578,2262983.840000000316650,2312569.779999999795109,2674146.800000000279397,9261172.380000000819564
FS( 115 ),2011989.880000000121072,2279992.799999999813735,2346524.529999999795109,2687314.799999999813735,9325822.009999997913837
FS( 116 ),2002537.840000000316650,2279992.799999999813735,2286764.169999999925494,2654065.600000000558794,9223360.410000000149012
FS( 117 ),2071032.760000000009313,2367995.680000000167638,2300346.069999999832362,2628717.200000000186265,9368091.710000000894070
FS( 118 ),2003185.239999999990687,2343961.280000000260770,2278162.299999999813735,2639910.000000000000000,9265218.820000000298023
FS( 119 ),2000725.120000000111759,2348398.399999999906868,2291744.199999999720603,2634313.600000000093132,9275181.319999998435378
FS( 120 ),2012896.239999999990687,2346549.600000000093132,2265033.129999999888241,2640239.200000000186265,9264718.169999999925494
FS( 121 ),2040604.960000000195578,2386483.680000000167638,2335659.010000000242144,2665587.600000000093132,9428335.250000000000000
FS( 122 ),2087994.640000000130385,2422720.160000000149012,2359653.699999999720603,2682376.800000000279397,9552745.300000000745058
FS( 123 ),2061710.200000000186265,2404601.920000000391155,2349240.910000000149012,2673817.600000000093132,9489370.630000000819564
FS( 124 ),2065724.080000000074506,2419392.320000000298023,2368708.299999999813735,2680730.800000000279397,9534555.500000000000000
FS( 125 ),2065076.679999999934807,2413476.160000000149012,2399493.939999999944121,2667892.000000000465661,9545938.779999999329448
FS( 126 ),2071421.200000000186265,2429006.080000000074506,2392702.990000000223517,2692582.000000000465661,9585712.270000001415610
FS( 127 ),2062487.080000000074506,2433443.200000000186265,2375951.979999999981374,2697849.200000000186265,9569731.460000000894070
FS( 128 ),2015744.800000000046566,2390181.280000000260770,2344713.609999999869615,2714967.600000000093132,9465607.289999999105930
FS( 129 ),2033742.520000000251457,2413845.920000000391155,2360106.430000000167638,2724843.600000000093132,9532538.470000000670552
FS( 130 ),2009270.800000000046566,2405711.200000000186265,2358748.240000000223517,2710029.600000000093132,9483759.839999999850988
FS( 131 ),2002408.359999999869615,2412736.640000000130385,2356031.859999999869615,2720893.200000000186265,9492070.059999998658895
FS( 132 ),1983374.800000000046566,2394248.640000000130385,2337017.199999999720603,2738011.600000000093132,9452652.240000000223517
FS( 133 ),1940905.359999999869615,2360600.480000000447035,2330678.979999999981374,2738999.200000000186265,9371184.019999999552965
FS( 134 ),1924590.880000000121072,2339524.160000000149012,2270013.160000000149012,2718259.600000000093132,9252387.800000000745058
FS( 135 ),1892997.760000000009313,2295522.720000000204891,2255978.529999999795109,2743937.200000000186265,9188436.210000000894070
FS( 136 ),1892609.320000000065193,2291455.359999999869615,2249640.310000000055879,2730769.200000000186265,9164474.190000001341105
FS( 137 ),1898694.880000000121072,2300699.359999999869615,2281331.410000000149012,2745912.399999999906868,9226638.050000000745058
FS( 138 ),1885876.359999999869615,2302917.920000000391155,2269560.430000000167638,2736694.799999999813735,9195049.510000001639128
FS( 139 ),1913196.640000000130385,2306245.760000000242144,2266844.049999999813735,2733732.000000000465661,9220018.450000001117587
FS( 140 ),1920965.439999999944121,2327691.840000000316650,2317549.810000000055879,2745912.399999999906868,9312119.490000000223517
FS( 141 ),1918246.359999999869615,2318817.600000000093132,2308495.209999999962747,2751179.600000000093132,9296738.769999999552965
FS( 142 ),1976771.320000000065193,2368365.439999999944121,2350146.369999999646097,2772248.399999999906868,9467531.529999999329448
FS( 143 ),1836932.920000000391155,2203822.240000000223517,2255978.529999999795109,2708054.400000000372529,9004788.089999999850988
FS( 144 ),1806505.120000000111759,2130240.000000000000000,2192596.330000000074506,2674146.800000000279397,8803488.250000000000000
FS( 145 ),1844054.320000000065193,2200864.160000000149012,2238322.060000000055879,2714638.399999999906868,8997878.940000001341105
FS( 146 ),1884063.640000000130385,2262983.840000000316650,2288122.359999999869615,2762372.399999999906868,9197542.240000000223517
FS( 147 ),1923943.480000000214204,2297741.280000000260770,2316644.350000000093132,2787391.600000000093132,9325720.710000000894070
FS( 148 ),1919670.640000000130385,2265202.399999999906868,2316191.619999999646097,2791012.800000000279397,9292077.460000000894070
FS( 149 ),1870468.239999999990687,2201973.439999999944121,2316644.350000000093132,2812740.000000000000000,9201826.029999999329448
FS( 150 ),1885099.480000000214204,2225638.080000000074506,2326151.680000000167638,2799242.800000000279397,9236132.040000000968575
FS( 151 ),1903485.640000000130385,2225638.080000000074506,2326151.680000000167638,2792658.800000000279397,9247934.200000001117587
FS( 152 ),1947249.880000000121072,2286278.720000000204891,2367802.839999999850988,2823603.600000000093132,9424935.040000000968575
FS( 153 ),1970685.760000000009313,2302548.160000000149012,2380932.010000000242144,2822945.200000000186265,9477111.129999998956919
FS( 154 ),2031929.800000000046566,2336935.840000000316650,2409001.270000000018626,2822945.200000000186265,9600812.109999999403954
FS( 155 ),2044877.800000000046566,2335456.799999999813735,2422583.169999999925494,2827554.000000000000000,9630471.769999999552965
FS( 156 ),2104697.560000000055879,2370953.760000000242144,2432995.959999999962747,2826895.600000000558794,9735542.880000000819564
FS( 157 ),2093044.359999999869615,2373172.320000000298023,2431185.040000000037253,2831504.400000000372529,9728906.120000001043081
FS( 158 ),2114926.480000000447035,2365037.600000000093132,2442956.020000000018626,2828870.800000000279397,9751790.900000000372529
FS( 159 ),2090066.320000000065193,2361340.000000000000000,2403568.510000000242144,2836771.600000000093132,9691746.429999999701977
FS( 160 ),2094727.600000000325963,2363928.320000000298023,2531238.369999999646097,2808789.600000000093132,9798683.890000000596046
FS( 161 ),2072457.040000000270084,2355054.080000000074506,2526258.339999999850988,2806814.400000000372529,9760583.859999999403954
FS( 162 ),2077118.320000000065193,2367995.680000000167638,2561118.549999999813735,2821957.600000000093132,9828190.150000000372529
FS( 163 ),2078413.120000000111759,2361709.760000000242144,2568362.229999999981374,2824591.200000000186265,9833076.310000002384186
FS( 164 ),2086829.320000000065193,2371323.520000000018626,2569720.419999999925494,2807143.600000000093132,9835016.859999999403954
FS( 165 ),2084628.160000000149012,2378718.720000000204891,2543914.810000000055879,2780478.399999999906868,9787740.090000001713634
FS( 166 ),2078672.080000000074506,2370214.239999999757856,2544820.270000000018626,2792000.400000000372529,9785706.990000000223517
FS( 167 ),2056401.520000000251457,2365407.359999999869615,2566098.580000000074506,2817678.000000000465661,9805585.460000000894070
FS( 168 ),2048244.280000000260770,2359121.439999999944121,2561571.279999999795109,2844672.399999999906868,9813609.400000000372529
FS( 169 ),2020794.520000000251457,2353575.040000000037253,2561571.279999999795109,2856194.400000000372529,9792135.240000000223517
FS( 170 ),2050315.960000000195578,2390920.799999999813735,2579227.750000000000000,2830187.600000000093132,9850652.109999999403954
FS( 171 ),2046561.040000000270084,2387223.200000000186265,2598242.410000000149012,2832821.200000000186265,9864847.850000001490116
FS( 172 ),2098870.959999999962747,2451561.439999999944121,2624048.020000000018626,2823932.800000000279397,9998413.220000000670552
FS( 173 ),2108452.480000000447035,2444166.239999999757856,2628575.319999999832362,2823274.400000000372529,10004468.440000001341105
FS( 174 ),2116350.760000000242144,2435661.760000000242144,2634913.540000000037253,2830846.000000000000000,10017772.060000000521541
FS( 175 ),2100165.760000000242144,2413845.920000000391155,2626764.399999999906868,2841380.400000000372529,9982156.480000000447035
FS( 176 ),2121788.920000000391155,2420501.600000000093132,2639440.839999999850988,2855206.800000000279397,10036938.160000000149012
FS( 177 ),2113890.640000000130385,2415324.959999999962747,2623142.560000000055879,2865412.000000000465661,10017770.160000000149012
FS( 178 ),2143671.040000000502914,2430115.359999999869615,2631291.699999999720603,2864753.600000000093132,10069831.699999999254942
FS( 179 ),2144965.840000000316650,2429745.600000000093132,2600506.060000000055879,2850268.800000000279397,10025486.300000000745058
FS( 180 ),2145224.799999999813735,2436401.280000000260770,2605938.819999999832362,2862778.399999999906868,10050343.300000000745058
FS( 181 ),2150274.520000000018626,2438619.840000000316650,2607749.740000000223517,2878580.000000000000000,10075224.100000001490116
FS( 182 ),2152475.680000000167638,2435292.000000000000000,2608655.199999999720603,2874300.400000000372529,10070723.279999999329448
FS( 183 ),2152864.120000000111759,2433073.439999999944121,2610918.850000000093132,2859157.200000000186265,10056013.609999999403954
FS( 184 ),2150533.480000000447035,2431964.160000000149012,2620878.910000000149012,2877263.200000000186265,10080639.750000000000000
FS( 185 ),2140434.040000000502914,2438619.840000000316650,2623595.290000000037253,2874300.400000000372529,10076949.570000000298023
FS( 186 ),2148202.840000000316650,2443056.959999999962747,2633555.350000000093132,2893723.200000000186265,10118538.350000001490116
FS( 187 ),2149109.200000000186265,2448603.359999999869615,2627217.129999999888241,2883188.800000000279397,10108118.490000000223517
FS( 188 ),2160762.400000000372529,2475595.840000000316650,2630386.240000000223517,2906891.200000000186265,10173635.679999999701977
FS( 189 ),2193132.400000000372529,2495932.640000000130385,2620878.910000000149012,2881872.000000000465661,10191815.950000001117587
FS( 190 ),2194297.720000000204891,2495932.640000000130385,2601411.520000000018626,2874300.400000000372529,10165942.280000001192093
FS( 191 ),2181997.120000000111759,2485209.600000000093132,2607297.010000000242144,2907220.400000000372529,10181724.130000000819564
FS( 192 ),2190672.280000000260770,2495562.879999999888241,2610918.850000000093132,2903599.200000000186265,10200753.210000000894070
FS( 193 ),2192614.480000000447035,2493714.080000000074506,2608202.469999999739230,2918084.000000000000000,10212615.030000001192093
FS( 194 ),2197016.799999999813735,2483360.799999999813735,2610466.119999999646097,2895369.200000000186265,10186212.919999998062849
FS( 195 ),2222783.320000000298023,2486688.640000000130385,2600053.330000000074506,2889772.800000000279397,10199298.090000001713634
FS( 196 ),2182774.000000000000000,2464503.040000000502914,2544820.270000000018626,2839076.000000000000000,10031173.310000000521541
FS( 197 ),2215014.520000000018626,2479663.200000000186265,2582849.589999999850988,2905245.200000000186265,10182772.510000001639128
FS( 198 ),2162445.640000000130385,2460065.920000000391155,2559307.629999999888241,2865741.200000000186265,10047560.390000000596046
FS( 199 ),2151569.320000000298023,2455259.040000000502914,2547083.919999999925494,2864424.400000000372529,10018336.680000001564622
FS( 200 ),2176429.480000000447035,2464133.280000000260770,2589187.810000000055879,2898990.400000000372529,10128740.970000000670552
FS( 201 ),2149497.640000000130385,2433812.959999999962747,2591904.189999999944121,2898661.200000000186265,10073875.989999998360872
FS( 202 ),2152216.720000000204891,2447494.080000000074506,2577416.830000000074506,2909195.600000000558794,10086323.230000000447035
FS( 203 ),2155583.200000000186265,2457477.600000000093132,2571984.069999999832362,2916108.800000000279397,10101153.670000001788139
FS( 204 ),2162834.080000000074506,2471528.480000000447035,2614993.419999999925494,2890431.200000000186265,10139787.179999999701977
FS( 205 ),2175652.600000000093132,2491865.280000000260770,2617709.799999999813735,2929606.000000000000000,10214833.679999999701977
FS( 206 ),2138232.879999999888241,2486688.640000000130385,2600053.330000000074506,2889114.400000000372529,10114089.250000000000000
FS( 207 ),2090972.679999999934807,2432333.920000000391155,2576058.639999999664724,2892077.200000000186265,9991442.440000001341105
FS( 208 ),2109229.359999999869615,2453780.000000000000000,2623595.290000000037253,2908866.400000000372529,10095471.050000000745058
FS( 209 ),2116480.239999999757856,2466721.600000000093132,2627217.129999999888241,2945078.399999999906868,10155497.369999999180436
FS( 210 ),2058214.239999999990687,2427527.040000000502914,2598695.139999999664724,2904586.800000000279397,9989023.220000000670552
FS( 211 ),2088253.600000000325963,2462284.480000000447035,2607749.740000000223517,2954625.200000000186265,10112913.020000001415610
FS( 212 ),2085664.000000000000000,2459326.400000000372529,2599600.600000000093132,2918742.399999999906868,10063333.400000000372529
FS( 213 ),2101201.600000000093132,2462654.239999999757856,2591451.459999999962747,2908537.200000000186265,10063844.500000000000000
FS( 214 ),2154676.840000000316650,2502958.080000000074506,2609560.660000000149012,2924997.200000000186265,10192192.780000001192093
FS( 215 ),2164387.840000000316650,2509613.760000000242144,2614087.959999999962747,2937177.600000000093132,10225267.160000000149012
FS( 216 ),2199088.480000000447035,2518488.000000000000000,2616804.339999999850988,2962855.200000000186265,10297236.019999999552965
FS( 217 ),2214755.560000000055879,2538085.280000000260770,2627669.859999999869615,2931910.400000000372529,10312421.099999999627471
FS( 218 ),2188859.560000000055879,2525883.200000000186265,2589187.810000000055879,2914792.000000000465661,10218722.570000000298023
FS( 219 ),2192226.040000000502914,2519227.520000000018626,2585565.969999999739230,2915779.600000000093132,10212799.130000000819564
FS( 220 ),2167883.799999999813735,2504806.879999999888241,2576964.100000000093132,2904916.000000000000000,10154570.779999999329448
FS( 221 ),2208022.600000000093132,2496672.160000000149012,2599600.600000000093132,2911170.800000000279397,10215466.160000000149012
FS( 222 ),2188341.640000000130385,2483730.560000000055879,2590546.000000000000000,2891418.800000000279397,10154037.000000000000000
FS( 223 ),2235342.879999999888241,2503327.840000000316650,2610466.119999999646097,2878909.200000000186265,10228046.039999999105930
FS( 224 ),2259685.120000000111759,2527362.239999999757856,2604580.629999999888241,2816032.000000000465661,10207659.990000000223517
FS( 225 ),2259685.120000000111759,2524034.400000000372529,2591904.189999999944121,2795950.800000000279397,10171574.510000001639128
