代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13519990.919999998062849
真實報酬,3519990.919999998062849

夏普值報酬,0.343299092000000
夏普值風險,0.098027028784464
夏普值,3.502086070106480

二次趨勢線,52.050406008304179 x^2 + 1899.111554538609198 x + 10000000.000000000000000
二次加權預期報酬,19422.748244001028070
風險,165851.073640915536089
二次加權趨勢值,0.117109571964866
一次趨勢線,11756.118541069634375 x + 10000000.000000000000000
一次預期報酬,11756.118541069634375
一次風險,406735.715822933940217
一次趨勢值,0.028903580589877
找到最佳解世代,3590
找到最佳解實驗#,5
找到最佳解次數,19

stock[index](rank)
投資組合檔數,3
BA[2](2),MCD[15](1),V[25](11),
FS( 24 ),3372400.040000000502914,3275194.500000000000000,3557103.000000000000000,10204698.540000000968575
FS( 25 ),3385765.080000000074506,3300387.849999999627471,3586640.639999999664724,10272794.570000000298023
FS( 26 ),3397588.000000000000000,3274917.650000000372529,3578137.379999999888241,10250644.030000001192093
FS( 27 ),3408639.860000000335276,3275471.350000000093132,3583060.319999999832362,10267172.530000001192093
FS( 28 ),3399901.180000000167638,3289037.000000000000000,3566053.799999999813735,10254992.980000000447035
FS( 29 ),3418406.620000000111759,3305094.299999999813735,3585745.559999999590218,10309247.480000000447035
FS( 30 ),3420976.819999999832362,3308970.199999999720603,3581270.159999999217689,10311218.179999999701977
FS( 31 ),3461071.939999999944121,3281285.199999999720603,3621101.219999999273568,10363459.359999999403954
FS( 32 ),3469810.620000000111759,3265227.899999999906868,3616625.819999999832362,10351665.339999999850988
FS( 33 ),3462614.060000000055879,3241972.500000000000000,3617968.439999999944121,10322556.000000000000000
FS( 34 ),3469810.620000000111759,3242803.049999999813735,3592458.659999999217689,10305073.329999998211861
FS( 35 ),3455417.500000000000000,3184110.850000000093132,3601409.459999999497086,10240938.809999998658895
FS( 36 ),3469553.600000000558794,3195461.700000000186265,3627814.319999999832362,10292830.620000001043081
FS( 37 ),3447706.899999999906868,3189094.149999999906868,3616178.279999999329448,10252980.329999998211861
FS( 38 ),3425860.199999999720603,3180234.950000000186265,3593353.739999999757856,10199449.890000000596046
FS( 39 ),3417892.580000000074506,3195738.550000000279397,3594696.359999999403954,10208328.490000000223517
FS( 40 ),3398616.080000000074506,3168330.399999999906868,3605884.859999999403954,10172832.339999999850988
FS( 41 ),3415836.420000000391155,3195184.850000000093132,3619311.059999999590218,10230333.330000000074506
FS( 42 ),3362119.240000000223517,3193800.600000000093132,3632737.259999999776483,10188658.099999999627471
FS( 43 ),3327164.520000000018626,3202106.100000000093132,3620653.679999999701977,10149925.300000000745058
FS( 44 ),3338730.420000000391155,3194908.000000000000000,3638555.279999999329448,10172194.699999999254942
FS( 45 ),3371114.939999999944121,3206812.549999999813735,3669883.079999999608845,10247811.570000000298023
FS( 46 ),3418149.600000000558794,3246125.250000000000000,3693602.699999999720603,10357878.550000000745058
FS( 47 ),3409153.899999999906868,3236989.200000000186265,3725378.039999999571592,10371522.139999998733401
FS( 48 ),3415836.420000000391155,3216225.450000000186265,3713294.459999999497086,10345357.330000000074506
FS( 49 ),3303518.680000000167638,3172206.299999999813735,3639897.899999999441206,10115623.879999998956919
FS( 50 ),3344384.860000000335276,3210134.750000000000000,3713294.459999999497086,10267815.070000000298023
FS( 51 ),3309430.139999999664724,3176359.050000000279397,3664960.139999999664724,10150750.329999998211861
FS( 52 ),3281414.959999999962747,3188817.300000000279397,3647058.539999999571592,10117291.799999998882413
FS( 53 ),3283985.160000000149012,3215394.899999999906868,3670330.619999999646097,10169711.679999999701977
FS( 54 ),3256484.020000000018626,3191585.799999999813735,3673015.859999999403954,10121086.679999999701977
FS( 55 ),3276531.580000000074506,3189647.849999999627471,3692707.619999999646097,10158888.049999998882413
FS( 56 ),3284499.200000000186265,3223977.250000000000000,3691365.000000000000000,10199842.449999999254942
FS( 57 ),3355693.740000000223517,3237266.050000000279397,3724482.959999999497086,10317443.750000000000000
FS( 58 ),3389363.360000000335276,3249170.600000000093132,3730748.519999999552965,10369283.480000000447035
FS( 59 ),3387050.180000000167638,3243910.450000000186265,3694050.239999999757856,10325011.870000001043081
FS( 60 ),3355950.759999999776483,3226192.049999999813735,3661379.819999999832362,10243523.629999998956919
FS( 61 ),3375227.259999999776483,3235881.799999999813735,3677043.719999999273568,10288153.779999999329448
FS( 62 ),3398616.080000000074506,3188817.300000000279397,3713294.459999999497086,10300728.839999999850988
FS( 63 ),3367773.680000000167638,3178020.150000000372529,3666302.759999999776483,10212097.589999999850988
FS( 64 ),3386022.100000000558794,3193800.600000000093132,3701210.879999999888241,10281034.580000001937151
FS( 65 ),3402471.379999999888241,3173867.399999999906868,3708371.519999999552965,10284711.299999998882413
FS( 66 ),3399130.120000000111759,3142306.500000000000000,3702553.500000000000000,10243991.120000001043081
FS( 67 ),3461071.939999999944121,3139814.850000000093132,3730300.979999999515712,10331188.769999999552965
FS( 68 ),3454903.459999999962747,3153934.200000000186265,3730748.519999999552965,10339587.179999999701977
FS( 69 ),3440253.319999999832362,3140922.250000000000000,3709266.599999999627471,10290443.169999999925494
FS( 70 ),3491400.300000000279397,3175805.349999999627471,3720007.559999999590218,10387214.210000000894070
FS( 71 ),3437426.100000000558794,3147289.800000000279397,3671673.239999999757856,10256390.140000000596046
FS( 72 ),3422518.939999999944121,3175805.349999999627471,3681071.579999999608845,10279396.869999999180436
FS( 73 ),3428173.379999999888241,3195184.850000000093132,3664065.059999999590218,10287424.289999999105930
FS( 74 ),3431257.620000000111759,3158640.649999999906868,3690022.379999999888241,10279921.649999998509884
FS( 75 ),3444108.620000000111759,3112129.850000000093132,3676596.179999999701977,10232835.650000000372529
FS( 76 ),3472380.819999999832362,3080015.250000000000000,3651086.399999999441206,10203483.469999998807907
FS( 77 ),3500138.980000000447035,3080292.100000000093132,3706133.819999999832362,10286565.900000000372529
FS( 78 ),3491400.300000000279397,3061189.449999999720603,3692260.079999999608845,10244850.830000000074506
FS( 79 ),3486002.879999999888241,3154211.050000000279397,3685546.979999999515712,10325761.910000000149012
FS( 80 ),3532780.520000000018626,3144244.449999999720603,3722245.259999999776483,10399271.230000000447035
FS( 81 ),3573132.660000000149012,3120712.200000000186265,3671225.699999999720603,10365071.560000000521541
FS( 82 ),3740709.699999999720603,3103824.350000000093132,3658694.579999999608845,10503229.629999998956919
FS( 83 ),3683394.240000000223517,3102993.799999999813735,3666302.759999999776483,10452691.800000000745058
FS( 84 ),3675683.639999999664724,3103547.500000000000000,3679728.959999999497086,10458961.099999999627471
FS( 85 ),3660776.480000000447035,3116559.449999999720603,3692707.619999999646097,10470044.549999998882413
FS( 86 ),3660262.439999999944121,3107700.250000000000000,3652876.559999999590218,10420840.250000000000000
FS( 87 ),3617597.120000000111759,3111576.149999999906868,3606332.399999999441206,10335506.669999998062849
FS( 88 ),3598834.660000000149012,3093027.200000000186265,3609465.179999999701977,10301328.039999999105930
FS( 89 ),3586497.699999999720603,3074201.400000000372529,3596486.519999999552965,10257186.619999999180436
FS( 90 ),3676197.680000000167638,3123480.699999999720603,3692707.619999999646097,10492387.000000000000000
FS( 91 ),3654865.020000000018626,3159194.350000000093132,3709266.599999999627471,10523326.969999998807907
FS( 92 ),3729143.800000000279397,3183280.300000000279397,3725378.039999999571592,10637803.140000000596046
FS( 93 ),3795969.000000000000000,3170268.350000000093132,3664065.059999999590218,10630303.410000000149012
FS( 94 ),3817301.660000000149012,3162239.700000000186265,3664512.599999999627471,10644054.960000000894070
FS( 95 ),3855083.600000000558794,3263013.100000000093132,3507873.599999999627471,10625971.300000000745058
FS( 96 ),3806763.840000000316650,3275748.199999999720603,3516376.859999999403954,10598889.899999998509884
FS( 97 ),3763841.500000000000000,3300387.849999999627471,3583955.399999999441206,10648185.750000000000000
FS( 98 ),3735312.280000000260770,3307032.250000000000000,3628261.859999999403954,10670607.390000000596046
FS( 99 ),3761528.319999999832362,3322259.000000000000000,3617073.359999999403954,10700861.679999999701977
FS( 100 ),3778748.660000000149012,3308416.500000000000000,3656009.339999999385327,10743175.500000000000000
FS( 101 ),3843003.660000000149012,3313676.649999999906868,3577242.299999999813735,10733923.609999999403954
FS( 102 ),3848658.100000000558794,3326134.899999999906868,3561130.859999999403954,10735924.859999999403954
FS( 103 ),3856368.699999999720603,3340531.100000000093132,3586193.099999999627471,10783093.899999998509884
FS( 104 ),3849429.160000000149012,3372645.699999999720603,3539201.399999999441206,10761277.259999997913837
FS( 105 ),3897491.899999999906868,3341084.800000000279397,3542334.179999999701977,10780911.879999998956919
FS( 106 ),3869733.740000000223517,3302048.949999999720603,3460434.359999999403954,10632218.049999998882413
FS( 107 ),3916768.399999999906868,3279900.950000000186265,3375849.299999999813735,10572519.649999998509884
FS( 108 ),3913170.120000000111759,3273533.399999999906868,3388827.959999999497086,10575532.479999998584390
FS( 109 ),3910856.939999999944121,3302602.650000000372529,3459986.819999999832362,10673447.410000000149012
FS( 110 ),3912913.100000000558794,3301495.250000000000000,3451036.019999999552965,10665445.370000001043081
FS( 111 ),3961746.899999999906868,3320044.200000000186265,3549494.819999999832362,10831286.919999999925494
FS( 112 ),3993874.399999999906868,3334717.250000000000000,3548152.199999999720603,10876744.849999999627471
FS( 113 ),4022146.600000000558794,3357142.100000000093132,3541886.639999999664724,10921176.339999999850988
FS( 114 ),4039366.939999999944121,3370430.899999999906868,3513244.079999999608845,10923042.919999999925494
FS( 115 ),4026515.939999999944121,3396454.800000000279397,3544571.879999999888241,10967543.620000001043081
FS( 116 ),3970228.560000000055879,3400884.399999999906868,3541439.099999999627471,10912553.059999998658895
FS( 117 ),3952237.160000000149012,3387595.600000000093132,3557998.079999999608845,10897831.839999999850988
FS( 118 ),3970999.620000000111759,3411958.399999999906868,3506530.979999999515712,10889490.000000000000000
FS( 119 ),4014178.980000000447035,3405037.149999999906868,3495342.479999999515712,10914559.609999999403954
FS( 120 ),4019576.399999999906868,3414450.049999999813735,3506978.519999999552965,10941005.969999998807907
FS( 121 ),4047591.580000000074506,3410297.300000000279397,3497132.639999999664724,10955022.519999999552965
FS( 122 ),4047077.540000000502914,3425247.200000000186265,3486391.679999999701977,10958717.419999999925494
FS( 123 ),4056073.240000000223517,3409189.899999999906868,3497580.179999999701977,10962844.320000000298023
FS( 124 ),4047591.580000000074506,3407251.949999999720603,3506530.979999999515712,10961375.509999997913837
FS( 125 ),4012122.819999999832362,3396454.800000000279397,3504293.279999999329448,10912871.899999998509884
FS( 126 ),4001585.000000000000000,3399500.150000000372529,3505635.899999999441206,10906722.050000000745058
FS( 127 ),4001327.980000000447035,3369877.200000000186265,3491762.159999999217689,10862968.339999999850988
FS( 128 ),4034483.560000000055879,3311738.700000000186265,3557998.079999999608845,10904221.339999999850988
FS( 129 ),4076891.860000000335276,3307862.800000000279397,3587088.179999999701977,10971843.839999999850988
FS( 130 ),4079205.040000000502914,3313953.500000000000000,3629156.939999999944121,11022316.480000000447035
FS( 131 ),4089228.819999999832362,3343299.600000000093132,3679281.419999999459833,11111810.839999999850988
FS( 132 ),4069181.259999999776483,3334163.550000000279397,3658694.579999999608845,11062040.390000000596046
FS( 133 ),4088457.759999999776483,3329180.250000000000000,3639002.819999999832362,11056641.830000000074506
FS( 134 ),4096939.420000000391155,3346621.799999999813735,3660932.279999999329448,11104494.500000000000000
FS( 135 ),4068410.199999999720603,3380397.500000000000000,3641688.059999999590218,11090496.759999997913837
FS( 136 ),4082289.280000000260770,3363786.500000000000000,3632737.259999999776483,11078814.039999999105930
FS( 137 ),4052474.959999999962747,3398392.750000000000000,3636765.119999999646097,11087633.830000000074506
FS( 138 ),4069181.259999999776483,3397285.349999999627471,3651533.939999999944121,11118001.549999998882413
FS( 139 ),4086658.620000000111759,3382612.300000000279397,3657799.500000000000000,11127071.419999999925494
FS( 140 ),4100280.680000000167638,3384827.100000000093132,3662722.439999999944121,11147831.220000000670552
FS( 141 ),4056844.300000000279397,3360464.299999999813735,3676596.179999999701977,11093905.779999999329448
FS( 142 ),4126496.720000000204891,3351328.250000000000000,3724930.500000000000000,11202756.470000000670552
FS( 143 ),4301527.340000000782311,3371815.150000000372529,3754915.679999999701977,11428259.170000001788139
FS( 144 ),4346762.860000000335276,3374306.799999999813735,3725378.039999999571592,11446448.699999999254942
FS( 145 ),4310266.019999999552965,3401438.100000000093132,3749097.659999999217689,11460802.779999997466803
FS( 146 ),4255520.759999999776483,3405867.699999999720603,3745964.879999999888241,11407354.339999999850988
FS( 147 ),4200261.459999999962747,3393409.449999999720603,3701658.419999999459833,11295330.330000000074506
FS( 148 ),4214397.560000000521541,3389256.700000000186265,3689574.839999999385327,11293230.099999999627471
FS( 149 ),4170447.139999999664724,3411404.700000000186265,3683309.279999999329448,11265162.119999999180436
FS( 150 ),4174045.420000000391155,3439643.399999999906868,3852479.399999999441206,11466169.219999998807907
FS( 151 ),4214654.580000000074506,3445457.250000000000000,3841290.899999999441206,11501403.730000000447035
FS( 152 ),4279423.620000000111759,3449333.149999999906868,3839053.199999999720603,11567810.969999998807907
FS( 153 ),4210285.240000000223517,3451547.950000000186265,3808172.939999999944121,11470007.130000000819564
FS( 154 ),4222365.179999999701977,3446287.800000000279397,3830102.399999999441206,11498756.379999998956919
FS( 155 ),4272484.080000000074506,3483385.699999999720603,3844423.679999999701977,11600294.459999999031425
FS( 156 ),4318747.679999999701977,3475633.900000000372529,3868590.839999999385327,11662973.419999999925494
FS( 157 ),4330827.620000000111759,3483108.850000000093132,3886939.979999999515712,11700877.449999999254942
FS( 158 ),4351389.220000000670552,3501657.800000000279397,3917820.239999999757856,11770868.260000001639128
FS( 159 ),4390199.240000000223517,3507748.500000000000000,3912002.219999999273568,11809950.959999999031425
FS( 160 ),4439033.040000000037253,3538202.000000000000000,3914239.919999999459833,11891475.959999999031425
FS( 161 ),4512283.740000000223517,3544846.399999999906868,3934826.759999999776483,11991957.900000000372529
FS( 162 ),4507143.340000000782311,3539586.250000000000000,3929456.279999999329448,11976186.870000001043081
FS( 163 ),4545696.340000000782311,3551213.950000000186265,3946462.799999999813735,12043374.089999999850988
FS( 164 ),4560603.500000000000000,3561734.250000000000000,3957651.299999999813735,12079990.050000000745058
FS( 165 ),4611750.480000000447035,3515777.149999999906868,3938407.079999999608845,12065935.710000000894070
FS( 166 ),4632312.080000000074506,3534049.250000000000000,3935721.839999999385327,12102084.169999999925494
FS( 167 ),4726895.440000000409782,3572808.250000000465661,3982713.539999999571592,12282418.230000000447035
FS( 168 ),4703249.600000000558794,3550106.549999999813735,3962126.699999999720603,12215483.849999999627471
FS( 169 ),4682430.980000000447035,3540970.500000000000000,3973762.739999999757856,12197165.220000000670552
FS( 170 ),4650303.480000000447035,3544569.549999999813735,3980475.839999999385327,12175349.869999999180436
FS( 171 ),4678318.660000000149012,3545676.949999999720603,3985846.319999999832362,12209842.929999999701977
FS( 172 ),4671122.100000000558794,3546230.649999999906868,3981370.919999999459833,12198724.669999999925494
FS( 173 ),4641050.759999999776483,3547614.899999999441206,3988084.019999999552965,12176750.679999999701977
FS( 174 ),4592988.019999999552965,3543185.300000000279397,4015831.500000000000000,12152005.820000000298023
FS( 175 ),4601983.720000000670552,3532941.850000000093132,4032838.019999999552965,12167764.589999999850988
FS( 176 ),4593759.080000000074506,3538202.000000000000000,4007775.779999999329448,12139737.859999999403954
FS( 177 ),4593245.040000000037253,3540416.799999999813735,4024334.759999999776483,12157997.599999999627471
FS( 178 ),4579880.000000000000000,3543185.300000000279397,4029705.239999999757856,12152771.540000000968575
FS( 179 ),4628970.820000000298023,3561457.399999999441206,4038656.039999999571592,12229085.259999999776483
FS( 180 ),4610722.399999999441206,3565333.299999999813735,3991216.799999999813735,12167273.500000000000000
FS( 181 ),4522564.540000000037253,3558135.200000000186265,3941092.319999999832362,12021793.060000000521541
FS( 182 ),4548780.580000000074506,3574192.500000000000000,3961679.159999999217689,12084653.239999998360872
FS( 183 ),4555977.139999999664724,3571424.000000000000000,3976895.519999999552965,12104297.660000000149012
FS( 184 ),4518966.259999999776483,3580836.899999999906868,3991664.339999999385327,12091468.500000000000000
FS( 185 ),4526162.820000000298023,3584989.650000000372529,3980923.379999999888241,12092076.850000001490116
FS( 186 ),4558547.340000000782311,3583882.249999999534339,3988531.559999999590218,12130962.149999998509884
FS( 187 ),4565486.879999999888241,3566994.399999999906868,3991216.799999999813735,12123699.079999998211861
FS( 188 ),4574482.580000000074506,3580283.199999999720603,3983608.619999999646097,12138375.399999998509884
FS( 189 ),4545696.340000000782311,3588311.850000000558794,3977343.059999999590218,12111352.250000000000000
FS( 190 ),4540298.919999999925494,3588311.850000000558794,3999272.519999999552965,12127884.289999999105930
FS( 191 ),4592988.019999999552965,3579452.649999999906868,3973315.199999999720603,12145756.869999999180436
FS( 192 ),4551350.780000000260770,3610459.850000000093132,3984503.699999999720603,12146315.330000000074506
FS( 193 ),4558804.360000000335276,3603261.750000000000000,3987188.939999999944121,12149256.050000000745058
FS( 194 ),4596843.320000000298023,3598001.600000000093132,3971525.039999999571592,12166370.959999999031425
FS( 195 ),4563687.740000000223517,3598555.299999999813735,3976895.519999999552965,12139139.559999998658895
FS( 196 ),4589646.759999999776483,3632330.999999999534339,3976447.979999999515712,12198426.739999998360872
FS( 197 ),4524877.720000000670552,3633992.099999999627471,3968839.799999999813735,12127710.620000001043081
FS( 198 ),4513825.860000000335276,3620149.599999999627471,3977343.059999999590218,12111319.519999999552965
FS( 199 ),4601212.660000000149012,3636483.750000000000000,4019411.819999999832362,12257109.230000000447035
FS( 200 ),4571141.320000000298023,3662784.500000000465661,4015831.500000000000000,12249758.320000000298023
FS( 201 ),4585277.419999999925494,3672197.399999999441206,4016726.579999999608845,12274202.399999998509884
FS( 202 ),4608409.220000000670552,3689638.950000000186265,4079382.179999999701977,12377431.350000001490116
FS( 203 ),4636167.379999999888241,3693514.850000000093132,4079382.179999999701977,12409065.410000000149012
FS( 204 ),4679346.740000000223517,3716216.549999999813735,4110709.979999999515712,12506274.269999999552965
FS( 205 ),4716614.639999999664724,3923023.499999999534339,4122346.019999999552965,12761985.159999998286366
FS( 206 ),4670351.040000000037253,3899214.399999999906868,4109367.359999999403954,12678933.799999998882413
FS( 207 ),4709161.060000000521541,3900044.950000000186265,4099521.479999999515712,12708728.490000002086163
FS( 208 ),4750541.280000000260770,3874021.050000000279397,4082514.959999999497086,12707078.289999999105930
FS( 209 ),4687828.399999999441206,3907796.750000000000000,4084305.119999999646097,12679931.269999997690320
FS( 210 ),4714815.500000000000000,3910011.549999999813735,4141590.239999999757856,12766418.290000000968575
FS( 211 ),4713530.399999999441206,3948493.700000000186265,4137114.839999999385327,12799139.939999999478459
FS( 212 ),4705305.759999999776483,3971472.249999999534339,4145170.559999999590218,12821949.570000000298023
FS( 213 ),4755167.639999999664724,3985591.600000000093132,4121450.939999999944121,12862211.179999999701977
FS( 214 ),4781126.660000000149012,3993343.400000000372529,4113842.759999999776483,12888313.820000000298023
FS( 215 ),4804001.440000000409782,3996665.600000000558794,4117423.079999999608845,12918091.120000001043081
FS( 216 ),4708132.980000000447035,4001095.200000000186265,4128611.579999999608845,12837840.759999999776483
FS( 217 ),4727666.500000000000000,3992512.850000000093132,4121898.479999999515712,12842078.829999998211861
FS( 218 ),4709932.120000000111759,4024350.600000000558794,4150093.500000000000000,12884377.220000000670552
FS( 219 ),4687828.399999999441206,4049820.799999999813735,4172470.500000000000000,12910120.699999999254942
FS( 220 ),4695796.019999999552965,4077782.649999999906868,4168890.179999999701977,12942469.849999999627471
FS( 221 ),4595044.179999999701977,4053419.850000000093132,4106682.119999999646097,12755147.149999998509884
FS( 222 ),4559575.419999999925494,4070030.849999999627471,4104444.419999999459833,12734051.689999999478459
FS( 223 ),4645934.139999999664724,4101591.750000000000000,4138905.000000000000000,12886431.890000000596046
FS( 224 ),4720726.959999999962747,4102699.149999999906868,4176050.819999999832362,12999477.929999999701977
FS( 225 ),4716100.600000000558794,4092455.699999999720603,4200665.519999999552965,13009222.820000000298023
FS( 226 ),4761336.120000000111759,4138966.500000000000000,4243181.820000000298023,13143485.440000001341105
FS( 227 ),4808113.759999999776483,4146718.299999999813735,4253475.240000000223517,13208308.299999998882413
FS( 228 ),4795776.799999999813735,4148933.100000000558794,4236916.259999999776483,13181627.160000000149012
FS( 229 ),4803230.379999999888241,4150871.050000000279397,4239153.959999999031425,13193256.389999998733401
FS( 230 ),4822506.879999999888241,4177448.649999999441206,4261978.500000000000000,13261935.029999999329448
FS( 231 ),4814539.259999999776483,4218976.149999999441206,4269586.679999999701977,13303103.089999999850988
FS( 232 ),4889332.080000000074506,4256350.900000000372529,4303152.179999999701977,13448836.160000000149012
FS( 233 ),4856433.519999999552965,4230050.149999999441206,4321053.779999999329448,13407538.449999997392297
FS( 234 ),4799889.120000000111759,4186861.549999999813735,4287040.740000000223517,13273792.410000000149012
FS( 235 ),4834586.820000000298023,4206517.900000000372529,4300466.939999999478459,13341572.660000000149012
FS( 236 ),4881621.480000000447035,4192398.550000000279397,4300466.939999999478459,13374487.970000000670552
FS( 237 ),4884191.679999999701977,4193782.799999999813735,4231993.320000000298023,13309968.800000000745058
FS( 238 ),4883420.620000000111759,4110450.950000000186265,4184554.079999999608845,13178426.650000000372529
FS( 239 ),4911435.799999999813735,4147825.699999999720603,4255265.400000000372529,13314527.900000000372529
FS( 240 ),4944591.379999999888241,4171634.800000000279397,4266006.359999999403954,13382233.539999999105930
FS( 241 ),5023496.519999999552965,4185200.449999999720603,4214539.259999999776483,13423237.229999998584390
FS( 242 ),5048941.500000000000000,4207902.150000000372529,4214539.259999999776483,13471383.910000000149012
FS( 243 ),5116794.780000000260770,4239739.899999999441206,4242286.740000000223517,13598822.419999999925494
FS( 244 ),5097518.280000000260770,4265486.950000000186265,4223937.599999999627471,13586943.830000000074506
FS( 245 ),5119107.959999999962747,4256074.049999999813735,4231098.240000000223517,13606281.250000000000000
FS( 246 ),5126047.500000000000000,4285697.000000000000000,4204693.379999998956919,13616438.879999998956919
FS( 247 ),5197756.080000000074506,4281267.399999999441206,4277642.400000000372529,13756666.880000000819564
FS( 248 ),5139926.580000000074506,4262441.600000000558794,4261530.959999999031425,13663900.139999998733401
FS( 249 ),5111911.399999999441206,4255797.200000000186265,4247209.679999999701977,13614919.279999999329448
FS( 250 ),5130673.860000000335276,4271854.500000000000000,4306732.500000000000000,13709261.859999999403954
FS( 251 ),5075157.540000000037253,4239463.049999999813735,4225727.759999999776483,13540349.349999999627471
FS( 252 ),5082611.120000000111759,4240293.599999999627471,4197085.199999999254942,13519990.919999998062849
