代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14309788.099999997764826
真實報酬,4309788.099999997764826

夏普值報酬,0.422278810000000
夏普值風險,0.131006416505151
夏普值,3.223344483919965

二次趨勢線,109.794405273868719 x^2 + -9972.669794969624490 x + 10000000.000000000000000
二次加權預期報酬,27137.839187597994169
風險,299506.690336889179889
二次加權趨勢值,0.090608457383950
一次趨勢線,10901.910298845015859 x + 10000000.000000000000000
一次預期報酬,10901.910298845015859
一次風險,844505.028810375835747
一次趨勢值,0.012909230764679
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](1),CVX[5](2),DIS[6](4),UNH[23](6),
FS( 97 ),2725031.679999999701977,2511409.300000000279397,2384670.279999999795109,2465898.999999999534339,10087010.259999999776483
FS( 98 ),2707060.399999999906868,2472291.700000000186265,2334037.719999999739230,2409063.999999999534339,9922453.819999998435378
FS( 99 ),2690261.159999999683350,2446539.279999999795109,2324192.500000000000000,2395423.599999999627471,9856416.539999999105930
FS( 100 ),2611343.799999999813735,2446539.279999999795109,2315753.740000000223517,2387087.799999999813735,9760724.620000001043081
FS( 101 ),2541021.399999999906868,2405139.819999999832362,2260198.570000000298023,2352228.999999999534339,9558588.789999999105930
FS( 102 ),2527738.279999999795109,2414593.239999999757856,2258088.879999999888241,2421946.600000000093132,9622367.000000000000000
FS( 103 ),2498437.279999999795109,2390470.719999999739230,2246133.970000000204891,2413610.799999999813735,9548652.769999999552965
FS( 104 ),2574619.879999999888241,2442627.520000000018626,2305205.290000000037253,2453016.399999999441206,9775469.089999999850988
FS( 105 ),2518752.639999999664724,2405139.819999999832362,2274966.400000000372529,2418157.599999999627471,9617016.459999999031425
FS( 106 ),2545709.559999999590218,2414919.219999999739230,2288327.770000000018626,2403759.399999999906868,9652715.949999999254942
FS( 107 ),2662913.559999999590218,2502607.839999999850988,2356541.080000000074506,2469688.000000000000000,9991750.480000000447035
FS( 108 ),2677759.399999999906868,2524774.479999999981374,2384670.279999999795109,2490148.599999999627471,10077352.759999999776483
FS( 109 ),2737924.119999999646097,2542703.379999999888241,2438115.760000000242144,2569717.599999999627471,10288460.859999999403954
FS( 110 ),2723078.279999999795109,2511735.279999999795109,2379747.670000000391155,2559866.199999999720603,10174427.429999999701977
FS( 111 ),2763708.999999999534339,2518254.879999999888241,2379747.670000000391155,2565170.799999999813735,10226882.349999997764826
FS( 112 ),2759802.199999999720603,2521840.659999999683350,2396625.189999999944121,2578053.399999999906868,10256321.449999999254942
FS( 113 ),2784024.359999999869615,2569433.739999999757856,2401547.799999999813735,2613670.000000000000000,10368675.899999998509884
FS( 114 ),2822310.999999999534339,2583450.879999999888241,2409986.560000000521541,2631099.399999999906868,10446847.839999999850988
FS( 115 ),2806293.119999999646097,2591926.359999999869615,2394515.500000000000000,2622763.599999999627471,10415498.579999998211861
FS( 116 ),2818013.519999999552965,2582146.959999999497086,2405767.180000000167638,2596998.399999999906868,10402926.059999998658895
FS( 117 ),2812934.679999999701977,2576931.279999999795109,2402954.260000000242144,2594725.000000000000000,10387545.219999998807907
FS( 118 ),2859034.919999999925494,2557698.459999999497086,2430380.230000000447035,2586389.200000000186265,10433502.809999998658895
FS( 119 ),2920371.679999999701977,2604639.580000000074506,2454290.049999999813735,2647013.199999999720603,10626314.509999999776483
FS( 120 ),2984443.199999999720603,2599749.879999999888241,2426160.850000000093132,2672020.599999999627471,10682374.529999999329448
FS( 121 ),2976238.919999999925494,2583450.879999999888241,2390296.120000000111759,2703848.199999999720603,10653834.119999999180436
FS( 122 ),2979364.359999999869615,2560306.300000000279397,2329115.109999999869615,2685660.999999999534339,10554446.769999999552965
FS( 123 ),3114930.319999999832362,2611811.140000000130385,2361463.689999999944121,2707637.199999999720603,10795842.349999999627471
FS( 124 ),3107507.399999999906868,2610507.219999999739230,2341070.020000000018626,2678840.799999999813735,10737925.439999997615814
FS( 125 ),3112586.239999999757856,2636585.619999999646097,2336147.410000000149012,2655348.999999999534339,10740668.269999999552965
FS( 126 ),3125087.999999999534339,2649624.819999999832362,2321379.580000000074506,2667473.799999999813735,10763566.199999999254942
FS( 127 ),3073908.919999999925494,2642127.279999999795109,2327708.650000000372529,2660653.599999999627471,10704398.449999999254942
FS( 128 ),3055937.639999999664724,2671465.479999999981374,2344586.170000000391155,2684903.199999999720603,10756892.489999998360872
FS( 129 ),3018823.039999999571592,2650602.759999999776483,2330521.570000000298023,2617458.999999999534339,10617406.369999999180436
FS( 130 ),3102037.879999999888241,2718406.600000000093132,2379044.439999999944121,2657622.399999999906868,10857111.320000000298023
FS( 131 ),3080941.159999999683350,2727208.059999999590218,2359354.000000000000000,2580326.799999999813735,10747830.019999999552965
FS( 132 ),3076252.999999999534339,2722644.339999999850988,2384670.279999999795109,2602303.000000000000000,10785870.619999999180436
FS( 133 ),3139933.839999999850988,2736335.500000000000000,2426864.080000000074506,2603060.799999999813735,10906194.219999998807907
FS( 134 ),3124697.319999999832362,2728837.959999999497086,2431083.459999999962747,2625794.799999999813735,10910413.539999999105930
FS( 135 ),3099693.799999999813735,2733075.700000000186265,2424754.389999999664724,2653833.399999999906868,10911357.289999999105930
FS( 136 ),3136808.399999999906868,2727534.040000000037253,2454993.279999999795109,2676567.399999999906868,10995903.119999999180436
FS( 137 ),3121962.559999999590218,2735031.580000000074506,2450773.900000000372529,2711426.199999999720603,11019194.240000000223517
FS( 138 ),3115711.679999999701977,2725578.159999999683350,2452883.590000000316650,2726582.199999999720603,11020755.629999998956919
FS( 139 ),3134854.999999999534339,2753938.419999999925494,2443741.600000000093132,2747042.799999999813735,11079577.820000000298023
FS( 140 ),3068830.079999999608845,2698847.800000000279397,2407876.870000000111759,2675051.799999999813735,10850606.550000000745058
FS( 141 ),3137980.439999999478459,2738943.339999999850988,2434599.609999999869615,2783417.199999999720603,11094940.589999997988343
FS( 142 ),3082113.199999999720603,2746440.879999999888241,2438818.990000000223517,2765230.000000000000000,11032603.070000000298023
FS( 143 ),3060235.119999999646097,2756220.279999999795109,2459212.660000000149012,2823580.599999999627471,11099248.660000000149012
FS( 144 ),3088364.079999999608845,2766651.640000000130385,2493670.930000000167638,2846314.600000000093132,11195001.250000000000000
FS( 145 ),3072736.879999999888241,2775779.080000000074506,2528832.430000000167638,2847072.399999999906868,11224420.790000000968575
FS( 146 ),3055937.639999999664724,2748396.759999999776483,2526019.510000000242144,2722793.199999999720603,11053147.109999999403954
FS( 147 ),3037184.999999999534339,2752634.500000000000000,2567510.080000000074506,2747042.799999999813735,11104372.379999998956919
FS( 148 ),3070783.479999999515712,2692654.179999999701977,2540787.340000000316650,2731886.799999999813735,11036111.800000000745058
FS( 149 ),3096959.039999999571592,2655166.479999999981374,2533755.040000000037253,2736433.599999999627471,11022314.160000000149012
FS( 150 ),3115711.679999999701977,2677985.080000000074506,2539380.879999999888241,2803877.799999999813735,11136955.439999999478459
FS( 151 ),3120790.519999999552965,2695913.979999999981374,2552039.020000000018626,2778112.599999999627471,11146856.119999999180436
FS( 152 ),3249714.919999999925494,2775453.100000000093132,2604078.040000000037253,2788721.799999999813735,11417967.859999999403954
FS( 153 ),3263779.399999999906868,2770237.419999999925494,2616032.950000000186265,2793268.599999999627471,11443318.369999999180436
FS( 154 ),3247370.839999999850988,2764369.779999999795109,2606187.730000000447035,2812971.399999999441206,11430899.750000000000000
FS( 155 ),3200098.559999999590218,2723948.259999999776483,2592123.129999999888241,2802362.199999999720603,11318532.149999998509884
FS( 156 ),3221585.959999999497086,2776431.040000000037253,2601265.120000000111759,2816002.599999999627471,11415284.720000000670552
FS( 157 ),3220804.599999999627471,2806421.200000000186265,2526722.740000000223517,2839494.399999999906868,11393442.939999999478459
FS( 158 ),3166109.399999999906868,2785232.500000000000000,2654710.600000000093132,2778870.399999999906868,11384922.900000000372529
FS( 159 ),3196582.439999999478459,2766325.659999999683350,2619549.100000000093132,2687934.399999999906868,11270391.599999999627471
FS( 160 ),3139933.839999999850988,2688742.419999999925494,2596342.510000000242144,2653075.599999999627471,11078094.369999999180436
FS( 161 ),3171188.239999999757856,2688090.459999999497086,2617439.410000000149012,2677325.199999999720603,11154043.309999998658895
FS( 162 ),3246980.159999999683350,2732423.739999999757856,2642755.689999999944121,2700059.200000000186265,11322218.789999999105930
FS( 163 ),3280578.639999999664724,2736335.500000000000000,2602671.580000000074506,2728097.799999999813735,11347683.519999999552965
FS( 164 ),3281750.679999999701977,2720362.479999999981374,2598452.200000000186265,2762956.600000000093132,11363521.959999999031425
FS( 165 ),3228227.519999999552965,2664945.879999999888241,2540084.109999999869615,2731886.799999999813735,11165144.309999998658895
FS( 166 ),3308707.599999999627471,2703411.520000000018626,2592826.359999999869615,2741738.199999999720603,11346683.679999997839332
FS( 167 ),3286829.519999999552965,2674725.279999999795109,2580871.450000000186265,2719004.200000000186265,11261430.449999999254942
FS( 168 ),3268858.239999999757856,2662990.000000000000000,2561181.010000000242144,2772808.000000000000000,11265837.250000000000000
FS( 169 ),3305191.479999999515712,2639519.439999999944121,2567510.080000000074506,2767503.399999999906868,11279724.400000000372529
FS( 170 ),3416535.279999999795109,2695913.979999999981374,2610407.109999999869615,2854650.399999999906868,11577506.769999999552965
FS( 171 ),3462244.839999999850988,2754590.379999999888241,2625878.170000000391155,2883446.799999999813735,11726160.190000001341105
FS( 172 ),3491936.519999999552965,2767303.600000000093132,2643458.920000000391155,2866017.399999999906868,11768716.439999999478459
FS( 173 ),3484904.279999999795109,2769259.479999999981374,2641349.230000000447035,2825853.999999999534339,11721366.990000000223517
FS( 174 ),3529832.479999999515712,2813266.779999999795109,2625174.939999999944121,2786448.399999999906868,11754722.599999999627471
FS( 175 ),3501312.839999999850988,2808051.100000000093132,2599858.660000000149012,2791753.000000000000000,11700975.599999999627471
FS( 176 ),3503266.239999999757856,2824676.080000000074506,2583684.370000000111759,2777354.799999999813735,11688981.490000002086163
FS( 177 ),3513814.599999999627471,2837063.319999999832362,2578058.529999999795109,2778870.399999999906868,11707806.849999999627471
FS( 178 ),3579839.519999999552965,2880744.640000000130385,2611110.340000000316650,2796299.799999999813735,11867994.300000000745058
FS( 179 ),3597810.799999999813735,2881070.619999999646097,2618845.870000000111759,2765987.799999999813735,11863715.089999999850988
FS( 180 ),3638050.839999999850988,2869009.359999999869615,2598452.200000000186265,2686418.799999999813735,11791931.199999999254942
FS( 181 ),3641176.279999999795109,2903237.259999999776483,2602671.580000000074506,2698543.599999999627471,11845628.719999998807907
FS( 182 ),3617344.799999999813735,2884656.399999999906868,2605484.500000000000000,2656106.799999999813735,11763592.500000000000000
FS( 183 ),3645083.079999999608845,2894761.779999999795109,2606187.730000000447035,2665958.199999999720603,11811990.789999999105930
FS( 184 ),3697043.519999999552965,2908778.919999999925494,2625174.939999999944121,2677325.199999999720603,11908322.579999998211861
FS( 185 ),3694699.439999999478459,2931271.540000000037253,2668775.200000000186265,2715973.000000000000000,12010719.179999999701977
FS( 186 ),3690011.279999999795109,2956046.020000000018626,2651194.450000000186265,2710668.399999999906868,12007920.150000000372529
FS( 187 ),3675165.439999999478459,2937791.140000000130385,2635723.389999999664724,2693238.999999999534339,11941918.969999998807907
FS( 188 ),3660319.599999999627471,2972671.000000000000000,2627284.629999999888241,2706879.399999999906868,11967154.630000000819564
FS( 189 ),3663835.719999999739230,2978538.640000000130385,2644162.150000000372529,2721277.599999999627471,12007814.109999999403954
FS( 190 ),3667351.839999999850988,2986036.179999999701977,2635723.389999999664724,2723550.999999999534339,12012662.410000000149012
FS( 191 ),3659147.559999999590218,2974626.879999999888241,2637833.080000000074506,2736433.599999999627471,12008041.119999999180436
FS( 192 ),3678290.879999999888241,2997119.500000000000000,2659633.209999999962747,2813729.200000000186265,12148772.789999999105930
FS( 193 ),3661100.959999999497086,2986036.179999999701977,2741911.120000000111759,2839494.399999999906868,12228542.659999998286366
FS( 194 ),3692746.039999999571592,2980820.500000000000000,2810124.430000000167638,2848588.000000000000000,12332278.969999998807907
FS( 195 ),3654459.399999999906868,2956372.000000000000000,2788324.299999999813735,2907696.399999999441206,12306852.099999997764826
FS( 196 ),3661882.319999999832362,2972671.000000000000000,2774259.700000000186265,2913758.799999999813735,12322571.820000000298023
FS( 197 ),3648599.199999999720603,2947244.559999999590218,2777775.850000000093132,2913758.799999999813735,12287378.410000000149012
FS( 198 ),3670477.279999999795109,2993533.719999999739230,2770743.549999999813735,2961500.199999999720603,12396254.750000000000000
FS( 199 ),3652505.999999999534339,3013744.479999999981374,2754569.260000000242144,2944828.599999999627471,12365648.339999999850988
FS( 200 ),3677900.199999999720603,3004943.020000000018626,2760898.330000000074506,3000905.799999999813735,12444647.350000001490116
FS( 201 ),3672821.359999999869615,3026131.719999999739230,2763008.020000000018626,3089568.399999999906868,12551529.500000000000000
FS( 202 ),3759552.319999999832362,3043082.679999999701977,2770040.320000000298023,3097904.200000000186265,12670579.519999999552965
FS( 203 ),3732595.399999999906868,3030695.439999999944121,2748943.420000000391155,3073654.600000000093132,12585888.859999999403954
FS( 204 ),3657194.159999999683350,3022219.959999999497086,2754569.260000000242144,3054709.600000000093132,12488692.979999998584390
FS( 205 ),3623595.679999999701977,3057099.819999999832362,2794653.370000000111759,3062287.599999999627471,12537636.470000000670552
FS( 206 ),3694699.439999999478459,3067531.179999999701977,2808717.969999999739230,3016819.600000000093132,12587768.189999999478459
FS( 207 ),3687667.199999999720603,3066879.219999999739230,2803092.129999999888241,3078201.399999999441206,12635839.949999999254942
FS( 208 ),3740799.679999999701977,3085134.100000000093132,2773556.469999999739230,3050162.799999999813735,12649653.050000000745058
FS( 209 ),3775179.519999999552965,3088719.879999999888241,2774962.930000000167638,3204753.999999999534339,12843616.330000000074506
FS( 210 ),3738064.919999999925494,3043734.640000000130385,2732065.900000000372529,3101693.199999999720603,12615558.660000000149012
FS( 211 ),3790025.359999999869615,3094587.520000000018626,2733472.359999999869615,3110786.799999999813735,12728872.039999999105930
FS( 212 ),3829093.359999999869615,3136638.939999999944121,2804498.590000000316650,3188082.399999999906868,12958313.290000000968575
FS( 213 ),3871286.799999999813735,3145114.419999999925494,2847395.620000000111759,3178988.799999999813735,13042785.640000000596046
FS( 214 ),3865035.919999999925494,3172170.759999999776483,2848098.850000000093132,3261588.999999999534339,13146894.529999999329448
FS( 215 ),3890820.799999999813735,3165651.159999999683350,2862866.680000000167638,3219910.000000000000000,13139248.639999998733401
FS( 216 ),3925200.639999999664724,3183580.059999999590218,2879040.969999999739230,3168379.600000000093132,13156201.269999997690320
FS( 217 ),3930670.159999999683350,3186187.899999999906868,2895918.490000000223517,3180504.399999999906868,13193280.950000001117587
FS( 218 ),3898634.399999999906868,3137290.899999999906868,3049222.629999999888241,3188082.399999999906868,13273230.330000000074506
FS( 219 ),3930279.479999999515712,3152285.979999999981374,3045706.480000000447035,3215363.199999999720603,13343635.139999998733401
FS( 220 ),4045139.399999999906868,3144136.479999999981374,3052738.779999999795109,3211574.200000000186265,13453588.859999999403954
FS( 221 ),4034200.359999999869615,3160435.479999999981374,3040783.870000000111759,3217636.600000000093132,13453056.310000000521541
FS( 222 ),4024042.679999999701977,3140550.700000000186265,3030235.420000000391155,3185051.199999999720603,13379880.000000000000000
FS( 223 ),4045530.079999999608845,3150982.059999999590218,3073132.450000000186265,3220667.799999999813735,13490312.390000000596046
FS( 224 ),4038107.159999999683350,3167607.040000000037253,3073132.450000000186265,3227488.000000000000000,13506334.649999998509884
FS( 225 ),4135777.159999999683350,3218133.939999999944121,3063287.230000000447035,3246433.000000000000000,13663631.330000000074506
