代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12030202.370000001043081
真實報酬,2030202.370000001043081

夏普值報酬,0.194320237000000
夏普值風險,0.060037913376736
夏普值,3.236625426680748

二次趨勢線,50.505974702421284 x^2 + 12279.887705748618828 x + 10000000.000000000000000
二次平均預期報酬,18643.640518253672781
風險,84780.889080831198953
二次平均趨勢值,0.219903809931488
一次趨勢線,17033.687117480552843 x + 10000000.000000000000000
一次預期報酬,17033.687117480552843
一次風險,122997.064976032517734
一次趨勢值,0.138488565729595
找到最佳解世代,2295
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,5
AAPL[0](4),CVX[5](3),INTC[11](1),MCD[15](18),VZ[26](11),
FS( 40 ),2140402.390000000130385,2139821.149999999441206,2155323.020000000018626,2107715.000000000000000,2049989.040000000270084,10593250.599999999627471
FS( 41 ),2159941.489999999757856,2141440.700000000186265,2170354.279999999795109,2104920.000000000000000,2057745.960000000195578,10634402.429999999701977
FS( 42 ),2163570.180000000167638,2147738.950000000186265,2162003.580000000074506,2098255.000000000000000,2060762.540000000270084,10632330.250000001862645
FS( 43 ),2148497.159999999683350,2142160.500000000000000,2205427.220000000204891,2099760.000000000000000,2073690.739999999990687,10669535.620000001043081
FS( 44 ),2120584.159999999683350,2137841.700000000186265,2184550.470000000204891,2104275.000000000000000,2070243.220000000204891,10617494.550000000745058
FS( 45 ),2087367.689999999944121,2111569.000000000000000,2212107.779999999795109,2085785.000000000000000,2073690.739999999990687,10570520.209999999031425
FS( 46 ),2087367.689999999944121,2119846.700000000186265,2247180.720000000204891,2108790.000000000000000,2077569.200000000186265,10640754.310000002384186
FS( 47 ),2114722.430000000167638,2143240.200000000186265,2253026.209999999962747,2114595.000000000000000,2067657.580000000074506,10693241.419999999925494
FS( 48 ),2087367.689999999944121,2099872.250000000000000,2207097.359999999869615,2137815.000000000000000,2045679.640000000130385,10577831.940000001341105
FS( 49 ),2072015.540000000037253,2105990.549999999813735,2186220.609999999869615,2134805.000000000000000,2028442.040000000270084,10527473.740000000223517
FS( 50 ),2080389.439999999944121,2136042.200000000186265,2217953.270000000018626,2152435.000000000000000,2037060.840000000316650,10623880.750000000000000
FS( 51 ),2065316.419999999692664,2164834.200000000186265,2235489.740000000223517,2167915.000000000000000,2021977.940000000176951,10655533.299999998882413
FS( 52 ),2069503.369999999878928,2192366.549999999813735,2248850.859999999869615,2167915.000000000000000,2029734.860000000335276,10708370.640000000596046
FS( 53 ),2093229.419999999692664,2225657.299999999813735,2258036.629999999888241,2155445.000000000000000,2051281.860000000335276,10783650.210000000894070
FS( 54 ),2118071.989999999757856,2235734.500000000000000,2250521.000000000000000,2142975.000000000000000,2067657.580000000074506,10814960.070000000298023
FS( 55 ),2120305.029999999795109,2231415.700000000186265,2241335.229999999981374,2135450.000000000000000,2065071.940000000176951,10793577.900000000372529
FS( 56 ),2092392.029999999562278,2243832.250000000000000,2233819.600000000093132,2131365.000000000000000,2043955.880000000121072,10745364.759999999776483
FS( 57 ),2264056.979999999981374,2236814.200000000186265,2233819.600000000093132,2146630.000000000000000,1994397.780000000260770,10875718.559999998658895
FS( 58 ),2280804.779999999795109,2231235.750000000000000,2192901.170000000391155,2165765.000000000000000,1979745.820000000065193,10850452.519999999552965
FS( 59 ),2369009.859999999869615,2262547.049999999813735,2198746.660000000149012,2156735.000000000000000,2008187.860000000335276,10995226.429999999701977
FS( 60 ),2362031.609999999869615,2266865.849999999627471,2211272.709999999962747,2182320.000000000000000,2015513.840000000316650,11038004.009999997913837
FS( 61 ),2353099.449999999720603,2258768.099999999627471,2228809.180000000167638,2179740.000000000000000,2013790.080000000074506,11034206.809999998658895
FS( 62 ),2358682.049999999813735,2248331.000000000000000,2208767.500000000000000,2170710.000000000000000,2034906.140000000130385,11021396.690000001341105
FS( 63 ),2362869.000000000000000,2244372.099999999627471,2205427.220000000204891,2180815.000000000000000,2030596.739999999990687,11024080.060000000521541
FS( 64 ),2396364.599999999627471,2255888.900000000372529,2185385.540000000037253,2174580.000000000000000,2042232.120000000111759,11054451.160000000149012
FS( 65 ),2370405.509999999776483,2248870.849999999627471,2187890.750000000000000,2170495.000000000000000,2045679.640000000130385,11023341.750000000000000
FS( 66 ),2362031.609999999869615,2271544.549999999813735,2202086.939999999944121,2192210.000000000000000,2072828.860000000335276,11100701.960000000894070
FS( 67 ),2344725.549999999813735,2251030.250000000000000,2199581.729999999981374,2191995.000000000000000,2089635.520000000251457,11076968.049999998882413
FS( 68 ),2334956.000000000000000,2249950.549999999813735,2196241.450000000186265,2213065.000000000000000,2089204.580000000074506,11083417.580000000074506
FS( 69 ),2363985.519999999552965,2253729.500000000000000,2202086.939999999944121,2211560.000000000000000,2075414.500000000000000,11106776.459999999031425
FS( 70 ),2367614.209999999497086,2264706.450000000186265,2208767.500000000000000,2225965.000000000000000,2062055.360000000335276,11129108.519999999552965
FS( 71 ),2368172.469999999739230,2274963.599999999627471,2198746.660000000149012,2215215.000000000000000,2068950.400000000139698,11126048.130000000819564
FS( 72 ),2348075.109999999869615,2227996.650000000372529,2172024.420000000391155,2203820.000000000000000,2066795.700000000186265,11018711.879999998956919
FS( 73 ),2382687.229999999981374,2216659.799999999813735,2156158.090000000316650,2217580.000000000000000,2114630.040000000037253,11087715.160000000149012
FS( 74 ),2410879.359999999869615,2212520.950000000186265,2174529.629999999888241,2195005.000000000000000,2118077.560000000521541,11111012.500000001862645
FS( 75 ),2411437.619999999646097,2204423.200000000186265,2174529.629999999888241,2182965.000000000000000,2096530.560000000055879,11069886.009999999776483
FS( 76 ),2417857.609999999869615,2234294.899999999441206,2187890.750000000000000,2205110.000000000000000,2118939.440000000409782,11164092.699999999254942
FS( 77 ),2421486.299999999813735,2224757.549999999813735,2183715.399999999906868,2202745.000000000000000,2131005.760000000707805,11163710.010000001639128
FS( 78 ),2448841.040000000037253,2220078.849999999627471,2195406.379999999888241,2193070.000000000000000,2143503.020000000484288,11200899.289999999105930
FS( 79 ),2494897.489999999757856,2210541.500000000000000,2230479.320000000298023,2200810.000000000000000,2138331.740000000223517,11275060.050000000745058
FS( 80 ),2488198.369999999646097,2204783.099999999627471,2244675.510000000242144,2178020.000000000000000,2143503.020000000484288,11259180.000000000000000
FS( 81 ),2533696.559999999590218,2201184.099999999627471,2251356.070000000298023,2178880.000000000000000,2142641.140000000596046,11307757.870000001043081
FS( 82 ),2524206.140000000130385,2209641.750000000000000,2281418.590000000316650,2180815.000000000000000,2152983.700000000186265,11349065.179999999701977
FS( 83 ),2506900.080000000074506,2199204.649999999441206,2276408.170000000391155,2193715.000000000000000,2156862.160000000149012,11333090.060000000521541
FS( 84 ),2542349.589999999850988,2205322.950000000186265,2309810.970000000204891,2181245.000000000000000,2124110.719999999739230,11362839.230000000447035
FS( 85 ),2571379.109999999869615,2201723.950000000186265,2304800.550000000279397,2202530.000000000000000,2118077.560000000521541,11398511.170000001788139
FS( 86 ),2581427.790000000037253,2222778.099999999627471,2309810.970000000204891,2202745.000000000000000,2123679.780000000260770,11440441.640000000596046
FS( 87 ),2574170.409999999683350,2234834.750000000000000,2352399.540000000037253,2192210.000000000000000,2129712.940000000409782,11483327.640000000596046
FS( 88 ),2615481.649999999906868,2238073.849999999627471,2330687.720000000204891,2179740.000000000000000,2136177.040000000037253,11500160.260000001639128
FS( 89 ),2630833.799999999813735,2255529.000000000000000,2358245.029999999795109,2168990.000000000000000,2134022.340000000782311,11547620.170000001788139
FS( 90 ),2619947.729999999981374,2252649.799999999813735,2332357.859999999869615,2159100.000000000000000,2127558.240000000223517,11491613.629999998956919
FS( 91 ),2576124.319999999832362,2269385.150000000372529,2334863.070000000298023,2144910.000000000000000,2113337.219999999739230,11438619.760000001639128
FS( 92 ),2547932.189999999944121,2290079.400000000372529,2494361.439999999944121,2160605.000000000000000,2119370.379999999888241,11612348.410000000149012
FS( 93 ),2573612.149999999906868,2313113.000000000000000,2506052.420000000391155,2173720.000000000000000,2124972.600000000558794,11691470.170000001788139
FS( 94 ),2570262.589999999850988,2318331.549999999813735,2501042.000000000000000,2177375.000000000000000,2120663.200000000186265,11687674.339999999850988
FS( 95 ),2573053.890000000130385,2344424.299999999813735,2499371.859999999869615,2179095.000000000000000,2129712.940000000409782,11725657.989999998360872
FS( 96 ),2564121.729999999981374,2375195.750000000000000,2512732.979999999981374,2191135.000000000000000,2131867.640000000596046,11775053.100000001490116
FS( 97 ),2537604.379999999888241,2381494.000000000000000,2521918.750000000000000,2191350.000000000000000,2128420.120000000111759,11760787.250000000000000
FS( 98 ),2535371.339999999850988,2393010.799999999813735,2524423.959999999962747,2191135.000000000000000,2143072.080000000074506,11787013.179999999701977
FS( 99 ),2520019.189999999944121,2371236.850000000558794,2546970.850000000093132,2181675.000000000000000,2123679.780000000260770,11743581.670000001788139
FS( 100 ),2522252.229999999981374,2361519.549999999813735,2578703.510000000242144,2184685.000000000000000,2129282.000000000000000,11776442.289999999105930
FS( 101 ),2537325.250000000000000,2355941.099999999627471,2570352.810000000055879,2182535.000000000000000,2120663.200000000186265,11766817.359999999403954
FS( 102 ),2567471.290000000037253,2345863.900000000372529,2582878.859999999869615,2181460.000000000000000,2125403.540000000037253,11803077.589999999850988
FS( 103 ),2593988.640000000130385,2349282.950000000186265,2580373.649999999906868,2165980.000000000000000,2108596.879999999888241,11798222.120000001043081
FS( 104 ),2610457.309999999590218,2349103.000000000000000,2587054.209999999962747,2171570.000000000000000,2127558.240000000223517,11845742.759999999776483
FS( 105 ),2609340.790000000037253,2343524.549999999813735,2587054.209999999962747,2161465.000000000000000,2140055.500000000000000,11841440.050000000745058
FS( 106 ),2624692.939999999944121,2360799.750000000000000,2600415.330000000074506,2171140.000000000000000,2142210.200000000186265,11899258.219999998807907
FS( 107 ),2678844.159999999683350,2347843.349999999627471,2591229.560000000055879,2153725.000000000000000,2143933.959999999962747,11915576.030000001192093
FS( 108 ),2661538.099999999627471,2337586.200000000186265,2571187.879999999888241,2152005.000000000000000,2101270.900000000372529,11823588.080000000074506
FS( 109 ),2662654.619999999646097,2364398.750000000000000,2579538.580000000074506,2173075.000000000000000,2107304.060000000521541,11886971.009999999776483
FS( 110 ),2652885.069999999832362,2343884.450000000186265,2610436.170000000391155,2162540.000000000000000,2139193.620000000111759,11908939.309999998658895
FS( 111 ),2657909.409999999683350,2311853.349999999627471,2609601.100000000093132,2158025.000000000000000,2168497.540000000037253,11905886.399999998509884
FS( 112 ),2692242.399999999906868,2326069.399999999441206,2629642.779999999795109,2160175.000000000000000,2177547.280000000260770,11985676.859999999403954
FS( 113 ),2660700.709999999497086,2326069.399999999441206,2648014.320000000298023,2156520.000000000000000,2185304.200000000186265,11976608.629999998956919
FS( 114 ),2645627.689999999944121,2355401.250000000000000,2893524.899999999906868,2134375.000000000000000,2196077.700000000186265,12225006.539999999105930
FS( 115 ),2598454.719999999739230,2340825.299999999813735,2814193.250000000465661,2115025.000000000000000,2168497.540000000037253,12036995.809999998658895
FS( 116 ),2635858.140000000130385,2346403.750000000000000,2814193.250000000465661,2128355.000000000000000,2187027.959999999962747,12111838.100000001490116
FS( 117 ),2622180.769999999552965,2362599.250000000000000,2844255.770000000484288,2097395.000000000000000,2184873.260000000707805,12111304.050000000745058
FS( 118 ),2643952.909999999683350,2385812.799999999813735,2905215.879999999888241,2069875.000000000000000,2196939.580000000074506,12201796.169999999925494
FS( 119 ),2712898.019999999552965,2409206.299999999813735,2880998.850000000093132,2050094.999999999767169,2193923.000000000000000,12247121.169999999925494
FS( 120 ),2708431.939999999944121,2426661.450000000186265,2860122.100000000093132,2050094.999999999767169,2199956.160000000149012,12245266.650000000372529
FS( 121 ),2726296.259999999776483,2403627.849999999627471,2860122.100000000093132,2058050.000000000000000,2209867.780000000260770,12257963.989999998360872
FS( 122 ),2763978.809999999590218,2397689.500000000000000,2858451.959999999962747,2059340.000000000000000,2222795.980000000447035,12302256.250000000000000
FS( 123 ),2746114.489999999757856,2382933.599999999627471,2855111.679999999701977,2060199.999999999767169,2239602.640000000596046,12283962.410000000149012
FS( 124 ),2739694.500000000000000,2384913.049999999813735,2868472.800000000279397,2062995.000000000000000,2230552.900000000372529,12286628.250000000000000
FS( 125 ),2668516.349999999627471,2325709.500000000000000,2830059.580000000074506,2033110.000000000000000,2172806.940000000409782,12030202.370000001043081
