代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12283900.379999998956919
真實報酬,2283900.379999998956919

夏普值報酬,0.219690038000000
夏普值風險,0.053702497470966
夏普值,4.090871902536250

二次趨勢線,-26.666795879094472 x^2 + 20187.708468726148567 x + 10000000.000000000000000
二次平均預期報酬,16854.358983839334542
風險,132982.423528532061027
二次平均趨勢值,0.126741252991401
一次趨勢線,17697.736564352901041 x + 10000000.000000000000000
一次預期報酬,17697.736564352901041
一次風險,140812.973034962633392
一次趨勢值,0.125682571590607
找到最佳解世代,2414
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
MRK[17](1),MSFT[18](10),V[25](3),
FS( 54 ),3394054.159999999683350,3956498.680000000167638,3803279.880000000353903,11153833.720000000670552
FS( 55 ),3389817.799999999813735,3889581.560000000055879,3764117.640000000130385,11043518.000000000000000
FS( 56 ),3394054.159999999683350,3841484.880000000353903,3716671.080000000540167,10952211.120000001043081
FS( 57 ),3398290.520000000018626,3877034.599999999627471,3730227.240000000223517,11005553.359999999403954
FS( 58 ),3432887.459999999497086,3910493.159999999683350,3795748.680000000167638,11139130.299999998882413
FS( 59 ),3455481.379999999422580,3928268.020000000018626,3805539.240000000223517,11189289.640000000596046
FS( 60 ),3506317.699999999720603,3935587.080000000074506,3801773.640000000130385,11243679.419999999925494
FS( 61 ),3500669.219999999739230,3905265.260000000242144,3831898.440000000409782,11237833.920000001788139
FS( 62 ),3518320.719999999739230,3931404.760000000242144,3840935.880000000353903,11290662.360000001266599
FS( 63 ),3518320.719999999739230,3986820.500000000000000,3831145.320000000298023,11336287.539999999105930
FS( 64 ),3543032.819999999832362,4020279.060000000055879,3862023.240000000223517,11425336.120000001043081
FS( 65 ),3513378.299999999813735,4005640.940000000409782,3798761.160000000149012,11317781.400000000372529
FS( 66 ),3481605.600000000093132,4071512.479999999515712,3817589.160000000149012,11370708.240000000223517
FS( 67 ),3446302.600000000093132,3973227.959999999962747,3798008.040000000502914,11217539.600000001490116
FS( 68 ),3487254.079999999608845,4010868.839999999850988,3801020.520000000484288,11299144.440000001341105
FS( 69 ),3499257.100000000093132,4047464.140000000130385,3795748.680000000167638,11342470.919999999925494
FS( 70 ),3490078.319999999832362,3984729.339999999850988,3755080.200000000186265,11229888.859999999403954
FS( 71 ),3456187.439999999944121,3932450.339999999850988,3872566.920000000391155,11261205.699999999254942
FS( 72 ),3411705.659999999683350,3891672.719999999739230,3830392.200000000186265,11133771.579999998211861
FS( 73 ),3415942.020000000018626,3836256.979999999515712,3904197.960000000428408,11156397.960000000894070
FS( 74 ),3395466.279999999795109,3856123.000000000000000,3911729.160000000149012,11163319.439999999478459
FS( 75 ),3382051.139999999664724,3818482.120000000111759,4014906.600000000558794,11215440.859999999403954
FS( 76 ),3452657.139999999664724,3824755.599999999627471,4054821.960000000428408,11332235.699999999254942
FS( 77 ),3444890.479999999515712,3790251.459999999962747,4068378.120000000577420,11303521.060000000521541
FS( 78 ),3482311.659999999683350,3847758.359999999869615,4066118.760000000707805,11396189.780000001192093
FS( 79 ),3485135.899999999906868,3828937.919999999925494,4105281.000000000000000,11419355.820000000298023
FS( 80 ),3488666.199999999720603,3877034.599999999627471,4118084.040000000502914,11483785.839999999850988
FS( 81 ),3510554.059999999590218,3914675.479999999515712,4145949.479999999981374,11571180.019999999552965
FS( 82 ),3515496.479999999515712,3898991.779999999795109,4136158.920000000391155,11550648.179999999701977
FS( 83 ),3526087.379999999422580,3898991.779999999795109,4159505.640000000130385,11584585.799999998882413
FS( 84 ),3533854.039999999571592,3911538.739999999757856,4192642.920000000391155,11638036.699999999254942
FS( 85 ),3494314.679999999701977,3885399.239999999757856,4161011.880000000353903,11540726.800000000745058
FS( 86 ),3511260.119999999646097,3859259.739999999757856,4164024.360000000335276,11534545.219999998807907
FS( 87 ),3511966.179999999701977,3777704.500000000000000,4139171.400000000372529,11428843.080000000074506
FS( 88 ),3538090.399999999906868,3806980.739999999757856,4170802.440000000409782,11515874.580000000074506
FS( 89 ),3515496.479999999515712,3739018.039999999571592,4184358.600000000558794,11438874.120000001043081
FS( 90 ),3496432.859999999869615,3714969.700000000186265,4178333.640000000130385,11389737.200000001117587
FS( 91 ),3521851.020000000018626,3768294.279999999795109,4163271.240000000223517,11453417.539999999105930
FS( 92 ),3750614.459999999497086,3657462.799999999813735,4121849.640000000130385,11529927.900000000372529
FS( 93 ),3742141.739999999757856,3741109.200000000186265,4191889.800000000279397,11675141.740000000223517
FS( 94 ),3708250.859999999869615,3843576.039999999571592,4212977.160000000149012,11764805.059999998658895
FS( 95 ),3706838.739999999757856,3857168.580000000074506,4175321.160000000149012,11739329.480000000447035
FS( 96 ),3668005.439999999944121,3803844.000000000000000,4371885.480000000447035,11843735.919999999925494
FS( 97 ),3659532.719999999739230,3781886.820000000298023,4366613.640000000596046,11808034.179999999701977
FS( 98 ),3625641.839999999850988,3756792.899999999906868,4386947.880000000819564,11769383.620000001043081
FS( 99 ),3643293.339999999850988,3770385.440000000409782,4297326.599999999627471,11711006.379999998956919
FS( 100 ),3670123.619999999646097,3848803.940000000409782,4165530.600000000558794,11684459.160000000149012
FS( 101 ),3708956.919999999925494,3767248.700000000186265,4071390.600000000558794,11547597.220000000670552
FS( 102 ),3732962.959999999497086,3792342.620000000111759,4160258.760000000707805,11685565.339999999850988
FS( 103 ),3686363.000000000000000,3833120.239999999757856,4087959.240000000223517,11607443.480000000447035
FS( 104 ),3778150.799999999813735,3854031.839999999850988,4158752.520000000484288,11790936.160000000149012
FS( 105 ),3740023.559999999590218,3956498.680000000167638,4056328.200000000186265,11752851.440000001341105
FS( 106 ),3677184.219999999739230,3814299.799999999813735,4019425.320000000298023,11510910.339999999850988
FS( 107 ),3778150.799999999813735,3800707.260000000242144,4039759.560000000521541,11618618.620000001043081
FS( 108 ),3779562.919999999925494,3745291.520000000018626,4059340.680000000167638,11584196.119999999180436
FS( 109 ),3796508.359999999869615,3782932.399999999906868,4123355.880000000353903,11702797.640000000596046
FS( 110 ),3867114.359999999869615,3822664.440000000409782,4176074.280000000726432,11865854.080000001937151
FS( 111 ),3875587.079999999608845,3847758.359999999869615,4152727.560000000521541,11876074.000000000000000
FS( 112 ),3932777.939999999944121,3886444.820000000298023,4185864.840000000316650,12005088.599999999627471
FS( 113 ),3883353.739999999757856,3917812.219999999739230,4220508.359999999403954,12021675.319999998435378
FS( 114 ),3890414.339999999850988,3932450.339999999850988,4218249.000000000000000,12041114.679999999701977
FS( 115 ),3914420.379999999422580,3933495.919999999925494,4255151.880000000819564,12103069.179999999701977
FS( 116 ),3932071.879999999422580,3912584.320000000298023,4256658.120000001043081,12101315.320000000298023
FS( 117 ),3886177.979999999515712,3921994.539999999571592,4215236.519999999552965,12023410.039999999105930
FS( 118 ),3940544.600000000093132,3947088.459999999962747,4207705.320000000298023,12095339.380000000819564
FS( 119 ),3956077.919999999925494,3971136.799999999813735,4205445.960000000894070,12132661.679999999701977
FS( 120 ),3966668.819999999832362,3940814.979999999515712,4258917.480000000447035,12166402.279999999329448
FS( 121 ),3947605.199999999720603,3925131.279999999795109,4276239.240000000223517,12148976.719999998807907
FS( 122 ),3973023.359999999869615,3917812.219999999739230,4257411.240000000223517,12148247.820000000298023
FS( 123 ),4000559.699999999720603,3958589.839999999850988,4260423.720000000670552,12219574.259999999776483
FS( 124 ),4023859.679999999701977,4005640.940000000409782,4254398.759999999776483,12283900.379999998956919
