代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12417546.799999998882413
真實報酬,2417546.799999998882413

夏普值報酬,0.233054680000000
夏普值風險,0.067999971937283
夏普值,3.427276120274724

二次趨勢線,-12.576026165509447 x^2 + 21839.730258957115439 x + 10000000.000000000000000
二次平均預期報酬,20255.150962102918129
風險,130183.543533614021726
二次平均趨勢值,0.155589181338215
一次趨勢線,20656.030585012336815 x + 10000000.000000000000000
一次預期報酬,20656.030585012336815
一次風險,132060.878563920967281
一次趨勢值,0.156412942346240
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AXP[1](3),BA[2](1),CSCO[4](7),JNJ[12](2),MRK[17](9),UNH[23](6),VZ[26](16),
FS( 14 ),1467438.350000000093132,1450322.199999999953434,1423770.260000000242144,1480375.020000000018626,1451452.170000000158325,1414995.050000000046566,1446524.039999999804422,10134880.089999999850988
FS( 15 ),1491998.699999999953434,1462724.199999999953434,1433371.739999999990687,1468435.059999999823049,1467503.140000000130385,1395271.500000000000000,1455500.559999999823049,10174807.900000000372529
FS( 16 ),1478883.950000000186265,1431623.799999999813735,1416912.060000000288710,1455339.619999999646097,1452135.190000000176951,1365301.949999999953434,1465759.439999999944121,10065959.009999999776483
FS( 17 ),1476499.450000000186265,1443453.399999999906868,1413482.960000000195578,1458806.059999999823049,1448720.090000000316650,1358898.199999999953434,1478583.039999999804422,10078446.199999999254942
FS( 18 ),1490329.550000000046566,1476080.199999999953434,1432685.920000000158325,1469783.119999999646097,1467503.140000000130385,1379902.500000000000000,1485956.610000000102445,10202244.039999999105930
FS( 19 ),1481983.800000000046566,1467303.399999999906868,1430628.460000000195578,1465738.939999999711290,1459306.900000000139698,1369144.199999999953434,1491727.229999999981374,10165835.929999999701977
FS( 20 ),1487229.699999999953434,1474553.799999999813735,1428571.000000000000000,1477101.159999999916181,1455891.800000000279397,1370937.250000000000000,1497818.439999999944121,10192106.150000000372529
FS( 21 ),1499629.100000000093132,1470928.599999999860302,1422398.620000000111759,1486730.159999999916181,1480139.010000000242144,1365814.250000000000000,1510321.449999999953434,10235964.189999999478459
FS( 22 ),1528958.450000000186265,1500884.199999999953434,1455317.980000000214204,1495588.839999999850988,1477065.420000000158325,1370424.949999999953434,1528915.669999999925494,10357158.509999999776483
FS( 23 ),1541596.300000000279397,1508897.799999999813735,1489608.980000000214204,1490389.179999999934807,1491750.350000000093132,1373242.599999999860302,1515771.479999999981374,10411259.689999999478459
FS( 24 ),1539450.250000000000000,1546485.399999999906868,1495095.540000000270084,1497322.059999999823049,1477748.440000000176951,1378109.449999999953434,1522183.279999999795109,10456397.419999999925494
FS( 25 ),1542788.550000000046566,1549919.800000000046566,1497153.000000000000000,1505795.579999999841675,1467503.140000000130385,1378365.600000000093132,1537571.600000000093132,10479100.269999999552965
FS( 26 ),1561864.550000000046566,1582546.599999999860302,1500582.100000000093132,1510610.079999999841675,1491067.330000000074506,1388611.599999999860302,1532762.750000000000000,10568048.009999999776483
FS( 27 ),1556857.100000000093132,1605824.199999999953434,1488237.340000000083819,1512921.039999999804422,1538195.710000000195578,1404492.899999999906868,1550395.199999999953434,10656926.489999998360872
FS( 28 ),1557095.550000000046566,1617081.399999999906868,1480007.500000000000000,1512728.459999999729916,1522827.760000000242144,1395527.649999999906868,1536930.419999999925494,10622201.740000000223517
FS( 29 ),1559003.149999999906868,1614601.000000000000000,1480693.320000000065193,1523320.359999999636784,1511899.440000000176951,1401931.399999999906868,1554242.279999999795109,10645693.949999999254942
FS( 30 ),1575933.100000000093132,1649135.800000000046566,1504011.200000000186265,1525053.579999999841675,1505752.260000000242144,1401931.399999999906868,1539495.140000000130385,10701315.480000002309680
FS( 31 ),1568541.150000000139698,1625285.800000000046566,1486179.880000000353903,1517735.539999999804422,1490042.800000000279397,1408847.449999999953434,1562898.209999999962747,10659533.829999998211861
FS( 32 ),1553041.899999999906868,1631582.199999999953434,1475892.580000000074506,1518698.439999999711290,1492433.370000000344589,1413202.000000000000000,1569310.010000000009313,10654163.499999998137355
FS( 33 ),1573787.050000000046566,1628911.000000000000000,1486179.880000000353903,1530060.659999999916181,1506776.790000000037253,1405773.649999999906868,1558089.360000000102445,10689581.389999998733401
FS( 34 ),1559718.500000000000000,1609067.799999999813735,1429256.820000000065193,1521587.139999999897555,1495506.960000000195578,1410384.350000000093132,1564501.159999999916181,10590025.730000000447035
FS( 35 ),1579032.949999999953434,1618416.999999999767169,1423084.440000000176951,1535645.479999999748543,1499263.570000000065193,1395015.349999999860302,1571554.140000000130385,10622015.929999999701977
FS( 36 ),1576171.549999999813735,1618989.399999999906868,1429942.640000000363216,1534490.000000000000000,1492091.860000000102445,1405261.349999999860302,1576042.399999999906868,10632992.200000001117587
FS( 37 ),1601685.700000000186265,1652761.000000000000000,1429942.640000000363216,1557021.859999999636784,1515997.560000000288710,1425497.199999999953434,1586301.279999999795109,10769210.240000000223517
FS( 38 ),1601208.800000000279397,1644747.399999999906868,1428571.000000000000000,1565110.219999999739230,1506093.770000000251457,1450343.750000000000000,1568989.419999999925494,10765067.360000001266599
FS( 39 ),1608600.750000000000000,1638069.399999999906868,1433371.739999999990687,1570117.299999999813735,1509508.870000000344589,1465456.599999999860302,1575721.809999999823049,10800849.470000000670552
FS( 40 ),1603831.750000000232831,1626621.399999999906868,1428571.000000000000000,1577820.500000000000000,1514631.520000000251457,1510539.000000000000000,1577965.939999999944121,10839984.110000001266599
FS( 41 ),1612892.850000000093132,1604488.599999999860302,1455317.980000000214204,1592456.579999999841675,1533756.080000000074506,1581492.550000000046566,1586942.459999999962747,10967350.100000001490116
FS( 42 ),1579748.300000000046566,1609640.199999999953434,1453946.340000000083819,1580516.619999999646097,1549124.030000000027940,1579699.500000000000000,1570592.370000000111759,10923270.359999999403954
FS( 43 ),1591193.900000000139698,1620897.399999999906868,1442973.220000000204891,1587064.339999999850988,1547757.990000000223517,1588920.899999999906868,1580530.659999999916181,10959341.410000000149012
FS( 44 ),1557095.550000000046566,1644175.000000000000000,1413482.960000000195578,1579938.879999999888241,1541269.300000000279397,1590713.949999999953434,1588866.000000000000000,10915544.639999998733401
FS( 45 ),1564249.049999999813735,1655241.399999999906868,1410739.680000000167638,1562028.939999999711290,1553222.150000000139698,1585334.800000000046566,1584698.329999999841675,10915517.349999999627471
FS( 46 ),1555187.949999999953434,1664018.199999999720603,1438172.480000000214204,1569924.719999999739230,1554246.680000000167638,1592763.149999999906868,1582454.199999999953434,10956770.379999998956919
FS( 47 ),1559480.050000000279397,1675656.999999999767169,1472463.480000000214204,1579553.719999999739230,1599667.510000000242144,1598654.599999999860302,1598483.699999999953434,11083963.059999998658895
FS( 48 ),1567587.349999999860302,1689203.799999999813735,1487551.520000000251457,1585331.119999999646097,1612303.380000000121072,1613255.149999999906868,1619322.049999999813735,11174557.369999997317791
FS( 49 ),1566156.650000000139698,1696072.599999999860302,1477264.220000000204891,1593419.479999999748543,1608888.280000000027940,1614535.899999999906868,1630542.699999999953434,11186882.830000000074506
FS( 50 ),1528481.549999999813735,1655622.999999999767169,1443659.040000000270084,1573583.739999999757856,1586690.130000000121072,1577650.300000000046566,1623489.719999999972060,10989180.480000000447035
FS( 51 ),1540165.600000000093132,1657912.599999999860302,1451203.060000000288710,1606900.079999999841675,1603765.630000000121072,1608900.600000000093132,1617719.100000000093132,11086569.669999999925494
FS( 52 ),1529196.899999999906868,1654096.599999999860302,1414854.600000000093132,1615758.760000000009313,1596935.430000000167638,1588920.899999999906868,1588224.819999999832362,10987991.009999999776483
FS( 53 ),1550895.850000000093132,1643221.000000000000000,1411425.500000000000000,1601893.000000000000000,1590105.230000000214204,1528981.799999999813735,1632145.649999999906868,10958671.029999999329448
FS( 54 ),1603354.849999999860302,1678328.199999999720603,1403195.660000000149012,1627120.979999999748543,1621865.660000000149012,1537947.050000000046566,1675104.709999999962747,11146920.109999999403954
FS( 55 ),1589524.750000000000000,1658866.599999999860302,1412111.320000000065193,1633668.699999999720603,1636550.590000000316650,1516942.750000000000000,1673181.169999999925494,11120848.879999998956919
FS( 56 ),1608362.300000000046566,1682525.800000000046566,1434057.560000000288710,1645608.659999999916181,1660797.800000000279397,1499524.550000000046566,1677348.840000000083819,11208228.510000001639128
FS( 57 ),1607646.950000000186265,1733087.799999999813735,1398394.920000000158325,1625195.179999999934807,1637575.120000000344589,1505928.300000000046566,1660678.159999999916181,11168509.429999999701977
FS( 58 ),1624576.899999999906868,1749115.000000000000000,1415540.420000000158325,1641179.319999999832362,1617084.520000000251457,1520016.550000000046566,1706201.939999999944121,11273717.650000000372529
FS( 59 ),1615515.800000000046566,1771629.399999999906868,1417597.880000000353903,1639253.520000000018626,1634843.040000000037253,1523602.649999999906868,1719346.130000000121072,11321791.419999999925494
FS( 60 ),1612654.399999999906868,1753503.399999999906868,1438858.300000000279397,1648112.199999999720603,1633135.490000000223517,1537178.599999999860302,1713896.100000000093132,11337341.489999998360872
FS( 61 ),1631253.500000000000000,1744154.199999999953434,1434743.380000000353903,1641371.899999999906868,1605131.670000000158325,1535129.399999999906868,1728322.649999999906868,11320109.700000001117587
FS( 62 ),1628153.650000000139698,1739765.800000000046566,1397709.100000000093132,1622113.899999999906868,1560393.860000000102445,1529750.250000000000000,1679913.559999999823049,11157803.120000002905726
FS( 63 ),1654383.149999999906868,1759418.199999999720603,1421712.800000000279397,1640023.839999999850988,1561759.900000000139698,1523602.649999999906868,1684081.229999999981374,11244984.770000001415610
FS( 64 ),1674651.400000000139698,1788610.599999999860302,1428571.000000000000000,1651386.059999999823049,1559710.840000000316650,1509258.250000000000000,1688890.079999999841675,11301081.230000000447035
FS( 65 ),1670597.750000000000000,1797196.599999999860302,1427199.360000000102445,1630780.000000000000000,1536146.650000000139698,1542045.449999999953434,1668692.909999999916181,11272661.720000000670552
FS( 66 ),1674889.849999999860302,1808644.600000000093132,1397709.100000000093132,1647149.299999999813735,1546050.440000000176951,1549729.949999999953434,1696584.239999999990687,11320760.480000000447035
FS( 67 ),1676559.000000000000000,1794334.600000000093132,1421026.980000000214204,1645801.239999999757856,1536488.160000000149012,1601216.099999999860302,1702675.449999999953434,11378104.529999999329448
FS( 68 ),1674174.500000000000000,1805210.199999999953434,1428571.000000000000000,1639831.260000000009313,1553563.660000000149012,1588408.599999999860302,1689851.850000000093132,11379614.070000000298023
FS( 69 ),1671074.649999999906868,1798150.599999999860302,1447088.140000000363216,1651578.639999999897555,1569273.120000000344589,1611462.099999999860302,1695622.469999999972060,11444252.720000000670552
FS( 70 ),1664159.600000000093132,1808072.199999999953434,1458747.080000000074506,1653311.859999999636784,1576786.340000000316650,1598142.300000000046566,1684722.409999999916181,11443944.790000000968575
FS( 71 ),1705173.000000000232831,1833830.199999999953434,1458747.080000000074506,1674880.819999999832362,1593178.820000000065193,1581236.399999999906868,1704598.989999999990687,11551648.310000000521541
FS( 72 ),1735456.150000000139698,1851192.999999999767169,1454632.160000000149012,1687783.679999999934807,1595910.900000000139698,1578162.599999999860302,1718384.360000000102445,11621525.849999999627471
FS( 73 ),1722341.400000000139698,1842797.799999999813735,1638431.920000000158325,1684124.659999999916181,1583616.540000000037253,1591738.550000000046566,1705560.760000000009313,11768614.630000000819564
FS( 74 ),1748332.449999999953434,1887445.000000000000000,1662435.620000000111759,1696449.779999999795109,1570639.160000000149012,1609669.050000000046566,1710369.610000000102445,11885343.669999999925494
FS( 75 ),1774085.050000000279397,1883629.000000000000000,1642546.840000000083819,1694909.139999999897555,1544001.380000000121072,1602496.850000000093132,1690813.620000000111759,11832484.879999998956919
FS( 76 ),1791015.000000000000000,1884201.399999999906868,1646661.760000000242144,1706078.779999999795109,1616401.500000000000000,1610437.500000000000000,1669334.090000000083819,11924133.029999999329448
FS( 77 ),1775038.850000000093132,1868555.800000000046566,1600711.820000000065193,1703575.239999999757856,1595227.880000000121072,1595324.649999999906868,1650098.689999999944121,11788535.930000001564622
FS( 78 ),1781000.100000000093132,1903281.399999999906868,1612370.760000000242144,1679502.739999999757856,1616401.500000000000000,1597373.849999999860302,1663563.469999999972060,11853496.820000000298023
FS( 79 ),1794830.199999999953434,1908051.399999999906868,1613742.400000000139698,1671992.119999999646097,1610595.830000000074506,1589689.350000000093132,1647533.969999999972060,11836438.269999999552965
FS( 80 ),1816052.250000000000000,1910150.199999999953434,1638431.920000000158325,1687205.939999999711290,1626305.290000000037253,1622476.550000000046566,1629260.340000000083819,11929885.490000000223517
FS( 81 ),1808183.399999999906868,1890688.599999999860302,1654205.780000000260770,1649460.260000000009313,1600692.040000000037253,1622732.699999999953434,1589186.590000000083819,11815152.369999999180436
FS( 82 ),1815575.350000000093132,1918354.600000000093132,1671351.280000000260770,1656007.979999999748543,1607522.240000000223517,1656288.349999999860302,1573477.679999999934807,11898580.479999998584390
FS( 83 ),1805322.000000000000000,1889352.999999999767169,1654205.780000000260770,1621151.000000000000000,1594886.370000000344589,1604289.899999999906868,1554242.279999999795109,11723453.330000000074506
FS( 84 ),1823444.199999999953434,1922170.599999999860302,1672037.100000000093132,1631357.739999999757856,1654650.620000000344589,1608644.449999999953434,1560012.899999999906868,11872320.610000001266599
FS( 85 ),1813667.750000000000000,1900610.199999999953434,1670665.460000000195578,1619610.359999999636784,1688460.110000000102445,1597373.849999999860302,1565783.520000000018626,11856174.249999998137355
FS( 86 ),1782669.250000000232831,1879240.599999999860302,1667922.180000000167638,1611522.000000000000000,1664212.900000000139698,1581748.699999999953434,1548471.659999999916181,11735790.289999999105930
FS( 87 ),1817959.849999999860302,1903472.199999999953434,1683696.040000000270084,1626543.239999999757856,1659773.270000000251457,1586103.250000000000000,1602010.189999999944121,11879561.039999999105930
FS( 88 ),1860880.850000000093132,1955560.599999999860302,1679581.120000000111759,1635209.339999999850988,1645771.360000000102445,1602753.000000000000000,1610666.120000000111759,11990425.390000000596046
FS( 89 ),1866603.650000000139698,1950790.599999999860302,1670665.460000000195578,1639638.679999999934807,1654992.130000000121072,1631185.649999999906868,1619963.229999999981374,12033842.400000000372529
FS( 90 ),1824636.449999999953434,1941441.399999999906868,1650776.680000000167638,1630972.579999999841675,1624256.230000000214204,1637589.399999999906868,1608742.579999999841675,11918418.320000000298023
FS( 91 ),1781715.449999999953434,1924841.799999999813735,1645290.120000000111759,1612677.479999999748543,1613669.420000000158325,1635027.899999999906868,1599766.059999999823049,11812991.230000000447035
FS( 92 ),1793399.500000000000000,1949264.199999999953434,1669979.640000000363216,1635209.339999999850988,1635867.570000000065193,1643224.700000000186265,1623489.719999999972060,11950437.669999999925494
FS( 93 ),1739986.699999999953434,1942967.799999999813735,1652148.320000000065193,1635209.339999999850988,1637575.120000000344589,1634259.449999999953434,1637275.090000000083819,11879424.820000000298023
FS( 94 ),1760731.850000000093132,1965863.799999999813735,1693983.340000000083819,1649075.099999999627471,1632452.469999999972060,1648860.000000000000000,1625733.850000000093132,11976703.410000000149012
FS( 95 ),1787915.150000000139698,1985897.799999999813735,1702213.180000000167638,1663133.439999999711290,1630744.920000000158325,1682415.650000000139698,1652663.409999999916181,12104986.550000000745058
FS( 96 ),1770031.400000000139698,1950981.399999999906868,1692611.700000000186265,1634246.439999999711290,1624939.250000000000000,1671657.350000000093132,1604574.909999999916181,11949045.449999999254942
FS( 97 ),1738794.450000000186265,1901182.599999999860302,1676152.020000000251457,1591108.520000000018626,1581567.480000000214204,1634259.449999999953434,1569630.600000000093132,11692698.119999999180436
FS( 98 ),1748094.000000000000000,1907669.800000000046566,1678895.300000000279397,1602278.159999999916181,1605131.670000000158325,1636820.949999999953434,1587583.640000000130385,11766476.519999999552965
FS( 99 ),1717095.500000000232831,1867029.399999999906868,1650090.860000000102445,1629431.939999999711290,1584982.580000000074506,1656032.200000000186265,1574760.039999999804422,11679425.519999999552965
FS( 100 ),1746186.400000000139698,1882675.000000000000000,1646661.760000000242144,1643682.859999999636784,1578835.400000000139698,1632466.399999999906868,1617077.919999999925494,11747588.740000000223517
FS( 101 ),1762162.550000000279397,1922361.399999999906868,1672722.920000000158325,1675265.979999999748543,1594544.860000000102445,1659362.149999999906868,1624130.899999999906868,11910553.759999999776483
FS( 102 ),1791253.450000000186265,1968153.399999999906868,1689182.600000000093132,1669873.739999999757856,1614693.950000000186265,1692917.800000000046566,1635030.959999999962747,12061108.900000002235174
FS( 103 ),1782669.250000000232831,1954606.599999999860302,1669293.820000000065193,1653504.439999999711290,1586348.620000000344589,1677292.650000000139698,1613872.020000000018626,11937590.400000000372529
FS( 104 ),1803652.850000000093132,1969870.599999999860302,1669293.820000000065193,1668333.099999999627471,1581908.990000000223517,1681134.899999999906868,1614513.199999999953434,11988710.459999999031425
FS( 105 ),1779330.950000000186265,1936099.000000000000000,1667922.180000000167638,1667177.619999999646097,1589763.719999999972060,1671913.499999999767169,1623169.130000000121072,11935379.100000001490116
FS( 106 ),1778377.149999999906868,1963192.599999999860302,1686439.320000000065193,1671221.799999999813735,1589763.719999999972060,1678829.550000000046566,1635351.549999999813735,12003178.690000001341105
FS( 107 ),1819629.000000000000000,1988187.399999999906868,1685067.680000000167638,1692213.020000000018626,1610595.830000000074506,1694967.000000000000000,1644648.659999999916181,12135311.589999999850988
FS( 108 ),1837035.850000000093132,1991431.000000000000000,1689182.600000000093132,1706078.779999999795109,1619133.580000000074506,1730571.850000000093132,1640480.989999999990687,12213917.650000000372529
FS( 109 ),1850627.500000000000000,1997345.800000000046566,1725531.060000000288710,1711663.599999999627471,1626305.290000000037253,1741074.000000000000000,1633748.600000000093132,12286298.849999999627471
FS( 110 ),1820105.899999999906868,2012991.399999999906868,1742676.560000000288710,1718596.479999999748543,1637916.630000000121072,1733901.799999999813735,1620283.819999999832362,12286475.589999999850988
FS( 111 ),1834651.350000000093132,2039321.799999999813735,1774224.280000000260770,1726877.419999999925494,1649869.480000000214204,1751063.849999999860302,1641763.350000000093132,12417774.529999999329448
FS( 112 ),1867795.899999999906868,1943731.000000000000000,1779025.020000000251457,1733039.979999999748543,1657724.210000000195578,1741842.449999999953434,1616116.149999999906868,12339277.709999999031425
FS( 113 ),1856350.299999999813735,2016044.199999999953434,1778339.200000000186265,1740935.760000000009313,1657041.190000000176951,1732108.750000000000000,1601689.600000000093132,12382512.000000000000000
FS( 114 ),1866365.199999999953434,1988759.800000000046566,1763251.160000000149012,1740935.760000000009313,1647137.400000000139698,1713922.099999999860302,1611948.479999999981374,12332322.900000000372529
FS( 115 ),1831313.050000000046566,1999444.600000000093132,1763936.980000000214204,1735736.099999999627471,1643722.300000000279397,1696503.900000000139698,1626695.620000000111759,12297355.550000000745058
FS( 116 ),1764785.500000000232831,2053631.799999999813735,1773538.460000000195578,1736506.419999999925494,1618792.070000000065193,1807160.699999999953434,1602010.189999999944121,12356428.139999998733401
FS( 117 ),1765977.750000000000000,2040848.199999999720603,1770795.180000000167638,1776177.899999999906868,1632110.960000000195578,1830214.199999999953434,1601369.010000000009313,12417496.199999999254942
FS( 118 ),1781715.449999999953434,2038940.199999999953434,1763936.980000000214204,1777140.799999999813735,1629720.390000000130385,1848913.150000000139698,1611627.890000000130385,12451997.860000001266599
FS( 119 ),1774323.500000000000000,2056684.600000000093132,1752963.860000000102445,1779836.919999999925494,1636892.100000000093132,1861976.799999999813735,1614513.199999999953434,12477193.980000000447035
FS( 120 ),1796976.250000000000000,2040657.399999999906868,1755021.320000000065193,1778681.439999999711290,1631427.940000000176951,1857878.399999999906868,1615154.380000000121072,12475800.130000000819564
FS( 121 ),1806752.699999999953434,2035887.399999999906868,1748848.940000000176951,1782725.619999999646097,1645088.340000000316650,1860183.750000000000000,1625733.850000000093132,12505223.599999999627471
FS( 122 ),1796499.350000000093132,2014899.399999999906868,1748848.940000000176951,1787732.699999999720603,1656016.660000000149012,1849681.599999999860302,1635672.140000000130385,12489353.790000000968575
FS( 123 ),1789822.750000000000000,1999826.199999999953434,1737190.000000000000000,1795050.739999999757856,1650894.010000000242144,1864538.300000000046566,1650739.870000000111759,12488064.870000001043081
FS( 124 ),1792922.600000000093132,2017379.800000000046566,1760507.880000000353903,1794280.419999999925494,1640990.219999999972060,1851218.499999999767169,1616436.739999999990687,12473739.160000002011657
FS( 125 ),1759062.699999999953434,2005359.399999999906868,1755021.320000000065193,1800635.559999999823049,1645088.340000000316650,1866075.199999999720603,1586301.279999999795109,12417546.799999998882413
