代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12567392.539999999105930
真實報酬,2567392.539999999105930

夏普值報酬,0.248039254000000
夏普值風險,0.095129910609365
夏普值,2.607373983757130

二次趨勢線,152.811106378113692 x^2 + 7309.158042960780222 x + 10000000.000000000000000
二次平均預期報酬,26410.546340224995220
風險,419520.616665188281331
二次平均趨勢值,0.062954108310970
一次趨勢線,21577.664963808776520 x + 10000000.000000000000000
一次預期報酬,21577.664963808776520
一次風險,496386.743705288216006
一次趨勢值,0.043469462545961
找到最佳解世代,2325
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),HD[9](1),
FS( 16 ),5085287.839999999850988,5230356.589999999850988,10315644.429999999701977
FS( 17 ),5129708.589999999850988,5178571.000000000000000,10308279.589999999850988
FS( 18 ),5305614.759999999776483,5208928.070000000298023,10514542.830000000074506
FS( 19 ),5371357.469999999739230,5210713.780000000260770,10582071.250000000000000
FS( 20 ),5307391.589999999850988,5226785.169999999925494,10534176.759999999776483
FS( 21 ),5371357.469999999739230,5201785.229999999515712,10573142.699999999254942
FS( 22 ),5348258.679999999701977,5166071.030000000260770,10514329.710000000894070
FS( 23 ),5431769.689999999478459,5119642.570000000298023,10551412.259999999776483
FS( 24 ),5442430.669999999925494,5157142.479999999515712,10599573.149999998509884
FS( 25 ),5355366.000000000000000,5139285.379999999888241,10494651.379999998956919
FS( 26 ),5344705.019999999552965,5199999.520000000484288,10544704.539999999105930
FS( 27 ),5380241.620000000111759,5174999.580000000074506,10555241.199999999254942
FS( 28 ),5334044.040000000037253,5028571.360000000335276,10362615.400000000372529
FS( 29 ),5271854.990000000223517,4996428.580000000074506,10268283.570000000298023
FS( 30 ),5346481.849999999627471,5023214.229999999515712,10369696.079999998211861
FS( 31 ),5316275.740000000223517,5053571.299999999813735,10369847.039999999105930
FS( 32 ),5227434.240000000223517,5101785.469999999739230,10329219.710000000894070
FS( 33 ),5458422.139999999664724,5157142.479999999515712,10615564.619999999180436
FS( 34 ),5374911.129999999888241,5117856.860000000335276,10492767.990000000223517
FS( 35 ),5280739.139999999664724,5085714.080000000074506,10366453.219999998807907
FS( 36 ),5019545.129999999888241,4950000.120000000111759,9969545.250000000000000
FS( 37 ),5154584.209999999962747,4932143.020000000484288,10086727.230000000447035
FS( 38 ),5227434.240000000223517,4951785.830000000074506,10179220.070000000298023
FS( 39 ),5277185.479999999515712,4971428.639999999664724,10248614.119999999180436
FS( 40 ),5058635.389999999664724,4882143.139999999664724,9940778.529999999329448
FS( 41 ),4875621.900000000372529,5001785.709999999962747,9877407.609999999403954
FS( 42 ),4943141.439999999478459,5069642.690000000409782,10012784.129999998956919
FS( 43 ),4971570.719999999739230,5183928.129999999888241,10155498.849999999627471
FS( 44 ),5056858.559999999590218,5083928.370000000111759,10140786.929999999701977
FS( 45 ),4875621.900000000372529,4987500.030000000260770,9863121.929999999701977
FS( 46 ),4960909.740000000223517,4996428.580000000074506,9957338.320000000298023
FS( 47 ),4927149.969999999739230,5105356.889999999664724,10032506.859999999403954
FS( 48 ),4980454.870000000111759,5155356.770000000484288,10135811.640000000596046
FS( 49 ),4952025.589999999850988,5116071.149999999441206,10068096.739999998360872
FS( 50 ),5042643.919999999925494,5176785.290000000037253,10219429.210000000894070
FS( 51 ),5087064.669999999925494,5178571.000000000000000,10265635.669999999925494
FS( 52 ),5163468.359999999403954,5257142.240000000223517,10420610.599999999627471
FS( 53 ),5142146.400000000372529,5360713.419999999925494,10502859.820000000298023
FS( 54 ),5151030.549999999813735,5410713.299999999813735,10561743.849999999627471
FS( 55 ),5119047.609999999403954,5383927.649999999441206,10502975.259999997913837
FS( 56 ),5087064.669999999925494,5414284.719999999739230,10501349.390000000596046
FS( 57 ),5001776.830000000074506,5491070.250000000000000,10492847.080000000074506
FS( 58 ),5094171.990000000223517,5599998.559999999590218,10694170.550000000745058
FS( 59 ),5127931.759999999776483,5599998.559999999590218,10727930.320000000298023
FS( 60 ),5193674.469999999739230,5571427.200000000186265,10765101.669999999925494
FS( 61 ),5305614.759999999776483,5612498.530000000260770,10918113.289999999105930
FS( 62 ),5302061.099999999627471,5599998.559999999590218,10902059.660000000149012
FS( 63 ),5312722.080000000074506,5619641.370000000111759,10932363.449999999254942
FS( 64 ),5348258.679999999701977,5614284.240000000223517,10962542.919999999925494
FS( 65 ),5557924.620000000111759,5678569.799999999813735,11236494.419999999925494
FS( 66 ),5561478.280000000260770,5707141.160000000149012,11268619.440000001341105
FS( 67 ),5660980.759999999776483,5657141.280000000260770,11318122.039999999105930
FS( 68 ),5707178.339999999850988,5662498.410000000149012,11369676.750000000000000
FS( 69 ),5723169.809999999590218,5737498.230000000447035,11460668.039999999105930
FS( 70 ),5751599.089999999850988,5794640.950000000186265,11546240.039999999105930
FS( 71 ),5682302.719999999739230,5837497.989999999292195,11519800.709999999031425
FS( 72 ),5696517.360000000335276,5812498.049999999813735,11509015.410000000149012
FS( 73 ),5689410.040000000037253,5807140.920000000856817,11496550.960000000894070
FS( 74 ),5701847.850000000558794,5785712.399999999441206,11487560.250000000000000
FS( 75 ),5641435.629999999888241,5778569.559999999590218,11420005.189999999478459
FS( 76 ),5705401.509999999776483,5833926.570000000298023,11539328.080000000074506
FS( 77 ),5796019.839999999850988,5819640.890000000596046,11615660.730000000447035
FS( 78 ),5822672.290000000037253,5771426.719999999739230,11594099.009999999776483
FS( 79 ),5753375.919999999925494,5824998.019999999552965,11578373.939999999478459
FS( 80 ),5861762.549999999813735,5848212.250000000000000,11709974.800000000745058
FS( 81 ),5899075.980000000447035,5821426.600000000558794,11720502.580000001937151
FS( 82 ),5986140.649999999441206,5837497.989999999292195,11823638.639999998733401
FS( 83 ),5964818.689999999478459,5776783.850000000558794,11741602.539999999105930
FS( 84 ),5989694.309999999590218,5782140.980000000447035,11771835.289999999105930
FS( 85 ),6053660.189999999478459,5832140.859999999403954,11885801.049999998882413
FS( 86 ),6080312.639999999664724,5812498.049999999813735,11892810.689999999478459
FS( 87 ),6106965.089999999850988,5823212.309999999590218,11930177.399999998509884
FS( 88 ),6090973.620000000111759,5887497.870000000111759,11978471.490000000223517
FS( 89 ),6137171.200000000186265,5937497.750000000000000,12074668.949999999254942
FS( 90 ),6149609.009999999776483,5978569.079999999143183,12128178.089999999850988
FS( 91 ),6153162.669999999925494,6132140.140000000596046,12285302.810000000521541
FS( 92 ),6236673.679999999701977,6246425.579999999143183,12483099.259999997913837
FS( 93 ),6318407.860000000335276,6274996.940000000409782,12593404.800000000745058
FS( 94 ),6279317.600000000558794,6251782.709999999962747,12531100.310000000521541
FS( 95 ),6272210.279999999329448,6280354.070000000298023,12552564.349999999627471
FS( 96 ),6208244.399999999441206,6282139.780000000260770,12490384.179999999701977
FS( 97 ),6579601.870000000111759,6298211.170000000856817,12877813.040000000968575
FS( 98 ),6764392.189999999478459,6378568.120000000111759,13142960.309999998658895
FS( 99 ),6874555.649999999441206,6498210.690000000409782,13372766.339999999850988
FS( 100 ),6840795.879999999888241,6516067.790000000037253,13356863.669999999925494
FS( 101 ),6650675.070000000298023,6301782.589999999850988,12952457.660000000149012
FS( 102 ),6640014.089999999850988,6283925.489999999292195,12923939.579999998211861
FS( 103 ),6819473.919999999925494,6349996.760000000707805,13169470.679999999701977
FS( 104 ),6627576.279999999329448,6291068.329999999143183,12918644.609999999403954
FS( 105 ),6760838.529999999329448,6405353.769999999552965,13166192.299999998882413
FS( 106 ),6565387.230000000447035,6324996.820000000298023,12890384.050000000745058
FS( 107 ),6497867.689999999478459,6292854.040000000037253,12790721.730000000447035
FS( 108 ),6250888.320000000298023,6064283.160000000149012,12315171.480000000447035
FS( 109 ),5986140.649999999441206,5969640.530000000260770,11955781.179999999701977
FS( 110 ),6446339.620000000111759,6301782.589999999850988,12748122.210000000894070
FS( 111 ),6512082.330000000074506,6362496.730000000447035,12874579.060000000521541
FS( 112 ),6652451.899999999441206,6408925.190000000409782,13061377.089999999850988
FS( 113 ),6558279.909999999217689,6298211.170000000856817,12856491.080000000074506
FS( 114 ),6442785.959999999962747,6285711.200000000186265,12728497.160000000149012
FS( 115 ),6453446.939999999478459,6355353.890000000596046,12808800.830000000074506
FS( 116 ),6405472.529999999329448,6201782.829999999143183,12607255.359999999403954
FS( 117 ),6304193.219999999739230,6139282.980000000447035,12443476.199999999254942
FS( 118 ),6035891.889999999664724,5873212.190000000409782,11909104.080000000074506
FS( 119 ),6151385.839999999850988,5896426.420000000856817,12047812.260000001639128
FS( 120 ),6263326.129999999888241,5932140.620000000111759,12195466.750000000000000
FS( 121 ),6224235.870000000111759,6067854.579999999143183,12292090.449999999254942
FS( 122 ),6195806.589999999850988,6078568.839999999850988,12274375.429999999701977
FS( 123 ),6430348.149999999441206,6169640.049999999813735,12599988.199999999254942
FS( 124 ),6520966.480000000447035,6046426.059999999590218,12567392.539999999105930
