代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12399266.980000000447035
真實報酬,2399266.980000000447035

夏普值報酬,0.231226698000000
夏普值風險,0.062198219713354
夏普值,3.717577433335342

二次趨勢線,60.514580347577883 x^2 + 10752.950615318211931 x + 10000000.000000000000000
二次平均預期報酬,18619.846060503346962
風險,153405.761521974025527
二次平均趨勢值,0.121376445550490
一次趨勢線,16630.341613941054675 x + 10000000.000000000000000
一次預期報酬,16630.341613941054675
一次風險,190933.212001444044290
一次趨勢值,0.087100308215709
找到最佳解世代,1879
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](8),BA[2](2),NKE[19](1),UNH[23](7),
FS( 10 ),2525892.100000000093132,2635170.739999999757856,2601009.919999999925494,2584142.619999999646097,10346215.379999998956919
FS( 11 ),2440249.000000000000000,2660121.119999999646097,2597853.360000000335276,2579119.179999999701977,10277342.660000000149012
FS( 12 ),2472912.879999999888241,2648057.199999999720603,2542613.560000000055879,2601306.040000000037253,10264889.679999999701977
FS( 13 ),2465344.420000000391155,2712215.319999999832362,2577335.719999999739230,2630609.439999999944121,10385504.900000000372529
FS( 14 ),2520713.680000000167638,2706731.719999999739230,2578124.860000000335276,2618888.080000000074506,10424458.339999999850988
FS( 15 ),2501991.700000000186265,2707554.259999999776483,2574179.159999999683350,2631865.299999999813735,10415590.419999998062849
FS( 16 ),2511551.859999999869615,2685071.500000000000000,2543402.699999999720603,2607166.719999999739230,10347192.779999997466803
FS( 17 ),2515933.600000000093132,2734972.259999999776483,2499210.860000000335276,2610515.679999999701977,10360632.399999998509884
FS( 18 ),2533062.220000000204891,2741826.759999999776483,2477904.080000000074506,2597957.080000000074506,10350750.140000000596046
FS( 19 ),2511950.200000000186265,2744842.739999999757856,2496843.439999999944121,2651540.439999999944121,10405176.819999998435378
FS( 20 ),2531867.200000000186265,2716876.379999999888241,2483428.060000000055879,2651959.060000000055879,10384130.700000001117587
FS( 21 ),2569709.500000000465661,2756632.479999999981374,2462910.419999999925494,2706798.279999999795109,10496050.679999999701977
FS( 22 ),2559352.660000000149012,2714957.119999999646097,2432923.099999999627471,2621818.419999999925494,10329051.299999998882413
FS( 23 ),2564929.420000000391155,2762116.079999999608845,2487373.759999999776483,2628934.959999999962747,10443354.219999998807907
FS( 24 ),2556962.620000000111759,2731133.739999999757856,2477114.939999999944121,2610515.679999999701977,10375726.979999998584390
FS( 25 ),2533062.220000000204891,2700425.579999999608845,2436868.799999999813735,2584979.859999999869615,10255336.459999999031425
FS( 26 ),2495219.920000000391155,2735246.439999999944121,2452651.599999999627471,2592096.399999999906868,10275214.359999999403954
FS( 27 ),2514340.240000000223517,2810097.579999999608845,2476325.799999999813735,2619306.699999999720603,10420070.320000000298023
FS( 28 ),2497609.960000000428408,2803243.079999999608845,2487373.759999999776483,2665773.520000000018626,10454000.320000000298023
FS( 29 ),2490041.500000000000000,2789808.259999999776483,2452651.599999999627471,2676239.020000000018626,10408740.379999998956919
FS( 30 ),2459369.320000000298023,2765954.599999999627471,2423453.419999999925494,2672052.819999999832362,10320830.160000000149012
FS( 31 ),2480879.680000000167638,2801049.639999999664724,2436868.799999999813735,2685448.660000000149012,10404246.780000001192093
FS( 32 ),2447419.120000000111759,2792001.699999999720603,2442392.779999999795109,2670796.959999999962747,10352610.559999998658895
FS( 33 ),2458174.300000000279397,2824903.299999999813735,2443971.060000000055879,2694658.300000000279397,10421706.960000000894070
FS( 34 ),2456979.280000000260770,2853692.199999999720603,2452651.599999999627471,2749497.520000000018626,10512820.599999999627471
FS( 35 ),2407186.780000000260770,2803517.259999999776483,2436868.799999999813735,2731915.479999999981374,10379488.320000000298023
FS( 36 ),2372132.859999999869615,2731956.279999999795109,2398200.939999999944121,2670796.959999999962747,10173087.039999999105930
FS( 37 ),2353012.540000000037253,2741278.399999999906868,2390309.540000000037253,2674983.159999999683350,10159583.639999998733401
FS( 38 ),2290871.500000000000000,2682878.059999999590218,2365846.200000000186265,2706379.660000000149012,10045975.419999999925494
FS( 39 ),2291269.840000000316650,2705360.819999999832362,2383207.279999999795109,2667866.619999999646097,10047704.559999998658895
FS( 40 ),2265377.740000000223517,2762390.259999999776483,2440814.500000000000000,2711821.719999999739230,10180404.219999998807907
FS( 41 ),2240680.660000000149012,2828193.459999999962747,2458964.720000000204891,2766660.939999999944121,10294499.779999999329448
FS( 42 ),2256614.260000000242144,2808726.679999999701977,2512626.239999999757856,2741125.120000000111759,10319092.300000000745058
FS( 43 ),2328713.800000000279397,2830661.079999999608845,2459753.860000000335276,2747404.419999999459833,10366533.160000000149012
FS( 44 ),2381294.680000000167638,2782131.219999999739230,2470801.819999999832362,2732334.099999999627471,10366561.820000000298023
FS( 45 ),2394439.899999999906868,2821064.779999999795109,2480271.500000000000000,2743636.840000000316650,10439413.019999999552965
FS( 46 ),2375319.580000000074506,2856982.359999999869615,2511047.959999999962747,2770009.899999999906868,10513359.799999998882413
FS( 47 ),2361776.020000000018626,2861643.419999999925494,2514204.520000000018626,2828198.080000000074506,10565822.039999999105930
FS( 48 ),2403601.720000000204891,2870143.000000000000000,2522885.060000000055879,2845361.500000000000000,10641991.280000001192093
FS( 49 ),2394041.560000000055879,2892625.759999999776483,2509469.680000000167638,2833640.139999999664724,10629777.140000000596046
FS( 50 ),2431485.520000000018626,2930462.599999999627471,2514204.520000000018626,2861687.679999999701977,10737840.319999998435378
FS( 51 ),2427103.780000000260770,2793098.419999999925494,2512626.239999999757856,2846617.359999999869615,10579445.799999998882413
FS( 52 ),2432282.200000000186265,2897012.639999999664724,2500000.000000000000000,2830709.800000000279397,10660004.640000000596046
FS( 53 ),2448215.800000000279397,2857804.899999999906868,2473958.379999999888241,2800987.779999999795109,10580966.859999999403954
FS( 54 ),2448614.140000000130385,2873158.979999999981374,2499210.860000000335276,2772521.620000000111759,10593505.600000001490116
FS( 55 ),2456979.280000000260770,2951026.099999999627471,2498421.720000000204891,2953365.459999999962747,10859792.559999998658895
FS( 56 ),2418340.300000000279397,2932656.039999999571592,2500000.000000000000000,2991041.259999999776483,10842037.599999999627471
FS( 57 ),2425908.760000000242144,2929914.239999999757856,2497632.580000000074506,3021600.520000000018626,10875056.099999999627471
FS( 58 ),2384481.399999999906868,2955412.979999999981374,2493686.879999999888241,3042950.139999999664724,10876531.399999998509884
FS( 59 ),2506771.780000000260770,2932381.859999999869615,2471590.959999999962747,3036252.219999999739230,10946996.820000000298023
FS( 60 ),2495219.920000000391155,2925527.359999999869615,2466066.979999999981374,3040019.800000000279397,10926834.060000000521541
FS( 61 ),2509560.160000000149012,2895367.559999999590218,2467645.259999999776483,3022856.379999999422580,10895429.359999999403954
FS( 62 ),2548199.140000000130385,2873707.339999999850988,2474747.520000000018626,3047136.340000000316650,10943790.339999999850988
FS( 63 ),2579668.000000000465661,2898931.899999999906868,2480271.500000000000000,3025368.099999999627471,10984239.500000000000000
FS( 64 ),2575286.260000000242144,2881658.559999999590218,2482638.919999999925494,3049648.059999999590218,10989231.800000000745058
FS( 65 ),2598788.319999999832362,2925527.359999999869615,2603377.340000000316650,3062625.279999999795109,11190318.299999998882413
FS( 66 ),2632248.879999999888241,2958428.959999999962747,2616003.580000000074506,3024949.479999999981374,11231630.900000000372529
FS( 67 ),2671286.200000000186265,2947461.759999999776483,2619949.280000000260770,3070160.439999999944121,11308857.679999999701977
FS( 68 ),2647385.799999999813735,2934849.479999999981374,2625473.260000000242144,3065974.239999999757856,11273682.779999999329448
FS( 69 ),2646190.780000000260770,2917850.319999999832362,2589961.959999999962747,3052578.399999999906868,11206581.459999999031425
FS( 70 ),2623485.399999999906868,2901947.879999999888241,2606533.899999999906868,3063462.520000000018626,11195429.699999999254942
FS( 71 ),2586041.440000000409782,2887964.699999999720603,2616792.719999999739230,3052997.020000000018626,11143795.880000000819564
FS( 72 ),2659734.339999999850988,2858079.079999999608845,2624684.119999999646097,3030391.540000000037253,11172889.079999998211861
FS( 73 ),2786008.120000000111759,2912640.899999999906868,2597064.219999999739230,3070579.059999999590218,11366292.299999998882413
FS( 74 ),2836597.299999999813735,2855885.639999999664724,2538667.860000000335276,3034577.739999999757856,11265728.539999999105930
FS( 75 ),2833410.580000000074506,2816677.899999999906868,2505523.979999999981374,2988948.160000000149012,11144560.620000001043081
FS( 76 ),2858506.000000000465661,2836967.219999999739230,2511837.099999999627471,2990204.020000000018626,11197514.339999999850988
FS( 77 ),2889178.180000000167638,2871239.719999999739230,2552872.379999999888241,3001925.379999999422580,11315215.660000000149012
FS( 78 ),2851335.879999999888241,2868772.099999999627471,2550504.959999999962747,3033321.879999999422580,11303934.819999998435378
FS( 79 ),2858904.339999999850988,2849031.139999999664724,2530776.459999999962747,3007786.059999999590218,11246498.000000000000000
FS( 80 ),2862091.060000000055879,2882755.279999999795109,2559185.500000000000000,3012809.500000000000000,11316841.339999999850988
FS( 81 ),2850937.540000000037253,2892077.399999999906868,2533143.879999999888241,3036670.840000000316650,11312829.660000000149012
FS( 82 ),2862091.060000000055879,2893448.299999999813735,2522095.919999999925494,3029972.919999999459833,11307608.199999999254942
FS( 83 ),2780431.359999999869615,2829838.539999999571592,2478693.220000000204891,2993971.599999999627471,11082934.719999998807907
FS( 84 ),2793576.580000000074506,2831483.619999999646097,2500789.140000000130385,2994808.840000000316650,11120658.179999999701977
FS( 85 ),2797958.319999999832362,2876997.500000000000000,2504734.839999999850988,3032484.639999999664724,11212175.300000000745058
FS( 86 ),2772464.560000000055879,2849305.319999999832362,2478693.220000000204891,3003181.239999999757856,11103644.339999999850988
FS( 87 ),2780431.359999999869615,2879190.939999999944121,2537089.580000000074506,3037508.080000000074506,11234219.960000000894070
FS( 88 ),2837792.319999999832362,2916479.419999999925494,2570233.459999999962747,3070579.059999999590218,11395084.259999999776483
FS( 89 ),2818273.660000000149012,2924156.459999999962747,2579703.139999999664724,3099463.840000000316650,11421597.099999999627471
FS( 90 ),2835003.940000000409782,2908254.019999999552965,2563920.340000000316650,3100301.080000000074506,11407479.380000000819564
FS( 91 ),2880414.700000000186265,2938962.179999999701977,2580492.280000000260770,3108254.859999999869615,11508124.019999999552965
FS( 92 ),2814688.600000000093132,2965831.819999999832362,2636521.219999999739230,3124162.419999999459833,11541204.060000000521541
FS( 93 ),2661726.040000000037253,2994894.899999999906868,2667297.679999999701977,3147186.520000000018626,11471105.139999998733401
FS( 94 ),2690008.180000000167638,3010523.159999999683350,2686237.040000000037253,3128767.239999999757856,11515535.619999999180436
FS( 95 ),2645394.100000000093132,3052472.699999999720603,2679923.919999999925494,3117883.120000000111759,11495673.839999999850988
FS( 96 ),2561344.359999999869615,3171466.819999999832362,2690971.879999999888241,3144674.800000000279397,11568457.859999999403954
FS( 97 ),2591219.859999999869615,3210948.739999999757856,2695706.719999999739230,3110766.580000000074506,11608641.900000000372529
FS( 98 ),2644199.080000000074506,3246317.959999999962747,2741476.840000000316650,3057601.840000000316650,11689595.720000000670552
FS( 99 ),2687618.140000000130385,3263865.479999999981374,2742265.979999999981374,2965505.439999999944121,11659255.039999999105930
FS( 100 ),2659734.339999999850988,3197788.099999999627471,2737531.139999999664724,2954202.699999999720603,11549256.279999997466803
FS( 101 ),2791983.220000000204891,3221915.939999999944121,2721748.340000000316650,3006530.199999999720603,11742177.699999999254942
FS( 102 ),2783219.740000000223517,3262768.759999999776483,2739898.560000000055879,3027461.199999999720603,11813348.259999999776483
FS( 103 ),2740199.020000000484288,3249333.939999999944121,2719380.919999999925494,3013228.120000000111759,11722142.000000000000000
FS( 104 ),2766887.799999999813735,3273187.599999999627471,2775409.860000000335276,3020763.279999999795109,11836248.539999999105930
FS( 105 ),2746970.799999999813735,3255640.079999999608845,2905617.959999999962747,3013646.739999999757856,11921875.580000000074506
FS( 106 ),2713111.899999999906868,3221641.759999999776483,2866160.959999999962747,2997739.179999999701977,11798653.800000000745058
FS( 107 ),2776846.299999999813735,3228496.259999999776483,2857480.419999999925494,3038345.319999999832362,11901168.300000000745058
FS( 108 ),2786008.120000000111759,3230963.879999999888241,2836962.780000000260770,3037926.699999999720603,11891861.480000000447035
FS( 109 ),2750954.200000000186265,3159677.079999999608845,2826703.959999999962747,3035833.599999999627471,11773168.839999997988343
FS( 110 ),2748564.160000000149012,3213416.359999999869615,2846432.459999999962747,3055508.739999999757856,11863921.720000000670552
FS( 111 ),2775651.280000000260770,3199433.179999999701977,2814866.860000000335276,3021181.899999999906868,11811133.220000000670552
FS( 112 ),2737012.299999999813735,3165160.679999999701977,2773042.439999999944121,2992297.120000000111759,11667512.539999999105930
FS( 113 ),2768879.500000000465661,3138565.219999999739230,2797505.780000000260770,2988110.919999999459833,11693061.419999999925494
FS( 114 ),2786406.460000000428408,3260026.959999999962747,2897726.560000000055879,3096952.120000000111759,12041112.100000001490116
FS( 115 ),2804331.760000000242144,3234802.399999999906868,2898515.699999999720603,3109092.099999999627471,12046741.959999999031425
FS( 116 ),2822655.399999999906868,3275381.039999999571592,2922189.899999999906868,3127930.000000000000000,12148156.339999999850988
FS( 117 ),2837792.319999999832362,3240286.000000000000000,2907985.379999999888241,3092347.300000000279397,12078411.000000000000000
FS( 118 ),2851734.220000000204891,3299508.879999999888241,2940340.119999999646097,3147605.139999999664724,12239188.359999999403954
FS( 119 ),2870854.540000000037253,3352973.979999999981374,2941129.260000000242144,2987692.300000000279397,12152650.080000000074506
FS( 120 ),2895949.960000000428408,3359280.119999999646097,2996369.060000000055879,2878432.479999999981374,12130031.620000001043081
FS( 121 ),2966854.480000000447035,3330491.219999999739230,3002682.179999999701977,2854989.759999999776483,12155017.639999998733401
FS( 122 ),2958489.339999999850988,3358183.399999999906868,2997158.199999999720603,2882618.679999999701977,12196449.619999999180436
FS( 123 ),2987169.819999999832362,3537497.120000000111759,2981375.399999999906868,2847035.979999999981374,12353078.320000000298023
FS( 124 ),3027003.819999999832362,3536400.399999999441206,2979797.119999999646097,2830291.179999999701977,12373492.519999997690320
FS( 125 ),2993144.920000000391155,3596994.179999999701977,2986899.379999999888241,2830709.800000000279397,12407748.280000001192093
FS( 126 ),3015451.960000000428408,3561076.599999999627471,2979797.119999999646097,2802243.639999999664724,12358569.320000000298023
FS( 127 ),2940165.700000000186265,3555044.639999999664724,2995579.919999999925494,2849966.319999999832362,12340756.580000000074506
FS( 128 ),2987169.819999999832362,3555593.000000000000000,3004260.459999999962747,2847035.979999999981374,12394059.260000001639128
FS( 129 ),2974422.940000000409782,3578075.759999999776483,2989266.800000000279397,2857501.479999999981374,12399266.980000000447035
