代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12605952.510000001639128
真實報酬,2605952.510000001639128

夏普值報酬,0.251895251000000
夏普值風險,0.067692854420436
夏普值,3.721149789835926

二次趨勢線,-214.677224751232075 x^2 + 45363.556670616628253 x + 10000000.000000000000000
二次平均預期報酬,18743.580801463860553
風險,241198.111441439163173
二次平均趨勢值,0.077710313275047
一次趨勢線,25479.404654994476005 x + 10000000.000000000000000
一次預期報酬,25479.404654994476005
一次風險,438995.219845367420930
一次趨勢值,0.058040278124143
找到最佳解世代,1877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](2),NKE[19](1),
FS( 27 ),5431830.750000000000000,5565640.389999999664724,10997471.140000000596046
FS( 28 ),5482379.500000000000000,5621024.120000000111759,11103403.620000001043081
FS( 29 ),5475158.249999999068677,5644630.300000000745058,11119788.550000000745058
FS( 30 ),5509820.250000000000000,5838019.389999999664724,11347839.640000000596046
FS( 31 ),5473714.000000000000000,5858901.780000000260770,11332615.780000001192093
FS( 32 ),5515597.250000000000000,5882507.960000000894070,11398105.210000000894070
FS( 33 ),5557480.500000000000000,5884323.820000000298023,11441804.320000000298023
FS( 34 ),5531484.000000000000000,5832571.809999999590218,11364055.809999998658895
FS( 35 ),5595031.000000000000000,5773556.360000000335276,11368587.359999999403954
FS( 36 ),5564701.750000000000000,5880692.099999999627471,11445393.849999999627471
FS( 37 ),5567590.250000000000000,5746318.459999999962747,11313908.710000000894070
FS( 38 ),5557480.500000000000000,5779003.940000000409782,11336484.440000001341105
FS( 39 ),5569034.500000000000000,5715448.840000000782311,11284483.339999999850988
FS( 40 ),5573367.250000000931323,5715448.840000000782311,11288816.090000001713634
FS( 41 ),5531484.000000000000000,5679131.639999999664724,11210615.640000000596046
FS( 42 ),5612362.000000000000000,5764477.060000000521541,11376839.060000000521541
FS( 43 ),5657133.750000000000000,5763569.129999999888241,11420702.879999998956919
FS( 44 ),5631137.250000000000000,5759937.410000000149012,11391074.660000000149012
FS( 45 ),5709126.750000000000000,5808965.629999999888241,11518092.379999998956919
FS( 46 ),5768341.000000000000000,5860717.639999999664724,11629058.640000000596046
FS( 47 ),5732234.750000000000000,5818952.860000000335276,11551187.609999999403954
FS( 48 ),5764008.249999999068677,5830755.950000000186265,11594764.199999999254942
FS( 49 ),5791449.000000000000000,5837111.460000000894070,11628560.460000000894070
FS( 50 ),5902656.250000000000000,5871612.800000000745058,11774269.050000000745058
FS( 51 ),5854996.000000000000000,5758121.550000000745058,11613117.550000000745058
FS( 52 ),5950316.500000000000000,5793530.820000000298023,11743847.320000000298023
FS( 53 ),5964759.000000000000000,5820768.719999999739230,11785527.719999998807907
FS( 54 ),5963314.750000000000000,6102227.019999999552965,12065541.769999999552965
FS( 55 ),6016751.999999999068677,6027776.760000000707805,12044528.759999999776483
FS( 56 ),6080299.000000000000000,6095871.510000000707805,12176170.510000001639128
FS( 57 ),6090408.750000000000000,6173953.490000000223517,12264362.240000000223517
FS( 58 ),6051414.000000000000000,6147623.519999999552965,12199037.519999999552965
FS( 59 ),6146734.500000000000000,6177585.210000000894070,12324319.710000000894070
FS( 60 ),6188617.750000000000000,6135820.429999999701977,12324438.179999999701977
FS( 61 ),6101962.750000000000000,6113122.179999999701977,12215084.929999999701977
FS( 62 ),5999421.000000000000000,6193927.950000000186265,12193348.949999999254942
FS( 63 ),6022529.000000000000000,6142175.940000000409782,12164704.940000001341105
FS( 64 ),5911321.750000000000000,6103134.950000000186265,12014456.699999999254942
FS( 65 ),5600808.000000000000000,5846190.760000000707805,11446998.760000001639128
FS( 66 ),5801558.750000000000000,5921548.950000000186265,11723107.699999999254942
FS( 67 ),5826111.000000000931323,5958774.080000000074506,11784885.080000001937151
FS( 68 ),5599363.750000000000000,5673684.060000000521541,11273047.810000000521541
FS( 69 ),5709126.750000000000000,5946063.059999999590218,11655189.809999998658895
FS( 70 ),5863661.500000000000000,5990551.630000000819564,11854213.130000000819564
FS( 71 ),5954649.250000000000000,5980564.400000000372529,11935213.650000000372529
FS( 72 ),6078854.750000000931323,6170321.769999999552965,12249176.519999999552965
FS( 73 ),6366260.500000000000000,6200283.460000000894070,12566543.960000000894070
FS( 74 ),6402366.750000000000000,6201191.389999999664724,12603558.140000000596046
FS( 75 ),6363372.000000000000000,6127649.059999999590218,12491021.059999998658895
FS( 76 ),6255053.250000000000000,6087700.139999999664724,12342753.390000000596046
FS( 77 ),6201616.000000000000000,6094963.580000000074506,12296579.580000000074506
FS( 78 ),6354706.500000000000000,6188480.370000000111759,12543186.870000001043081
FS( 79 ),6551124.500000000000000,6323761.940000000409782,12874886.440000001341105
FS( 80 ),6504908.500000000000000,6176677.280000000260770,12681585.780000001192093
FS( 81 ),6467358.000000000000000,6085884.280000000260770,12553242.280000001192093
FS( 82 ),6325821.500000000000000,6021421.250000000000000,12347242.750000000000000
FS( 83 ),6363372.000000000000000,5982380.260000000707805,12345752.260000001639128
FS( 84 ),6429807.500000000000000,5906114.139999999664724,12335921.640000000596046
FS( 85 ),6396589.750000000000000,5923364.809999999590218,12319954.559999998658895
FS( 86 ),6383591.500000000000000,5826216.300000000745058,12209807.800000000745058
FS( 87 ),6403811.000000000931323,5911561.719999999739230,12315372.720000000670552
FS( 88 ),6552568.750000000000000,6019605.389999999664724,12572174.140000000596046
FS( 89 ),6578565.250000000000000,6066817.750000000000000,12645383.000000000000000
FS( 90 ),6522239.499999999068677,6007802.300000000745058,12530041.800000000745058
FS( 91 ),6539570.500000000000000,6010526.090000000782311,12550096.589999999850988
FS( 92 ),6546791.750000000000000,6027776.760000000707805,12574568.510000001639128
FS( 93 ),6500575.750000000000000,5984196.120000000111759,12484771.870000001043081
FS( 94 ),6393701.250000000000000,5966037.519999999552965,12359738.769999999552965
FS( 95 ),6408143.750000000000000,6065001.889999999664724,12473145.640000000596046
FS( 96 ),6399478.250000000000000,6024145.040000000037253,12423623.289999999105930
FS( 97 ),6220391.250000000000000,5848914.550000000745058,12069305.800000000745058
FS( 98 ),6126515.000000000000000,5867981.080000000074506,11994496.080000000074506
FS( 99 ),6363372.000000000000000,5983288.190000000409782,12346660.190000001341105
FS( 100 ),6164065.500000000000000,6007802.300000000745058,12171867.800000000745058
FS( 101 ),6016751.999999999068677,5941523.410000000149012,11958275.410000000149012
FS( 102 ),6194394.750000000000000,6032316.410000000149012,12226711.160000000149012
FS( 103 ),5922875.750000000000000,5821676.650000000372529,11744552.400000000372529
FS( 104 ),5976313.000000000000000,6055922.590000000782311,12032235.589999999850988
FS( 105 ),5950316.500000000000000,6212086.550000000745058,12162403.050000000745058
FS( 106 ),6039860.000000000000000,6318314.360000000335276,12358174.359999999403954
FS( 107 ),5882436.750000000000000,6133096.639999999664724,12015533.390000000596046
FS( 108 ),5945983.750000000000000,6099503.230000000447035,12045486.980000000447035
FS( 109 ),6139513.250000000000000,6083160.490000000223517,12222673.740000000223517
FS( 110 ),6127959.250000000000000,6067725.679999999701977,12195684.929999999701977
FS( 111 ),6259386.000000000931323,6153071.099999999627471,12412457.100000001490116
FS( 112 ),6210281.500000000000000,6105858.740000000223517,12316140.240000000223517
FS( 113 ),6253609.000000000000000,6088608.070000000298023,12342217.070000000298023
FS( 114 ),6439917.250000000931323,6129464.920000000856817,12569382.170000001788139
FS( 115 ),6445694.250000000000000,6010526.090000000782311,12456220.339999999850988
FS( 116 ),6435584.500000000000000,5967853.380000000819564,12403437.880000000819564
FS( 117 ),6367704.750000000931323,6000538.860000000335276,12368243.610000001266599
FS( 118 ),6390812.750000000000000,6072265.330000000074506,12463078.080000000074506
FS( 119 ),6317156.000000000000000,6080436.700000000186265,12397592.699999999254942
FS( 120 ),6312823.250000000000000,6053198.800000000745058,12366022.050000000745058
FS( 121 ),6385035.750000000000000,6178493.139999999664724,12563528.890000000596046
FS( 122 ),6457248.250000000000000,6315590.570000000298023,12772838.820000000298023
FS( 123 ),6396589.750000000000000,6209362.760000000707805,12605952.510000001639128
