代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11422568.830000001937151
真實報酬,1422568.830000001937151

夏普值報酬,0.133556883000000
夏普值風險,0.052934135139683
夏普值,2.523076699894467

二次趨勢線,25.518751251481088 x^2 + 10896.376213842577272 x + 10000000.000000000000000
二次平均預期報酬,14188.295125283639209
風險,170911.267390641325619
二次平均趨勢值,0.083015563232905
一次趨勢線,13355.708630172050107 x + 10000000.000000000000000
一次預期報酬,13355.708630172050107
一次風險,177308.994076273113023
一次趨勢值,0.075324484805474
找到最佳解世代,1506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),PG[21](3),
Stock#,AAPL[0](1),PG[21](3),
張數,53395,61751,
FS( 101 ),6120227.100000000558794,5495243.019999999552965,11615470.120000001043081
FS( 102 ),6018242.649999999441206,5419289.290000000968575,11437531.940000001341105
FS( 103 ),6027319.799999999813735,5424846.879999999888241,11452166.679999999701977
FS( 104 ),6038532.750000000000000,5456339.890000000596046,11494872.640000000596046
FS( 105 ),6084452.450000000186265,5524265.990000000223517,11608718.440000001341105
FS( 106 ),5989943.300000000745058,5448312.260000000707805,11438255.560000002384186
FS( 107 ),6036396.950000000186265,5542173.780000000260770,11578570.730000000447035
FS( 108 ),6008097.599999999627471,5474865.190000000409782,11482962.789999999105930
FS( 109 ),6033727.200000000186265,5455722.379999999888241,11489449.580000000074506
FS( 110 ),6036396.950000000186265,5486597.879999999888241,11522994.830000000074506
FS( 111 ),6081248.750000000000000,5509445.750000000000000,11590694.500000000000000
FS( 112 ),6090325.900000000372529,5557611.530000000260770,11647937.429999999701977
FS( 113 ),6196581.950000000186265,5499565.590000000782311,11696147.540000000968575
FS( 114 ),6209930.700000000186265,5467455.070000000298023,11677385.769999999552965
FS( 115 ),6265461.500000000000000,5469307.599999999627471,11734769.099999999627471
FS( 116 ),6246239.300000000745058,5448929.769999999552965,11695169.070000000298023
FS( 117 ),6280946.049999999813735,5460662.460000000894070,11741608.510000001639128
FS( 118 ),6276674.450000000186265,5423611.860000000335276,11700286.310000000521541
FS( 119 ),6272402.850000000558794,5400146.480000000447035,11672549.330000001937151
FS( 120 ),6253714.600000000558794,5282202.070000000298023,11535916.670000001788139
FS( 121 ),6250510.900000000372529,5244533.960000000894070,11495044.860000001266599
FS( 122 ),6225949.200000000186265,5207483.360000000335276,11433432.560000000521541
FS( 123 ),6282013.950000000186265,5193280.629999999888241,11475294.580000000074506
FS( 124 ),6314050.950000000186265,5370506.000000000000000,11684556.949999999254942
FS( 125 ),6172020.250000000000000,5397058.930000000633299,11569079.179999999701977
FS( 126 ),6112751.800000000745058,5346423.110000000335276,11459174.910000000149012
FS( 127 ),6072171.600000000558794,5362478.370000000111759,11434649.970000000670552
FS( 128 ),6062560.500000000931323,5360008.330000000074506,11422568.830000001937151
