代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11776556.630000000819564
真實報酬,1776556.630000000819564

夏普值報酬,0.168955663000000
夏普值風險,0.047999484043520
夏普值,3.519947482077372

二次趨勢線,-26.345493672272458 x^2 + 17145.448724323116039 x + 10000000.000000000000000
二次平均預期報酬,13852.262015289059491
風險,104553.144791104990873
二次平均趨勢值,0.132490151711511
一次趨勢線,14685.477929623009913 x + 10000000.000000000000000
一次預期報酬,14685.477929623009913
一次風險,114122.632970719787409
一次趨勢值,0.128681555510473
找到最佳解世代,1536
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),CSCO[4](6),DD[7](2),MCD[15](3),MRK[17](8),
FS( 32 ),2184206.880000000353903,2160264.390000000130385,2155248.080000000074506,1990674.649999999906868,2092465.919999999925494,10582859.919999999925494
FS( 33 ),2170676.219999999739230,2156471.149999999906868,2154545.600000000558794,1967257.659999999916181,2070545.120000000111759,10519495.750000000000000
FS( 34 ),2150736.299999999813735,2165005.939999999944121,2297500.280000000260770,1970366.109999999636784,2065762.399999999906868,10649371.030000001192093
FS( 35 ),2127947.819999999832362,2165954.250000000000000,2284855.639999999664724,1966221.509999999776483,2046631.520000000018626,10591610.739999998360872
FS( 36 ),2100411.740000000223517,2139401.569999999832362,2237087.000000000000000,1975339.629999999655411,2056595.520000000018626,10508835.459999999031425
FS( 37 ),2045576.959999999962747,2105262.409999999683350,2171405.120000000111759,1956896.159999999916181,2071740.799999999813735,10350881.449999999254942
FS( 38 ),2167115.520000000018626,2086296.209999999962747,2155950.560000000521541,1949435.879999999655411,2093661.599999999860302,10452459.770000001415610
FS( 39 ),2195126.359999999869615,2062588.459999999962747,2153843.120000000111759,1951715.409999999916181,2107212.639999999664724,10470485.990000000223517
FS( 40 ),2151211.060000000055879,2053105.359999999869615,2237438.240000000223517,1930370.719999999972060,2080907.679999999934807,10453033.060000000521541
FS( 41 ),2212455.100000000093132,2084399.590000000083819,2266591.160000000149012,1943840.669999999692664,2132720.479999999981374,10640007.000000000000000
FS( 42 ),2229309.080000000074506,2077761.419999999925494,2276425.879999999888241,1951508.179999999934807,2111198.239999999757856,10646202.800000000745058
FS( 43 ),2193939.459999999962747,2043622.260000000009313,2235330.799999999813735,1927676.729999999748543,2075726.399999999906868,10476295.650000000372529
FS( 44 ),2195838.500000000000000,2067330.010000000009313,2249029.160000000149012,1929127.339999999850988,2132720.479999999981374,10574045.490000000223517
FS( 45 ),2183019.979999999981374,2084399.590000000083819,2243409.320000000298023,1939281.609999999636784,2133517.600000000093132,10583628.099999999627471
FS( 46 ),2227410.040000000037253,2132763.399999999906868,2280289.520000000484288,1967464.889999999664724,2143083.040000000037253,10751010.890000000596046
FS( 47 ),2252097.560000000055879,2149832.979999999981374,2280992.000000000000000,1987773.429999999934807,2182939.040000000037253,10853635.010000001639128
FS( 48 ),2243314.500000000000000,2165005.939999999944121,2292934.160000000149012,1965807.049999999813735,2187721.759999999776483,10854783.409999998286366
FS( 49 ),2254233.979999999981374,2153626.220000000204891,2342810.240000000223517,1975754.089999999850988,2220005.120000000111759,10946429.650000002235174
FS( 50 ),2282956.959999999962747,2166902.560000000055879,2319628.400000000372529,1966428.739999999757856,2192105.919999999925494,10928022.580000000074506
FS( 51 ),2281532.680000000167638,2111900.580000000074506,2316116.000000000000000,1978240.849999999627471,2196091.520000000018626,10883881.629999998956919
FS( 52 ),2291977.399999999906868,2139401.569999999832362,2336487.919999999925494,1984872.209999999729916,2209642.560000000055879,10962381.660000000149012
FS( 53 ),2292214.780000000260770,2125176.919999999925494,2340000.320000000298023,1989845.729999999748543,2219606.560000000055879,10966844.310000000521541
FS( 54 ),2283906.479999999981374,2112848.890000000130385,2322789.559999999590218,1980105.919999999692664,2193700.159999999683350,10893351.009999999776483
FS( 55 ),2300760.459999999962747,2114745.510000000242144,2357913.559999999590218,1984250.519999999785796,2224389.279999999795109,10982059.330000000074506
FS( 56 ),2314528.500000000000000,2098624.239999999757856,2349132.559999999590218,1998756.619999999878928,2233157.600000000093132,10994199.519999999552965
FS( 57 ),2310255.659999999683350,2097675.930000000167638,2348430.080000000074506,1999792.769999999785796,2239136.000000000000000,10995290.439999999478459
FS( 58 ),2288654.080000000074506,2071123.250000000000000,2362128.440000000409782,2002279.529999999795109,2228374.879999999888241,10952560.179999999701977
FS( 59 ),2307407.100000000093132,2079658.040000000037253,2392335.080000000074506,1987151.739999999757856,2242723.040000000037253,11009275.000000000000000
FS( 60 ),2295538.100000000093132,2078709.730000000214204,2426405.360000000335276,1970366.109999999636784,2258266.879999999888241,11029286.179999999701977
FS( 61 ),2301947.359999999869615,2067330.010000000009313,2436591.320000000298023,1971816.719999999972060,2271419.359999999869615,11049104.769999999552965
FS( 62 ),2286280.280000000260770,2045518.879999999888241,2422892.959999999962747,1954616.629999999655411,2248701.439999999944121,10958010.189999999478459
FS( 63 ),2303134.259999999776483,2069226.629999999888241,2474174.000000000000000,1968293.809999999823049,2274209.279999999795109,11089037.979999998584390
FS( 64 ),2287704.560000000055879,2073968.180000000167638,2496653.360000000335276,1969122.729999999748543,2267035.200000000186265,11094484.030000001192093
FS( 65 ),2316902.299999999813735,2069226.629999999888241,2489979.799999999813735,1980727.609999999636784,2282180.479999999981374,11139016.820000000298023
FS( 66 ),2303846.399999999906868,2060691.840000000083819,2476632.680000000633299,1979069.769999999785796,2290550.239999999757856,11110790.930000001564622
FS( 67 ),2296725.000000000000000,2056898.600000000093132,2492438.479999999515712,1972852.869999999878928,2284571.839999999850988,11103486.789999999105930
FS( 68 ),2298861.419999999925494,2049312.119999999878928,2463988.040000000037253,2047041.209999999729916,2259462.560000000055879,11118665.349999999627471
FS( 69 ),2298386.659999999683350,2069226.629999999888241,2452397.120000000111759,2045590.599999999627471,2264245.279999999795109,11129846.289999997243285
FS( 70 ),2269663.680000000167638,2040777.329999999841675,2437996.280000000260770,2017821.779999999795109,2223592.159999999683350,10989851.230000000447035
FS( 71 ),2264441.319999999832362,2024656.060000000055879,2433430.160000000149012,2022173.609999999636784,2220005.120000000111759,10964706.269999999552965
FS( 72 ),2271087.959999999962747,2039829.020000000018626,2450992.160000000149012,2022588.069999999599531,2242324.479999999981374,11026821.690000001341105
FS( 73 ),2288654.080000000074506,2051208.739999999757856,2484359.959999999962747,2016578.399999999906868,2246310.080000000074506,11087111.259999999776483
FS( 74 ),2279871.020000000018626,2051208.739999999757856,2481550.040000000037253,1991503.569999999599531,2231563.359999999869615,11035696.729999998584390
FS( 75 ),2283906.479999999981374,2070174.939999999711290,2513161.639999999664724,2001865.069999999599531,2215620.959999999962747,11084729.089999999850988
FS( 76 ),2311917.319999999832362,2052157.050000000046566,2511405.440000000409782,1978448.079999999841675,2178554.879999999888241,11032482.769999999552965
FS( 77 ),2299098.799999999813735,2045518.879999999888241,2508946.760000000707805,1993161.409999999916181,2143481.600000000093132,10990207.449999999254942
FS( 78 ),2340402.919999999925494,2118538.750000000000000,2533182.320000000298023,1987566.199999999720603,2199678.560000000055879,11179368.750000000000000
FS( 79 ),2321649.899999999906868,2116642.129999999888241,2472417.799999999813735,1986115.589999999850988,2232759.040000000037253,11129584.459999997168779
FS( 80 ),2337079.600000000093132,2088192.829999999841675,2400413.600000000558794,1992746.949999999720603,2221200.799999999813735,11039633.780000001192093
FS( 81 ),2359393.319999999832362,2117590.439999999944121,2410950.799999999813735,2015127.789999999571592,2231164.799999999813735,11134227.149999998509884
FS( 82 ),2358918.560000000055879,2126125.229999999981374,2430620.240000000223517,2031498.959999999729916,2262651.040000000037253,11209814.030000001192093
FS( 83 ),2369363.280000000260770,2190610.310000000055879,2486467.400000000372529,2028804.969999999972060,2246708.639999999664724,11321954.600000001490116
FS( 84 ),2436304.439999999944121,2180178.899999999906868,2495950.879999999888241,2022380.839999999850988,2250295.680000000167638,11385110.739999998360872
FS( 85 ),2434405.399999999906868,2189662.000000000000000,2479091.360000000335276,2023831.449999999720603,2240331.680000000167638,11367321.890000000596046
FS( 86 ),2425384.959999999962747,2153626.220000000204891,2435537.600000000558794,2028183.279999999795109,2236744.639999999664724,11279476.699999999254942
FS( 87 ),2400222.680000000167638,2166902.560000000055879,2397603.680000000633299,2010361.500000000000000,2199678.560000000055879,11174768.980000002309680
FS( 88 ),2430607.319999999832362,2175437.350000000093132,2404628.479999999515712,2032535.109999999636784,2193700.159999999683350,11236908.419999999925494
FS( 89 ),2444850.119999999646097,2192506.930000000167638,2449587.200000000186265,2038130.319999999599531,2275803.520000000018626,11400878.089999999850988
FS( 90 ),2427521.380000000353903,2147936.359999999869615,2386012.760000000707805,2060511.159999999916181,2225983.520000000018626,11247965.179999999701977
FS( 91 ),2408293.600000000093132,2129918.470000000204891,2348430.080000000074506,2057609.939999999944121,2228773.439999999944121,11173025.529999999329448
FS( 92 ),2439865.140000000130385,2166902.560000000055879,2375826.799999999813735,2074602.799999999813735,2214823.839999999850988,11272021.140000000596046
FS( 93 ),2433218.500000000000000,2170695.799999999813735,2379339.200000000186265,2089523.359999999636784,2233954.719999999739230,11306731.579999998211861
FS( 94 ),2443425.840000000316650,2183972.140000000130385,2426054.120000000111759,2089523.359999999636784,2242324.479999999981374,11385299.940000001341105
FS( 95 ),2441052.040000000037253,2201041.720000000204891,2436942.559999999590218,2077504.019999999785796,2250694.239999999757856,11407234.580000000074506
FS( 96 ),2436541.819999999832362,2219059.609999999869615,2438347.520000000484288,2065484.679999999934807,2281781.919999999925494,11441215.550000000745058
FS( 97 ),2461466.719999999739230,2230439.330000000074506,2448182.240000000223517,2058231.629999999655411,2302507.040000000037253,11500826.960000000894070
FS( 98 ),2454107.939999999944121,2228542.709999999962747,2469607.879999999888241,2054294.259999999776483,2291745.919999999925494,11498298.709999999031425
FS( 99 ),2499210.140000000130385,2212421.439999999944121,2462934.320000000298023,2069007.589999999850988,2292941.600000000093132,11536515.089999999850988
FS( 100 ),2485204.719999999739230,2181127.209999999962747,2426054.120000000111759,2087451.059999999823049,2281383.359999999869615,11461220.469999998807907
FS( 101 ),2474997.380000000353903,2183023.830000000074506,2365640.839999999850988,2078747.399999999906868,2259064.000000000000000,11361473.450000001117587
FS( 102 ),2499684.899999999906868,2196300.169999999925494,2435888.839999999850988,2103407.769999999552965,2340370.239999999757856,11575651.919999999925494
FS( 103 ),2502058.700000000186265,2191558.620000000111759,2495950.879999999888241,2100921.009999999776483,2333993.279999999795109,11624482.490000000223517
FS( 104 ),2494225.159999999683350,2182075.520000000018626,2436591.320000000298023,2092217.349999999627471,2376240.639999999664724,11581349.989999998360872
FS( 105 ),2492800.880000000353903,2175437.350000000093132,2435537.600000000558794,2101957.160000000149012,2320442.239999999757856,11526175.230000002309680
FS( 106 ),2481169.259999999776483,2177333.970000000204891,2468905.400000000372529,2095947.489999999757856,2336783.200000000186265,11560139.320000000298023
FS( 107 ),2465739.560000000055879,2154574.529999999795109,2456612.000000000000000,2092010.119999999878928,2276202.080000000074506,11445138.289999999105930
FS( 108 ),2483543.060000000055879,2168799.180000000167638,2476983.919999999925494,2112940.349999999627471,2225584.959999999962747,11467851.469999998807907
FS( 109 ),2491139.219999999739230,2183023.830000000074506,2461529.360000000335276,2112733.120000000111759,2185330.399999999906868,11433755.930000001564622
FS( 110 ),2493987.780000000260770,2183023.830000000074506,2464690.520000000484288,2133041.660000000149012,2200475.680000000167638,11475219.470000000670552
FS( 111 ),2521049.100000000093132,2199145.100000000093132,2507190.559999999590218,2131591.049999999813735,2203664.159999999683350,11562639.969999998807907
FS( 112 ),2543600.200000000186265,2167850.870000000111759,2503678.160000000149012,2145475.459999999962747,2221997.919999999925494,11582602.610000001266599
FS( 113 ),2528882.640000000130385,2163109.319999999832362,2511054.200000000186265,2135113.959999999962747,2246708.639999999664724,11584868.760000001639128
FS( 114 ),2492326.119999999646097,2293027.790000000037253,2431673.959999999962747,2124130.769999999552965,2227577.759999999776483,11568736.400000000372529
FS( 115 ),2517013.640000000130385,2311045.680000000167638,2449938.440000000409782,2137393.490000000223517,2226780.639999999664724,11642171.890000000596046
FS( 116 ),2501821.319999999832362,2309149.060000000055879,2467851.680000000633299,2115634.339999999850988,2245911.520000000018626,11640367.919999999925494
FS( 117 ),2410904.780000000260770,2287337.930000000167638,2487872.360000000335276,2104029.459999999962747,2231961.919999999925494,11522106.450000001117587
FS( 118 ),2442238.939999999944121,2321477.089999999850988,2498058.320000000298023,2125374.149999999441206,2255078.399999999906868,11642226.900000000372529
FS( 119 ),2446986.540000000037253,2311993.989999999757856,2489979.799999999813735,2123094.620000000111759,2251491.359999999869615,11623546.309999998658895
FS( 120 ),2469537.640000000130385,2325270.330000000074506,2534938.520000000484288,2113769.269999999552965,2264245.279999999795109,11707761.040000000968575
FS( 121 ),2461229.340000000316650,2343288.220000000204891,2547583.160000000149012,2121229.549999999813735,2259462.560000000055879,11732792.830000000074506
FS( 122 ),2442951.080000000074506,2353719.629999999888241,2589731.959999999962747,2099263.169999999925494,2247904.319999999832362,11733570.160000000149012
FS( 123 ),2459330.299999999813735,2340443.290000000037253,2624504.719999999739230,2100092.089999999850988,2299717.120000000111759,11824087.519999999552965
FS( 124 ),2426809.240000000223517,2334753.430000000167638,2606942.719999999739230,2101957.160000000149012,2306094.080000000074506,11776556.630000000819564
