代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12095403.480000000447035
真實報酬,2095403.480000000447035

夏普值報酬,0.200840348000000
夏普值風險,0.061063418557332
夏普值,3.289045270392657

二次趨勢線,-155.946350137008380 x^2 + 36975.636157425644342 x + 10000000.000000000000000
二次平均預期報酬,17482.342390299578256
風險,188071.846848044602666
二次平均趨勢值,0.092955658612874
一次趨勢線,22414.380572343568929 x + 10000000.000000000000000
一次預期報酬,22414.380572343568929
一次風險,329684.409579618659336
一次趨勢值,0.067987384058968
找到最佳解世代,2311
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),PG[21](2),
Stock#,MCD[15](1),PG[21](2),
張數,53493,72568,
FS( 105 ),6665772.019999999552965,5886780.959999999962747,12552552.980000000447035
FS( 106 ),6630466.640000000596046,5821469.759999999776483,12451936.400000000372529
FS( 107 ),6497804.000000000000000,5885329.599999999627471,12383133.599999999627471
FS( 108 ),6454474.669999999925494,5856302.400000000372529,12310777.070000000298023
FS( 109 ),6173101.490000000223517,5892586.400000000372529,12065687.890000000596046
FS( 110 ),6207871.939999999478459,5995632.959999999962747,12203504.899999998509884
FS( 111 ),6259225.220000000670552,5997084.320000000298023,12256309.540000000968575
FS( 112 ),6287576.510000000707805,5923064.959999999962747,12210641.470000000670552
FS( 113 ),6244247.180000000633299,5798248.000000000000000,12042495.179999999701977
FS( 114 ),6308438.780000000260770,5877347.119999999180436,12185785.899999998509884
FS( 115 ),6375305.030000000260770,5912179.759999999776483,12287484.789999999105930
FS( 116 ),6346418.810000000521541,5983296.400000000372529,12329715.210000000894070
FS( 117 ),6267784.100000000558794,5949189.440000000409782,12216973.540000000968575
FS( 118 ),6233548.580000000074506,5935401.520000000484288,12168950.100000001490116
FS( 119 ),6294530.600000000558794,5960074.639999999664724,12254605.240000000223517
FS( 120 ),6253340.990000000223517,5936852.879999999888241,12190193.870000001043081
FS( 121 ),6261899.870000000111759,5918710.879999999888241,12180610.750000000000000
FS( 122 ),6331975.700000000186265,5975313.919999999925494,12307289.620000001043081
FS( 123 ),6261899.870000000111759,5885329.599999999627471,12147229.469999998807907
FS( 124 ),6268853.959999999962747,5826549.520000000484288,12095403.480000000447035
