代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11311377.419999998062849
真實報酬,1311377.419999998062849

夏普值報酬,0.122437742000000
夏普值風險,0.056248189391617
夏普值,2.176741035121164

二次趨勢線,183.189718544977666 x^2 + -9798.395013091869259 x + 10000000.000000000000000
二次平均預期報酬,13283.509523575314233
風險,204584.646232095750747
二次平均趨勢值,0.064929161441106
一次趨勢線,7444.063555135637216 x + 10000000.000000000000000
一次預期報酬,7444.063555135637216
一次風險,382515.474409386632033
一次趨勢值,0.019460816759451
找到最佳解世代,2033
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MSFT[18](2),NKE[19](1),
FS( 82 ),5248776.359999999403954,5338503.219999999739230,10587279.579999998211861
FS( 83 ),5242941.519999999552965,5306722.349999999627471,10549663.869999999180436
FS( 84 ),5346377.320000000298023,5377674.990000000223517,10724052.310000000521541
FS( 85 ),5393056.040000000037253,5456757.619999999180436,10849813.660000000149012
FS( 86 ),5420638.919999999925494,5473017.599999999627471,10893656.519999999552965
FS( 87 ),5436552.119999999180436,5524753.899999999441206,10961306.019999999552965
FS( 88 ),5351151.279999999329448,5525492.990000000223517,10876644.269999999552965
FS( 89 ),5390934.279999999329448,5535840.250000000000000,10926774.529999999329448
FS( 90 ),5360168.759999999776483,5512928.459999999962747,10873097.219999998807907
FS( 91 ),5373960.199999999254942,5490755.759999999776483,10864715.959999999031425
FS( 92 ),5349559.959999999031425,5477452.139999999664724,10827012.099999997764826
FS( 93 ),5379795.040000000037253,5521058.449999999254942,10900853.489999998360872
FS( 94 ),5311368.279999999329448,5605314.709999999962747,10916682.989999998360872
FS( 95 ),5350090.399999999441206,5588315.639999999664724,10938406.039999999105930
FS( 96 ),5350090.399999999441206,5488538.490000000223517,10838628.890000000596046
FS( 97 ),5403664.839999999850988,5522536.629999998956919,10926201.469999998807907
FS( 98 ),5364942.719999999739230,5464887.609999999403954,10829830.329999998211861
FS( 99 ),5326220.599999999627471,5427194.019999999552965,10753414.619999999180436
FS( 100 ),5219071.719999999739230,5347372.299999998882413,10566444.019999999552965
FS( 101 ),5255672.079999999143183,5362893.189999999478459,10618565.269999999552965
FS( 102 ),5173984.320000000298023,5273463.299999998882413,10447447.619999999180436
FS( 103 ),5231802.279999999329448,5299331.449999999254942,10531133.729999998584390
FS( 104 ),5230741.399999999441206,5889125.269999999552965,11119866.669999998062849
FS( 105 ),5305003.000000000000000,5790826.299999998882413,11095829.299999998882413
FS( 106 ),5254080.759999999776483,5637834.669999999925494,10891915.429999999701977
FS( 107 ),5291742.000000000000000,5657790.099999999627471,10949532.099999999627471
FS( 108 ),5366003.599999999627471,5652616.469999999739230,11018620.070000000298023
FS( 109 ),5402603.959999999031425,5711743.669999999925494,11114347.629999998956919
FS( 110 ),5416925.839999999850988,5733177.279999999329448,11150103.119999999180436
FS( 111 ),5409499.679999999701977,5717656.389999999664724,11127156.070000000298023
FS( 112 ),5526726.919999999925494,5718395.479999999515712,11245122.399999998509884
FS( 113 ),5592501.479999999515712,5719134.569999999366701,11311636.049999998882413
FS( 114 ),5564918.599999999627471,5746480.899999999441206,11311399.500000000000000
FS( 115 ),5620084.359999999403954,5725786.379999998956919,11345870.739999998360872
FS( 116 ),5576057.839999999850988,5660746.459999999962747,11236804.300000000745058
FS( 117 ),5537866.160000000149012,5687353.699999999254942,11225219.859999999403954
FS( 118 ),5637058.439999999478459,5688092.789999999105930,11325151.229999998584390
FS( 119 ),5727233.239999999292195,5660746.459999999962747,11387979.699999999254942
FS( 120 ),5710789.599999999627471,5582402.919999999925494,11293192.519999999552965
FS( 121 ),5878939.079999999143183,5702874.589999998919666,11581813.669999998062849
FS( 122 ),5814755.839999999850988,5776044.500000000000000,11590800.339999999850988
FS( 123 ),5711850.479999999515712,5682919.159999999217689,11394769.639999998733401
FS( 124 ),5589318.839999999850988,5614183.789999999105930,11203502.629999998956919
FS( 125 ),5626980.079999999143183,5684397.339999998919666,11311377.419999998062849
