代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11968246.320000000298023
真實報酬,1968246.320000000298023

夏普值報酬,0.188124632000000
夏普值風險,0.051060461468397
夏普值,3.684350407143064

二次趨勢線,-6.074269285841801 x^2 + 16231.314876994487349 x + 10000000.000000000000000
二次平均預期報酬,15465.956946978423730
風險,120459.768686164185056
二次平均趨勢值,0.128391056330783
一次趨勢線,15659.583355568202023 x + 10000000.000000000000000
一次預期報酬,15659.583355568202023
一次風險,120935.564254012337187
一次趨勢值,0.129486999561824
找到最佳解世代,1627
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](14),HD[9](2),TRV[22](3),V[25](1),
FS( 39 ),2383539.939999999944121,2888926.959999999962747,2702445.189999999944121,2638844.109999999869615,10613756.199999999254942
FS( 40 ),2413427.919999999925494,2862321.260000000242144,2674821.089999999850988,2598838.180000000167638,10549408.449999999254942
FS( 41 ),2408274.819999999832362,2896666.800000000279397,2699682.779999999795109,2626293.229999999515712,10630917.629999998956919
FS( 42 ),2391097.819999999832362,2920370.060000000055879,2693763.330000000074506,2633353.100000000093132,10638584.310000000521541
FS( 43 ),2405182.959999999962747,2930044.860000000335276,2725728.359999999403954,2681203.329999999608845,10742159.509999999776483
FS( 44 ),2388693.040000000037253,2918435.100000000093132,2711127.049999999813735,2667083.589999999850988,10685338.780000001192093
FS( 45 ),2400029.859999999869615,2988093.660000000149012,2723360.580000000074506,2716502.680000000167638,10827986.779999999329448
FS( 46 ),2402778.179999999701977,2986642.440000000409782,2734015.589999999850988,2739251.149999999906868,10862687.359999999403954
FS( 47 ),2435414.479999999981374,3057268.480000000447035,2745065.229999999981374,2751017.600000000093132,10988765.790000000968575
FS( 48 ),2424421.199999999720603,2993414.800000000279397,2744275.969999999739230,2720424.829999999608845,10882536.799999998882413
FS( 49 ),2426825.979999999981374,2948426.980000000447035,2735594.109999999403954,2681987.759999999776483,10792834.830000000074506
FS( 50 ),2416519.780000000260770,2889894.440000000409782,2738751.149999999906868,2694538.640000000130385,10739704.010000001639128
FS( 51 ),2433353.239999999757856,2854581.419999999925494,2729280.029999999795109,2726700.269999999552965,10743914.959999999031425
FS( 52 ),2468394.319999999832362,2881187.120000000111759,2711916.309999999590218,2728269.129999999888241,10789766.879999998956919
FS( 53 ),2482135.919999999925494,2933914.780000000260770,2754141.719999999739230,2743173.299999999813735,10913365.719999998807907
FS( 54 ),2524391.339999999850988,2944073.320000000298023,2781765.819999999366701,2768275.059999999590218,11018505.539999999105930
FS( 55 ),2529544.439999999944121,2969711.540000000037253,2816887.889999999664724,2795730.109999999869615,11111873.980000000447035
FS( 56 ),2551187.459999999962747,2989544.879999999888241,2917913.169999999459833,2782394.799999999813735,11241040.309999998658895
FS( 57 ),2542598.959999999962747,2993898.540000000037253,2900944.080000000074506,2744742.160000000149012,11182183.740000000223517
FS( 58 ),2531949.220000000204891,3001154.640000000130385,2919886.319999999366701,2725915.839999999850988,11178906.019999999552965
FS( 59 ),2501717.699999999720603,2987126.180000000167638,2895813.889999999664724,2679634.469999999739230,11064292.239999998360872
FS( 60 ),2497938.759999999776483,2964390.400000000372529,2887921.290000000037253,2676496.749999999534339,11026747.199999999254942
FS( 61 ),2457744.580000000074506,2925691.200000000186265,2846090.509999999776483,2697676.359999999869615,10927202.650000000372529
FS( 62 ),2442972.359999999869615,2904406.640000000130385,2823991.229999999981374,2712580.529999999795109,10883950.759999999776483
FS( 63 ),2419955.179999999701977,2969227.800000000279397,2799524.169999999459833,2721209.259999999776483,10909916.410000000149012
FS( 64 ),2431979.080000000074506,3011796.919999999925494,2771505.439999999944121,2821616.299999999813735,11036897.739999998360872
FS( 65 ),2406557.119999999646097,3000187.160000000149012,2747433.009999999776483,2812203.140000000130385,10966380.429999999701977
FS( 66 ),2418924.559999999590218,3017601.800000000279397,2727306.879999999888241,2775334.930000000167638,10939168.169999999925494
FS( 67 ),2474234.500000000000000,3029211.560000000055879,2769137.659999999683350,2821616.299999999813735,11094200.019999999552965
FS( 68 ),2408618.359999999869615,2998735.940000000409782,2711521.679999999701977,2795730.109999999869615,10914606.089999999850988
FS( 69 ),2438506.339999999850988,2944073.320000000298023,2722965.949999999720603,2786316.950000000186265,10891862.559999998658895
FS( 70 ),2516489.919999999925494,2948910.720000000204891,2722176.689999999944121,2802789.979999999515712,10990367.309999998658895
FS( 71 ),2531605.679999999701977,2958585.520000000018626,2700472.040000000037253,2809065.419999999925494,10999728.660000000149012
FS( 72 ),2520268.859999999869615,3065975.800000000279397,2692579.439999999944121,2793376.819999999832362,11072200.919999999925494
FS( 73 ),2449156.080000000074506,2973581.459999999962747,2686265.359999999403954,2744742.160000000149012,10853745.059999998658895
FS( 74 ),2440567.580000000074506,2962939.180000000167638,2696131.109999999403954,2745526.589999999850988,10845164.459999999031425
FS( 75 ),2431292.000000000000000,3005024.560000000055879,2709153.899999999906868,2798867.829999999608845,10944338.290000000968575
FS( 76 ),2472173.259999999776483,3063557.100000000093132,2744275.969999999739230,2856131.219999999739230,11136137.549999998882413
FS( 77 ),2492098.580000000074506,3087260.360000000335276,2748222.269999999552965,2870250.959999999962747,11197832.169999999925494
FS( 78 ),2513054.520000000018626,3100321.340000000316650,2771110.809999999590218,2876526.399999999906868,11261013.070000000298023
FS( 79 ),2533323.379999999888241,3135634.359999999869615,2812546.959999999497086,2904765.879999999888241,11386270.579999998211861
FS( 80 ),2551531.000000000000000,3128378.260000000242144,2796367.129999999888241,2887508.419999999925494,11363784.810000000521541
FS( 81 ),2559088.879999999888241,3103707.520000000018626,2795183.239999999757856,2878879.689999999944121,11336859.330000000074506
FS( 82 ),2545347.280000000260770,3136118.100000000093132,2800313.429999999701977,2888292.850000000093132,11370071.660000000149012
FS( 83 ),2546377.899999999906868,3107577.439999999944121,2808995.290000000037253,2906334.739999999757856,11369285.369999999180436
FS( 84 ),2551874.540000000037253,3147727.859999999869615,2794788.609999999403954,2936143.079999999608845,11430534.089999999850988
FS( 85 ),2542942.500000000000000,3143374.200000000186265,2799918.799999999813735,2914963.469999999739230,11401198.969999998807907
FS( 86 ),2543973.119999999646097,3107577.439999999944121,2783344.339999999850988,2894568.289999999571592,11329463.189999997615814
FS( 87 ),2537789.399999999906868,3096935.160000000149012,2920280.949999999720603,2903981.450000000186265,11458986.960000000894070
FS( 88 ),2541568.339999999850988,3112414.840000000316650,2886737.399999999906868,2911825.749999999534339,11452546.330000000074506
FS( 89 ),2564241.979999999981374,3117735.980000000447035,2896208.519999999552965,2913394.609999999869615,11491581.089999999850988
FS( 90 ),2594817.040000000037253,3049528.640000000130385,2894235.369999999646097,2915747.899999999906868,11454328.949999999254942
FS( 91 ),2604779.699999999720603,3042272.540000000037253,2897787.040000000037253,2920454.479999999515712,11465293.760000001639128
FS( 92 ),2592755.799999999813735,3044207.500000000000000,2893051.479999999981374,2900059.299999999813735,11430074.079999998211861
FS( 93 ),2553248.699999999720603,3019053.020000000018626,2889894.439999999944121,2886723.989999999757856,11348920.150000000372529
FS( 94 ),2542942.500000000000000,3002122.120000000111759,2895419.259999999776483,2879664.120000000111759,11320148.000000000000000
FS( 95 ),2564585.520000000018626,3062589.620000000111759,2927778.919999999459833,2924376.629999999888241,11479330.690000001341105
FS( 96 ),2594473.500000000000000,3047593.680000000167638,2933303.739999999757856,2955753.829999999608845,11531124.750000000000000
FS( 97 ),2594129.959999999962747,2988093.660000000149012,2897787.040000000037253,2925161.059999999590218,11405171.719999998807907
FS( 98 ),2617834.220000000204891,2997768.459999999962747,2913177.609999999403954,2990268.749999999534339,11519049.039999999105930
FS( 99 ),2616803.600000000093132,2966325.360000000335276,2873714.609999999403954,2956538.259999999776483,11413381.830000000074506
FS( 100 ),2609932.799999999813735,2978418.860000000335276,2855561.629999999888241,2965166.989999999757856,11409080.279999999329448
FS( 101 ),2611650.500000000000000,2957618.040000000037253,2852009.959999999497086,2936927.509999999776483,11358206.009999999776483
FS( 102 ),2605123.239999999757856,2954231.860000000335276,2834251.609999999403954,2929867.640000000130385,11323474.349999999627471
FS( 103 ),2565959.679999999701977,2933914.780000000260770,2811363.069999999366701,2914963.469999999739230,11226201.000000000000000
FS( 104 ),2588976.859999999869615,2991963.580000000074506,2834251.609999999403954,2973011.289999999571592,11388203.339999997988343
FS( 105 ),2647722.199999999720603,3070813.200000000186265,2875293.129999999888241,3047532.140000000130385,11641360.670000001788139
FS( 106 ),2661463.799999999813735,3062105.879999999888241,2897392.409999999683350,3049885.430000000167638,11670847.519999999552965
FS( 107 ),2669021.679999999701977,3056301.000000000000000,2922648.729999999981374,3074202.759999999776483,11722174.169999999925494
FS( 108 ),2615429.439999999944121,3039853.840000000316650,2883185.729999999981374,3096166.799999999813735,11634635.809999998658895
FS( 109 ),2546721.439999999944121,3058235.959999999962747,2888315.919999999459833,3125190.709999999962747,11618464.030000001192093
FS( 110 ),2637072.459999999962747,3055817.260000000242144,2917913.169999999459833,3173040.939999999944121,11783843.830000000074506
FS( 111 ),2648409.280000000260770,3077585.560000000055879,2938039.299999999813735,3147939.180000000167638,11811973.320000000298023
FS( 112 ),2582106.059999999590218,3081455.480000000447035,2953824.499999999534339,3160490.059999999590218,11777876.099999997764826
FS( 113 ),2629858.119999999646097,3070813.200000000186265,2957770.799999999813735,3150292.469999999739230,11808734.589999999850988
FS( 114 ),2643256.179999999701977,3093548.980000000447035,2981843.229999999981374,3146370.319999999832362,11865018.710000000894070
FS( 115 ),2553935.780000000260770,3089195.320000000298023,2981448.599999999627471,3141663.739999999757856,11766243.439999999478459
FS( 116 ),2585541.459999999962747,3146760.379999999888241,2995260.649999999906868,3135388.299999999813735,11862950.789999999105930
FS( 117 ),2577983.580000000074506,3167077.459999999962747,3011440.479999999981374,3104011.100000000093132,11860512.619999999180436
FS( 118 ),2547752.059999999590218,3180622.180000000167638,3076159.799999999813735,3118915.269999999552965,11923449.309999998658895
FS( 119 ),2552218.080000000074506,3214967.719999999739230,3063926.269999999552965,3118915.269999999552965,11950027.339999999850988
FS( 120 ),2587602.699999999720603,3258020.580000000074506,3081684.619999999646097,3129112.859999999869615,12056420.759999997913837
FS( 121 ),2577640.040000000037253,3280756.359999999869615,3091944.999999999534339,3134603.870000000111759,12084945.269999999552965
FS( 122 ),2542255.419999999925494,3269146.600000000093132,3052481.999999999534339,3066358.459999999962747,11930242.480000000447035
FS( 123 ),2530231.520000000018626,3250764.480000000447035,3070634.979999999981374,3072633.899999999906868,11924264.880000000819564
FS( 124 ),2562524.280000000260770,3252699.439999999944121,3061558.489999999757856,3039687.839999999850988,11916470.050000000745058
FS( 125 ),2537789.399999999906868,3237219.760000000242144,3096285.929999999701977,3096951.229999999515712,11968246.320000000298023
