代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12137227.250000000000000
真實報酬,2137227.250000000000000

夏普值報酬,0.205022725000000
夏普值風險,0.046403030863019
夏普值,4.418304606119882

二次趨勢線,-72.883068774849392 x^2 + 25125.465575020381948 x + 10000000.000000000000000
二次平均預期報酬,15796.432771839658017
風險,171371.514025141485035
二次平均趨勢值,0.092176537400038
一次趨勢線,18156.129304408877942 x + 10000000.000000000000000
一次預期報酬,18156.129304408877942
一次風險,216753.474247360310983
一次趨勢值,0.083763959804810
找到最佳解世代,2097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),KO[14](12),PG[21](2),VZ[26](10),
FS( 38 ),2986411.000000000000000,2654561.800000000279397,2716033.479999999981374,2499113.179999999701977,10856119.460000000894070
FS( 39 ),2996797.000000000000000,2709583.800000000279397,2763238.120000000577420,2531038.699999999720603,11000657.620000001043081
FS( 40 ),3024781.500000000000000,2700580.200000000651926,2793824.800000000279397,2543897.589999999850988,11063084.090000001713634
FS( 41 ),3011799.000000000000000,2687074.800000000279397,2900035.240000000223517,2511085.250000000000000,11109994.290000000968575
FS( 42 ),3073249.500000000000000,2632553.000000000465661,2842956.160000000614673,2450781.490000000223517,10999540.150000000372529
FS( 43 ),3006750.250000000000000,2602541.000000000465661,2811406.120000000577420,2450338.079999999608845,10871035.450000001117587
FS( 44 ),2943136.000000000000000,2617547.000000000465661,2804421.760000000242144,2464970.609999999869615,10830075.369999999180436
FS( 45 ),2789077.000000000000000,2583533.400000000372529,2723499.520000000018626,2448564.439999999944121,10544674.359999999403954
FS( 46 ),2841872.500000000000000,2614545.800000000745058,2752400.320000000298023,2441026.469999999739230,10649845.089999999850988
FS( 47 ),2871299.500000000000000,2660064.000000000465661,2782264.479999999981374,2442800.109999999869615,10756428.089999999850988
FS( 48 ),2934625.250000000000000,2685574.200000000186265,2828505.760000000242144,2475169.040000000037253,10923874.250000000000000
FS( 49 ),2899428.250000000000000,2672068.800000000279397,2812610.320000000298023,2473395.399999999906868,10857502.770000001415610
FS( 50 ),2892071.500000000000000,2661064.400000000372529,2794547.320000000298023,2469404.709999999962747,10817087.929999999701977
FS( 51 ),3014539.750000000000000,2676070.400000000372529,2823929.800000000279397,2499556.589999999850988,11014096.540000000968575
FS( 52 ),2924816.250000000000000,2650560.200000000651926,2788767.160000000614673,2470734.939999999944121,10834878.550000000745058
FS( 53 ),2910247.000000000000000,2694577.800000000279397,2827301.560000000521541,2496452.719999999739230,10928579.080000001937151
FS( 54 ),2978910.000000000000000,2721588.600000000093132,2870411.920000000391155,2511972.069999999832362,11082882.589999999850988
FS( 55 ),3034446.250000000000000,2735594.200000000186265,2895940.959999999962747,2527491.419999999925494,11193472.830000000074506
FS( 56 ),3034590.500000000000000,2695078.000000000465661,2863668.400000000372529,2495122.490000000223517,11088459.390000000596046
FS( 57 ),3067479.500000000000000,2706082.400000000372529,2870893.600000000558794,2509311.609999999869615,11153767.109999999403954
FS( 58 ),3064883.000000000000000,2725590.200000000651926,2876192.080000000540167,2517736.399999999906868,11184401.680000001564622
FS( 59 ),2923229.500000000000000,2688075.200000000651926,2825615.680000000167638,2479603.140000000130385,10916523.520000001415610
FS( 60 ),2978765.750000000000000,2728091.200000000186265,2873783.680000000167638,2514632.529999999795109,11095273.160000000149012
FS( 61 ),2945155.500000000000000,2737094.800000000279397,2903407.000000000000000,2535472.799999999813735,11121130.100000001490116
FS( 62 ),2964917.750000000000000,2756602.600000000558794,2923878.400000000372529,2569615.370000000111759,11215014.120000001043081
FS( 63 ),3015116.750000000000000,2753601.400000000372529,2918579.920000000391155,2569171.959999999962747,11256470.030000001192093
FS( 64 ),3011222.000000000000000,2753101.200000000186265,2895700.120000000577420,2578926.979999999981374,11238950.300000000745058
FS( 65 ),2967370.000000000000000,2766106.400000000372529,2922915.040000000037253,2573606.060000000055879,11229997.500000001862645
FS( 66 ),3017713.250000000000000,2789615.800000000745058,2967470.439999999944121,2579813.799999999813735,11354613.289999999105930
FS( 67 ),3076711.500000000000000,2757102.800000000279397,2956632.640000000596046,2597993.609999999869615,11388440.550000000745058
FS( 68 ),3076423.000000000000000,2762605.000000000000000,2959281.880000000353903,2618833.879999999888241,11417143.760000001639128
FS( 69 ),3089549.750000000000000,2727090.800000000745058,2942423.080000000540167,2601097.479999999981374,11360161.110000001266599
FS( 70 ),3126045.000000000000000,2721088.400000000372529,2887270.720000000204891,2647655.529999999795109,11382059.650000000372529
FS( 71 ),3225433.250000000000000,2739595.800000000745058,2920747.479999999981374,2666278.750000000000000,11552055.280000001192093
FS( 72 ),3218220.750000000000000,2756602.600000000558794,2956873.479999999981374,2679581.049999999813735,11611277.879999998956919
FS( 73 ),3155616.250000000000000,2714085.600000000093132,2941218.880000000353903,2658740.779999999795109,11469661.509999999776483
FS( 74 ),3172205.000000000000000,2699079.600000000558794,2884139.800000000279397,2638343.919999999925494,11393768.320000000298023
FS( 75 ),3183745.000000000000000,2713085.200000000651926,2918098.240000000223517,2654750.089999999850988,11469678.530000001192093
FS( 76 ),3213604.750000000000000,2712585.000000000000000,2924119.240000000223517,2657410.549999999813735,11507719.539999999105930
FS( 77 ),3187495.500000000000000,2727090.800000000745058,2935920.400000000372529,2659627.599999999627471,11510134.300000000745058
FS( 78 ),3140902.750000000000000,2696578.600000000093132,2944108.959999999962747,2673373.310000000055879,11454963.619999999180436
FS( 79 ),3155183.500000000000000,2708083.200000000186265,2967711.280000000260770,2669826.029999999795109,11500804.009999999776483
FS( 80 ),3140181.500000000000000,2716086.400000000372529,2977104.040000000037253,2683128.329999999608845,11516500.270000001415610
FS( 81 ),3188505.250000000000000,2709583.800000000279397,2962894.479999999981374,2672486.490000000223517,11533470.020000001415610
FS( 82 ),3172060.750000000000000,2720588.200000000186265,2993962.840000000316650,2680024.459999999962747,11566636.250000000000000
FS( 83 ),3156626.000000000000000,2716586.600000000558794,3000224.680000000167638,2673816.719999999739230,11547254.000000000000000
FS( 84 ),3230914.750000000000000,2723089.200000000186265,2995648.720000000204891,2676477.179999999701977,11626129.849999999627471
FS( 85 ),3239858.250000000000000,2733593.400000000372529,2982884.200000000186265,2653863.270000000018626,11610199.120000001043081
FS( 86 ),3158645.500000000000000,2655062.000000000465661,2916171.520000000018626,2612182.729999999981374,11342061.750000000000000
FS( 87 ),3185476.000000000000000,2693077.200000000651926,2932066.959999999962747,2616616.829999999608845,11427236.990000000223517
FS( 88 ),3274766.750000000000000,2728091.200000000186265,2986496.800000000279397,2656080.319999999832362,11645435.070000000298023
FS( 89 ),3275488.000000000000000,2694577.800000000279397,2958559.360000000335276,2671599.669999999925494,11600224.830000000074506
FS( 90 ),3237117.500000000000000,2680072.000000000465661,2912558.920000000391155,2648098.939999999944121,11477847.359999999403954
FS( 91 ),3275055.250000000000000,2692577.000000000465661,2937847.120000000577420,2625928.439999999944121,11531407.810000000521541
FS( 92 ),3319195.750000000000000,2684073.600000000093132,2936883.760000000242144,2652976.449999999720603,11593129.559999998658895
FS( 93 ),3407476.750000000000000,2666066.400000000372529,2916412.360000000335276,2657410.549999999813735,11647366.060000002384186
FS( 94 ),3402572.250000000000000,2666066.400000000372529,2891365.000000000000000,2642778.020000000018626,11602781.669999999925494
FS( 95 ),3394638.500000000000000,2676570.600000000093132,2822725.600000000558794,2684901.969999999739230,11578836.669999998062849
FS( 96 ),3380934.750000000000000,2675570.200000000651926,2830673.320000000298023,2673373.310000000055879,11560551.580000001937151
FS( 97 ),3394061.500000000000000,2690576.200000000186265,2808997.720000000204891,2678694.229999999981374,11572329.650000000372529
FS( 98 ),3410361.750000000000000,2740096.000000000465661,2829228.280000000260770,2707072.469999999739230,11686758.500000000000000
FS( 99 ),3469504.250000000000000,2712585.000000000000000,2868003.520000000018626,2693770.169999999925494,11743862.939999999478459
FS( 100 ),3461570.500000000000000,2693577.400000000372529,2942663.920000000391155,2694656.990000000223517,11792468.810000000521541
FS( 101 ),3508019.000000000000000,2733093.200000000186265,2962412.800000000279397,2699534.500000000000000,11903059.500000000000000
FS( 102 ),3513789.000000000000000,2731592.600000000558794,3005523.160000000614673,2686232.199999999720603,11937136.960000000894070
FS( 103 ),3557064.000000000000000,2688575.400000000372529,2968433.800000000279397,2676920.589999999850988,11890993.790000000968575
FS( 104 ),3592693.750000000000000,2679571.800000000279397,2973973.120000000577420,2668495.799999999813735,11914734.470000002533197
FS( 105 ),3509605.750000000000000,2671568.600000000093132,2976863.200000000186265,2668939.209999999962747,11826976.760000001639128
FS( 106 ),3509173.000000000000000,2698079.200000000186265,3009135.760000000242144,2696874.040000000037253,11913262.000000000000000
FS( 107 ),3588510.500000000000000,2722589.000000000465661,2998779.640000000596046,2681354.689999999944121,11991233.830000000074506
FS( 108 ),3690351.000000000000000,2696078.400000000372529,2983365.880000000353903,2676920.589999999850988,12046715.870000001043081
FS( 109 ),3714585.000000000000000,2658063.200000000186265,2867762.680000000167638,2654750.089999999850988,11895160.970000000670552
FS( 110 ),3709247.750000000000000,2622048.800000000279397,2863668.400000000372529,2638343.919999999925494,11833308.870000001043081
FS( 111 ),3710834.500000000000000,2641056.400000000372529,2897867.680000000167638,2666278.750000000000000,11916037.330000000074506
FS( 112 ),3742425.250000000000000,2615546.200000000186265,2897867.680000000167638,2684015.149999999906868,11939854.280000001192093
FS( 113 ),3752667.000000000000000,2611544.600000000558794,2882935.600000000558794,2631692.770000000018626,11878839.970000000670552
FS( 114 ),3782382.500000000000000,2593037.200000000651926,2874024.520000000018626,2643221.429999999701977,11892665.650000000372529
FS( 115 ),3778920.499999999534339,2586534.600000000558794,2872579.479999999981374,2630362.540000000037253,11868397.120000001043081
FS( 116 ),3815127.250000000465661,2621548.600000000093132,2905815.400000000372529,2634353.229999999981374,11976844.480000000447035
FS( 117 ),3788729.500000000000000,2632553.000000000465661,2902202.800000000279397,2631249.359999999869615,11954734.660000000149012
FS( 118 ),3833735.500000000000000,2634553.800000000279397,2903166.160000000614673,2638787.329999999608845,12010242.790000000968575
FS( 119 ),3853065.000000000465661,2652561.000000000465661,2935679.560000000521541,2635683.459999999962747,12076989.020000003278255
FS( 120 ),3841380.750000000465661,2655062.000000000465661,2924360.080000000540167,2638343.919999999925494,12059146.750000001862645
FS( 121 ),3796663.250000000000000,2662064.800000000279397,2945313.160000000614673,2637457.099999999627471,12041498.310000000521541
FS( 122 ),3779641.750000000000000,2649059.600000000558794,2898349.360000000335276,2643221.429999999701977,11970272.140000000596046
FS( 123 ),3776323.999999999534339,2652561.000000000465661,2897145.160000000614673,2649429.169999999925494,11975459.330000000074506
FS( 124 ),3842534.750000000000000,2662064.800000000279397,2902443.640000000596046,2633023.000000000000000,12040066.190000001341105
FS( 125 ),3812530.750000000465661,2696078.400000000372529,2944590.640000000596046,2655636.910000000149012,12108836.700000001117587
FS( 126 ),3863739.499999999534339,2698579.400000000372529,2932548.640000000596046,2664948.520000000018626,12159816.060000000521541
FS( 127 ),3855228.750000000000000,2671068.400000000372529,2939773.840000000316650,2671156.260000000242144,12137227.250000000000000
