代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11826754.219999998807907
真實報酬,1826754.219999998807907

夏普值報酬,0.173975422000000
夏普值風險,0.054813651386534
夏普值,3.173943307902681

二次趨勢線,21.162407253887153 x^2 + 12673.936821582366974 x + 10000000.000000000000000
二次平均預期報酬,15382.724950079918926
風險,125066.297731753264088
二次平均趨勢值,0.122996564454745
一次趨勢線,14697.560894048167029 x + 10000000.000000000000000
一次預期報酬,14697.560894048167029
一次風險,130868.623941808647942
一次趨勢值,0.112307751478945
找到最佳解世代,1726
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),PG[21](1),
FS( 25 ),5187285.000000000000000,5098415.719999999739230,10285700.719999998807907
FS( 26 ),5136985.600000000558794,5051137.580000000074506,10188123.179999999701977
FS( 27 ),5120932.600000000558794,5068987.489999999292195,10189920.089999999850988
FS( 28 ),5072773.600000000558794,5028945.799999998882413,10101719.399999998509884
FS( 29 ),5157319.400000000372529,5114335.910000000149012,10271655.310000000521541
FS( 30 ),5142336.600000000558794,5119160.209999999031425,10261496.809999998658895
FS( 31 ),5210829.400000000372529,5094556.279999999329448,10305385.679999999701977
FS( 32 ),5263269.200000000186265,5147623.580000000074506,10410892.780000001192093
FS( 33 ),5306077.200000000186265,5215646.209999999031425,10521723.410000000149012
FS( 34 ),5265409.600000000558794,5183805.830000000074506,10449215.429999999701977
FS( 35 ),5227952.600000000558794,5178016.669999998994172,10405969.269999999552965
FS( 36 ),5201197.600000000558794,5131703.389999999664724,10332900.990000000223517
FS( 37 ),5313568.600000000558794,5148588.439999999478459,10462157.039999999105930
FS( 38 ),5334972.600000000558794,5150518.160000000149012,10485490.760000001639128
FS( 39 ),5309287.800000000745058,5147141.149999999441206,10456428.949999999254942
FS( 40 ),5254707.600000000558794,5039559.259999998845160,10294266.859999999403954
FS( 41 ),5202267.800000000745058,5026533.649999999441206,10228801.449999999254942
FS( 42 ),5270760.600000000558794,5081530.669999998994172,10352291.269999999552965
FS( 43 ),5257918.200000001117587,4964782.609999999403954,10222700.810000000521541
FS( 44 ),5348885.200000000186265,5007718.879999998956919,10356604.079999998211861
FS( 45 ),5351025.600000000558794,5050172.719999999739230,10401198.320000000298023
FS( 46 ),5434501.200000001117587,5149070.870000000111759,10583572.070000000298023
FS( 47 ),5500853.600000000558794,5180428.819999999366701,10681282.419999999925494
FS( 48 ),5510485.400000000372529,5247486.589999998919666,10757971.989999998360872
FS( 49 ),5498713.200000001117587,5245074.439999999478459,10743787.640000000596046
FS( 50 ),5493362.200000000186265,5276914.819999999366701,10770277.019999999552965
FS( 51 ),5526538.400000000372529,5291387.719999999739230,10817926.120000001043081
FS( 52 ),5471958.200000001117587,5350726.609999999403954,10822684.810000000521541
FS( 53 ),5491221.800000000745058,5364717.080000000074506,10855938.880000000819564
FS( 54 ),5444133.000000000000000,5354586.049999998882413,10798719.049999998882413
FS( 55 ),5419518.400000000372529,5287528.279999999329448,10707046.679999999701977
FS( 56 ),5470888.000000000000000,5327087.540000000037253,10797975.539999999105930
FS( 57 ),5528678.799999999813735,5390768.299999998882413,10919447.099999997764826
FS( 58 ),5516906.600000000558794,5364717.080000000074506,10881623.679999999701977
FS( 59 ),5556504.000000000931323,5419231.669999998994172,10975735.669999999925494
FS( 60 ),5539380.800000000745058,5389803.439999999478459,10929184.240000000223517
FS( 61 ),5470888.000000000000000,5293799.870000000111759,10764687.870000001043081
FS( 62 ),5466607.200000000186265,5296212.019999999552965,10762819.219999998807907
FS( 63 ),5449484.000000000931323,5289940.429999999701977,10739424.429999999701977
FS( 64 ),5522257.600000000558794,5330464.549999998882413,10852722.149999998509884
FS( 65 ),5562925.200000000186265,5378225.120000000111759,10941150.320000000298023
FS( 66 ),5575767.600000000558794,5503656.919999998994172,11079424.519999999552965
FS( 67 ),5576837.800000000745058,5458790.929999999701977,11035628.730000000447035
FS( 68 ),5565065.600000000558794,5502209.629999998956919,11067275.230000000447035
FS( 69 ),5521187.400000001303852,5447212.609999999403954,10968400.010000001639128
FS( 70 ),5545802.000000000931323,5487736.729999999515712,11033538.730000000447035
FS( 71 ),5569346.400000000372529,5518129.819999999366701,11087476.219999998807907
FS( 72 ),5577908.000000000000000,5547558.049999998882413,11125466.049999998882413
FS( 73 ),5578978.200000001117587,5571197.120000000111759,11150175.320000000298023
FS( 74 ),5580048.400000000372529,5590976.750000000000000,11171025.150000000372529
FS( 75 ),5584329.200000000186265,5593388.899999999441206,11177718.099999999627471
FS( 76 ),5568276.200000001117587,5569267.399999999441206,11137543.600000001490116
FS( 77 ),5499783.400000000372529,5548522.910000000149012,11048306.310000000521541
FS( 78 ),5481590.000000000000000,5562513.379999998956919,11044103.379999998956919
FS( 79 ),5814422.200000000186265,5492561.029999999329448,11306983.230000000447035
FS( 80 ),5755561.200000001117587,5432257.279999999329448,11187818.480000000447035
FS( 81 ),5679577.000000000931323,5440458.589999998919666,11120035.589999999850988
FS( 82 ),5797299.000000000931323,5535014.870000000111759,11332313.870000001043081
FS( 83 ),5778035.400000000372529,5596283.479999999515712,11374318.879999998956919
FS( 84 ),5749140.000000000000000,5809035.109999999403954,11558175.109999999403954
FS( 85 ),5632488.200000001117587,5694699.200000000186265,11327187.400000002235174
FS( 86 ),5568276.200000001117587,5631500.870000000111759,11199777.070000000298023
FS( 87 ),5600382.200000000186265,5617510.399999999441206,11217892.599999999627471
FS( 88 ),5527608.600000000558794,5455413.919999998994172,10983022.519999999552965
FS( 89 ),5593961.000000000931323,5513305.519999999552965,11107266.519999999552965
FS( 90 ),5691349.200000000186265,5573126.839999998919666,11264476.039999999105930
FS( 91 ),5745929.400000000372529,5665753.399999999441206,11411682.800000000745058
FS( 92 ),5717034.000000000931323,5633913.019999999552965,11350947.019999999552965
FS( 93 ),5693489.600000000558794,5597730.769999999552965,11291220.370000001043081
FS( 94 ),5725595.600000000558794,5656587.229999999515712,11382182.830000000074506
FS( 95 ),5671015.400000000372529,5586152.450000000186265,11257167.850000001490116
FS( 96 ),5765193.000000000000000,5663341.250000000000000,11428534.250000000000000
FS( 97 ),5822983.799999999813735,5749696.219999999739230,11572680.019999999552965
FS( 98 ),5852949.400000000372529,5800833.799999998882413,11653783.199999999254942
FS( 99 ),5766263.200000001117587,5736188.179999999701977,11502451.380000000819564
FS( 100 ),5789807.600000000558794,5750661.080000000074506,11540468.679999999701977
FS( 101 ),5831545.400000000372529,5761274.540000000037253,11592819.940000001341105
FS( 102 ),5751280.400000000372529,5659964.239999999292195,11411244.640000000596046
FS( 103 ),5836896.400000000372529,5756450.239999999292195,11593346.640000000596046
FS( 104 ),5856160.000000000000000,5815789.129999998956919,11671949.129999998956919
FS( 105 ),5897897.800000000745058,5856795.679999999701977,11754693.480000000447035
FS( 106 ),5891476.600000000558794,5846182.219999999739230,11737658.820000000298023
FS( 107 ),5890406.400000000372529,5800351.370000000111759,11690757.769999999552965
FS( 108 ),5918231.600000000558794,5854865.959999999031425,11773097.559999998658895
FS( 109 ),5968531.000000000931323,5944115.509999998845160,11912646.509999999776483
FS( 110 ),5898968.000000000000000,5922406.160000000149012,11821374.160000000149012
FS( 111 ),5910740.200000000186265,5927712.889999999664724,11838453.089999999850988
FS( 112 ),5834756.000000000931323,5893942.790000000037253,11728698.790000000968575
FS( 113 ),5821913.600000000558794,5783466.319999999366701,11605379.919999999925494
FS( 114 ),5861511.000000000931323,5850524.089999998919666,11712035.089999999850988
FS( 115 ),5897897.800000000745058,5922888.589999998919666,11820786.390000000596046
FS( 116 ),5806930.800000000745058,5891530.639999999664724,11698461.440000001341105
FS( 117 ),5774824.800000000745058,5777194.729999999515712,11552019.530000001192093
FS( 118 ),5804790.400000000372529,5845217.359999999403954,11650007.759999999776483
FS( 119 ),5803720.200000000186265,5857278.109999999403954,11660998.309999998658895
FS( 120 ),5834756.000000000931323,5880917.179999999701977,11715673.179999999701977
FS( 121 ),5769473.799999999813735,5897319.799999998882413,11666793.599999997764826
FS( 122 ),5794088.400000000372529,5944597.939999999478459,11738686.339999999850988
FS( 123 ),5811211.600000000558794,5963412.709999999031425,11774624.309999998658895
FS( 124 ),5797299.000000000931323,5934949.339999998919666,11732248.339999999850988
FS( 125 ),5820843.400000000372529,5997182.809999999590218,11818026.210000000894070
FS( 126 ),5812281.800000000745058,6009725.989999999292195,11822007.789999999105930
FS( 127 ),5826194.400000000372529,6000559.819999999366701,11826754.219999998807907
