代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11643034.049999998882413
真實報酬,1643034.049999998882413

夏普值報酬,0.155603405000000
夏普值風險,0.041419274339062
夏普值,3.756787328677411

二次趨勢線,-22.915592832733569 x^2 + 15799.782059199267678 x + 10000000.000000000000000
二次平均預期報酬,13004.079733605769434
風險,103309.440159867648617
二次平均趨勢值,0.125875038268356
一次趨勢線,13711.634025885616211 x + 10000000.000000000000000
一次預期報酬,13711.634025885616211
一次風險,110040.965095856605330
一次趨勢值,0.124604814342926
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](15),HD[9](8),JNJ[12](5),V[25](1),
FS( 18 ),2472838.250000000000000,2636024.890000000130385,2565045.750000000000000,2605040.799999999813735,10278949.690000001341105
FS( 19 ),2455200.750000000000000,2657595.180000000167638,2561328.849999999627471,2612043.520000000018626,10286168.299999998882413
FS( 20 ),2469663.500000000000000,2666399.380000000353903,2569506.029999999329448,2659506.399999999906868,10365075.310000000521541
FS( 21 ),2452731.500000000000000,2655834.339999999850988,2563187.299999999348074,2645500.959999999962747,10317254.099999997764826
FS( 22 ),2464372.250000000000000,2719224.580000000074506,2564674.059999999590218,2694520.000000000000000,10442790.890000000596046
FS( 23 ),2467194.250000000000000,2717903.950000000186265,2574709.689999999478459,2717084.320000000298023,10476892.210000000894070
FS( 24 ),2500705.500000000000000,2782174.610000000335276,2588833.909999999683350,2728755.520000000018626,10600469.539999999105930
FS( 25 ),2489417.499999999534339,2724066.890000000130385,2581028.419999999459833,2698410.399999999906868,10492923.209999999031425
FS( 26 ),2491886.750000000000000,2683127.360000000335276,2542744.349999999627471,2660284.479999999981374,10378042.939999999478459
FS( 27 ),2481304.250000000000000,2629861.950000000186265,2535682.239999999757856,2672733.760000000242144,10319582.199999999254942
FS( 28 ),2498589.000000000000000,2597726.620000000111759,2526389.989999999757856,2704635.040000000037253,10327340.649999998509884
FS( 29 ),2534569.500000000000000,2621938.170000000391155,2526389.989999999757856,2706191.200000000186265,10389088.859999999403954
FS( 30 ),2548679.500000000000000,2669921.060000000055879,2549806.459999999497086,2720974.719999999739230,10489381.739999998360872
FS( 31 ),2592067.750000000000000,2679165.470000000204891,2585117.009999999310821,2745873.279999999795109,10602223.509999999776483
FS( 32 ),2597359.000000000000000,2702496.600000000093132,2639012.059999999590218,2773106.080000000074506,10711973.739999998360872
FS( 33 ),2619582.250000000000000,2720545.209999999962747,2695508.939999999478459,2759878.719999999739230,10795515.119999999180436
FS( 34 ),2610763.500000000000000,2724507.100000000093132,2670977.399999999441206,2722530.879999999888241,10728778.879999998956919
FS( 35 ),2599828.250000000000000,2731110.250000000000000,2668003.879999999422580,2703856.959999999962747,10702799.339999999850988
FS( 36 ),2568786.249999999534339,2718344.160000000149012,2634923.469999999739230,2657950.239999999757856,10580004.119999999180436
FS( 37 ),2564906.000000000000000,2697654.290000000037253,2629348.119999999180436,2654837.919999999925494,10546746.329999998211861
FS( 38 ),2523634.250000000000000,2662437.490000000223517,2644215.719999999739230,2675846.080000000074506,10506133.539999999105930
FS( 39 ),2508466.000000000000000,2643068.250000000000000,2635295.159999999683350,2690629.599999999627471,10477459.009999999776483
FS( 40 ),2484831.750000000000000,2702056.390000000130385,2632321.639999999199063,2699188.479999999981374,10518398.259999999776483
FS( 41 ),2497178.000000000000000,2740794.870000000111759,2657596.559999999590218,2798782.719999999739230,10694352.149999998509884
FS( 42 ),2471074.500000000000000,2730229.830000000074506,2635295.159999999683350,2789445.760000000242144,10626045.250000000000000
FS( 43 ),2483773.500000000000000,2746077.390000000130385,2631206.569999999832362,2752876.000000000000000,10613933.460000000894070
FS( 44 ),2540566.250000000000000,2756642.430000000167638,2639383.750000000000000,2798782.719999999739230,10735375.149999998509884
FS( 45 ),2473191.000000000000000,2728909.200000000186265,2614480.519999999552965,2773106.080000000074506,10589686.800000000745058
FS( 46 ),2503880.250000000000000,2679165.470000000204891,2588833.909999999683350,2763769.120000000111759,10535648.750000000000000
FS( 47 ),2583954.500000000000000,2683567.570000000298023,2597011.089999999850988,2780108.799999999813735,10644641.960000000894070
FS( 48 ),2599475.500000000000000,2692371.770000000018626,2589948.979999999981374,2786333.439999999944121,10668129.689999999478459
FS( 49 ),2587834.750000000000000,2790098.390000000130385,2583630.250000000000000,2770771.839999999850988,10732335.230000000447035
FS( 50 ),2514815.500000000000000,2706018.280000000260770,2574709.689999999478459,2722530.879999999888241,10518074.349999999627471
FS( 51 ),2505996.750000000000000,2696333.660000000149012,2567275.889999999199063,2723308.959999999962747,10492915.259999997913837
FS( 52 ),2496472.500000000000000,2734631.930000000167638,2571736.169999999459833,2776218.399999999906868,10579059.000000000000000
FS( 53 ),2538449.750000000000000,2787897.339999999850988,2573966.309999999590218,2833018.239999999757856,10733331.639999998733401
FS( 54 ),2558909.250000000000000,2809467.630000000353903,2589577.289999999571592,2847023.680000000167638,10804977.849999999627471
FS( 55 ),2580427.000000000000000,2821353.300000000279397,2586603.769999999552965,2853248.320000000298023,10841632.390000000596046
FS( 56 ),2601239.250000000000000,2853488.629999999888241,2585488.699999999720603,2881259.200000000186265,10921475.780000001192093
FS( 57 ),2619935.000000000000000,2846885.480000000447035,2568019.269999999552965,2864141.439999999944121,10898981.189999999478459
FS( 58 ),2627695.500000000000000,2824434.770000000018626,2557611.949999999720603,2855582.560000000055879,10865324.779999999329448
FS( 59 ),2613585.500000000000000,2853928.839999999850988,2575453.069999999832362,2864919.520000000018626,10907886.929999999701977
FS( 60 ),2614643.750000000000000,2827956.449999999720603,2572851.239999999757856,2882815.359999999869615,10898266.799999998882413
FS( 61 ),2620287.750000000000000,2864493.879999999888241,2591807.429999999701977,2912382.399999999906868,10988971.459999999031425
FS( 62 ),2611116.250000000000000,2860531.990000000223517,2588833.909999999683350,2891374.239999999757856,10951856.390000000596046
FS( 63 ),2612174.500000000000000,2827956.449999999720603,2596639.399999999441206,2871144.159999999683350,10907914.509999997913837
FS( 64 ),2605825.000000000000000,2818271.830000000074506,2600727.989999999757856,2880481.120000000111759,10905305.940000001341105
FS( 65 ),2609705.250000000000000,2832358.550000000279397,2603701.509999999310821,2888261.919999999925494,10934027.230000000447035
FS( 66 ),2632986.750000000000000,2837200.860000000335276,2618569.109999999869615,2889818.080000000074506,10978574.800000000745058
FS( 67 ),2664381.500000000000000,2775131.250000000000000,2624144.459999999497086,2892152.320000000298023,10955809.529999999329448
FS( 68 ),2674611.249999999534339,2768528.100000000093132,2642728.959999999497086,2896820.799999999813735,10982689.109999999403954
FS( 69 ),2662265.000000000000000,2770288.939999999944121,2637525.299999999348074,2876590.719999999739230,10946669.959999997168779
FS( 70 ),2621698.749999999534339,2747398.020000000018626,2629719.809999999590218,2863363.359999999869615,10862179.939999999478459
FS( 71 ),2611116.250000000000000,2731990.670000000391155,2627489.669999999459833,2856360.640000000130385,10826957.230000000447035
FS( 72 ),2633339.500000000000000,2787016.920000000391155,2636781.919999999459833,2900711.200000000186265,10957849.539999999105930
FS( 73 ),2664028.750000000000000,2773370.410000000149012,2637153.609999999869615,2931834.399999999906868,11006387.169999999925494
FS( 74 ),2663676.000000000000000,2719224.580000000074506,2625259.529999999329448,2901489.279999999795109,10909649.389999998733401
FS( 75 ),2688015.750000000000000,2728028.780000000260770,2629719.809999999590218,2966069.919999999925494,11011834.259999999776483
FS( 76 ),2686957.500000000000000,2699415.130000000353903,2611878.689999999478459,2932612.479999999981374,10930863.800000000745058
FS( 77 ),2679902.500000000000000,2710420.380000000353903,2602586.439999999478459,2941171.359999999869615,10934080.679999999701977
FS( 78 ),2681666.250000000000000,2691491.350000000093132,2608161.789999999571592,2913160.479999999981374,10894479.869999999180436
FS( 79 ),2674964.000000000000000,2688409.880000000353903,2605188.269999999552965,2906157.760000000242144,10874719.910000000149012
FS( 80 ),2634750.500000000000000,2669921.060000000055879,2582515.179999999701977,2891374.239999999757856,10778560.980000000447035
FS( 81 ),2658384.750000000000000,2722746.260000000242144,2605559.959999999497086,2948952.159999999683350,10935643.129999998956919
FS( 82 ),2718704.999999999534339,2794500.490000000223517,2633065.019999999552965,3022869.760000000242144,11169140.269999999552965
FS( 83 ),2732815.000000000000000,2786576.709999999962747,2629348.119999999180436,3025204.000000000000000,11173943.829999998211861
FS( 84 ),2740575.500000000000000,2781294.189999999944121,2659455.009999999310821,3049324.479999999981374,11230649.179999999701977
FS( 85 ),2685546.500000000000000,2766327.050000000279397,2653879.659999999683350,3071110.719999999739230,11176863.929999999701977
FS( 86 ),2614996.500000000000000,2783055.030000000260770,2654251.349999999627471,3099899.680000000167638,11152202.560000000521541
FS( 87 ),2707769.750000000000000,2780853.980000000447035,2666145.429999999701977,3147362.560000000055879,11302131.720000000670552
FS( 88 ),2719410.500000000000000,2800663.430000000167638,2683243.169999999459833,3122464.000000000000000,11325781.099999999627471
FS( 89 ),2651329.750000000000000,2804185.110000000335276,2689190.209999999497086,3134913.279999999795109,11279618.349999999627471
FS( 90 ),2700362.000000000000000,2794500.490000000223517,2696995.699999999720603,3124798.239999999757856,11316656.429999999701977
FS( 91 ),2714119.250000000000000,2815190.360000000335276,2689933.589999999850988,3120907.839999999850988,11340151.039999999105930
FS( 92 ),2622404.250000000000000,2811228.470000000204891,2697739.079999999608845,3116239.359999999869615,11247611.160000000149012
FS( 93 ),2654857.250000000000000,2863613.459999999962747,2709633.159999999683350,3110014.719999999739230,11338118.589999999850988
FS( 94 ),2647096.750000000000000,2882102.280000000260770,2721898.929999999701977,3078891.520000000018626,11329989.480000000447035
FS( 95 ),2616054.750000000000000,2894428.160000000149012,2701827.669999999459833,3093675.040000000037253,11305985.620000001043081
FS( 96 ),2620640.500000000000000,2925683.069999999832362,2707774.709999999497086,3093675.040000000037253,11347773.320000000298023
FS( 97 ),2656973.749999999534339,2964861.759999999776483,2717066.959999999497086,3103790.080000000074506,11442692.549999998882413
FS( 98 ),2646744.000000000000000,2985551.629999999888241,2747545.539999999571592,3109236.640000000130385,11489077.810000000521541
FS( 99 ),2610410.750000000000000,2974986.589999999850988,2736394.839999999850988,3041543.680000000167638,11363335.859999999403954
FS( 100 ),2598064.500000000000000,2958258.610000000335276,2765758.349999999627471,3047768.320000000298023,11369849.780000001192093
FS( 101 ),2631223.000000000000000,2960019.449999999720603,2753864.269999999552965,3015088.959999999962747,11360195.679999999701977
FS( 102 ),2605825.000000000000000,2945932.730000000447035,2747545.539999999571592,3071888.799999999813735,11371192.070000000298023
FS( 103 ),2641100.000000000000000,2962660.709999999962747,2757209.479999999981374,3084338.080000000074506,11445308.269999999552965
FS( 104 ),2653093.500000000000000,2921280.970000000204891,2754607.649999999441206,3046990.239999999757856,11375972.359999999403954
FS( 105 ),2677080.500000000000000,2922601.600000000093132,2775050.599999999627471,3103012.000000000000000,11477744.699999999254942
FS( 106 ),2691190.500000000000000,2934927.480000000447035,2802183.969999999739230,3128688.640000000130385,11556990.589999999850988
FS( 107 ),2731404.000000000465661,2919079.920000000391155,2789918.199999999720603,3055549.120000000111759,11495951.240000002086163
FS( 108 ),2700714.750000000000000,2949894.620000000577420,2805529.179999999701977,3069554.560000000055879,11525693.110000001266599
FS( 109 ),2676375.000000000000000,2922161.390000000130385,2802927.349999999627471,3040765.599999999627471,11442229.339999999850988
FS( 110 ),2680608.000000000000000,2963541.129999999888241,2817423.259999999310821,3050102.560000000055879,11511674.949999999254942
FS( 111 ),2637925.250000000000000,2969263.860000000335276,2812219.599999999627471,3010420.479999999981374,11429829.190000001341105
FS( 112 ),2643216.500000000465661,2964421.550000000279397,2817794.949999999720603,3033762.879999999888241,11459195.879999998956919
FS( 113 ),2646744.000000000000000,2972345.330000000074506,2830804.099999999627471,3073444.959999999962747,11523338.390000000596046
FS( 114 ),2633339.500000000000000,2973665.959999999962747,2860539.299999999348074,3065664.159999999683350,11533208.919999999925494
FS( 115 ),2637925.250000000000000,2924802.649999999906868,2849016.909999999683350,3022869.760000000242144,11434614.570000000298023
FS( 116 ),2681313.500000000000000,2834119.390000000130385,2857194.089999999850988,3062551.839999999850988,11435178.820000000298023
FS( 117 ),2704242.250000000000000,2886944.589999999850988,2834149.309999999590218,3101455.839999999850988,11526791.989999998360872
FS( 118 ),2646744.000000000000000,2813869.730000000447035,2808874.389999999199063,3032206.719999999739230,11301694.839999999850988
FS( 119 ),2668614.500000000000000,2974106.170000000391155,2815564.809999999590218,3070332.640000000130385,11528618.120000001043081
FS( 120 ),2728934.750000000000000,2996116.670000000391155,2836751.139999999199063,3110014.719999999739230,11671817.279999997466803
FS( 121 ),2712708.250000000000000,3015485.910000000149012,2828945.649999999441206,3085894.239999999757856,11643034.049999998882413
