代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12098139.160000000149012
真實報酬,2098139.160000000149012

夏普值報酬,0.201113916000000
夏普值風險,0.062049460181060
夏普值,3.241187198295515

二次趨勢線,172.954099916729035 x^2 + -5611.976091409725996 x + 10000000.000000000000000
二次平均預期報酬,16526.148697931592324
風險,122089.260240316390991
二次平均趨勢值,0.135361199383157
一次趨勢線,10926.505368862897740 x + 10000000.000000000000000
一次預期報酬,10926.505368862897740
一次風險,337779.119963665958494
一次趨勢值,0.032348078146566
找到最佳解世代,1741
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,2
NKE[19](1),PG[21](3),
FS( 108 ),6059696.720000000670552,5429940.199999999254942,11489636.919999999925494
FS( 109 ),6090979.279999999329448,5436784.399999999441206,11527763.679999999701977
FS( 110 ),6123565.279999999329448,5515181.599999999627471,11638746.879999998956919
FS( 111 ),6170489.120000001043081,5537580.799999999813735,11708069.920000001788139
FS( 112 ),6165275.359999999403954,5531358.799999999813735,11696634.160000000149012
FS( 113 ),6111834.320000000298023,5545669.399999999441206,11657503.719999998807907
FS( 114 ),6188737.279999999329448,5565579.799999999813735,11754317.079999998211861
FS( 115 ),6183523.519999999552965,5579268.200000000186265,11762791.719999998807907
FS( 116 ),6244785.199999999254942,5567446.400000000372529,11812231.599999999627471
FS( 117 ),6264336.800000000745058,5512692.799999999813735,11777029.600000001490116
FS( 118 ),6223930.160000000149012,5482205.000000000000000,11706135.160000000149012
FS( 119 ),6260426.480000000447035,5465405.599999999627471,11725832.080000000074506
FS( 120 ),6287798.720000000670552,5472249.799999999813735,11760048.519999999552965
FS( 121 ),6319081.279999999329448,5520781.400000000372529,11839862.679999999701977
FS( 122 ),6341239.759999999776483,5504604.200000000186265,11845843.960000000894070
FS( 123 ),6349060.400000000372529,5512692.799999999813735,11861753.199999999254942
FS( 124 ),6384253.279999999329448,5482205.000000000000000,11866458.279999999329448
FS( 125 ),6341239.759999999776483,5525136.799999999813735,11866376.559999998658895
FS( 126 ),6373825.759999999776483,5530114.399999999441206,11903940.160000000149012
FS( 127 ),6471583.759999999776483,5626555.400000000372529,12098139.160000000149012
