代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12057521.380000000819564
真實報酬,2057521.380000000819564

夏普值報酬,0.197052138000000
夏普值風險,0.061829090749608
夏普值,3.187045703098085

二次趨勢線,27.207082856256140 x^2 + 14480.836585855269732 x + 10000000.000000000000000
二次平均預期報酬,17990.550274312314286
風險,145304.016530303109903
二次平均趨勢值,0.123813165691537
一次趨勢線,17102.879497076068219 x + 10000000.000000000000000
一次預期報酬,17102.879497076068219
一次風險,153771.303241234796587
一次趨勢值,0.111222829855615
找到最佳解世代,2646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),MCD[15](2),
FS( 32 ),5152046.180000000633299,5374469.620000000111759,10526515.800000000745058
FS( 33 ),5105262.740000001154840,5269738.680000000633299,10375001.420000001788139
FS( 34 ),5095516.190000000409782,5267478.299999999813735,10362994.490000000223517
FS( 35 ),5189083.070000000298023,5339810.460000000894070,10528893.530000001192093
FS( 36 ),5270954.090000000782311,5282547.500000000000000,10553501.589999999850988
FS( 37 ),5288497.880000000819564,5379743.840000000782311,10668241.720000002533197
FS( 38 ),5337230.630000000819564,5266724.840000000782311,10603955.470000002533197
FS( 39 ),5354774.419999999925494,5339810.460000000894070,10694584.880000000819564
FS( 40 ),5366470.280000001192093,5304397.840000000782311,10670868.120000001043081
FS( 41 ),5348926.490000001154840,5256929.860000000335276,10605856.350000001490116
FS( 42 ),5360622.350000000558794,5227544.919999999925494,10588167.269999999552965
FS( 43 ),5372318.209999999962747,5253916.020000000484288,10626234.230000000447035
FS( 44 ),5499023.360000000335276,5293095.940000000409782,10792119.300000000745058
FS( 45 ),5495124.740000001154840,5308165.140000000596046,10803289.880000002682209
FS( 46 ),5512668.530000001192093,5326248.180000000633299,10838916.710000000894070
FS( 47 ),5495124.740000001154840,5308165.140000000596046,10803289.880000002682209
FS( 48 ),5532161.630000000819564,5405361.480000000447035,10937523.110000001266599
FS( 49 ),5567249.209999999962747,5494269.760000000707805,11061518.970000000670552
FS( 50 ),5553604.040000000037253,5488242.080000001005828,11041846.120000001043081
FS( 51 ),5461986.470000000670552,5392552.660000000149012,10854539.130000000819564
FS( 52 ),5428848.200000001117587,5429472.200000000186265,10858320.400000002235174
FS( 53 ),5432746.820000000298023,5416663.380000000819564,10849410.200000001117587
FS( 54 ),5446391.990000001154840,5409128.780000001192093,10855520.770000003278255
FS( 55 ),5469783.709999999962747,5516873.560000000521541,10986657.269999999552965
FS( 56 ),5442493.370000001043081,5519133.940000000409782,10961627.310000002384186
FS( 57 ),5387912.690000000409782,5498037.060000000521541,10885949.750000000000000
FS( 58 ),5389862.000000000000000,5506325.120000000111759,10896187.120000001043081
FS( 59 ),5419101.650000000372529,5525915.080000001005828,10945016.730000000447035
FS( 60 ),5424949.580000000074506,5479200.560000000521541,10904150.140000000596046
FS( 61 ),5399608.550000000745058,5514613.180000000633299,10914221.730000000447035
FS( 62 ),5376216.830000000074506,5512352.799999999813735,10888569.629999998956919
FS( 63 ),5473682.330000000074506,5574889.980000000447035,11048572.310000000521541
FS( 64 ),5415203.030000001192093,5480707.480000000447035,10895910.510000001639128
FS( 65 ),5446391.990000001154840,5504818.200000000186265,10951210.190000001341105
FS( 66 ),5586742.310000000521541,5616330.280000001192093,11203072.590000001713634
FS( 67 ),5592590.240000001154840,5652496.360000000335276,11245086.600000001490116
FS( 68 ),5610134.030000001192093,5657770.580000001005828,11267904.610000003129244
FS( 69 ),5617931.270000000484288,5711266.240000000223517,11329197.510000001639128
FS( 70 ),5637424.370000001043081,5732363.120000000111759,11369787.490000002086163
FS( 71 ),5682258.500000000000000,5603521.460000000894070,11285779.960000000894070
FS( 72 ),5703700.910000001080334,5651742.900000000372529,11355443.810000002384186
FS( 73 ),5656917.470000000670552,5618590.660000000149012,11275508.130000000819564
FS( 74 ),5614032.650000000372529,5571122.680000000633299,11185155.330000001937151
FS( 75 ),5596488.860000000335276,5629139.099999999627471,11225627.960000000894070
FS( 76 ),5606235.410000001080334,5635920.240000000223517,11242155.650000002235174
FS( 77 ),5610134.030000001192093,5599754.160000000149012,11209888.190000001341105
FS( 78 ),5651069.540000000037253,5659277.500000000000000,11310347.039999999105930
FS( 79 ),5664714.709999999962747,5689415.900000000372529,11354130.609999999403954
FS( 80 ),5676410.570000000298023,5660784.419999999925494,11337194.990000000223517
FS( 81 ),5641322.990000001154840,5623864.880000000819564,11265187.870000001043081
FS( 82 ),5713447.459999999962747,5658524.040000000037253,11371971.500000000000000
FS( 83 ),5711498.150000000372529,5632906.400000000372529,11344404.550000000745058
FS( 84 ),5760230.900000000372529,5623111.419999999925494,11383342.320000000298023
FS( 85 ),5727092.630000000819564,5609549.140000000596046,11336641.770000001415610
FS( 86 ),5703700.910000001080334,5614069.900000000372529,11317770.810000002384186
FS( 87 ),5762180.209999999962747,5644961.760000000707805,11407141.970000000670552
FS( 88 ),5738788.490000001154840,5647222.140000000596046,11386010.630000002682209
FS( 89 ),5814811.580000000074506,5712773.160000000149012,11527584.740000000223517
FS( 90 ),5824558.130000000819564,5681127.840000000782311,11505685.970000002533197
FS( 91 ),5793369.169999999925494,5715787.000000000000000,11509156.169999999925494
FS( 92 ),5791419.860000000335276,5733870.040000000037253,11525289.900000000372529
FS( 93 ),5805065.030000001192093,5695443.580000001005828,11500508.610000003129244
FS( 94 ),5808963.650000000372529,5694690.120000000111759,11503653.769999999552965
FS( 95 ),5842101.919999999925494,5707498.940000000409782,11549600.859999999403954
FS( 96 ),5840152.610000000335276,5804695.280000001192093,11644847.890000000596046
FS( 97 ),5842101.919999999925494,5837847.520000000484288,11679949.440000001341105
FS( 98 ),5847949.850000000558794,5825792.160000000149012,11673742.010000001639128
FS( 99 ),5881088.120000001043081,5800927.980000000447035,11682016.100000001490116
FS( 100 ),5961009.830000000074506,5832573.299999999813735,11793583.129999998956919
FS( 101 ),5992198.790000000037253,5910179.680000000633299,11902378.470000000670552
FS( 102 ),6005843.959999999962747,5918467.740000000223517,11924311.699999999254942
FS( 103 ),5947364.660000001080334,5929769.640000000596046,11877134.300000000745058
FS( 104 ),5968807.070000000298023,5934290.400000000372529,11903097.470000000670552
FS( 105 ),5964908.450000001117587,5837847.520000000484288,11802755.970000002533197
FS( 106 ),5966857.760000000707805,5837847.520000000484288,11804705.280000001192093
FS( 107 ),5976604.310000000521541,5859697.860000000335276,11836302.170000001788139
FS( 108 ),6015590.510000000707805,5867985.919999999925494,11883576.429999999701977
FS( 109 ),6029235.680000000633299,5907165.840000000782311,11936401.520000001415610
FS( 110 ),6038982.230000000447035,5914700.440000000409782,11953682.670000001788139
FS( 111 ),6087714.980000000447035,5965935.720000000670552,12053650.700000001117587
FS( 112 ),6099410.840000000782311,5974977.240000000223517,12074388.080000001937151
FS( 113 ),6087714.980000000447035,5975730.700000000186265,12063445.679999999701977
FS( 114 ),6105258.770000000484288,5959908.040000000037253,12065166.810000000521541
FS( 115 ),6097461.530000001192093,5990046.440000000409782,12087507.970000002533197
FS( 116 ),6120853.250000000000000,6005115.640000000596046,12125968.890000000596046
FS( 117 ),6132549.110000000335276,5941071.540000000037253,12073620.650000000372529
FS( 118 ),6136447.730000000447035,5957647.660000000149012,12094095.390000000596046
FS( 119 ),6050678.090000000782311,5833326.760000000707805,11884004.850000001490116
FS( 120 ),6093562.910000001080334,5904905.460000000894070,11998468.370000001043081
FS( 121 ),6222217.370000001043081,5953880.360000000335276,12176097.730000000447035
FS( 122 ),6269000.809999999590218,6000594.880000000819564,12269595.690000001341105
FS( 123 ),6265102.190000000409782,5991553.360000000335276,12256655.550000000745058
FS( 124 ),6200774.959999999962747,5953126.900000000372529,12153901.859999999403954
FS( 125 ),6298240.460000000894070,5988539.520000000484288,12286779.980000000447035
FS( 126 ),6249507.710000000894070,5917714.280000001192093,12167221.990000002086163
FS( 127 ),6179332.550000000745058,5896617.400000000372529,12075949.950000001117587
FS( 128 ),6157890.140000000596046,5899631.240000000223517,12057521.380000000819564
