代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12267814.200000001117587
真實報酬,2267814.200000001117587

夏普值報酬,0.218081420000000
夏普值風險,0.055953625587336
夏普值,3.897538679769808

二次趨勢線,-125.616892104282527 x^2 + 33069.351967466653150 x + 10000000.000000000000000
二次平均預期報酬,17241.623562327058607
風險,104816.059217290006927
二次平均趨勢值,0.164494102249963
一次趨勢線,21245.849672790744080 x + 10000000.000000000000000
一次預期報酬,21245.849672790744080
一次風險,245165.827401939313859
一次趨勢值,0.086659098855401
找到最佳解世代,2857
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
CVX[5](2),PFE[20](1),TRV[22](4),WBA[27](14),
FS( 28 ),2733065.589999999385327,2733532.000000000465661,2452633.200000000186265,2870054.080000000074506,10789284.870000001043081
FS( 29 ),2775990.769999999552965,2727544.000000000000000,2454910.450000000186265,2861643.759999999776483,10820088.980000000447035
FS( 30 ),2794732.750000000000000,2749999.000000000000000,2486336.500000000465661,2887575.580000000074506,10918643.830000000074506
FS( 31 ),2786570.919999999925494,2727544.000000000000000,2489980.100000000093132,2918413.419999999925494,10922508.439999999478459
FS( 32 ),2806219.769999999552965,2745508.000000000000000,2488158.300000000279397,2904396.219999999739230,10944282.289999999105930
FS( 33 ),2821938.849999999627471,2751496.000000000000000,2489980.100000000093132,2941541.799999999813735,11004956.750000000000000
FS( 34 ),2810451.829999999608845,2742514.000000000000000,2479960.200000000186265,2893182.459999999962747,10926108.490000000223517
FS( 35 ),2802592.289999999571592,2730537.999999999534339,2499544.550000000279397,2916310.839999999850988,10948985.679999999701977
FS( 36 ),2834937.319999999832362,2748502.000000000000000,2505009.950000000186265,2921917.719999999739230,11010366.990000000223517
FS( 37 ),2844610.599999999627471,2761975.000000000000000,2533247.850000000093132,2907900.520000000018626,11047733.969999998807907
FS( 38 ),2844006.019999999552965,2764969.000000000000000,2561030.299999999813735,2890379.020000000018626,11060384.339999999850988
FS( 39 ),2860934.259999999776483,2748502.000000000000000,2559663.950000000186265,2893883.319999999832362,11062983.529999999329448
FS( 40 ),2864259.449999999720603,2766466.000000000000000,2579248.300000000279397,2878464.399999999906868,11088438.150000000372529
FS( 41 ),2822543.429999999701977,2717065.000000000000000,2541901.400000000372529,2828703.339999999850988,10910213.169999999925494
FS( 42 ),2869700.669999999925494,2727544.000000000000000,2562396.649999999906868,2834310.219999999739230,10993951.539999999105930
FS( 43 ),2908696.079999999608845,2877244.000000000000000,2587446.400000000372529,2959764.159999999683350,11333150.640000000596046
FS( 44 ),2916555.619999999646097,2838322.000000000000000,2582891.900000000372529,2941541.799999999813735,11279311.320000000298023
FS( 45 ),2941645.689999999944121,2869759.000000000465661,2607486.200000000186265,2965371.040000000037253,11384261.929999999701977
FS( 46 ),2935599.889999999664724,2889220.000000000000000,2614773.399999999906868,2969576.199999999720603,11409169.489999998360872
FS( 47 ),2952225.839999999385327,2850298.000000000000000,2604298.050000000279397,2965371.040000000037253,11372192.929999999701977
FS( 48 ),2954644.159999999683350,2868262.000000000000000,2636179.550000000279397,2998311.459999999962747,11457397.170000001788139
FS( 49 ),2909300.659999999683350,2851795.000000000000000,2678536.400000000372529,2989901.139999999664724,11429533.199999999254942
FS( 50 ),2923206.000000000000000,2848801.000000000000000,2662595.650000000372529,2984294.259999999776483,11418896.910000000149012
FS( 51 ),2915648.750000000000000,2818860.999999999534339,2686734.500000000465661,2984294.259999999776483,11405538.509999999776483
FS( 52 ),2930763.250000000000000,2851795.000000000000000,2679902.750000000465661,2955559.000000000000000,11418020.000000000000000
FS( 53 ),2912323.560000000055879,2851795.000000000000000,2703130.700000000186265,2967473.620000000111759,11434722.880000002682209
FS( 54 ),2921996.839999999385327,2886226.000000000000000,2708140.650000000372529,2956960.719999999739230,11473324.210000000894070
FS( 55 ),2937413.629999999888241,2899699.000000000000000,2722715.050000000279397,2986396.839999999850988,11546224.519999999552965
FS( 56 ),2984268.579999999608845,2872753.000000000000000,2774636.350000000093132,2995508.020000000018626,11627165.949999999254942
FS( 57 ),3032634.979999999515712,2827843.000000000000000,2756873.800000000279397,2956259.859999999869615,11573611.639999998733401
FS( 58 ),3091581.529999999795109,2808382.000000000465661,2751863.850000000093132,2889678.159999999683350,11541505.540000000968575
FS( 59 ),3084326.569999999832362,2829340.000000000000000,2702219.800000000279397,2895985.899999999906868,11511872.270000001415610
FS( 60 ),3086442.599999999627471,2823352.000000000000000,2714516.950000000186265,2941541.799999999813735,11565853.350000001490116
FS( 61 ),3136320.449999999720603,2880237.999999999534339,2729546.800000000279397,3037559.620000000111759,11783664.870000001043081
FS( 62 ),3110625.799999999813735,2865268.000000000000000,2697209.850000000093132,2994106.299999999813735,11667209.949999999254942
FS( 63 ),3127856.329999999608845,2872753.000000000000000,2678536.400000000372529,2932430.620000000111759,11611576.350000001490116
FS( 64 ),3149621.209999999497086,2959579.000000000000000,2689467.200000000186265,2980789.959999999962747,11779457.370000001043081
FS( 65 ),3136320.449999999720603,2943112.000000000000000,2695388.050000000279397,2959764.159999999683350,11734584.660000000149012
FS( 66 ),3113950.989999999757856,2935627.000000000000000,2685368.150000000372529,2933131.479999999981374,11668077.620000001043081
FS( 67 ),3136925.029999999795109,2946106.000000000000000,2689922.650000000372529,2970977.919999999925494,11743931.599999999627471
FS( 68 ),3087651.759999999776483,2943112.000000000000000,2705407.950000000186265,2986396.839999999850988,11722568.550000000745058
FS( 69 ),2995151.019999999552965,2898202.000000000000000,2665328.350000000558794,2940840.939999999944121,11499522.310000000521541
FS( 70 ),3020845.669999999925494,2914669.000000000000000,2681724.550000000279397,2938738.359999999869615,11555977.580000000074506
FS( 71 ),3047144.899999999441206,2965567.000000000000000,2680813.650000000372529,2914909.120000000111759,11608434.670000001788139
FS( 72 ),3060143.369999999646097,2958082.000000000465661,2665328.350000000558794,2878464.399999999906868,11562018.120000001043081
FS( 73 ),3008149.489999999757856,2889220.000000000000000,2643922.200000000186265,2846224.839999999850988,11387516.530000001192093
FS( 74 ),3090674.659999999683350,2976046.000000000000000,2672615.550000000279397,2885473.000000000000000,11624809.210000000894070
FS( 75 ),3107602.899999999441206,3020956.000000000000000,2644377.650000000372529,2867250.639999999664724,11640187.190000001341105
FS( 76 ),3179850.209999999497086,2991016.000000000000000,2684912.700000000186265,2941541.799999999813735,11797320.710000000894070
FS( 77 ),3181059.369999999646097,2985028.000000000000000,2654397.550000000279397,2748104.439999999944121,11568589.359999999403954
FS( 78 ),3188616.619999999646097,2982034.000000000465661,2661229.300000000279397,2791557.759999999776483,11623437.679999999701977
FS( 79 ),3185593.719999999739230,3038920.000000000000000,2679447.300000000279397,2799968.080000000074506,11703929.099999999627471
FS( 80 ),3227914.319999999832362,3046405.000000000000000,2686279.049999999813735,2778241.419999999925494,11738839.790000000968575
FS( 81 ),3205544.859999999869615,3034429.000000000000000,2683090.899999999906868,2753010.459999999962747,11676075.219999998807907
FS( 82 ),3245749.429999999701977,3050896.000000000000000,2699031.649999999906868,2798566.359999999869615,11794243.439999999478459
FS( 83 ),3265095.989999999757856,3044908.000000000000000,2704952.500000000000000,2803472.379999999888241,11818428.870000001043081
FS( 84 ),3249376.909999999683350,3040417.000000000000000,2709051.549999999813735,2813284.419999999925494,11812129.880000000819564
FS( 85 ),3274466.979999999515712,3050896.000000000000000,2719526.900000000372529,2869353.219999999739230,11914243.099999997764826
FS( 86 ),3271746.369999999646097,3074848.000000000000000,2715883.300000000279397,2861643.759999999776483,11924121.429999999701977
FS( 87 ),3304998.269999999552965,3061375.000000000000000,2693110.800000000279397,2881267.839999999850988,11940751.910000000149012
FS( 88 ),3284744.839999999385327,3037423.000000000000000,2730002.250000000000000,2888977.299999999813735,11941147.390000000596046
FS( 89 ),3293208.959999999497086,3043410.999999999534339,2723170.500000000000000,2896686.759999999776483,11956477.219999998807907
FS( 90 ),3314973.839999999385327,3062872.000000000000000,2713606.050000000279397,2874259.239999999757856,11965711.130000000819564
FS( 91 ),3258143.319999999832362,3094309.000000000465661,2751863.850000000093132,2897387.620000000111759,12001703.789999999105930
FS( 92 ),3149318.919999999925494,3062872.000000000000000,2718616.000000000000000,2892481.600000000093132,11823288.519999999552965
FS( 93 ),3138134.189999999944121,3062872.000000000000000,2729546.800000000279397,2895985.899999999906868,11826538.890000000596046
FS( 94 ),3170479.219999999739230,3067362.999999999534339,2715883.300000000279397,2905097.080000000074506,11858822.599999999627471
FS( 95 ),3211590.659999999683350,3073351.000000000000000,2723625.950000000186265,2934533.199999999720603,11943100.809999998658895
FS( 96 ),3158992.199999999720603,3053890.000000000000000,2687645.399999999906868,2919114.279999999795109,11819641.879999998956919
FS( 97 ),3186198.299999999813735,3073351.000000000000000,2649843.050000000279397,2969576.199999999720603,11878968.549999998882413
FS( 98 ),3259050.189999999944121,3052393.000000000000000,2693110.800000000279397,2982892.540000000037253,11987446.530000001192093
FS( 99 ),3268723.469999999739230,2962573.000000000000000,2792854.350000000093132,2992003.719999999739230,12016154.539999999105930
FS( 100 ),3247260.879999999888241,3014968.000000000000000,2813805.050000000279397,2975183.080000000074506,12051217.009999999776483
FS( 101 ),3287465.449999999720603,3022453.000000000000000,2796042.500000000000000,3004619.199999999720603,12110580.149999998509884
FS( 102 ),3294115.829999999608845,3088321.000000000000000,2835211.200000000186265,3005320.060000000055879,12222968.090000001713634
FS( 103 ),3289279.189999999944121,3118260.999999999534339,2872102.650000000372529,3025645.000000000000000,12305287.839999999850988
FS( 104 ),3308323.459999999497086,3139219.000000000000000,2882122.550000000279397,2994106.299999999813735,12323771.309999998658895
FS( 105 ),3270234.919999999925494,3146704.000000000000000,2893053.350000000558794,2965371.040000000037253,12275363.309999998658895
FS( 106 ),3209474.629999999888241,3059878.000000000000000,2917192.200000000186265,3022140.699999999720603,12208685.529999999329448
FS( 107 ),3164433.419999999925494,3089818.000000000000000,2893964.250000000000000,2998311.459999999962747,12146527.129999998956919
FS( 108 ),3102161.679999999701977,3052393.000000000000000,2869369.950000000186265,2978687.379999999888241,12002612.009999997913837
FS( 109 ),3110021.219999999739230,3076345.000000000000000,2888954.300000000279397,2967473.620000000111759,12042794.140000000596046
FS( 110 ),3146598.310000000055879,3083830.000000000000000,2887132.500000000000000,3020738.979999999981374,12138299.790000000968575
FS( 111 ),3154760.139999999664724,3122752.000000000000000,2908538.650000000372529,3048773.379999999888241,12234824.169999998062849
FS( 112 ),3091279.239999999757856,3085327.000000000000000,2880756.200000000186265,3090124.120000000111759,12147486.560000002384186
FS( 113 ),3106393.739999999757856,3127243.000000000000000,2908083.200000000186265,3148996.359999999869615,12290716.300000000745058
FS( 114 ),3095209.009999999776483,3131734.000000000465661,2838854.800000000279397,3151799.799999999813735,12217597.609999999403954
FS( 115 ),3072839.549999999813735,3140716.000000000000000,2866637.250000000000000,3162312.699999999720603,12242505.500000000000000
FS( 116 ),3035355.589999999385327,3164668.000000000000000,2849785.600000000093132,3104842.179999999701977,12154651.369999999180436
FS( 117 ),3109416.639999999664724,3170656.000000000000000,2869369.950000000186265,3097132.719999999739230,12246575.309999998658895
FS( 118 ),3139947.929999999701977,3148201.000000000000000,2860716.400000000372529,3099936.159999999683350,12248801.490000000223517
FS( 119 ),3100650.229999999515712,3097303.000000000000000,2835211.200000000186265,3109748.199999999720603,12142912.629999998956919
FS( 120 ),3064375.429999999701977,3082333.000000000000000,2798319.750000000000000,3118859.379999999888241,12063887.559999998658895
FS( 121 ),3091581.529999999795109,3071854.000000000000000,2779190.850000000558794,3104141.319999999832362,12046767.699999999254942
FS( 122 ),3121205.949999999720603,3110776.000000000000000,2799230.650000000372529,3093628.419999999925494,12124841.019999999552965
FS( 123 ),3124531.139999999664724,3128740.000000000000000,2787844.400000000372529,3062790.580000000074506,12103906.119999999180436
FS( 124 ),3119996.789999999571592,3133231.000000000000000,2801963.350000000558794,3063491.439999999944121,12118682.580000000074506
FS( 125 ),3171386.089999999385327,3211075.000000000000000,2827468.550000000279397,3057884.560000000055879,12267814.200000001117587
