代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11379067.360000001266599
真實報酬,1379067.360000001266599

夏普值報酬,0.129206736000000
夏普值風險,0.051138268028159
夏普值,2.526615409204971

二次趨勢線,-89.603314022856253 x^2 + 23977.350334257356735 x + 10000000.000000000000000
二次平均預期報酬,12597.729453354611906
風險,243367.132237817510031
二次平均趨勢值,0.051764300863126
一次趨勢線,15476.368727575070807 x + 10000000.000000000000000
一次預期報酬,15476.368727575070807
一次風險,291591.189622201491147
一次趨勢值,0.053075570450626
找到最佳解世代,2382
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),MRK[17](1),
FS( 32 ),5124902.959999999962747,5342798.030000001192093,10467700.990000002086163
FS( 33 ),5038872.859999999403954,5376390.710000000894070,10415263.570000000298023
FS( 34 ),5027083.550000000745058,5376390.710000000894070,10403474.260000001639128
FS( 35 ),5072010.379999999888241,5342798.030000001192093,10414808.410000000149012
FS( 36 ),5123309.809999999590218,5403875.630000000819564,10527185.440000001341105
FS( 37 ),5267011.940000000409782,5428306.669999999925494,10695318.609999999403954
FS( 38 ),5203604.570000000298023,5403875.630000000819564,10607480.200000001117587
FS( 39 ),5302379.870000000111759,5393950.520000001415610,10696330.390000000596046
FS( 40 ),5281668.919999999925494,5369519.480000000447035,10651188.400000000372529
FS( 41 ),5306203.429999999701977,5399294.810000000521541,10705498.240000000223517
FS( 42 ),5330419.309999999590218,5416091.150000000372529,10746510.460000000894070
FS( 43 ),5310664.250000000000000,5461135.880000000819564,10771800.130000000819564
FS( 44 ),5263188.379999999888241,5477932.220000000670552,10741120.600000001490116
FS( 45 ),5246619.620000000111759,5448920.360000001266599,10695539.980000000447035
FS( 46 ),5282943.440000000409782,5437468.310000000521541,10720411.750000000000000
FS( 47 ),5307477.950000000186265,5422962.380000000819564,10730440.330000001937151
FS( 48 ),5345713.550000000745058,5455791.589999999850988,10801505.140000000596046
FS( 49 ),5411351.330000000074506,5522976.950000001117587,10934328.280000001192093
FS( 50 ),5364831.350000000558794,5378681.120000001043081,10743512.470000002533197
FS( 51 ),5192771.150000000372529,5219879.360000001266599,10412650.510000001639128
FS( 52 ),5219854.700000000186265,5329819.040000000968575,10549673.740000002086163
FS( 53 ),5215075.250000000000000,5303097.589999999850988,10518172.839999999850988
FS( 54 ),5227820.450000000186265,5437468.310000000521541,10665288.760000001639128
FS( 55 ),5313850.550000000745058,5483276.509999999776483,10797127.060000000521541
FS( 56 ),5315125.070000000298023,5513051.839999999850988,10828176.910000000149012
FS( 57 ),5336791.910000000149012,5523740.419999999925494,10860532.330000000074506
FS( 58 ),5309389.729999999515712,5540536.759999999776483,10849926.489999998360872
FS( 59 ),5644588.490000000223517,5504653.669999999925494,11149242.160000000149012
FS( 60 ),5650961.089999999850988,5385552.350000001490116,11036513.440000001341105
FS( 61 ),5585960.570000000298023,5341271.089999999850988,10927231.660000000149012
FS( 62 ),5523190.459999999962747,5374863.770000001415610,10898054.230000000447035
FS( 63 ),5519685.529999999329448,5455028.120000001043081,10974713.650000000372529
FS( 64 ),5687284.910000000149012,5563440.860000001266599,11250725.770000001415610
FS( 65 ),5636622.740000000223517,5619937.640000000596046,11256560.380000000819564
FS( 66 ),5572259.479999999515712,5582527.610000001266599,11154787.089999999850988
FS( 67 ),5631843.290000000037253,5517632.660000000149012,11149475.949999999254942
FS( 68 ),5747824.609999999403954,5582527.610000001266599,11330352.220000000670552
FS( 69 ),5821746.770000000484288,5597033.540000000968575,11418780.310000002384186
FS( 70 ),5870815.790000000037253,5732167.730000000447035,11602983.519999999552965
FS( 71 ),5910007.279999999329448,5762706.530000001192093,11672713.810000000521541
FS( 72 ),5924664.259999999776483,5715371.390000000596046,11640035.650000000372529
FS( 73 ),5874639.350000000558794,5702392.400000000372529,11577031.750000000000000
FS( 74 ),5863168.669999999925494,5696284.640000000596046,11559453.310000000521541
FS( 75 ),5858070.589999999850988,5656584.200000001117587,11514654.790000000968575
FS( 76 ),5848830.320000000298023,5713844.450000001117587,11562674.770000001415610
FS( 77 ),5977238.209999999962747,5806987.790000000968575,11784226.000000000000000
FS( 78 ),5949517.400000000372529,5829128.419999999925494,11778645.820000000298023
FS( 79 ),5853609.770000000484288,5709263.630000000819564,11562873.400000002235174
FS( 80 ),5822065.400000000372529,5710027.100000001490116,11532092.500000001862645
FS( 81 ),5796893.629999999888241,5700865.460000000894070,11497759.089999999850988
FS( 82 ),5859345.109999999403954,5759652.650000000372529,11618997.759999999776483
FS( 83 ),5882923.729999999515712,5828364.950000001117587,11711288.679999999701977
FS( 84 ),5985522.589999999850988,5896313.780000001192093,11881836.370000001043081
FS( 85 ),6030449.419999999925494,5948229.740000000223517,11978679.160000000149012
FS( 86 ),6006552.169999999925494,6057405.950000001117587,12063958.120000001043081
FS( 87 ),5906502.350000000558794,6048244.310000000521541,11954746.660000000149012
FS( 88 ),5895987.559999999590218,5971133.839999999850988,11867121.399999998509884
FS( 89 ),5909051.389999999664724,5983349.360000001266599,11892400.750000000000000
FS( 90 ),5829712.520000000484288,5857376.810000000521541,11687089.330000001937151
FS( 91 ),5883560.990000000223517,5910819.710000000894070,11794380.700000001117587
FS( 92 ),5849786.209999999962747,5887152.140000000596046,11736938.350000001490116
FS( 93 ),5846281.279999999329448,5955864.440000001341105,11802145.720000000670552
FS( 94 ),5940277.129999999888241,6032211.440000001341105,11972488.570000000298023
FS( 95 ),5840227.309999999590218,5839053.530000001192093,11679280.839999999850988
FS( 96 ),5760569.809999999590218,5743619.780000001192093,11504189.589999999850988
FS( 97 ),5726157.770000000484288,5674907.480000000447035,11401065.250000000000000
FS( 98 ),5708633.120000000111759,5632153.160000000149012,11340786.280000001192093
FS( 99 ),5534023.879999999888241,5610776.000000000000000,11144799.879999998956919
FS( 100 ),5548999.490000000223517,5565731.270000001415610,11114730.760000001639128
FS( 101 ),5425689.679999999701977,5432124.020000001415610,10857813.700000001117587
FS( 102 ),5545175.929999999701977,5649712.970000000670552,11194888.900000000372529
FS( 103 ),5598705.770000000484288,5755071.830000000074506,11353777.600000001490116
FS( 104 ),5593926.320000000298023,5754308.360000001266599,11348234.680000001564622
FS( 105 ),5657970.950000000186265,5833709.240000000223517,11491680.190000001341105
FS( 106 ),5609857.820000000298023,5771104.700000001117587,11380962.520000001415610
FS( 107 ),5572896.740000000223517,5652766.850000001490116,11225663.590000001713634
FS( 108 ),5680593.679999999701977,5823020.660000000149012,11503614.339999999850988
FS( 109 ),5742407.900000000372529,5758889.180000001564622,11501297.080000001937151
FS( 110 ),5754515.839999999850988,5801643.500000000000000,11556159.339999999850988
FS( 111 ),5744638.309999999590218,5757362.240000000223517,11502000.550000000745058
FS( 112 ),5784785.690000000409782,5686359.530000001192093,11471145.220000002533197
FS( 113 ),5810913.350000000558794,5718425.270000001415610,11529338.620000001043081
FS( 114 ),5774270.900000000372529,5601614.360000001266599,11375885.260000001639128
FS( 115 ),5767898.300000000745058,5687886.470000000670552,11455784.770000001415610
FS( 116 ),5714687.089999999850988,5696284.640000000596046,11410971.730000000447035
FS( 117 ),5770765.970000000670552,5771868.169999999925494,11542634.140000000596046
FS( 118 ),5817285.950000000186265,5792481.860000001266599,11609767.810000002384186
FS( 119 ),5881011.950000000186265,5789427.980000000447035,11670439.929999999701977
FS( 120 ),5929443.709999999962747,5759652.650000000372529,11689096.359999999403954
FS( 121 ),5970228.350000000558794,5586344.960000000894070,11556573.310000002384186
FS( 122 ),5862850.040000000037253,5569548.620000001043081,11432398.660000000149012
FS( 123 ),5850104.839999999850988,5567258.210000000894070,11417363.050000000745058
FS( 124 ),5804540.750000000000000,5590925.780000001192093,11395466.530000001192093
FS( 125 ),5791795.550000000745058,5601614.360000001266599,11393409.910000002011657
FS( 126 ),5696525.179999999701977,5682542.180000001564622,11379067.360000001266599
