代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11351421.049999998882413
真實報酬,1351421.049999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23693.094056875710521
風險,69475.235429657957866
起點值,0.341029345353776
找到最佳解世代,1271
找到最佳解實驗#,2
找到最佳解次數,16

stock[index](rank)
投資組合檔數,6
DD[7](5),MCD[15](27),MMM[16](1),PFE[20](19),UTX[24](2),XOM[29](6),
FS( 12 ),1878292.800000000046566,1586817.250000000000000,1755073.450000000186265,1636835.319999999832362,1677325.040000000037253,1791406.659999999916181,10325754.519999999552965
FS( 13 ),1861802.399999999906868,1567156.000000000000000,1756866.250000000000000,1632415.959999999962747,1681893.199999999953434,1801237.359999999869615,10301375.169999999925494
FS( 14 ),1842838.439999999944121,1558596.000000000000000,1753168.599999999860302,1629101.439999999711290,1679418.780000000027940,1802329.659999999916181,10265456.919999999925494
FS( 15 ),1874445.040000000037253,1573843.500000000000000,1767174.849999999860302,1660036.959999999962747,1758219.540000000037253,1799926.599999999860302,10433650.490000000223517
FS( 16 ),1838715.840000000083819,1563544.750000000000000,1750031.199999999953434,1655065.179999999934807,1743563.359999999869615,1774585.239999999990687,10325509.570000000298023
FS( 17 ),1846961.040000000037253,1565684.750000000000000,1761796.450000000186265,1658379.699999999953434,1781821.699999999953434,1780920.579999999841675,10395568.220000000670552
FS( 18 ),1882690.239999999990687,1583206.000000000000000,1781629.300000000279397,1689867.639999999897555,1866713.339999999850988,1791625.120000000111759,10595735.640000000596046
FS( 19 ),1907700.679999999934807,1565684.750000000000000,1773561.700000000186265,1669980.519999999785796,1859480.419999999925494,1785945.159999999916181,10562357.230000000447035
FS( 20 ),1902753.560000000055879,1567423.500000000000000,1757874.700000000186265,1639045.000000000000000,1839114.040000000037253,1750991.560000000055879,10457206.360000001266599
FS( 21 ),1959645.439999999944121,1589626.000000000000000,1788352.300000000046566,1659484.539999999804422,1809230.659999999916181,1775677.540000000037253,10582020.480000000447035
FS( 22 ),1942055.679999999934807,1584677.250000000000000,1786335.400000000139698,1656170.019999999785796,1818366.979999999981374,1806698.859999999869615,10594308.189999999478459
FS( 23 ),1941231.159999999916181,1560736.000000000000000,1785999.250000000000000,1651198.239999999990687,1829406.699999999953434,1800145.060000000055879,10568720.410000000149012
FS( 24 ),1968440.320000000065193,1567289.750000000000000,1793730.699999999953434,1641254.679999999934807,1846346.959999999962747,1797742.000000000000000,10614808.410000000149012
FS( 25 ),1947552.479999999981374,1566888.500000000000000,1799333.199999999953434,1645674.039999999804422,1844824.239999999990687,1845147.819999999832362,10649424.279999999329448
FS( 26 ),1911273.600000000093132,1583874.750000000000000,1795187.349999999860302,1621919.979999999748543,1844443.560000000055879,1805169.639999999897555,10561872.880000000819564
FS( 27 ),1920343.320000000065193,1600192.250000000000000,1793954.800000000046566,1642911.939999999711290,1838733.359999999869615,1800145.060000000055879,10596284.730000000447035
FS( 28 ),1923091.719999999972060,1604739.750000000000000,1791713.800000000046566,1634625.639999999897555,1830739.080000000074506,1795338.940000000176951,10580252.929999997839332
FS( 29 ),1981357.800000000046566,1625738.500000000000000,1814011.750000000000000,1684895.859999999869615,1841588.459999999962747,1795557.399999999906868,10743153.770000001415610
FS( 30 ),1967890.639999999897555,1643794.750000000000000,1813227.400000000139698,1662799.060000000055879,1843111.179999999934807,1800363.519999999785796,10731190.549999998882413
FS( 31 ),1964592.560000000055879,1650883.500000000000000,1819950.400000000139698,1631863.539999999804422,1832832.820000000065193,1809320.379999999655411,10709447.199999999254942
FS( 32 ),1982732.000000000000000,1652087.250000000000000,1825328.800000000046566,1604242.539999999804422,1855673.619999999878928,1810412.679999999934807,10730480.889999998733401
FS( 33 ),2011865.040000000037253,1647272.250000000000000,1834965.100000000093132,1620815.139999999897555,1881369.520000000018626,1837283.259999999776483,10833574.310000000521541
FS( 34 ),2022034.119999999878928,1659577.250000000000000,1852669.000000000232831,1626891.759999999776483,1885366.659999999916181,1839467.859999999869615,10886010.649999998509884
FS( 35 ),2017361.840000000083819,1655966.000000000000000,1847178.550000000046566,1661141.799999999813735,1887650.739999999990687,1826797.179999999934807,10896100.109999999403954
FS( 36 ),2005818.560000000055879,1656099.750000000000000,1847962.900000000139698,1678266.819999999832362,1877943.399999999906868,1837720.179999999934807,10903815.609999999403954
FS( 37 ),2003345.000000000000000,1661048.500000000000000,1840791.700000000186265,1667770.839999999850988,1886508.699999999953434,1829637.159999999916181,10889105.900000000372529
FS( 38 ),2008566.959999999962747,1649011.000000000000000,1842920.650000000139698,1661694.219999999739230,1885557.000000000000000,1834661.739999999990687,10882415.570000000298023
FS( 39 ),2018186.360000000102445,1647406.000000000000000,1863313.750000000000000,1645121.619999999878928,1882701.899999999906868,1839904.779999999795109,10896638.410000000149012
FS( 40 ),2000871.439999999944121,1658106.000000000000000,1842136.300000000046566,1660036.959999999962747,1905733.040000000037253,1846677.040000000037253,10913564.780000001192093
FS( 41 ),2014888.280000000027940,1682983.500000000000000,1868580.100000000093132,1661141.799999999813735,1908207.459999999962747,1846458.579999999841675,10982263.720000000670552
FS( 42 ),1990702.360000000102445,1680977.250000000000000,1867235.500000000000000,1637387.739999999990687,1905352.359999999869615,1826141.800000000046566,10907801.010000001639128
FS( 43 ),2001695.959999999962747,1698899.750000000000000,1877320.000000000000000,1659484.539999999804422,1902877.939999999944121,1812378.819999999832362,10952661.009999999776483
FS( 44 ),1998947.560000000055879,1706256.000000000000000,1864658.350000000093132,1697049.099999999860302,1908588.139999999897555,1816748.019999999785796,10992251.169999999925494
FS( 45 ),1986030.080000000074506,1703714.750000000000000,1858047.400000000139698,1732403.979999999748543,1900784.199999999953434,1795994.319999999832362,10976978.730000000447035
FS( 46 ),1993450.760000000009313,1705587.250000000000000,1869252.400000000139698,1819133.919999999925494,1910491.540000000037253,1820024.919999999925494,11117944.790000000968575
FS( 47 ),1974211.959999999962747,1713879.749999999767169,1873174.150000000139698,1809742.779999999795109,1920389.219999999972060,1799489.679999999934807,11090891.540000000968575
FS( 48 ),1987129.439999999944121,1711472.250000000000000,1867235.500000000000000,1795379.859999999869615,1928573.839999999850988,1817840.319999999832362,11107635.209999999031425
FS( 49 ),1986854.600000000093132,1706122.250000000000000,1866787.300000000046566,1761682.239999999990687,1944181.719999999972060,1820243.379999999655411,11085875.490000000223517
FS( 50 ),2020385.080000000074506,1706791.000000000000000,1882922.500000000000000,1765549.179999999934807,1962073.679999999934807,1842744.759999999776483,11180470.199999999254942
FS( 51 ),2043471.639999999897555,1697161.000000000000000,1889197.300000000046566,1797589.539999999804422,1991195.699999999953434,1853230.839999999850988,11271850.019999999552965
FS( 52 ),2049518.119999999878928,1705453.500000000000000,1884379.150000000139698,1803666.159999999683350,1992528.080000000074506,1866338.440000000176951,11301887.449999999254942
FS( 53 ),2049792.959999999962747,1709064.750000000000000,1891326.250000000000000,1795379.859999999869615,1990434.339999999850988,1856289.279999999795109,11292291.439999999478459
FS( 54 ),2056389.119999999878928,1723376.000000000000000,1899954.100000000325963,1801456.479999999748543,2001093.379999999888241,1873984.540000000037253,11356257.620000001043081
FS( 55 ),2076452.439999999944121,1723509.750000000232831,1901074.600000000093132,1816924.239999999990687,1998618.959999999962747,1883378.319999999832362,11399962.310000002384186
FS( 56 ),2033027.719999999972060,1719363.500000000232831,1893119.050000000046566,1835706.519999999785796,2008706.979999999981374,1896267.459999999962747,11386195.230000000447035
FS( 57 ),2034401.919999999925494,1682448.500000000000000,1889981.650000000139698,1836258.939999999944121,2006803.580000000074506,1896049.000000000000000,11345947.589999999850988
FS( 58 ),2059137.520000000018626,1678569.750000000000000,1889981.650000000139698,1837916.199999999953434,2011942.760000000009313,1912215.040000000037253,11389766.920000001788139
FS( 59 ),2056389.119999999878928,1704784.750000000000000,1886844.250000000000000,1834601.679999999934807,2002425.760000000009313,1907845.839999999850988,11392895.400000000372529
FS( 60 ),2100638.360000000335276,1708128.500000000000000,1862193.250000000232831,1825762.959999999729916,1994812.159999999916181,1914399.639999999897555,11405938.870000001043081
FS( 61 ),2097889.959999999962747,1716019.750000000232831,1879897.149999999906868,1823000.859999999869615,2015559.219999999972060,1932531.819999999832362,11464902.759999999776483
FS( 62 ),2090744.119999999878928,1710937.250000000000000,1871381.350000000093132,1818029.079999999608845,1983962.780000000027940,1923138.040000000037253,11398196.620000001043081
FS( 63 ),2059137.520000000018626,1691811.000000000000000,1875639.250000000000000,1806980.679999999934807,1986627.540000000037253,1931221.060000000055879,11351421.049999998882413
