代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12376111.589999999850988
真實報酬,2376111.589999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,39805.195562027642154
風險,85306.821974111880991
起點值,0.466612102536270
找到最佳解世代,2003
找到最佳解實驗#,1
找到最佳解次數,29

stock[index](rank)
投資組合檔數,6
AAPL[0](2),GS[8](6),HD[9](1),IBM[10](12),MSFT[18](4),UNH[23](16),
FS( 19 ),1836022.959999999962747,1917810.489999999990687,1770682.500000000232831,1722131.199999999953434,1843478.719999999972060,1653071.439999999944121,10743201.310000000521541
FS( 20 ),1849923.279999999795109,1948220.469999999972060,1755653.500000000000000,1723025.799999999813735,1838498.080000000074506,1676376.399999999906868,10791701.529999999329448
FS( 21 ),1848788.560000000055879,1982824.930000000167638,1758817.500000000000000,1723204.719999999972060,1860910.960000000195578,1723957.359999999869615,10898508.029999999329448
FS( 22 ),1844533.359999999869615,1981776.310000000055879,1758422.000000000000000,1713453.580000000074506,1864646.439999999944121,1700652.399999999906868,10863488.089999999850988
FS( 23 ),1862972.560000000055879,2054131.090000000083819,1786502.500000000000000,1732329.639999999897555,1882701.260000000009313,1660839.760000000009313,10979480.810000000521541
FS( 24 ),1880277.040000000037253,2051684.310000000055879,1787689.000000000000000,1724993.919999999925494,1880210.939999999944121,1660192.399999999906868,10985051.609999999403954
FS( 25 ),1900134.640000000130385,2027041.739999999990687,1797972.000000000000000,1729735.299999999813735,1889549.640000000130385,1684144.719999999972060,11028582.040000000968575
FS( 26 ),1931906.799999999813735,2030012.830000000074506,1786502.500000000000000,1726156.899999999906868,1908849.620000000111759,1687705.199999999953434,11071137.849999997764826
FS( 27 ),1998571.600000000093132,2025294.040000000037253,1790457.500000000232831,1727767.179999999934807,1915698.000000000000000,1717483.760000000009313,11175276.080000000074506
FS( 28 ),1999706.319999999832362,1994534.520000000018626,1792830.500000000000000,1721415.519999999785796,1898888.340000000083819,1725899.439999999944121,11133278.639999998733401
FS( 29 ),2036868.399999999906868,2001700.090000000083819,1816560.500000000000000,1723204.719999999972060,1903868.979999999981374,1743054.479999999981374,11225261.169999999925494
FS( 30 ),2064669.040000000037253,1972688.270000000018626,1821702.000000000000000,1719626.319999999832362,1883323.840000000083819,1762798.959999999962747,11224812.429999999701977
FS( 31 ),2017010.799999999813735,1977931.370000000111759,1807859.500000000000000,1719894.699999999953434,1870872.240000000223517,1767977.839999999850988,11161550.449999999254942
FS( 32 ),2035166.319999999832362,2005370.260000000009313,1816560.500000000000000,1726783.120000000111759,1948072.159999999916181,1773480.399999999906868,11305436.759999999776483
FS( 33 ),2034882.640000000130385,2025818.349999999860302,1847409.500000000000000,1730361.519999999785796,1945581.840000000083819,1769919.919999999925494,11353977.769999999552965
FS( 34 ),2086512.399999999906868,2038401.790000000037253,1855715.000000000000000,1730093.139999999897555,1957410.860000000102445,1790635.439999999944121,11458772.629999998956919
FS( 35 ),2079136.720000000204891,1998729.000000000000000,1841872.500000000000000,1734387.219999999972060,1946827.000000000000000,1786103.919999999925494,11387060.360000001266599
FS( 36 ),2092753.359999999869615,2023895.879999999888241,1856901.500000000000000,1767845.260000000009313,1953052.800000000046566,1778335.599999999860302,11472788.400000000372529
FS( 37 ),2117149.839999999850988,2025119.270000000018626,1858087.999999999767169,1769187.159999999916181,1959901.180000000167638,1801316.879999999888241,11530766.329999998211861
FS( 38 ),2130766.479999999981374,2031410.989999999990687,1856110.500000000000000,1767129.580000000074506,1951807.640000000130385,1803906.319999999832362,11541135.509999999776483
FS( 39 ),2169914.319999999832362,2046790.750000000000000,1867975.499999999767169,1771155.279999999795109,1984181.800000000046566,1807466.800000000046566,11647488.450000001117587
FS( 40 ),2198282.319999999832362,2012361.060000000055879,1881422.500000000000000,1759972.779999999795109,1976088.260000000009313,1804553.679999999934807,11632684.599999999627471
FS( 41 ),2206509.040000000037253,2117048.290000000037253,1877072.000000000000000,1767129.580000000074506,2010330.159999999916181,1812322.000000000000000,11790415.070000000298023
FS( 42 ),2209345.839999999850988,2096600.199999999953434,1875094.499999999767169,1778580.459999999962747,1997255.979999999981374,1807466.800000000046566,11764347.780000001192093
FS( 43 ),2160836.560000000055879,2073355.790000000037253,1874303.500000000000000,1795130.559999999823049,1979823.740000000223517,1781572.399999999906868,11665026.549999998882413
FS( 44 ),2148922.000000000000000,1986669.870000000111759,1834753.500000000000000,1764714.159999999916181,1964881.820000000065193,1762798.959999999962747,11462744.309999998658895
FS( 45 ),2150624.080000000074506,2034382.080000000074506,1874303.500000000000000,1769276.620000000111759,1982314.060000000055879,1760533.199999999953434,11571437.539999999105930
FS( 46 ),2196580.240000000223517,2047839.370000000111759,1891310.000000000000000,1787526.459999999962747,1992897.919999999925494,1800022.159999999916181,11716180.150000000372529
FS( 47 ),2209345.839999999850988,2049936.610000000102445,1902384.000000000000000,1794772.719999999972060,1991652.760000000009313,1805524.719999999972060,11753620.650000000372529
FS( 48 ),2237146.479999999981374,2044693.510000000009313,1921763.500000000232831,1798172.199999999953434,1994765.659999999916181,1780925.040000000037253,11777470.390000000596046
FS( 49 ),2302392.879999999888241,2176644.860000000335276,1943516.000000000000000,1823042.080000000074506,2033988.200000000186265,1790959.119999999878928,12070547.139999998733401
FS( 50 ),2389482.640000000130385,2103765.770000000484288,1956567.500000000000000,1831451.319999999832362,2040214.000000000232831,1805524.719999999972060,12127009.950000001117587
FS( 51 ),2373029.200000000186265,2150778.900000000372529,1945889.000000000000000,1842902.199999999953434,2045194.640000000130385,1803258.959999999962747,12161056.900000002235174
FS( 52 ),2373029.200000000186265,2148506.890000000596046,1939956.500000000000000,1842991.659999999916181,2029630.140000000130385,1799374.800000000046566,12133493.190000001341105
FS( 53 ),2436006.160000000149012,2172450.379999999888241,1931255.500000000000000,1840397.319999999832362,2004726.940000000176951,1816853.520000000018626,12201693.819999998435378
FS( 54 ),2455863.759999999776483,2202510.820000000298023,1953008.000000000000000,1827246.699999999953434,1991652.760000000009313,1773156.719999999972060,12203442.759999999776483
FS( 55 ),2441679.759999999776483,2201986.509999999776483,1969223.500000000000000,1831182.939999999944121,1986672.120000000111759,1746938.639999999897555,12177687.469999998807907
FS( 56 ),2428914.160000000149012,2180140.259999999776483,1964873.000000000000000,1838339.739999999990687,1992275.340000000083819,1744025.520000000018626,12148572.019999999552965
FS( 57 ),2415581.200000000186265,2205307.140000000596046,1959336.000000000000000,1838250.279999999795109,1992897.919999999925494,1736904.559999999823049,12148281.100000001490116
FS( 58 ),2459835.279999999795109,2238338.669999999925494,1982670.500000000000000,1858736.620000000111759,2029007.560000000288710,1783514.479999999981374,12352107.110000001266599
FS( 59 ),2490189.040000000037253,2207928.690000000409782,1979111.000000000000000,1853458.479999999981374,2024649.500000000232831,1794195.919999999925494,12349536.630000000819564
FS( 60 ),2502954.640000000130385,2208453.000000000000000,1973969.499999999767169,1854442.539999999804422,2004104.359999999869615,1794519.599999999860302,12338447.639999998733401
FS( 61 ),2471466.160000000149012,2163012.799999999813735,1973969.499999999767169,1863209.620000000111759,1999746.299999999813735,1880942.159999999916181,12352350.539999999105930
FS( 62 ),2429765.200000000186265,2173673.770000000484288,1989789.500000000000000,1866609.100000000093132,2008462.419999999925494,1907807.599999999860302,12376111.589999999850988
