訓練日期,20171215 - 20180321
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11693500.640000000596046
真實報酬,1693500.640000000596046

夏普值報酬,0.160650064000000
夏普值風險,0.051023685937414
夏普值,3.148538978486488

預期報酬,31141.883767042123509
風險,262650.550209681678098
趨勢值,0.118567746163793
找到最佳解世代,2368
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](4),CSCO[4](1),INTC[11](6),
20180306,3957596.680000000167638,3895333.500000000000000,3907377.850000000093132,11760309.029999999329448
20180307,3936273.720000000204891,3887418.000000000465661,3954380.180000000167638,11778072.900000000372529
20180308,3955441.700000000186265,3899731.000000000465661,3909689.440000000409782,11764863.140000000596046
20180309,4021111.879999999888241,3990319.500000000000000,4021416.290000000037253,12032848.669999999925494
20180312,3903949.020000000018626,4006150.499999999534339,3969790.780000000260770,11879891.300000000745058
20180313,3841341.180000000167638,3971849.999999999534339,3989824.560000000521541,11803016.740000000223517
20180314,3745954.959999999962747,3982404.000000000000000,3995988.800000000279397,11724348.759999999776483
20180315,3742779.200000000186265,3986801.500000000000000,3920476.860000000335276,11650058.560000000521541
20180316,3748336.780000000260770,3958657.500000000000000,3942822.230000000447035,11649817.510000001639128
20180319,3762967.959999999962747,3893574.500000000465661,3916624.209999999962747,11573167.670000001788139
20180320,3829545.500000000000000,3902369.500000000000000,3972102.370000000111759,11704018.370000001043081
20180321,3823534.240000000223517,3897092.500000000000000,3972872.900000000372529,11693500.640000000596046
