訓練日期,20150210 - 20150513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10889595.109999997541308
真實報酬,889595.109999997541308

夏普值報酬,0.080259511000000
夏普值風險,0.023006168331683
夏普值,3.488608352459573

預期報酬,15184.866945817522719
風險,115283.922590309230145
趨勢值,0.131717125897779
找到最佳解世代,1822
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](24),DIS[6](1),IBM[10](5),NKE[19](2),WBA[27](6),
20150325,1886382.989999999990687,2064284.929999999934807,2044301.449999999953434,2171527.790000000037253,2248167.439999999478459,10414664.599999999627471
20150326,1886855.409999999916181,2069003.089999999850988,2062150.439999999944121,2178985.519999999552965,2210471.119999999646097,10407465.579999998211861
20150327,1881895.000000000000000,2073721.250000000000000,2059710.650000000139698,2190830.149999999441206,2232722.419999999925494,10438879.469999998807907
20150330,1922050.699999999953434,2086303.010000000009313,2088859.719999999739230,2213203.339999999850988,2251047.019999999552965,10561463.789999999105930
20150331,1890398.560000000055879,2062122.439999999944121,2060994.750000000000000,2200920.019999999552965,2216753.839999999850988,10431189.609999999403954
20150401,1881186.369999999878928,2072934.889999999897555,2044044.630000000121072,2183811.109999999403954,2205759.080000000074506,10387736.079999998211861
20150402,1895358.969999999739230,2083943.929999999934807,2060352.699999999953434,2186004.559999999590218,2250523.459999999962747,10476183.619999999180436
20150406,1924885.219999999739230,2076670.099999999860302,2080769.889999999897555,2187759.319999999366701,2303926.580000000074506,10574011.109999999403954
20150407,1902445.270000000018626,2072738.300000000046566,2081155.119999999878928,2185127.179999999701977,2284816.639999999664724,10526282.509999999776483
20150408,1900083.169999999925494,2091021.169999999925494,2078330.099999999860302,2211887.269999999552965,2295287.839999999850988,10576609.549999998882413
20150409,1905752.210000000195578,2099081.359999999403954,2084622.189999999944121,2209255.129999999888241,2424607.160000000149012,10723318.050000000745058
20150410,1951104.529999999795109,2102619.980000000447035,2091299.510000000242144,2193023.599999999627471,2408900.359999999869615,10746947.980000000447035
20150413,1940238.869999999878928,2093970.020000000018626,2085135.829999999841675,2177669.450000000186265,2400785.179999999701977,10697799.349999999627471
20150414,1960552.929999999934807,2096918.869999999878928,2084108.550000000046566,2183372.419999999925494,2407853.239999999757856,10732806.009999999776483
20150415,2011574.289999999804422,2103209.750000000000000,2107607.580000000074506,2189952.769999999552965,2396334.919999999925494,10808679.310000000521541
20150416,1992205.070000000065193,2125227.830000000074506,2094766.579999999841675,2191268.839999999850988,2343455.359999999869615,10746923.679999999701977
20150417,1967166.810000000055879,2097508.639999999664724,2063177.719999999739230,2161876.609999999403954,2276439.679999999701977,10566169.459999999031425
20150420,1998346.529999999795109,2127586.910000000149012,2133674.810000000055879,2193462.290000000037253,2280628.160000000149012,10733698.699999999254942
20150421,1982284.250000000000000,2116971.049999999813735,2109276.909999999683350,2200042.639999999664724,2279842.819999999832362,10688417.669999998062849
20150422,2004724.199999999953434,2122082.389999999664724,2123402.010000000242144,2196971.809999999590218,2278010.359999999869615,10725190.769999999552965
20150423,2002834.520000000018626,2142920.929999999701977,2186066.090000000316650,2218028.929999999701977,2269371.619999999646097,10819222.089999997988343
20150424,1998346.529999999795109,2153340.200000000186265,2180159.229999999981374,2214519.409999999217689,2250785.239999999757856,10797150.609999999403954
20150427,2015589.859999999869615,2165725.370000000111759,2192358.179999999701977,2214080.719999999739230,2254450.160000000149012,10842204.289999999105930
20150428,2036140.129999999888241,2161007.209999999962747,2233320.969999999739230,2190391.459999999962747,2253403.039999999571592,10874262.809999998658895
20150429,2066847.429999999934807,2158844.719999999739230,2239484.649999999906868,2197410.500000000000000,2213874.259999999776483,10876461.559999998658895
20150430,2052202.409999999916181,2137416.410000000149012,2199549.140000000130385,2168018.269999999552965,2170942.339999999850988,10728128.570000000298023
20150501,2063776.699999999953434,2172802.609999999403954,2230110.719999999739230,2210571.200000000186265,2184816.679999999701977,10862077.910000000149012
20150504,2062123.229999999981374,2182828.700000000186265,2233963.020000000018626,2211887.269999999552965,2202355.939999999478459,10893158.159999998286366
20150505,2055036.929999999934807,2178503.719999999739230,2222534.530000000260770,2202674.780000000260770,2176439.719999999739230,10835189.679999999701977
20150506,2054800.719999999739230,2157075.410000000149012,2183626.300000000279397,2198287.879999999888241,2175392.599999999627471,10769182.909999998286366
20150507,2041572.960000000195578,2148032.270000000484288,2195696.840000000316650,2225486.659999999217689,2204973.739999999757856,10815762.470000000670552
20150508,2062359.439999999944121,2164742.419999999925494,2217398.129999999888241,2246982.469999999739230,2225654.359999999869615,10917136.819999998435378
20150511,2096846.099999999860302,2135057.330000000074506,2197366.169999999925494,2254878.889999999664724,2205497.299999999813735,10889645.789999999105930
20150512,2082437.289999999804422,2147639.089999999850988,2190046.800000000279397,2245666.399999999441206,2203664.839999999850988,10869454.419999998062849
20150513,2089051.169999999925494,2146656.139999999664724,2212261.729999999981374,2240840.809999999590218,2200785.259999999776483,10889595.109999997541308
