代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13713511.949999997392297
真實報酬,3713511.949999997392297

夏普值報酬,0.362651195000000
夏普值風險,0.086200934708452
夏普值,4.207044810204859

二次趨勢線,-14.908671359573296 x^2 + 17833.722607079660520 x + 10000000.000000000000000
二次平均預期報酬,14091.646095826761666
風險,225379.555695234710583
二次平均趨勢值,0.062524065469727
一次趨勢線,15032.767134585010353 x + 10000000.000000000000000
一次預期報酬,15032.767134585010353
一次風險,248510.558954160369467
一次趨勢值,0.060491462406464
找到最佳解世代,3169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
FS( 85 ),3792736.380000000353903,4017521.120000000111759,3805185.779999999795109,11615444.279999999329448
FS( 86 ),3758950.470000000204891,4058318.799999999813735,3783427.650000000372529,11600697.919999999925494
FS( 87 ),3716027.490000000223517,4031304.120000000111759,3822250.979999999981374,11569583.589999999850988
FS( 88 ),3755763.120000000111759,3984441.919999999459833,3831636.840000000316650,11571842.879999998956919
FS( 89 ),3833109.479999999981374,4031304.120000000111759,3890938.410000000149012,11755353.009999999776483
FS( 90 ),3882407.160000000149012,4041779.199999999720603,3904163.940000000409782,11828351.300000000745058
FS( 91 ),3915130.620000000111759,4139362.839999999850988,3894778.080000000540167,11949272.540000000968575
FS( 92 ),3941266.889999999664724,4161415.640000000130385,3897764.490000000223517,12000448.019999999552965
FS( 93 ),3951041.430000000167638,4127233.799999999813735,3942560.640000000130385,12020836.870000001043081
FS( 94 ),3917680.500000000000000,4117861.359999999869615,3954932.910000000149012,11990475.769999999552965
FS( 95 ),3910030.859999999869615,4113450.799999999813735,3987783.419999999925494,12011266.080000000074506
FS( 96 ),3906631.020000000018626,4084782.160000000149012,3988636.679999999701977,11980050.859999999403954
FS( 97 ),3900468.810000000055879,4126131.160000000149012,4003142.100000000093132,12029743.070000000298023
FS( 98 ),3986102.280000000260770,4193392.199999999720603,4002715.469999999739230,12182210.949999999254942
FS( 99 ),3967615.649999999906868,4209380.479999998584390,3980104.080000000540167,12157101.209999999031425
FS( 100 ),3903656.160000000149012,4122823.239999999757856,3929335.109999999869615,11955815.509999999776483
FS( 101 ),3882619.649999999906868,4123374.560000000055879,3899897.640000000130385,11905892.849999999627471
FS( 102 ),3865832.940000000409782,4116758.719999999739230,3905443.830000000540167,11888036.490000000223517
FS( 103 ),3907480.979999999981374,4159210.359999999869615,3922509.029999999795109,11989201.369999999180436
FS( 104 ),3923205.240000000223517,4208829.160000000149012,3955786.169999999925494,12087821.570000000298023
FS( 105 ),3991627.020000000018626,4257896.640000000596046,3968158.440000000409782,12217683.100000001490116
FS( 106 ),4021588.109999999869615,4295386.400000000372529,3960052.469999999739230,12277027.980000000447035
FS( 107 ),4005651.359999999869615,4374225.160000000149012,4032152.940000000409782,12412030.460000000894070
FS( 108 ),3938929.500000000000000,4367609.320000000298023,3981383.969999999739230,12287923.789999999105930
FS( 109 ),3931917.330000000074506,4311926.000000000000000,3980957.340000000316650,12224801.669999999925494
FS( 110 ),3940629.419999999925494,4320747.119999999180436,3991196.459999999962747,12252574.000000000000000
FS( 111 ),3887719.410000000149012,4229779.320000000298023,3944267.160000000149012,12061766.890000000596046
FS( 112 ),3923630.220000000204891,4268371.720000000670552,3969011.700000000186265,12161014.640000000596046
FS( 113 ),3901106.280000000260770,4251280.799999998882413,4006555.140000000130385,12158943.219999998807907
FS( 114 ),3898768.889999999664724,4300899.599999999627471,4011674.700000000186265,12211344.189999999478459
FS( 115 ),3961453.440000000409782,4356031.599999999627471,4116625.679999999701977,12434111.719999998807907
FS( 116 ),3894731.580000000074506,4216547.640000000596046,4123025.129999999888241,12234305.350000001490116
FS( 117 ),3841609.080000000074506,4147632.640000000130385,3957919.319999999832362,11947162.040000000968575
FS( 118 ),3818660.160000000149012,4098013.839999999850988,3945973.679999999701977,11862648.679999999701977
FS( 119 ),3806973.209999999962747,4067139.919999999459833,3914829.690000000409782,11788943.820000000298023
FS( 120 ),3690528.690000000409782,4051702.959999999497086,3881552.550000000279397,11623785.200000001117587
FS( 121 ),3700515.720000000204891,4019175.080000000074506,3881125.919999999925494,11600817.720000000670552
FS( 122 ),3618282.090000000316650,3922694.080000000074506,3727112.490000000223517,11268089.660000000149012
FS( 123 ),3697965.840000000316650,4079820.279999999795109,3843582.479999999981374,11621369.599999999627471
FS( 124 ),3733664.160000000149012,4155902.439999999478459,3925922.069999999832362,11815489.669999999925494
FS( 125 ),3730476.810000000055879,4155351.120000000111759,3890085.150000000372529,11775914.080000000074506
FS( 126 ),3773187.299999999813735,4212688.400000000372529,3921655.770000000018626,11907532.470000000670552
FS( 127 ),3741101.310000000055879,4167480.160000000149012,3894351.450000000186265,11802933.920000001788139
FS( 128 ),3716452.470000000204891,4082025.560000000055879,3867047.129999999888241,11665526.160000000149012
FS( 129 ),3788274.090000000316650,4204969.919999999925494,3945973.679999999701977,11939218.689999999478459
FS( 130 ),3829497.149999999906868,4158659.040000000037253,3930188.370000000111759,11918345.559999998658895
FS( 131 ),3837571.770000000018626,4189532.959999999497086,3944693.789999999571592,11971799.519999999552965
FS( 132 ),3830984.580000000074506,4157556.399999999441206,3880272.660000000149012,11868814.640000000596046
FS( 133 ),3857758.320000000298023,4106283.640000000130385,3889658.520000000018626,11853701.480000000447035
FS( 134 ),3875182.500000000000000,4129439.080000000074506,3915256.319999999832362,11919878.900000000372529
FS( 135 ),3850746.149999999906868,4045087.120000000111759,3888805.260000000242144,11784639.529999999329448
FS( 136 ),3846496.350000000558794,4107386.279999999795109,3925495.440000000409782,11879379.070000000298023
FS( 137 ),3811010.520000000018626,4113450.799999999813735,3898191.120000000111759,11822653.440000001341105
FS( 138 ),3848408.760000000242144,4168031.479999999515712,3867047.129999999888241,11883488.370000001043081
FS( 139 ),3879432.299999999813735,4182917.120000000111759,3900324.270000000018626,11962674.689999999478459
FS( 140 ),3921930.299999999813735,4180711.839999999850988,3858514.529999999795109,11961157.669999999925494
FS( 141 ),3954228.780000000260770,4159210.359999999869615,4046231.729999999981374,12159671.870000001043081
FS( 142 ),3981427.500000000000000,4034060.719999999739230,4023193.709999999962747,12038682.929999999701977
FS( 143 ),3909818.370000000111759,4021931.680000000167638,3993329.609999999869615,11925080.660000000149012
FS( 144 ),3901318.770000000018626,4020277.719999999739230,3989916.569999999832362,11911514.060000000521541
FS( 145 ),3870932.699999999720603,4037368.640000000130385,3990769.830000000540167,11899072.169999999925494
FS( 146 ),3862433.100000000558794,4045087.120000000111759,4032579.569999999832362,11940100.790000000968575
FS( 147 ),3798898.590000000316650,4103527.040000000037253,4115772.419999999925494,12018199.050000000745058
FS( 148 ),3755125.649999999906868,4214893.679999999701977,4158435.419999999925494,12128455.750000000000000
FS( 149 ),3772762.320000000298023,4238049.119999999180436,4182326.700000000186265,12193139.140000000596046
FS( 150 ),3773187.299999999813735,4253486.080000000074506,4157155.529999999795109,12183829.910000000149012
FS( 151 ),3743651.190000000409782,4266717.759999999776483,4177633.770000000018626,12188003.720000000670552
FS( 152 ),3724527.090000000316650,4235292.519999999552965,4144356.629999999888241,12104177.239999998360872
FS( 153 ),3713265.120000000111759,4273884.919999999925494,4168674.539999999571592,12155825.580000000074506
FS( 154 ),3702853.109999999869615,4229228.000000000000000,4192565.819999999832362,12124647.929999999701977
FS( 155 ),3696690.899999999906868,4329016.919999999925494,4234802.189999999478459,12260511.009999999776483
FS( 156 ),3700515.720000000204891,4356582.919999999925494,4233948.929999999701977,12291048.570000000298023
FS( 157 ),3737064.000000000000000,4352172.359999999403954,4200671.789999999105930,12289909.149999998509884
FS( 158 ),3824184.899999999906868,4400137.199999999254942,4201525.050000000745058,12425848.150000000372529
FS( 159 ),3808885.620000000111759,4368711.959999999031425,4265946.179999999701977,12443544.759999997913837
FS( 160 ),3835234.380000000353903,4379187.040000000968575,4235655.449999999254942,12450077.870000001043081
FS( 161 ),3884532.060000000055879,4401239.839999999850988,4256986.949999999254942,12542759.849999999627471
FS( 162 ),3892181.699999999720603,4453063.919999999925494,4277038.560000000521541,12622285.179999999701977
FS( 163 ),3880282.260000000242144,4431562.439999999478459,4248027.720000000670552,12559873.419999999925494
FS( 164 ),3893031.660000000149012,4451409.959999999031425,4259120.099999999627471,12603562.719999998807907
FS( 165 ),3896219.010000000242144,4444794.119999999180436,4219870.140000000596046,12560884.269999999552965
FS( 166 ),3906418.530000000260770,4481732.560000000521541,4204511.459999999031425,12592663.550000000745058
FS( 167 ),3932129.820000000298023,4501580.080000000074506,4199818.529999999329448,12633529.429999999701977
FS( 168 ),3837359.280000000260770,4486143.119999999180436,4218163.620000001043081,12541667.019999999552965
FS( 169 ),3853508.520000000018626,4504336.679999999701977,4227549.480000000447035,12585395.679999999701977
FS( 170 ),3867957.840000000316650,4452512.599999999627471,4220723.400000000372529,12541194.839999999850988
FS( 171 ),3835871.850000000558794,4435421.679999999701977,4204511.459999999031425,12475805.989999998360872
FS( 172 ),3814197.870000000111759,4399585.879999998956919,4198538.640000000596046,12412323.390000000596046
FS( 173 ),3847771.290000000502914,4458577.119999999180436,4248454.349999999627471,12554803.759999999776483
FS( 174 ),3863708.040000000502914,4478424.640000000596046,4268505.959999999031425,12610639.640000000596046
FS( 175 ),3868595.310000000055879,4498823.479999998584390,4316715.150000000372529,12684134.939999999478459
FS( 176 ),3883044.630000000353903,4492758.959999999031425,4322687.970000000670552,12698492.560000000521541
FS( 177 ),3938079.540000000502914,4497169.519999999552965,4370470.529999999329448,12805720.589999999850988
FS( 178 ),3908755.919999999925494,4485040.479999998584390,4330793.939999999478459,12724591.339999997988343
FS( 179 ),3890906.760000000242144,4515914.400000000372529,4347432.509999999776483,12754254.669999999925494
FS( 180 ),3930429.899999999906868,4525286.839999999850988,4339753.169999999925494,12795470.910000000149012
FS( 181 ),3960178.500000000000000,4573251.679999999701977,4372603.679999999701977,12906034.859999999403954
FS( 182 ),3969528.060000000055879,4536864.560000000521541,4337193.390000000596046,12843587.010000001639128
FS( 183 ),3946366.649999999906868,4540172.479999998584390,4349992.289999999105930,12836532.419999998062849
FS( 184 ),3983764.889999999664724,4571597.720000000670552,4395215.070000000298023,12950578.679999999701977
FS( 185 ),3984402.359999999869615,4536864.560000000521541,4390095.509999999776483,12911363.429999999701977
FS( 186 ),4024350.479999999981374,4555609.439999999478459,4417826.459999999031425,12997787.379999998956919
FS( 187 ),4035187.470000000204891,4585380.720000000670552,4439157.959999999031425,13059727.150000000372529
FS( 188 ),4003101.479999999981374,4592547.879999998956919,4421666.130000000819564,13017316.490000000223517
FS( 189 ),4002251.520000000018626,4587586.000000000000000,4426359.060000000521541,13016197.580000000074506
FS( 190 ),4002251.520000000018626,4585932.040000000968575,4423799.279999999329448,13011983.839999999850988
FS( 191 ),4034550.000000000000000,4512606.479999998584390,4412706.900000000372529,12959864.379999998956919
FS( 192 ),4052399.160000000149012,4474014.080000000074506,4422092.759999999776483,12948507.000000000000000
FS( 193 ),4034125.020000000018626,4462987.679999999701977,4478407.919999999925494,12975521.619999999180436
FS( 194 ),4039012.290000000502914,4454717.879999998956919,4465182.390000000596046,12958913.560000000521541
FS( 195 ),4020738.149999999906868,4455820.519999999552965,4464755.759999999776483,12941315.429999999701977
FS( 196 ),4013513.490000000223517,4401791.160000000149012,4469022.060000000521541,12884327.710000000894070
FS( 197 ),4071310.770000000018626,4379187.040000000968575,4482247.589999999850988,12932746.400000000372529
FS( 198 ),4076623.020000000018626,4329568.240000000223517,4510831.800000000745058,12917024.060000000521541
FS( 199 ),4073435.669999999925494,4276090.199999999254942,4540269.269999999552965,12889796.139999998733401
FS( 200 ),4071523.260000000242144,4075409.719999999739230,4515951.359999999403954,12662885.339999999850988
FS( 201 ),4141644.959999999962747,4035163.359999999869615,4524483.959999999031425,12701293.279999999329448
FS( 202 ),4120608.449999999720603,4050048.999999999534339,4522777.439999999478459,12693435.889999998733401
FS( 203 ),4149082.109999999869615,4112899.479999999515712,4401187.890000000596046,12663170.480000000447035
FS( 204 ),4199442.240000000223517,4120066.640000000130385,4423799.279999999329448,12743309.160000000149012
FS( 205 ),4205816.940000000409782,4208829.160000000149012,4406307.449999999254942,12820954.550000000745058
FS( 206 ),4194979.950000000186265,4224817.439999999478459,4516377.990000000223517,12936176.380000000819564
FS( 207 ),4188605.250000000000000,4233087.240000000223517,4470301.949999999254942,12891995.439999999478459
FS( 208 ),4198167.299999999813735,4339492.000000000000000,4542829.050000000745058,13080489.350000001490116
FS( 209 ),4125920.699999999720603,4340043.320000000298023,4476701.400000000372529,12942666.419999999925494
FS( 210 ),4135270.260000000242144,4384148.919999999925494,4503579.089999999850988,13022999.269999999552965
FS( 211 ),4197104.850000000558794,4410612.279999999329448,4525763.849999999627471,13133481.979999998584390
FS( 212 ),4226428.470000000670552,4381943.640000000596046,4508698.650000000372529,13117071.760000001639128
FS( 213 ),4208154.330000000074506,4294835.080000000074506,4466888.910000000149012,12969879.320000000298023
FS( 214 ),4207941.839999999850988,4310272.040000000968575,4482674.220000000670552,13000889.100000001490116
FS( 215 ),4201567.139999999664724,4318541.839999999850988,4447263.929999999701977,12967373.910000000149012
FS( 216 ),4249589.879999999888241,4310823.359999999403954,4522777.439999999478459,13083191.679999997839332
FS( 217 ),4229190.839999999850988,4254588.720000000670552,4527043.740000000223517,13010824.300000000745058
FS( 218 ),4207516.860000000335276,4268371.720000000670552,4505285.609999999403954,12981175.190000001341105
FS( 219 ),4230040.799999999813735,4275538.879999998956919,4552214.910000000149012,13057795.589999999850988
FS( 220 ),4249589.879999999888241,4362647.439999999478459,4612369.740000000223517,13224608.060000000521541
FS( 221 ),4233228.150000000372529,4340043.320000000298023,4584212.160000000149012,13157484.630000000819564
FS( 222 ),4228340.879999999888241,4348864.439999999478459,4579092.599999999627471,13156298.919999999925494
FS( 223 ),4246402.530000000260770,4383046.279999999329448,4538136.120000001043081,13167585.929999999701977
FS( 224 ),4248952.410000000149012,4464641.640000000596046,4553068.169999999925494,13266663.220000000670552
FS( 225 ),4227915.900000000372529,4466846.919999999925494,4554774.689999999478459,13249538.509999999776483
FS( 226 ),4202417.100000000558794,4475116.720000000670552,4551788.279999999329448,13229323.099999999627471
FS( 227 ),4179043.199999999720603,4424946.599999999627471,4456649.789999999105930,13060640.589999997988343
FS( 228 ),4165231.350000000558794,4375327.799999998882413,4445130.779999999329448,12985690.929999997839332
FS( 229 ),4233653.129999999888241,4392970.040000000968575,4493766.599999999627471,13120390.770000001415610
FS( 230 ),4213041.600000000558794,4367058.000000000000000,4390522.140000000596046,12970622.740000002086163
FS( 231 ),4223878.589999999850988,4424946.599999999627471,4428492.209999999031425,13077318.399999998509884
FS( 232 ),4241940.240000000223517,4470154.839999999850988,4466035.650000000372529,13178131.730000000447035
FS( 233 ),4252564.740000000223517,4503785.359999999403954,4553494.800000000745058,13309845.900000000372529
FS( 234 ),4314611.820000000298023,4490002.359999999403954,4581225.750000000000000,13385840.929999999701977
FS( 235 ),4366246.889999999664724,4546237.000000000000000,4640527.320000000298023,13553012.210000000894070
FS( 236 ),4277426.070000000298023,4547339.640000000596046,4638394.169999999925494,13463160.880000000819564
FS( 237 ),4319074.110000000335276,4574905.640000000596046,4666551.750000000000000,13560532.500000000000000
FS( 238 ),4354559.940000000409782,4615152.000000000000000,4679350.650000000372529,13649063.590000001713634
FS( 239 ),4345210.379999999888241,4570495.080000000074506,4731826.140000000596046,13647532.600000001490116
FS( 240 ),4362209.580000000074506,4563879.240000000223517,4744198.410000000149012,13670288.230000000447035
FS( 241 ),4330761.060000000521541,4592547.879999998956919,4735239.179999999701977,13658549.119999999180436
FS( 242 ),4345635.360000000335276,4658154.959999999031425,4675937.609999999403954,13679728.929999999701977
FS( 243 ),4346485.320000000298023,4706119.799999998882413,4710921.269999999552965,13763527.389999998733401
FS( 244 ),4358597.250000000000000,4664219.479999998584390,4767236.429999999701977,13790054.159999998286366
FS( 245 ),4340323.110000000335276,4662565.519999999552965,4744198.410000000149012,13747088.039999999105930
FS( 246 ),4333098.450000000186265,4714389.599999999627471,4792407.599999999627471,13839896.650000000372529
FS( 247 ),4371134.160000000149012,4699503.959999999031425,4766383.169999999925494,13837022.289999999105930
FS( 248 ),4346485.320000000298023,4605779.560000000521541,4681483.800000000745058,13633749.680000001564622
FS( 249 ),4383033.600000000558794,4621767.839999999850988,4683616.949999999254942,13688419.390000000596046
FS( 250 ),4412569.709999999962747,4622870.479999998584390,4678070.759999999776483,13713511.949999997392297
