代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14528007.250000000000000
真實報酬,4528007.250000000000000

夏普值報酬,0.444100725000000
夏普值風險,0.107475506584697
夏普值,4.132111018709381

二次趨勢線,9.856723934934642 x^2 + 14793.106286818359877 x + 10000000.000000000000000
二次平均預期報酬,17277.000718421892088
風險,264995.324072952440474
二次平均趨勢值,0.065197379534386
一次趨勢線,16652.323490593145834 x + 10000000.000000000000000
一次預期報酬,16652.323490593145834
一次風險,274027.041355313209351
一次趨勢值,0.060768905901521
找到最佳解世代,2080
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,93861,64599,
FS( 92 ),6194850.529999999329448,5258396.000000000000000,11453246.529999999329448
FS( 93 ),6201420.799999998882413,5260333.969999999739230,11461754.769999999552965
FS( 94 ),6262430.449999999254942,5266147.879999998956919,11528578.329999998211861
FS( 95 ),6238026.589999998919666,5252582.089999999850988,11490608.679999999701977
FS( 96 ),6323440.099999999627471,5316535.099999999627471,11639975.199999999254942
FS( 97 ),6462354.379999998956919,5406327.709999999031425,11868682.089999997988343
FS( 98 ),6482065.189999999478459,5406327.709999999031425,11888392.899999998509884
FS( 99 ),6586250.899999999441206,5403097.759999999776483,11989348.660000000149012
FS( 100 ),6492389.899999999441206,5419893.500000000000000,11912283.399999998509884
FS( 101 ),6480187.969999999739230,5386948.009999999776483,11867135.980000000447035
FS( 102 ),6473617.699999999254942,5377258.159999999217689,11850875.859999999403954
FS( 103 ),6480187.969999999739230,5385010.039999999105930,11865198.009999997913837
FS( 104 ),6475494.919999998994172,5390177.959999999031425,11865672.879999998956919
FS( 105 ),6441704.959999999031425,5392761.919999999925494,11834466.879999998956919
FS( 106 ),6458599.939999999478459,5393407.909999999217689,11852007.849999997764826
FS( 107 ),6433257.469999999739230,5388239.989999999292195,11821497.459999999031425
FS( 108 ),6437950.519999999552965,5358524.449999999254942,11796474.969999998807907
FS( 109 ),6377879.479999999515712,5342374.699999999254942,11720254.179999999701977
FS( 110 ),6440766.349999999627471,5380488.109999999403954,11821254.459999999031425
FS( 111 ),6512100.709999999031425,5339144.750000000000000,11851245.459999999031425
FS( 112 ),6539320.399999999441206,5291341.489999999292195,11830661.889999998733401
FS( 113 ),6528995.689999999478459,5321703.019999999552965,11850698.709999999031425
FS( 114 ),6483942.409999999217689,5297801.389999999664724,11781743.799999998882413
FS( 115 ),6557153.989999999292195,5368860.289999999105930,11926014.279999997466803
FS( 116 ),6648199.159999999217689,5390823.949999999254942,12039023.109999999403954
FS( 117 ),6568417.309999999590218,5401159.789999999105930,11969577.099999997764826
FS( 118 ),6609716.149999999441206,5442503.149999999441206,12052219.299999998882413
FS( 119 ),6609716.149999999441206,5426353.399999999441206,12036069.549999998882413
FS( 120 ),6568417.309999999590218,5426353.399999999441206,11994770.709999999031425
FS( 121 ),6643506.109999999403954,5514208.039999999105930,12157714.149999998509884
FS( 122 ),6673541.629999998956919,5543923.579999999143183,12217465.209999997168779
FS( 123 ),6643506.109999999403954,5443795.129999998956919,12087301.239999998360872
FS( 124 ),6631304.179999999701977,5369506.279999999329448,12000810.459999999031425
FS( 125 ),6601268.659999999217689,5378550.139999999664724,11979818.799999998882413
FS( 126 ),6637874.449999999254942,5352710.539999999105930,11990584.989999998360872
FS( 127 ),6658523.869999999180436,5376612.169999999925494,12035136.039999999105930
FS( 128 ),6713901.859999999403954,5405035.729999999515712,12118937.589999999850988
FS( 129 ),6734551.279999999329448,5449609.039999999105930,12184160.319999998435378
FS( 130 ),6698884.099999999627471,5363692.369999999180436,12062576.469999998807907
FS( 131 ),6684804.949999999254942,5291987.479999999515712,11976792.429999999701977
FS( 132 ),6666971.359999999403954,5306845.250000000000000,11973816.609999999403954
FS( 133 ),6707331.589999998919666,5322995.000000000000000,12030326.589999999850988
FS( 134 ),6789929.269999999552965,5310075.199999999254942,12100004.469999998807907
FS( 135 ),6612531.979999999515712,5260979.959999999031425,11873511.939999997615814
FS( 136 ),6417301.099999999627471,5094960.529999999329448,11512261.629999998956919
FS( 137 ),6552460.939999999478459,5107234.339999999850988,11659695.279999999329448
FS( 138 ),6519609.589999998919666,5176355.269999999552965,11695964.859999999403954
FS( 139 ),6684804.949999999254942,5233202.389999999664724,11918007.339999999850988
FS( 140 ),6741121.549999998882413,5288111.539999999105930,12029233.089999997988343
FS( 141 ),6777727.339999998919666,5183461.159999999217689,11961188.499999998137355
FS( 142 ),6790867.879999998956919,5639530.099999999627471,12430397.979999998584390
FS( 143 ),6811517.299999998882413,5594310.799999998882413,12405828.099999997764826
FS( 144 ),6767402.629999998956919,5630486.239999999292195,12397888.869999997317791
FS( 145 ),6620979.469999999739230,5779063.939999999478459,12400043.410000000149012
FS( 146 ),6566540.089999998919666,5749348.399999999441206,12315888.489999998360872
FS( 147 ),6607838.929999999701977,5675705.539999999105930,12283544.469999998807907
FS( 148 ),6706392.979999999515712,5700253.159999999217689,12406646.139999998733401
FS( 149 ),6839675.599999999627471,5761622.209999999031425,12601297.809999998658895
FS( 150 ),6909132.739999999292195,5728676.719999999739230,12637809.459999999031425
FS( 151 ),6863140.849999999627471,5787461.809999999590218,12650602.660000000149012
FS( 152 ),6783358.999999999068677,5801673.589999999850988,12585032.589999999850988
FS( 153 ),6863140.849999999627471,5891466.199999999254942,12754607.049999998882413
FS( 154 ),6880974.439999999478459,5911491.889999999664724,12792466.329999998211861
FS( 155 ),7047108.409999999217689,5897280.109999999403954,12944388.519999999552965
FS( 156 ),7084652.809999999590218,5901802.039999999105930,12986454.849999997764826
FS( 157 ),7026458.989999999292195,5969630.989999999292195,12996089.979999998584390
FS( 158 ),7010502.619999999180436,5988364.699999999254942,12998867.319999998435378
FS( 159 ),7002993.739999999292195,6038105.929999999701977,13041099.669999998062849
FS( 160 ),6954186.019999999552965,6039397.909999999217689,12993583.929999999701977
FS( 161 ),7024581.769999999552965,6061361.569999999366701,13085943.339999999850988
FS( 162 ),7139092.189999999478459,6060715.579999999143183,13199807.769999999552965
FS( 163 ),7166311.879999998956919,6026478.109999999403954,13192789.989999998360872
FS( 164 ),7018950.109999999403954,5949605.299999998882413,12968555.409999998286366
FS( 165 ),7019888.719999999739230,5905031.989999999292195,12924920.709999999031425
FS( 166 ),7008625.399999999441206,5913429.859999999403954,12922055.259999997913837
FS( 167 ),7080898.369999999180436,5939269.459999999031425,13020167.829999998211861
FS( 168 ),7165373.269999999552965,5989656.679999999701977,13155029.949999999254942
FS( 169 ),7248909.559999999590218,6008390.389999999664724,13257299.949999999254942
FS( 170 ),7312735.039999999105930,5996116.579999999143183,13308851.619999997317791
FS( 171 ),7446956.269999999552965,6105288.889999999664724,13552245.160000000149012
FS( 172 ),7435692.949999999254942,6028416.079999999143183,13464109.029999997466803
FS( 173 ),7340893.339999998919666,6027770.089999999850988,13368663.429999999701977
FS( 174 ),7355911.099999999627471,6043273.849999999627471,13399184.949999999254942
FS( 175 ),7201040.449999999254942,5972214.949999999254942,13173255.399999998509884
FS( 176 ),7266743.149999999441206,6009682.369999999180436,13276425.519999999552965
FS( 177 ),7237646.239999999292195,6066529.489999999292195,13304175.729999998584390
FS( 178 ),7322121.139999999664724,6074281.369999999180436,13396402.509999997913837
FS( 179 ),7415982.139999999664724,6233194.909999999217689,13649177.049999998882413
FS( 180 ),7178513.809999999590218,6242884.759999999776483,13421398.570000000298023
FS( 181 ),7061187.559999999590218,5992886.629999998956919,13054074.189999997615814
FS( 182 ),6976712.659999999217689,5974798.909999999217689,12951511.569999998435378
FS( 183 ),6924150.499999999068677,5927641.639999999664724,12851792.139999998733401
FS( 184 ),6897869.419999998994172,5877254.419999999925494,12775123.839999999850988
FS( 185 ),6842491.429999999701977,5876608.429999999701977,12719099.859999999403954
FS( 186 ),6678234.679999999701977,5643406.039999999105930,12321640.719999998807907
FS( 187 ),6945738.529999999329448,5819761.309999999590218,12765499.839999999850988
FS( 188 ),7075266.709999999031425,5944437.379999998956919,13019704.089999997988343
FS( 189 ),7074328.099999999627471,5890174.219999999739230,12964502.320000000298023
FS( 190 ),7171943.539999999105930,5937977.479999999515712,13109921.019999999552965
FS( 191 ),7094977.519999999552965,5896634.119999999180436,12991611.639999998733401
FS( 192 ),6949492.969999999739230,5855290.759999999776483,12804783.730000000447035
FS( 193 ),7158802.999999999068677,5974798.909999999217689,13133601.909999998286366
FS( 194 ),7079959.759999999776483,5950897.279999999329448,13030857.039999999105930
FS( 195 ),7132521.919999998994172,5972860.939999999478459,13105382.859999999403954
FS( 196 ),7078082.539999999105930,5875316.449999999254942,12953398.989999998360872
FS( 197 ),6990791.809999999590218,5889528.229999999515712,12880320.039999999105930
FS( 198 ),7030213.429999999701977,5928287.629999998956919,12958501.059999998658895
FS( 199 ),6886606.099999999627471,5888236.250000000000000,12774842.349999999627471
FS( 200 ),6992669.029999999329448,5943791.389999999664724,12936460.419999998062849
FS( 201 ),7002993.739999999292195,5902448.029999999329448,12905441.769999999552965
FS( 202 ),7095916.129999998956919,5855290.759999999776483,12951206.889999998733401
FS( 203 ),7121258.599999999627471,5905677.979999999515712,13026936.579999998211861
FS( 204 ),7117504.159999999217689,5842370.959999999031425,12959875.119999997317791
FS( 205 ),7080898.369999999180436,6126606.559999999590218,13207504.929999999701977
FS( 206 ),6867833.899999999441206,6091723.099999999627471,12959557.000000000000000
FS( 207 ),6847184.479999999515712,6046503.799999998882413,12893688.279999997466803
FS( 208 ),6844368.649999999441206,6041335.879999998956919,12885704.529999997466803
FS( 209 ),6873465.559999999590218,6042627.859999999403954,12916093.419999998062849
FS( 210 ),6886606.099999999627471,6105934.879999998956919,12992540.979999998584390
FS( 211 ),6986098.759999999776483,6231902.929999999701977,13218001.689999999478459
