訓練日期,20100610 - 20100910
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11280645.900000000372529
真實報酬,1280645.900000000372529

夏普值報酬,0.119364590000000
夏普值風險,0.031562598233021
夏普值,3.781836625703367

預期報酬,17278.867376821639482
風險,151511.863773321529152
趨勢值,0.114042999317022
找到最佳解世代,2113
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](2),MCD[15](4),MRK[17](10),VZ[26](1),
20100729,2677180.640000000130385,2541018.879999999422580,2600117.350000000093132,2780128.239999999757856,10598445.109999999403954
20100730,2683021.759999999776483,2553837.279999999795109,2555620.750000000000000,2797455.759999999776483,10589935.549999998882413
20100802,2746300.560000000055879,2572881.759999999776483,2600858.959999999962747,2845587.759999999776483,10765629.039999999105930
20100803,2744353.520000000484288,2580206.560000000055879,2582318.709999999962747,2843662.479999999981374,10750541.269999999552965
20100804,2753115.200000000186265,2588996.319999999832362,2609758.279999999795109,2830185.520000000018626,10782055.319999998435378
20100805,2744353.520000000484288,2580206.560000000055879,2600858.959999999962747,2844625.120000000111759,10770044.160000000149012
20100806,2762850.399999999906868,2627451.519999999552965,2594184.469999999739230,2844625.120000000111759,10829111.509999999776483
20100809,2780373.759999999776483,2670667.839999999850988,2622365.649999999906868,2874466.959999999962747,10947874.210000000894070
20100810,2773559.120000000111759,2667737.919999999925494,2652771.660000000149012,2889869.199999999720603,10983937.900000000372529
20100811,2727803.680000000167638,2621225.439999999478459,2587509.979999999981374,2845587.759999999776483,10782126.859999999403954
20100812,2711253.840000000316650,2639171.199999999720603,2598634.129999999888241,2918748.399999999906868,10867807.570000000298023
20100813,2713200.880000000353903,2632945.119999999646097,2595667.689999999944121,2890831.839999999850988,10832645.529999999329448
20100816,2720015.520000000484288,2629282.720000000204891,2593442.859999999869615,2884093.359999999869615,10826834.459999999031425
20100817,2731697.759999999776483,2681655.039999999571592,2635714.629999999888241,2904308.800000000279397,10953376.229999998584390
20100818,2718068.480000000447035,2682753.759999999776483,2623107.259999999776483,2902383.520000000018626,10926313.019999999552965
20100819,2690809.920000000391155,2672499.039999999571592,2574161.000000000000000,2851363.600000000093132,10788833.560000000521541
20100820,2691783.439999999944121,2676527.679999999701977,2554137.529999999795109,2827297.600000000093132,10749746.249999998137355
20100823,2706386.240000000223517,2686049.919999999925494,2593442.859999999869615,2831148.160000000149012,10817027.179999999701977
20100824,2709306.799999999813735,2663343.039999999571592,2554137.529999999795109,2836924.000000000000000,10763711.369999999180436
20100825,2696651.040000000037253,2680556.319999999832362,2561553.629999999888241,2855214.160000000149012,10793975.149999998509884
20100826,2684968.799999999813735,2679457.599999999627471,2557103.969999999739230,2839811.919999999925494,10761342.289999999105930
20100827,2733644.799999999813735,2709855.519999999552965,2595667.689999999944121,2872541.679999999701977,10911709.689999999478459
20100830,2704439.200000000186265,2664075.519999999552965,2575644.219999999739230,2834036.080000000074506,10778195.019999999552965
20100831,2720015.520000000484288,2675795.199999999720603,2607533.449999999720603,2842699.839999999850988,10846044.009999999776483
20100901,2790108.959999999962747,2729998.720000000204891,2641647.509999999776483,2912972.560000000055879,11074727.750000000000000
20100902,2793029.520000000484288,2747578.239999999757856,2621624.040000000037253,2898532.959999999962747,11060764.759999999776483
20100903,2801791.200000000186265,2750141.919999999925494,2639422.680000000167638,2907196.719999999739230,11098552.519999999552965
20100907,2805685.280000000260770,2776144.959999999497086,2629781.750000000000000,2909122.000000000000000,11120733.990000000223517
20100908,2815420.480000000447035,2786399.679999999701977,2655738.100000000093132,2932225.359999999869615,11189783.619999999180436
20100909,2837811.439999999944121,2723772.640000000130385,2675761.569999999832362,2968805.679999999701977,11206151.330000000074506
20100910,2848520.160000000149012,2747212.000000000000000,2718033.339999999850988,2966880.399999999906868,11280645.900000000372529
