訓練日期,20190208 - 20190513
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11111783.490000002086163
真實報酬,1111783.490000002086163

夏普值報酬,0.102478349000000
夏普值風險,0.038705874127057
夏普值,2.647617482132119

預期報酬,22019.574845780171017
風險,80143.889851917221677
趨勢值,0.274750512939489
找到最佳解世代,3366
找到最佳解實驗#,3
找到最佳解次數,9

stock[index](rank)
投資組合檔數,5
AAPL[0](6),AXP[1](7),MCD[15](1),PG[21](5),TRV[22](3),
20190318,2199836.000000000000000,2175487.279999999795109,2098924.700000000186265,2089969.560000000055879,2129055.859999999869615,10693273.399999998509884
20190319,2182403.000000000000000,2158628.239999999757856,2089340.300000000046566,2097998.879999999888241,2097344.090000000316650,10625714.509999999776483
20190320,2201474.000000000000000,2122228.040000000037253,2110562.900000000372529,2094293.039999999804422,2072100.890000000130385,10600658.870000001043081
20190321,2282555.000000000000000,2142343.939999999944121,2126536.900000000372529,2110145.799999999813735,2120062.970000000204891,10781644.610000001266599
20190322,2235287.000000000000000,2097131.059999999823049,2131557.299999999813735,2093057.759999999776483,2128424.780000000260770,10685457.899999998509884
20190325,2208260.000000000000000,2089084.699999999953434,2119120.400000000372529,2099234.160000000149012,2129213.629999999888241,10644912.890000000596046
20190326,2185445.000000000000000,2097897.379999999888241,2139202.000000000000000,2121057.439999999478459,2129686.939999999944121,10673288.759999999776483
20190327,2205101.000000000000000,2087935.219999999972060,2139544.299999999813735,2118586.879999999888241,2151301.429999999701977,10702468.829999998211861
20190328,2208026.000000000000000,2091383.659999999916181,2160995.099999999627471,2131969.080000000074506,2159978.780000000260770,10752352.620000001043081
20190329,2222417.000000000000000,2094065.779999999795109,2166814.200000000186265,2142263.080000000074506,2164080.799999999813735,10789640.859999999403954
20190401,2237510.000000000000000,2140044.979999999981374,2149585.099999999627471,2133822.000000000000000,2177649.020000000018626,10838611.099999999627471
20190402,2270036.000000000000000,2126634.379999999888241,2149128.700000000186265,2136086.679999999701977,2158558.850000000093132,10840444.609999999403954
20190403,2285597.000000000000000,2118204.859999999869615,2149128.700000000186265,2134851.399999999441206,2155245.679999999701977,10843027.639999998733401
20190404,2289575.000000000000000,2109775.339999999850988,2166471.900000000372529,2129498.520000000484288,2153983.520000000018626,10849304.280000001192093
20190405,2304902.000000000000000,2125868.059999999590218,2176056.299999999813735,2134027.879999999888241,2152090.280000000260770,10892944.519999999552965
20190408,2341172.000000000000000,2120886.979999999981374,2166243.700000000186265,2161204.040000000037253,2143886.239999999757856,10933392.960000000894070
20190409,2334152.000000000000000,2104602.679999999701977,2168868.000000000000000,2154821.759999999776483,2133000.109999999869615,10895444.549999998882413
20190410,2347256.000000000000000,2110541.659999999683350,2159055.400000000372529,2154615.879999999888241,2137259.899999999906868,10908728.840000001713634
20190411,2327717.000000000000000,2104602.679999999701977,2155176.000000000000000,2156674.679999999701977,2150197.040000000037253,10894367.399999998509884
20190412,2326781.000000000000000,2124910.159999999683350,2186211.200000000186265,2163056.959999999962747,2172915.919999999925494,10973875.240000000223517
20190415,2330993.000000000000000,2117630.120000000111759,2189063.700000000186265,2176850.919999999925494,2158243.310000000055879,10972781.050000000745058
20190416,2331227.000000000000000,2143493.419999999925494,2187352.200000000186265,2191056.639999999664724,2182697.660000000149012,11035826.919999999925494
20190417,2376623.000000000000000,2141194.459999999962747,2186325.299999999813735,2179321.479999999515712,2143728.470000000204891,11027192.709999999031425
20190418,2385164.000000000000000,2177786.239999999757856,2223978.299999999813735,2183439.080000000074506,2192006.090000000316650,11162373.710000000894070
20190422,2393003.000000000000000,2152114.520000000018626,2212682.399999999441206,2182615.559999999590218,2155403.450000000186265,11095818.929999999701977
20190423,2427518.000000000000000,2183533.639999999664724,2227971.799999999813735,2123939.759999999776483,2177491.250000000000000,11140454.449999999254942
20190424,2423774.000000000000000,2184491.540000000037253,2255013.500000000000000,2134851.399999999441206,2195950.340000000316650,11194080.779999999329448
20190425,2401778.000000000000000,2220125.419999999925494,2258436.500000000000000,2126410.320000000298023,2196108.109999999869615,11202858.349999999627471
20190426,2390312.000000000000000,2253077.179999999701977,2252617.399999999441206,2179527.360000000335276,2212673.959999999962747,11288207.899999998509884
20190429,2393939.000000000000000,2236984.459999999962747,2249194.400000000372529,2157292.320000000298023,2231921.899999999906868,11269332.080000000074506
20190430,2347841.000000000000000,2245988.719999999739230,2254328.899999999441206,2192291.919999999925494,2268051.229999999981374,11308501.769999999552965
20190501,2463086.000000000000000,2241965.540000000037253,2215534.899999999441206,2160380.520000000484288,2257480.640000000130385,11338447.600000001490116
20190502,2447057.000000000000000,2246371.879999999888241,2220555.299999999813735,2173350.959999999962747,2251485.379999999888241,11338820.519999999552965
20190503,2477477.000000000000000,2286603.679999999701977,2253758.400000000372529,2184056.719999999739230,2261740.429999999701977,11463636.230000000447035
20190506,2439218.000000000000000,2286412.100000000093132,2269504.200000000186265,2175821.520000000484288,2263002.590000000316650,11433958.410000000149012
20190507,2373464.000000000000000,2264955.139999999664724,2259691.599999999627471,2155645.280000000260770,2235866.149999999906868,11289622.169999999925494
20190508,2373932.000000000000000,2250969.799999999813735,2259577.500000000000000,2163262.839999999850988,2233026.290000000037253,11280768.429999999701977
20190509,2348426.000000000000000,2246563.459999999962747,2256154.500000000000000,2146174.799999999813735,2237759.390000000130385,11235078.150000000372529
20190510,2307008.000000000000000,2269553.059999999590218,2281941.099999999627471,2182615.559999999590218,2271364.399999999906868,11312482.119999999180436
20190513,2172926.000000000000000,2220508.580000000074506,2270987.500000000000000,2184674.360000000335276,2262687.049999999813735,11111783.490000002086163
