訓練日期,20140224 - 20140527
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11045386.269999999552965
真實報酬,1045386.269999999552965

夏普值報酬,0.095838627000000
夏普值風險,0.027694785426938
夏普值,3.460529681763807

預期報酬,15379.466889232904578
風險,55733.894294192687084
趨勢值,0.275944595008058
找到最佳解世代,2039
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,7
AAPL[0](13),INTC[11](5),JNJ[12](1),KO[14](2),MCD[15](8),TRV[22](11),UNH[23](17),
20140324,1466454.629999999888241,1469521.000000000000000,1486012.120000000111759,1475447.060000000055879,1424572.030000000260770,1429764.429999999701977,1573145.380000000121072,10324919.650000000372529
20140325,1482255.339999999850988,1489411.000000000000000,1520039.739999999990687,1483900.120000000111759,1420573.060000000055879,1432662.759999999776483,1569661.659999999916181,10398506.679999999701977
20140326,1467977.589999999850988,1484731.000000000000000,1514888.770000000018626,1483515.890000000130385,1419536.290000000037253,1422433.359999999869615,1578177.420000000158325,10371263.320000000298023
20140327,1461695.379999999888241,1480636.000000000000000,1518478.840000000083819,1491584.720000000204891,1424275.810000000055879,1423456.299999999813735,1568113.339999999850988,10368243.390000000596046
20140328,1459982.049999999813735,1498771.000000000000000,1520976.280000000027940,1496579.710000000195578,1440271.689999999944121,1431980.799999999813735,1579725.739999999990687,10428290.270000001415610
20140331,1459791.679999999934807,1509886.000000000000000,1533307.390000000130385,1485437.040000000037253,1451972.380000000121072,1450905.189999999711290,1586886.719999999972060,10478189.400000000372529
20140401,1473117.579999999608845,1520416.000000000000000,1528780.780000000027940,1475831.290000000037253,1450046.950000000186265,1438800.399999999906868,1583983.620000000111759,10470979.620000001043081
20140402,1475592.389999999897555,1514566.000000000000000,1533307.390000000130385,1472757.449999999953434,1445455.540000000037253,1443233.139999999897555,1579532.199999999953434,10464447.109999999403954
20140403,1465312.409999999683350,1544986.000000000000000,1533775.660000000149012,1462767.470000000204891,1446492.310000000055879,1448859.309999999823049,1591918.760000000009313,10494114.920000001788139
20140404,1446275.409999999683350,1530361.000000000000000,1536273.100000000093132,1468530.920000000158325,1449602.620000000111759,1452610.089999999850988,1577983.880000000121072,10461640.020000001415610
20140407,1423621.379999999888241,1549666.000000000000000,1528000.330000000074506,1483900.120000000111759,1436865.160000000149012,1449200.289999999804422,1569274.580000000074506,10440530.859999999403954
20140408,1423621.379999999888241,1574236.000000000000000,1530653.860000000102445,1494658.560000000055879,1452712.929999999934807,1444597.059999999823049,1561145.899999999906868,10481628.690000001341105
20140409,1442277.639999999897555,1578331.000000000000000,1544545.870000000111759,1498116.630000000121072,1456711.899999999906868,1463180.469999999739230,1575274.320000000065193,10558440.829999998211861
20140410,1423621.379999999888241,1546156.000000000000000,1506928.180000000167638,1494274.330000000074506,1472707.780000000260770,1449029.799999999813735,1548178.719999999972060,10440899.190000001341105
20140411,1413151.029999999795109,1531531.000000000000000,1512079.150000000139698,1484284.350000000093132,1470634.240000000223517,1454314.989999999757856,1528050.560000000055879,10394048.320000000298023
20140414,1418862.129999999888241,1553761.000000000000000,1516293.580000000074506,1488126.649999999906868,1482779.260000000009313,1457724.789999999804422,1532501.980000000214204,10450052.389999998733401
20140415,1408582.149999999674037,1566046.000000000000000,1548448.120000000111759,1543840.000000000000000,1493443.179999999934807,1464373.899999999906868,1538888.800000000046566,10563625.150000000372529
20140416,1411437.699999999720603,1575406.000000000000000,1541424.070000000065193,1559593.430000000167638,1493443.179999999934807,1479547.509999999776483,1513341.520000000018626,10574196.409999998286366
20140417,1427619.149999999674037,1581841.000000000000000,1544701.959999999962747,1564588.420000000158325,1484852.800000000046566,1477842.609999999869615,1466698.380000000121072,10548147.320000000298023
20140421,1444562.079999999608845,1576576.000000000000000,1560935.320000000065193,1565741.110000000102445,1476262.420000000158325,1473068.889999999897555,1450634.560000000055879,10547783.380000000819564
20140422,1446085.039999999571592,1570141.000000000000000,1563744.940000000176951,1564204.190000000176951,1471078.569999999832362,1481422.899999999906868,1466311.300000000046566,10562990.940000001341105
20140423,1427048.039999999571592,1564876.000000000000000,1564369.300000000046566,1564972.649999999906868,1468264.479999999981374,1502563.659999999683350,1457989.080000000074506,10550086.210000000894070
20140424,1544125.589999999850988,1564876.000000000000000,1560310.959999999962747,1563819.960000000195578,1478780.290000000037253,1510406.199999999953434,1482375.120000000111759,10704697.120000001043081
20140425,1555547.789999999571592,1536211.000000000000000,1557657.430000000167638,1575731.090000000083819,1491962.080000000074506,1505632.479999999748543,1464375.899999999906868,10687120.769999999552965
20140428,1615704.709999999962747,1540306.000000000000000,1581851.380000000121072,1576499.550000000046566,1485741.460000000195578,1528307.649999999906868,1465924.219999999972060,10794337.970000000670552
20140429,1610945.459999999962747,1549081.000000000000000,1577012.590000000083819,1558824.970000000204891,1503366.550000000046566,1549789.389999999897555,1455473.060000000055879,10804496.019999999552965
20140430,1604853.619999999646097,1561366.000000000000000,1581070.930000000167638,1567278.030000000027940,1501589.229999999981374,1544333.709999999729916,1452376.420000000158325,10812870.939999999478459
20140501,1608661.019999999785796,1547326.000000000000000,1569208.090000000083819,1566893.800000000046566,1495368.609999999869615,1548595.959999999729916,1450634.560000000055879,10786691.039999999105930
20140502,1611516.569999999832362,1544986.000000000000000,1550165.110000000102445,1573425.710000000195578,1502329.780000000260770,1551494.289999999804422,1452182.880000000121072,10786103.339999999850988
20140505,1634360.969999999739230,1530946.000000000000000,1560935.320000000065193,1566125.340000000083819,1498034.590000000083819,1545527.139999999897555,1456053.680000000167638,10791986.039999999105930
20140506,1616656.559999999823049,1532701.000000000000000,1553286.910000000149012,1555751.130000000121072,1495220.500000000000000,1532399.409999999683350,1456634.300000000046566,10742652.810000000521541
20140507,1610945.459999999962747,1542646.000000000000000,1575139.510000000009313,1571888.790000000037253,1510179.609999999869615,1552687.719999999739230,1507922.399999999906868,10871412.490000000223517
20140508,1599142.519999999785796,1540891.000000000000000,1568739.820000000065193,1564972.649999999906868,1510031.500000000000000,1555586.049999999813735,1488181.320000000065193,10827547.859999999403954
20140509,1592479.569999999832362,1538551.000000000000000,1575139.510000000009313,1570351.870000000111759,1524546.280000000260770,1556608.989999999757856,1489342.560000000055879,10847022.780000001192093
20140512,1612278.049999999813735,1542646.000000000000000,1569052.000000000000000,1568430.720000000204891,1523509.510000000009313,1569225.250000000000000,1504632.219999999972060,10889776.750000000000000
20140513,1614752.859999999636784,1547326.000000000000000,1576856.500000000000000,1579573.390000000130385,1533432.880000000121072,1584057.879999999655411,1510438.420000000158325,10946440.929999999701977
20140514,1615133.599999999860302,1540306.000000000000000,1574515.150000000139698,1571120.330000000074506,1526027.380000000121072,1579625.139999999897555,1493600.439999999944121,10900331.039999999105930
20140515,1601426.959999999962747,1521586.000000000000000,1571705.530000000027940,1556903.820000000298023,1518177.550000000046566,1574851.419999999925494,1480246.180000000167638,10824900.460000000894070
20140516,1625032.839999999850988,1510471.000000000000000,1569988.540000000037253,1571120.330000000074506,1527656.590000000083819,1578431.709999999729916,1483536.360000000102445,10866240.369999999180436
20140519,1644260.209999999962747,1523341.000000000000000,1570925.080000000074506,1564204.190000000176951,1512105.040000000037253,1581671.019999999785796,1494181.060000000055879,10890690.600000001490116
20140520,1644640.949999999720603,1523341.000000000000000,1564837.570000000065193,1559209.199999999953434,1503810.880000000121072,1579966.119999999878928,1483729.899999999906868,10859538.619999999180436
20140521,1649019.459999999962747,1532701.000000000000000,1578729.580000000074506,1570351.870000000111759,1519066.210000000195578,1583205.429999999701977,1504245.139999999897555,10937321.690000001341105
20140522,1651494.269999999785796,1529776.000000000000000,1575919.959999999962747,1559209.199999999953434,1517437.000000000000000,1585762.779999999795109,1516244.620000000111759,10935846.829999998211861
20140523,1670150.529999999795109,1537966.000000000000000,1576232.140000000130385,1559209.199999999953434,1510772.050000000046566,1583205.429999999701977,1524566.839999999850988,10962105.189999999478459
20140527,1701561.579999999608845,1562536.000000000000000,1573578.610000000102445,1566509.570000000298023,1516104.010000000009313,1593946.299999999813735,1531147.199999999953434,11045386.269999999552965
