訓練日期,20150128 - 20150430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10950677.309999998658895
真實報酬,950677.309999998658895

夏普值報酬,0.086367731000000
夏普值風險,0.034407249591186
夏普值,2.510160853488408

預期報酬,19809.796285699034343
風險,137737.906742780993227
趨勢值,0.143822399760241
找到最佳解世代,2595
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](2),IBM[10](5),NKE[19](12),WBA[27](1),
20150311,2608928.850000000093132,2550918.840000000782311,2522222.200000000186265,2752899.120000000111759,10434969.010000001639128
20150312,2690660.899999999906868,2570115.080000000074506,2567195.700000000186265,2810952.479999999981374,10638924.160000000149012
20150313,2682020.250000000000000,2509923.480000000447035,2534920.599999999627471,2793269.560000000055879,10520133.890000000596046
20150316,2718282.649999999906868,2555473.880000000819564,2551322.699999999720603,2895029.759999999776483,10720108.990000000223517
20150317,2699443.199999999720603,2553521.720000000670552,2553968.200000000186265,2878014.120000000111759,10684947.240000000223517
20150318,2724231.949999999720603,2599885.520000000484288,2579894.100000000093132,2908709.000000000000000,10812720.570000000298023
20150319,2690944.199999999720603,2599885.520000000484288,2601058.099999999627471,2914714.520000000018626,10806602.339999999850988
20150320,2735705.599999999627471,2649828.280000000260770,2697883.399999999906868,2943741.200000000186265,11027158.480000000447035
20150323,2719132.549999999813735,2678297.280000000260770,2684126.799999999813735,2933398.359999999869615,11014954.990000000223517
20150324,2709500.350000000093132,2651780.440000000409782,2662962.799999999813735,2936067.479999999981374,10960311.070000000298023
20150325,2653831.899999999906868,2589962.040000000037253,2619047.500000000000000,2865335.799999999813735,10728177.239999998360872
20150326,2652273.750000000000000,2612574.560000000521541,2628042.200000000186265,2817291.640000000130385,10710182.150000000372529
20150327,2663889.049999999813735,2609483.640000000596046,2642327.899999999906868,2845651.040000000037253,10761351.629999998956919
20150330,2705817.450000000186265,2646412.000000000000000,2669312.000000000000000,2869005.839999999850988,10890547.289999999105930
20150331,2662614.199999999720603,2611110.440000000409782,2654497.200000000186265,2825299.000000000000000,10753520.839999999850988
20150401,2722957.099999999627471,2589636.680000000633299,2633862.300000000279397,2811286.120000000111759,10757742.199999999254942
20150402,2713324.899999999906868,2610297.040000000037253,2636507.799999999813735,2868338.560000000055879,10828468.299999998882413
20150406,2720407.399999999906868,2636163.160000000149012,2638624.199999999720603,2936401.120000000111759,10931595.879999998956919
20150407,2725223.499999999534339,2636651.200000000186265,2635449.600000000093132,2912045.399999999906868,10909369.699999999254942
20150408,2727631.549999999813735,2633072.240000000223517,2667724.700000000186265,2925391.000000000000000,10953819.490000000223517
20150409,2760635.999999999534339,2641043.560000000521541,2664550.100000000093132,3090209.160000000149012,11156438.820000000298023
20150410,2771259.749999999534339,2649502.920000000856817,2644973.399999999906868,3070190.759999999776483,11135926.830000000074506
20150413,2770409.850000000093132,2641694.280000000260770,2626454.899999999906868,3059847.919999999925494,11098406.950000001117587
20150414,2800722.949999999720603,2640392.840000000782311,2633333.200000000186265,3068856.200000000186265,11143305.190000001341105
20150415,2848600.649999999906868,2670163.280000000260770,2641269.700000000186265,3054176.040000000037253,11214209.669999999925494
20150416,2835993.799999999813735,2653895.280000000260770,2642857.000000000000000,2986780.759999999776483,11119526.839999999850988
20150417,2795481.899999999906868,2613876.000000000000000,2607407.300000000279397,2901368.919999999925494,10918134.120000001043081
20150420,2806105.649999999906868,2703187.320000000298023,2645502.500000000000000,2906707.160000000149012,11061502.630000000819564
20150421,2788257.750000000000000,2672278.120000000111759,2653439.000000000000000,2905706.240000000223517,11019681.109999999403954
20150422,2809221.949999999720603,2690172.920000000856817,2649735.299999999813735,2903370.759999999776483,11052500.929999999701977
20150423,2823245.299999999813735,2769560.760000000707805,2675132.100000000093132,2892360.640000000130385,11160298.800000000745058
20150424,2804547.500000000000000,2762077.480000000447035,2670899.299999999813735,2868672.200000000186265,11106196.480000000447035
20150427,2783724.950000000186265,2777532.080000000074506,2670370.199999999720603,2873343.160000000149012,11104970.390000000596046
20150428,2797465.000000000000000,2829427.000000000000000,2641798.799999999813735,2872008.600000000093132,11140699.400000000372529
20150429,2812621.549999999813735,2837235.640000000596046,2650264.400000000372529,2821628.959999999962747,11121750.550000000745058
20150430,2782308.449999999720603,2786642.160000000149012,2614814.700000000186265,2766912.000000000000000,10950677.309999998658895
