代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12951030.000000000000
真實報酬,2951030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11663.391950624633
風險,167128.152070507700
起點值,0.069787117288
找到最佳解世代,1472
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,8
1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
Stock#,1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
張數,48,38,47,18,54,2,17,-1,
FS( 83 ),1371440.000000000200,1450260.000000000000,1318620.000000000000,1293200.000000000000,1338020.000000000000,1298780.000000000000,1372400.000000000000,1250000.000000000000,10692720.000000000000
FS( 84 ),1390160.000000000500,1455960.000000000000,1315330.000000000200,1286180.000000000000,1338020.000000000000,1287640.000000000000,1365940.000000000000,1250000.000000000000,10689230.000000000000
FS( 85 ),1406960.000000000200,1458620.000000000000,1318620.000000000000,1297340.000000000000,1350980.000000000000,1306220.000000000000,1365940.000000000000,1250000.000000000000,10754680.000000000000
FS( 86 ),1408880.000000000200,1484080.000000000200,1321910.000000000000,1294640.000000000000,1338020.000000000000,1309940.000000000000,1346219.999999999800,1250000.000000000000,10753690.000000000000
FS( 87 ),1377200.000000000200,1481039.999999999800,1306400.000000000000,1291760.000000000000,1342340.000000000000,1330380.000000000000,1339760.000000000000,1250000.000000000000,10718880.000000000000
FS( 88 ),1405040.000000000200,1484080.000000000200,1315330.000000000200,1295900.000000000000,1375280.000000000000,1326660.000000000000,1346219.999999999800,1250000.000000000000,10798510.000000000000
FS( 89 ),1433360.000000000200,1495100.000000000200,1336010.000000000000,1305800.000000000000,1368800.000000000200,1296940.000000000000,1359310.000000000000,1250000.000000000000,10845320.000000000000
FS( 90 ),1442480.000000000500,1509160.000000000000,1339770.000000000000,1318580.000000000200,1399580.000000000000,1352680.000000000000,1346219.999999999800,1250000.000000000000,10958470.000000000000
FS( 91 ),1448240.000000000000,1498140.000000000000,1339770.000000000000,1307239.999999999800,1423880.000000000200,1436320.000000000000,1352850.000000000000,1250000.000000000000,11056440.000000000000
FS( 92 ),1429520.000000000200,1503840.000000000000,1332720.000000000000,1314260.000000000000,1403900.000000000000,1488340.000000000000,1346219.999999999800,1250000.000000000000,11068800.000000000000
FS( 93 ),1416560.000000000000,1489400.000000000000,1315330.000000000200,1307239.999999999800,1419560.000000000000,1466040.000000000000,1326670.000000000000,1250000.000000000000,10990800.000000000000
FS( 94 ),1416560.000000000000,1500800.000000000000,1311570.000000000000,1303100.000000000200,1419560.000000000000,1443740.000000000000,1306950.000000000000,1250000.000000000000,10952280.000000000000
FS( 95 ),1390160.000000000500,1470020.000000000000,1280080.000000000200,1301660.000000000000,1377440.000000000000,1417720.000000000000,1333130.000000000000,1250000.000000000000,10820210.000000000000
FS( 96 ),1384400.000000000200,1466980.000000000000,1323790.000000000000,1303100.000000000200,1390940.000000000000,1423300.000000000000,1365940.000000000000,1250000.000000000000,10908450.000000000000
FS( 97 ),1367600.000000000200,1475340.000000000000,1328960.000000000000,1308680.000000000000,1364480.000000000000,1436320.000000000000,1379030.000000000000,1250000.000000000000,10910410.000000000000
FS( 98 ),1369520.000000000200,1475340.000000000000,1323790.000000000000,1308680.000000000000,1364480.000000000000,1408440.000000000000,1385490.000000000000,1250000.000000000000,10885740.000000000000
FS( 99 ),1377200.000000000200,1484080.000000000200,1339770.000000000000,1308680.000000000000,1379600.000000000200,1443740.000000000000,1398750.000000000000,1250000.000000000000,10981820.000000000000
FS( 100 ),1384400.000000000200,1481039.999999999800,1334600.000000000000,1310120.000000000000,1388780.000000000000,1428880.000000000000,1392120.000000000000,1250000.000000000000,10969940.000000000000
FS( 101 ),1384400.000000000200,1472680.000000000000,1332720.000000000000,1308680.000000000000,1366639.999999999800,1449320.000000000000,1385490.000000000000,1250000.000000000000,10949930.000000000000
FS( 102 ),1359920.000000000200,1424800.000000000000,1332720.000000000000,1310120.000000000000,1375280.000000000000,1440020.000000000000,1379030.000000000000,1250000.000000000000,10871890.000000000000
FS( 103 ),1384400.000000000200,1464320.000000000000,1350109.999999999800,1312820.000000000000,1421719.999999999800,1486480.000000000000,1398750.000000000000,1250000.000000000000,11068600.000000000000
FS( 104 ),1384400.000000000200,1472680.000000000000,1350109.999999999800,1314260.000000000000,1441160.000000000000,1555240.000000000000,1385490.000000000000,1250000.000000000000,11153340.000000000000
FS( 105 ),1369520.000000000200,1461280.000000000000,1360920.000000000000,1321280.000000000000,1439000.000000000000,1549680.000000000000,1385490.000000000000,1250000.000000000000,11137170.000000000000
FS( 106 ),1354640.000000000200,1472680.000000000000,1357160.000000000000,1321280.000000000000,1439000.000000000000,1557100.000000000000,1359310.000000000000,1250000.000000000000,11111170.000000000000
FS( 107 ),1403120.000000000200,1486740.000000000000,1360920.000000000000,1325600.000000000200,1441160.000000000000,1568260.000000000000,1379030.000000000000,1250000.000000000000,11214830.000000000000
