代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13943530.000000000000
真實報酬,3943530.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15571.391155251087
風險,126809.368641111430
起點值,0.122793696729
找到最佳解世代,1695
找到最佳解實驗#,3
找到最佳解次數,8

投資組合檔數,7
1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
Stock#,1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
張數,49,70,32,29,5,10,130,
FS( 57 ),1654950.999999999800,1586071.000000000000,1637211.000000000000,1570961.000000000200,1579221.000000000000,1394371.000000000000,1580671.000000000000,11003460.000000000000
FS( 58 ),1649071.000000000000,1574171.000000000200,1637211.000000000000,1547471.000000000200,1570771.000000000000,1443771.000000000000,1571571.000000000000,10994040.000000000000
FS( 59 ),1699050.999999999800,1592371.000000000000,1643611.000000000000,1489181.000000000200,1574970.999999999800,1475271.000000000000,1589771.000000000000,11064230.000000000000
FS( 60 ),1682880.999999999500,1586071.000000000000,1658651.000000000000,1505421.000000000500,1568621.000000000000,1497671.000000000200,1593670.999999999800,11092990.000000000000
FS( 61 ),1691210.999999999800,1586071.000000000000,1656411.000000000000,1505421.000000000500,1577071.000000000000,1493171.000000000000,1597571.000000000200,11106930.000000000000
FS( 62 ),1691210.999999999800,1567871.000000000200,1635291.000000000000,1500781.000000000200,1579221.000000000000,1457270.999999999800,1580671.000000000000,11012320.000000000000
FS( 63 ),1743640.999999999800,1586071.000000000000,1645851.000000000000,1498461.000000000200,1572871.000000000200,1452771.000000000000,1589771.000000000000,11089440.000000000000
FS( 64 ),1735310.999999999800,1583271.000000000200,1637211.000000000000,1503101.000000000200,1551771.000000000000,1457270.999999999800,1562471.000000000000,11030410.000000000000
FS( 65 ),1691210.999999999800,1567871.000000000200,1628891.000000000000,1503101.000000000200,1551771.000000000000,1515671.000000000000,1567671.000000000000,11026190.000000000000
FS( 66 ),1715220.999999999800,1565071.000000000200,1618011.000000000000,1486861.000000000200,1562321.000000000000,1488671.000000000200,1562471.000000000000,10998630.000000000000
FS( 67 ),1727470.999999999800,1579771.000000000200,1639451.000000000000,1533551.000000000200,1596071.000000000000,1538071.000000000000,1602771.000000000000,11217160.000000000000
FS( 68 ),1743640.999999999800,1586071.000000000000,1637211.000000000000,1512671.000000000500,1610871.000000000000,1542571.000000000000,1602771.000000000000,11235810.000000000000
FS( 69 ),1733350.999999999500,1579771.000000000200,1622171.000000000000,1517311.000000000200,1583420.999999999800,1475271.000000000000,1602771.000000000000,11114070.000000000000
FS( 70 ),1767650.999999999800,1574171.000000000200,1635291.000000000000,1521951.000000000500,1606671.000000000000,1488671.000000000200,1606670.999999999800,11201080.000000000000
FS( 71 ),1751480.999999999500,1576971.000000000200,1624411.000000000000,1524271.000000000200,1621421.000000000000,1506671.000000000000,1597571.000000000200,11202800.000000000000
FS( 72 ),1743640.999999999800,1576971.000000000200,1626651.000000000000,1535871.000000000200,1631971.000000000000,1542571.000000000000,1606670.999999999800,11264350.000000000000
FS( 73 ),1751480.999999999500,1576971.000000000200,1596571.000000000000,1561681.000000000200,1631971.000000000000,1506671.000000000000,1602771.000000000000,11228120.000000000000
FS( 74 ),1779410.999999999500,1583271.000000000200,1592411.000000000000,1582561.000000000200,1672121.000000000000,1506671.000000000000,1606670.999999999800,11323120.000000000000
FS( 75 ),1777450.999999999800,1583271.000000000200,1586011.000000000000,1566321.000000000000,1653121.000000000200,1497671.000000000200,1597571.000000000200,11261420.000000000000
FS( 76 ),1781860.999999999800,1583271.000000000200,1590171.000000000000,1573281.000000000200,1672121.000000000000,1524671.000000000000,1602771.000000000000,11328150.000000000000
FS( 77 ),1769610.999999999800,1586071.000000000000,1618011.000000000000,1624611.000000000200,1676321.000000000200,1533571.000000000000,1602771.000000000000,11410970.000000000000
FS( 78 ),1751480.999999999500,1574171.000000000200,1620251.000000000000,1636211.000000000200,1661571.000000000200,1569571.000000000000,1602771.000000000000,11416030.000000000000
FS( 79 ),1751480.999999999500,1567871.000000000200,1628891.000000000000,1626931.000000000200,1661571.000000000200,1582970.999999999800,1597571.000000000200,11417290.000000000000
FS( 80 ),1739230.999999999500,1574171.000000000200,1624411.000000000000,1589521.000000000200,1680571.000000000000,1565071.000000000000,1597571.000000000200,11370550.000000000000
FS( 81 ),1735310.999999999800,1576971.000000000200,1635291.000000000000,1587201.000000000500,1672121.000000000000,1614470.999999999800,1597571.000000000200,11418940.000000000000
FS( 82 ),1707380.999999999500,1562271.000000000200,1622171.000000000000,1582561.000000000200,1648871.000000000000,1569571.000000000000,1589771.000000000000,11282600.000000000000
FS( 83 ),1729430.999999999800,1576971.000000000200,1618011.000000000000,1606051.000000000200,1659421.000000000000,1578471.000000000000,1597571.000000000200,11365930.000000000000
FS( 84 ),1723060.999999999800,1579771.000000000200,1596571.000000000000,1631571.000000000000,1676321.000000000200,1578471.000000000000,1602771.000000000000,11388540.000000000000
FS( 85 ),1733350.999999999500,1583271.000000000200,1618011.000000000000,1662021.000000000200,1676321.000000000200,1596471.000000000000,1606670.999999999800,11476120.000000000000
FS( 86 ),1733350.999999999500,1558771.000000000200,1607451.000000000000,1633891.000000000200,1705871.000000000000,1587471.000000000000,1606670.999999999800,11433480.000000000000
FS( 87 ),1719140.999999999800,1567871.000000000200,1605211.000000000000,1582561.000000000200,1716470.999999999800,1596471.000000000000,1602771.000000000000,11390500.000000000000
FS( 88 ),1684840.999999999500,1553171.000000000200,1596571.000000000000,1594451.000000000500,1834670.999999999800,1672871.000000000000,1589771.000000000000,11526350.000000000000
FS( 89 ),1662791.000000000000,1544071.000000000200,1587931.000000000000,1577921.000000000500,1824121.000000000200,1654871.000000000200,1575470.999999999800,11427180.000000000000
FS( 90 ),1654950.999999999800,1555971.000000000200,1605211.000000000000,1633891.000000000200,1832571.000000000200,1663871.000000000000,1580671.000000000000,11527140.000000000000
FS( 91 ),1664750.999999999800,1558771.000000000200,1607451.000000000000,1662021.000000000200,1822021.000000000000,1677270.999999999800,1562471.000000000000,11554760.000000000000
FS( 92 ),1664750.999999999800,1549671.000000000200,1594331.000000000000,1587201.000000000500,1815671.000000000000,1641371.000000000000,1571571.000000000000,11424570.000000000000
FS( 93 ),1662791.000000000000,1540571.000000000200,1615771.000000000000,1531231.000000000500,1807221.000000000000,1668371.000000000200,1562471.000000000000,11388430.000000000000
FS( 94 ),1687291.000000000000,1549671.000000000200,1607451.000000000000,1545151.000000000200,1760771.000000000000,1677270.999999999800,1571571.000000000000,11399180.000000000000
